訓練日期,20170911 - 20171211
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11541440.810000000521541
真實報酬,1541440.810000000521541

夏普值報酬,0.145444081000000
夏普值風險,0.041352322932596
夏普值,3.517192522342048

預期報酬,24050.064556664721749
風險,47798.214484094401996
趨勢值,0.503158220788096
找到最佳解世代,1849
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
BA[2](7),CAT[3](1),CSCO[4](3),DIS[6](15),HD[9](16),INTC[11](8),KO[14](27),MCD[15](17),WMT[28](4),
Stock#,BA[2](7),CAT[3](1),CSCO[4](3),DIS[6](15),HD[9](16),INTC[11](8),KO[14](27),MCD[15](17),WMT[28](4),
張數,4653,9430,35295,11446,6959,31574,23998,6957,14086,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,67.659999999916181,68.400000000139698,24.399999999906868,47.780000000027940,37.060000000055879,21.940000000176951,3.600000000093132,8.530000000027940,7.320000000065193,
20170911,1119532.929999999934807,1121012.500000000232831,1136170.449999999720603,1111339.920000000158325,1102133.890000000130385,1129423.920000000391155,1116390.560000000055879,1123772.739999999990687,1113928.199999999953434,10073706.109999999403954
20170912,1119486.399999999906868,1140532.600000000093132,1143935.349999999860302,1120496.719999999972060,1112850.750000000000000,1139527.600000000325963,1121190.160000000149012,1087596.340000000083819,1121393.780000000027940,10107010.699999999254942
20170913,1125767.949999999953434,1128179.300000000046566,1135817.500000000000000,1131141.500000000000000,1113616.240000000223517,1147105.360000000102445,1124789.860000000102445,1092257.530000000027940,1124915.280000000027940,10123591.519999999552965
20170914,1141122.849999999860302,1136194.800000000279397,1136170.449999999720603,1120611.180000000167638,1109162.479999999981374,1151841.459999999962747,1106551.380000000121072,1092257.530000000027940,1122379.800000000046566,10116292.929999999701977
20170915,1158664.659999999916181,1144587.500000000232831,1144994.199999999720603,1127707.699999999953434,1102342.660000000149012,1168259.940000000176951,1108231.239999999990687,1091700.969999999972060,1132240.000000000000000,10178729.870000001043081
20170918,1177648.899999999906868,1167785.300000000046566,1147817.800000000046566,1122900.379999999888241,1098236.850000000093132,1168259.940000000176951,1106551.380000000121072,1090031.290000000037253,1126887.320000000065193,10206120.160000000149012
20170919,1174764.040000000037253,1176366.600000000093132,1146758.949999999953434,1126677.560000000055879,1097193.000000000000000,1175521.959999999962747,1103431.640000000130385,1095249.040000000037253,1127591.620000000111759,10223555.410000000149012
20170920,1188723.040000000037253,1177403.900000000139698,1150641.399999999906868,1135605.439999999944121,1104291.180000000167638,1170470.120000000111759,1098632.040000000037253,1112293.689999999944121,1133930.320000000065193,10271992.130000000819564
20170921,1191421.780000000027940,1176838.100000000093132,1154170.899999999906868,1131942.719999999972060,1107840.270000000018626,1174574.740000000223517,1089512.800000000046566,1106380.239999999990687,1127028.180000000167638,10259710.729999998584390
20170922,1193329.509999999776483,1173443.300000000279397,1177818.549999999813735,1128623.379999999888241,1113268.290000000037253,1173943.260000000242144,1091672.620000000111759,1105545.399999999906868,1120266.900000000139698,10277912.210000000894070
20170925,1183418.619999999878928,1172406.000000000000000,1190171.799999999813735,1139726.000000000000000,1121131.959999999962747,1173311.780000000027940,1096472.219999999972060,1087109.349999999860302,1114914.220000000204891,10278662.950000001117587
20170926,1180533.759999999776483,1174197.700000000186265,1191583.599999999860302,1128966.760000000009313,1122245.399999999906868,1183099.720000000204891,1093592.460000000195578,1066864.479999999981374,1118294.860000000102445,10259379.739999998360872
