訓練日期,20111006 - 20120109
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12388397.339999999850988
真實報酬,2388397.339999999850988

夏普值報酬,0.230139734000000
夏普值風險,0.054188254036613
夏普值,4.247040951799300

預期報酬,38458.158696311314998
風險,221431.212030821654480
趨勢值,0.173679935830177
找到最佳解世代,2052
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,152299,58254,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.830000000074506,59.179999999701977,
20111006,5083764.450000000186265,5074565.120000000111759,10158329.570000000298023
20111007,5166005.910000000149012,5079807.979999999515712,10245813.890000000596046
20111010,5278707.169999999925494,5156120.719999999739230,10434827.890000000596046
20111011,5286322.120000000111759,5204471.540000000037253,10490793.660000000149012
20111012,5287845.110000000335276,5147382.620000000111759,10435227.730000000447035
20111013,5240632.419999999925494,5202723.919999999925494,10443356.339999999850988
20111014,5338103.779999999329448,5239423.939999999478459,10577527.719999998807907
20111017,5277184.179999999701977,5164858.819999999366701,10442043.000000000000000
20111018,5475172.880000000819564,5221947.739999999292195,10697120.620000001043081
20111019,5391408.429999999701977,5220782.660000000149012,10612191.089999999850988
20111020,5441667.099999999627471,5185247.719999999739230,10626914.820000000298023
20111021,5613764.969999999739230,5378068.459999999031425,10991833.429999999701977
20111024,5589397.130000000819564,5360009.719999999739230,10949406.850000001490116
20111025,5488879.790000000037253,5346028.759999999776483,10834908.550000000745058
20111026,5566552.279999999329448,5346611.299999999813735,10913163.579999998211861
20111027,5691437.459999999962747,5447390.719999999739230,11138828.179999999701977
20111028,5501063.709999999962747,5434574.839999999850988,10935638.550000000745058
20111031,5452328.029999999329448,5408943.079999999143183,10861271.109999999403954
20111101,5412730.290000000037253,5354184.319999999366701,10766914.609999999403954
20111102,5481264.840000000782311,5390301.799999999813735,10871566.640000000596046
20111103,5551322.380000000819564,5417681.179999999701977,10969003.560000000521541
20111104,5542184.440000000409782,5464866.919999999925494,11007051.359999999403954
20111107,5686868.490000000223517,5512052.660000000149012,11198921.150000000372529
20111108,5778247.889999999664724,5510887.579999999143183,11289135.469999998807907
20111109,5659454.669999999925494,5397292.280000000260770,11056746.949999999254942
20111110,5665546.630000000819564,5432827.219999999739230,11098373.850000001490116
20111111,5796523.770000000484288,5520208.219999999739230,11316731.990000000223517
20111114,5825460.580000000074506,5479430.419999999925494,11304891.000000000000000
20111115,5798046.759999999776483,5503314.559999999590218,11301361.320000000298023
20111116,5763017.990000000223517,5426419.280000000260770,11189437.269999999552965
20111117,5729512.209999999962747,5376320.839999999850988,11105833.050000000745058
20111118,5769109.950000000186265,5402535.139999999664724,11171645.089999999850988
20111121,5644224.770000000484288,5375738.299999999813735,11019963.070000000298023
20111122,5650316.730000000447035,5397292.280000000260770,11047609.010000001639128
20111123,5561983.310000000521541,5351854.160000000149012,10913837.470000000670552
20111125,5554368.360000000335276,5365252.579999999143183,10919620.939999999478459
20111128,5680776.529999999329448,5461954.219999999739230,11142730.750000000000000
20111129,5933592.870000000111759,5444478.019999999552965,11378070.890000000596046
20111130,5973190.610000000335276,5564481.259999999776483,11537671.870000001043081
20111201,5991466.490000000223517,5563316.179999999701977,11554782.669999999925494
20111202,6082845.889999999664724,5574966.979999999515712,11657812.869999999180436
20111205,6127012.599999999627471,5554578.079999999143183,11681590.679999999701977
20111206,6140719.509999999776483,5593025.719999999739230,11733745.230000000447035
20111207,6203162.099999999627471,5618657.479999999515712,11821819.579999998211861
20111208,6078276.919999999925494,5646036.859999999403954,11724313.779999999329448
20111209,6127012.599999999627471,5710698.799999999813735,11837711.399999998509884
20111212,6099598.779999999329448,5736913.099999999627471,11836511.879999998956919
20111213,6017357.319999999366701,5708951.179999999701977,11726308.500000000000000
20111214,5961006.690000000409782,5686232.120000000111759,11647238.810000000521541
20111215,6003650.410000000149012,5717106.739999999292195,11720757.149999998509884
20111216,6155949.410000000149012,5679241.639999999664724,11835191.050000000745058
20111219,6122443.630000000819564,5664678.139999999664724,11787121.769999999552965
20111220,6388966.880000000819564,5756719.459999999031425,12145686.339999999850988
20111221,6396581.830000000074506,5778855.979999999515712,12175437.809999998658895
20111222,6384397.910000000149012,5743903.579999999143183,12128301.489999998360872
20111223,6410288.740000000223517,5834197.280000000260770,12244486.019999999552965
20111227,6430087.610000000335276,5857498.879999999888241,12287586.490000000223517
20111228,6325001.299999999813735,5800992.500000000000000,12125993.800000000745058
20111229,6398104.819999999366701,5872644.919999999925494,12270749.739999998360872
20111230,6402673.790000000037253,5844683.000000000000000,12247356.789999999105930
20120103,6417903.690000000409782,5757884.540000000037253,12175788.230000000447035
20120104,6509283.090000000782311,5789924.239999999292195,12299207.330000000074506
20120105,6562587.740000000223517,5815556.000000000000000,12378143.740000000223517
20120106,6579340.630000000819564,5860411.579999999143183,12439752.210000000894070
20120109,6583909.599999999627471,5804487.739999999292195,12388397.339999999850988
