訓練日期,20150220 - 20150522
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10837701.939999999478459
真實報酬,837701.939999999478459

夏普值報酬,0.075070194000000
夏普值風險,0.023276435380433
夏普值,3.225158525050889

預期報酬,12929.616649121871887
風險,92628.994245548048639
趨勢值,0.139584983669876
找到最佳解世代,2291
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),DD[7](15),IBM[10](9),JPM[13](3),NKE[19](1),WBA[27](5),
Stock#,DIS[6](2),DD[7](15),IBM[10](9),JPM[13](3),NKE[19](1),WBA[27](5),
張數,16042,23557,10169,28138,35574,21616,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,62.619999999878928,8.250000000000000,68.590000000083819,52.260000000009313,24.099999999860302,72.400000000139698,
20150220,1677253.719999999739230,1661719.030000000260770,1664225.440000000176951,1682704.659999999916181,1688721.879999999888241,1667314.479999999981374,10041943.210000000894070
20150223,1684312.199999999720603,1660305.610000000102445,1656700.380000000121072,1670042.560000000055879,1690144.839999999850988,1698873.840000000316650,10060383.429999999701977
20150224,1679178.760000000009313,1670906.260000000242144,1676224.860000000102445,1711405.419999999925494,1697259.639999999897555,1737782.640000000130385,10172761.580000001937151
20150225,1693616.559999999823049,1672319.679999999934807,1655683.480000000214204,1720409.580000000074506,1722161.439999999711290,1729568.560000000288710,10193763.300000000745058
20150226,1677414.139999999897555,1652296.229999999981374,1635955.620000000111759,1732790.300000000046566,1725363.099999999860302,1765018.800000000279397,10188842.190000001341105
20150227,1669713.979999999748543,1651825.090000000083819,1646836.449999999953434,1724348.900000000139698,1727497.540000000037253,1795929.680000000167638,10216155.640000000596046
20150302,1698750.000000000000000,1655594.209999999962747,1631989.709999999962747,1738136.520000000018626,1756668.219999999972060,1807602.320000000298023,10288744.980000000447035
20150303,1706129.319999999832362,1652296.229999999981374,1637582.660000000149012,1743764.119999999878928,1742794.359999999869615,1798739.760000000009313,10281310.449999999254942
20150304,1693616.559999999823049,1662896.880000000121072,1621210.570000000065193,1748266.200000000186265,1734612.339999999850988,1794632.719999999972060,10255239.270000001415610
20150305,1684953.879999999888241,1640046.590000000083819,1639108.010000000242144,1744608.260000000009313,1751332.119999999646097,1798523.600000000093132,10258576.459999999031425
20150306,1665543.059999999823049,1608244.639999999897555,1611855.090000000083819,1713375.080000000074506,1723940.139999999897555,1780150.000000000000000,10103112.009999999776483
20150309,1688643.540000000037253,1608009.070000000065193,1634938.720000000204891,1730539.260000000009313,1733189.379999999888241,1805008.400000000139698,10200332.369999999180436
20150310,1653832.399999999906868,1580447.380000000121072,1604838.480000000214204,1687206.739999999990687,1716825.339999999850988,1788147.920000000158325,10031302.260000001639128
20150311,1650624.000000000000000,1569375.590000000083819,1594567.790000000270084,1695085.380000000121072,1695836.679999999934807,1783608.560000000288710,9989102.000000000000000
20150312,1719283.760000000009313,1592225.880000000121072,1606567.209999999962747,1726881.319999999832362,1726074.580000000074506,1821220.400000000139698,10192257.150000000372529
20150313,1707573.099999999860302,1578327.250000000000000,1568941.910000000149012,1716470.260000000009313,1704374.439999999711290,1809763.920000000158325,10085454.879999998956919
