訓練日期,20120208 - 20120510
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11213674.269999999552965
真實報酬,1213674.269999999552965

夏普值報酬,0.112667427000000
夏普值風險,0.040531840733243
夏普值,2.779726382068617

預期報酬,20827.358319543043763
風險,101044.682631239877082
趨勢值,0.206120280426353
找到最佳解世代,4086
找到最佳解實驗#,16
找到最佳解次數,8

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](4),
Stock#,HD[9](1),KO[14](4),
張數,109986,145857,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.439999999478459,22.040000000037253,
20120208,4968104.059999999590218,4983955.730000000447035,9952059.789999999105930
20120209,4979102.660000000149012,4957701.470000000670552,9936804.130000000819564
20120210,4985701.819999999366701,4954784.330000000074506,9940486.149999998509884
20120213,5051693.419999998994172,4991248.580000000074506,10042942.000000000000000
20120214,5065991.599999999627471,5024795.690000000409782,10090787.289999999105930
20120215,5027496.500000000000000,4988331.440000000409782,10015827.940000001341105
20120216,5051693.419999998994172,5021878.549999999813735,10073571.969999998807907
20120217,5137482.500000000000000,5036464.250000000000000,10173946.750000000000000
20120221,5160579.559999999590218,5018961.409999999217689,10179540.969999998807907
20120222,5122084.459999999962747,5051049.950000000186265,10173134.410000000149012
20120223,5163879.139999999664724,5045215.670000000856817,10209094.810000000521541
20120224,5167178.719999998807907,5032088.540000000037253,10199267.259999997913837
20120227,5161679.419999998994172,5020419.980000000447035,10182099.399999998509884
20120228,5194675.219999998807907,5020419.980000000447035,10215095.199999999254942
20120229,5232070.459999999962747,5094807.049999999813735,10326877.509999999776483
20120301,5219972.000000000000000,5075845.639999999664724,10295817.640000000596046
20120302,5214472.699999999254942,5045215.670000000856817,10259688.370000001043081
20120305,5212272.979999999515712,5049591.379999999888241,10261864.359999999403954
20120306,5102286.979999999515712,5014585.700000000186265,10116872.679999999701977
20120307,5212272.979999999515712,5017502.839999999850988,10229775.820000000298023
20120308,5259566.959999999962747,5052508.520000000484288,10312075.480000000447035
20120309,5290363.040000000037253,5070011.359999999403954,10360374.399999998509884
20120312,5344256.179999999701977,5116685.599999999627471,10460941.779999999329448
20120313,5404748.479999999515712,5123978.450000000186265,10528726.929999999701977
20120314,5441043.859999999403954,5121061.309999999590218,10562105.169999998062849
20120315,5411347.639999999664724,5129812.730000000447035,10541160.370000001043081
20120316,5394849.739999999292195,5116685.599999999627471,10511535.339999999850988
20120319,5370652.819999999366701,5134188.440000000409782,10504841.259999999776483
20120320,5431145.120000000111759,5148774.139999999664724,10579919.259999999776483
20120321,5476239.379999998956919,5186696.959999999962747,10662936.339999999850988
20120322,5464140.919999998994172,5208575.509999999776483,10672716.429999999701977
20120323,5448742.879999998956919,5212951.220000000670552,10661694.099999999627471
20120326,5513634.620000000111759,5243581.190000000409782,10757215.810000000521541
20120327,5503735.879999998956919,5242122.620000000111759,10745858.500000000000000
20120328,5489437.699999999254942,5299006.849999999627471,10788444.549999998882413
20120329,5489437.699999999254942,5383603.909999999217689,10873041.609999999403954
20120330,5533432.099999999627471,5398189.609999999403954,10931621.709999999031425
20120402,5498236.580000000074506,5406941.030000000260770,10905177.609999999403954
20120403,5499336.439999999478459,5379228.200000000186265,10878564.640000000596046
20120404,5482838.540000000037253,5357349.649999999441206,10840188.189999999478459
20120405,5567527.759999998845160,5358808.220000000670552,10926335.980000000447035
20120409,5563128.319999999366701,5315051.120000000111759,10878179.439999999478459
20120410,5428945.399999999441206,5252332.609999999403954,10681278.009999997913837
20120411,5471839.939999999478459,5259625.459999999962747,10731465.399999998509884
20120412,5568627.620000000111759,5266918.309999999590218,10835545.929999999701977
20120413,5604923.000000000000000,5246498.330000000074506,10851421.330000000074506
20120416,5685212.779999999329448,5282962.580000000074506,10968175.359999999403954
20120417,5722608.019999999552965,5393813.899999999441206,11116421.919999998062849
20120418,5698411.099999999627471,5409858.170000000856817,11108269.269999999552965
20120419,5670914.599999999627471,5383603.909999999217689,11054518.509999997913837
20120420,5659916.000000000000000,5406941.030000000260770,11066857.030000001192093
20120423,5620321.040000000037253,5374852.490000000223517,10995173.530000001192093
20120424,5634619.219999998807907,5405482.459999999962747,11040101.679999999701977
20120425,5709409.699999999254942,5465283.830000000074506,11174693.529999999329448
20120426,5705010.259999998845160,5520709.490000000223517,11225719.750000000000000
20120427,5713809.139999999664724,5589262.280000000260770,11303071.419999999925494
20120430,5696211.379999998956919,5565925.159999999217689,11262136.539999999105930
20120501,5754503.959999999962747,5611140.830000000074506,11365644.789999999105930
20120502,5797398.500000000000000,5627185.099999999627471,11424583.599999999627471
20120503,5771001.859999999403954,5647605.080000000074506,11418606.939999999478459
20120504,5714909.000000000000000,5615516.540000000037253,11330425.539999999105930
20120507,5652216.979999999515712,5635936.520000000484288,11288153.500000000000000
20120508,5567527.759999998845160,5625726.530000000260770,11193254.289999999105930
20120509,5511434.899999999441206,5599472.270000000484288,11110907.169999999925494
20120510,5567527.759999998845160,5646146.509999999776483,11213674.269999999552965
