訓練日期,20140609 - 20140909
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11117410.459999999031425
真實報酬,1117410.459999999031425

夏普值報酬,0.103041046000000
夏普值風險,0.035093447947303
夏普值,2.936190429470742

預期報酬,19583.069638819182728
風險,105231.979290776114794
趨勢值,0.186094282088028
找到最佳解世代,1673
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](5),INTC[11](1),PG[21](9),
Stock#,DIS[6](5),INTC[11](1),PG[21](9),
張數,39396,118329,41651,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,37.439999999944121,5.069999999832362,3.469999999739230,
20140609,3367607.520000000018626,3302567.459999999962747,3335832.060000000055879,10006008.040000000968575
20140610,3338848.439999999944121,3341616.029999999795109,3338331.120000000111759,10018796.589999999850988
20140611,3321514.200000000186265,3304934.039999999571592,3334582.529999999795109,9961031.769999999552965
20140612,3262026.239999999757856,3308483.910000000149012,3322087.229999999981374,9892598.380000000819564
20140613,3262026.239999999757856,3534492.299999999813735,3317089.109999999869615,10113608.649999998509884
20140616,3281724.239999999757856,3551058.359999999869615,3319171.659999999683350,10151955.259999999776483
20140617,3276208.799999999813735,3543958.619999999646097,3314590.049999999813735,10134758.469999998807907
20140618,3292755.119999999646097,3541592.039999999571592,3323336.759999999776483,10157684.919999998062849
20140619,3300240.359999999869615,3560524.679999999701977,3342079.709999999497086,10202845.749999998137355
20140620,3262814.159999999683350,3573540.869999999646097,3329167.899999999906868,10165523.929999999701977
20140623,3260450.400000000372529,3577090.739999999757856,3312090.989999999757856,10149633.130000000819564
20140624,3257298.720000000204891,3609039.569999999832362,3290848.979999999981374,10157188.269999999552965
20140625,3305361.840000000316650,3654004.589999999850988,3303760.789999999571592,10263128.219999998807907
20140626,3327029.640000000130385,3642171.689999999944121,3274605.089999999850988,10243807.419999999925494
20140627,3360516.239999999757856,3659921.039999999571592,3291265.489999999757856,10311703.769999999552965
20140630,3377850.479999999515712,3656371.169999999459833,3273355.560000000055879,10307578.209999999031425
20140701,3406609.560000000055879,3665837.489999999757856,3302094.750000000000000,10374542.800000000745058
20140702,3405427.679999999701977,3665837.489999999757856,3313757.029999999795109,10385023.199999999254942
20140703,3421186.080000000074506,3684770.129999999888241,3331250.449999999720603,10437207.660000000149012
20140707,3411337.080000000074506,3671753.939999999944121,3339997.159999999683350,10423089.179999999701977
20140708,3382578.000000000000000,3643354.979999999515712,3355408.029999999795109,10381342.009999999776483
20140709,3436156.560000000055879,3655187.879999999888241,3401640.639999999664724,10492986.079999998211861
20140710,3421974.000000000000000,3698969.609999999869615,3399141.579999999608845,10520086.189999999478459
20140711,3423155.879999999888241,3697786.319999999832362,3380398.629999999422580,10501341.829999998211861
20140714,3418034.400000000372529,3726185.279999999795109,3387062.789999999571592,10531283.469999998807907
20140715,3394002.840000000316650,3752217.660000000149012,3384563.729999999981374,10530785.230000000447035
20140716,3362486.039999999571592,4100104.919999999459833,3371235.409999999683350,10833827.369999999180436
20140717,3349879.319999999832362,3987692.370000000111759,3348743.870000000111759,10686316.559999998658895
20140718,3380608.200000000186265,3987692.370000000111759,3354991.519999999552965,10723293.089999999850988
