訓練日期,20170512 - 20170814
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11138709.359999999403954
真實報酬,1138709.359999999403954

夏普值報酬,0.105170936000000
夏普值風險,0.033664369239274
夏普值,3.124102378169714

預期報酬,18336.891056317723269
風險,55639.777163848280907
趨勢值,0.329564422990393
找到最佳解世代,2390
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,9
AXP[1](2),BA[2](6),CAT[3](3),JNJ[12](8),JPM[13](14),MCD[15](4),MMM[16](13),UNH[23](1),V[25](5),
Stock#,AXP[1](2),BA[2](6),CAT[3](3),JNJ[12](8),JPM[13](14),MCD[15](4),MMM[16](13),UNH[23](1),V[25](5),
張數,14259,6040,11002,9018,12747,7704,5647,6410,12064,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,49.719999999972060,113.399999999906868,19.020000000018626,93.399999999906868,82.479999999981374,117.159999999916181,63.750000000000000,129.800000000046566,16.600000000093132,
20170512,1104979.629999999888241,1106943.399999999906868,1108030.439999999944121,1115078.919999999925494,1108051.719999999972060,1119970.600000000093132,1110094.540000000037253,1101431.900000000139698,1118711.320000000065193,9993293.469999998807907
20170515,1116957.189999999944121,1101748.999999999767169,1126843.860000000102445,1145289.219999999972060,1113405.459999999962747,1127058.280000000027940,1116080.359999999869615,1099637.100000000093132,1124743.320000000065193,10071764.789999999105930
20170516,1114105.389999999897555,1103621.399999999906868,1125963.699999999953434,1152323.259999999776483,1116847.149999999906868,1134839.319999999832362,1117661.520000000018626,1077779.000000000000000,1123778.200000000186265,10066919.940000001341105
20170517,1089009.550000000046566,1079944.599999999860302,1101759.300000000046566,1142403.459999999962747,1074272.169999999925494,1128059.799999999813735,1100325.229999999981374,1082522.400000000139698,1107009.240000000223517,9905306.750000000000000
20170518,1089152.139999999897555,1071609.399999999906868,1102639.459999999962747,1145108.859999999869615,1070320.599999999860302,1132682.199999999953434,1102584.030000000027940,1099124.300000000046566,1106406.040000000037253,9919628.030000001192093
20170519,1095140.919999999925494,1091903.799999999813735,1126953.880000000121072,1145379.399999999906868,1080773.139999999897555,1141464.760000000009313,1105746.350000000093132,1106431.699999999953434,1115695.320000000065193,10009490.269999999552965
