訓練日期,20140508 - 20140808
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11458491.259999997913837
真實報酬,1458491.259999997913837

夏普值報酬,0.137149126000000
夏普值風險,0.052336717157110
夏普值,2.620514496319888

預期報酬,28913.629661132741603
風險,145911.271543520095292
趨勢值,0.198158986315933
找到最佳解世代,2082
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),DIS[6](5),INTC[11](1),
Stock#,AAPL[0](2),DIS[6](5),INTC[11](1),
張數,39391,41516,126406,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,66.579999999608845,13.359999999869615,6.779999999795109,
20140508,3308910.579999999608845,3387718.959999999497086,3329540.819999999832362,10026171.359999999403954
20140509,3295123.729999999981374,3402249.560000000055879,3324484.580000000074506,10021858.870000001043081
20140512,3336090.369999999646097,3421762.080000000074506,3333333.000000000000000,10091186.449999999254942
20140513,3341211.199999999254942,3407646.639999999664724,3343445.479999999515712,10092304.319999998435378
20140514,3341999.019999999552965,3359488.080000000074506,3328276.759999999776483,10029764.859999999403954
20140515,3313637.500000000000000,3327520.760000000242144,3287826.839999999850988,9928986.099999999627471
20140516,3362482.339999999385327,3337484.600000000093132,3263809.699999999720603,9963777.639999998733401
20140519,3402267.250000000000000,3364885.159999999683350,3291619.019999999552965,10058772.429999999701977
20140520,3403055.069999999832362,3366545.799999999813735,3291619.019999999552965,10061220.889999998733401
20140521,3412115.000000000000000,3412213.399999999906868,3311843.979999999515712,10136173.379999998956919
20140522,3417235.829999999608845,3418855.959999999497086,3305523.679999999701977,10141616.469999998807907
20140523,3455839.009999999776483,3459126.479999999515712,3323220.519999999552965,10238187.009999997913837
20140527,3520834.159999999217689,3476563.199999999720603,3376311.040000000037253,10373709.399999998509884
20140528,3511380.319999999832362,3470750.959999999497086,3397800.059999999590218,10379932.339999999850988
20140529,3575587.649999999441206,3488602.839999999850988,3407912.540000000037253,10472104.029999999329448
20140530,3562194.709999999962747,3487772.520000000018626,3453418.699999999720603,10503386.929999999701977
20140602,3537772.289999999571592,3498566.679999999701977,3445834.339999999850988,10482174.309999998658895
20140603,3587798.859999999403954,3482375.439999999478459,3496396.739999999757856,10566572.039999999105930
20140604,3628765.500000000000000,3497321.199999999720603,3488812.379999999888241,10614900.079999998211861
20140605,3642946.259999999776483,3519739.839999999850988,3496396.739999999757856,10659083.839999999850988
20140606,3632704.599999999627471,3512682.119999999646097,3560863.799999999813735,10706251.519999999552965
20140609,3691003.279999999795109,3548801.040000000037253,3527998.239999999757856,10767803.560000000521541
20140610,3712668.329999999608845,3518494.359999999869615,3569712.219999999739230,10800875.910000000149012
20140611,3697305.839999999385327,3500227.319999999832362,3530526.359999999869615,10728060.519999999552965
20140612,3635461.969999999739230,3437538.159999999683350,3534318.540000000037253,10607319.669999998062849
20140613,3595677.059999999590218,3437538.159999999683350,3775754.000000000000000,10808970.219999998807907
20140616,3631916.779999999795109,3458296.159999999683350,3793450.839999999850988,10883664.779999999329448
20140617,3627189.859999999403954,3452483.919999999925494,3785866.479999999515712,10865541.259999997913837
20140618,3631128.959999999962747,3469920.639999999664724,3783338.359999999869615,10884388.959999999031425
20140619,3618523.839999999385327,3477808.679999999701977,3803563.319999999832362,10899896.839999999850988
20140620,3581102.389999999664724,3438368.479999999515712,3817467.979999999515712,10836939.849999997764826
20140623,3577951.109999999403954,3435877.520000000018626,3821260.159999999683350,10835089.789999999105930
20140624,3556286.059999999590218,3432556.240000000223517,3855389.779999999795109,10844233.080000000074506
20140625,3559437.339999999385327,3483205.760000000242144,3903424.059999999590218,10946068.160000000149012
20140626,3580708.479999999981374,3506039.560000000055879,3890783.459999999962747,10977532.500000000000000
20140627,3623250.759999999776483,3541328.159999999683350,3909744.359999999869615,11074324.279999999329448
20140630,3660672.209999999962747,3559595.199999999720603,3905952.179999999701977,11126220.589999999850988
20140701,3683912.899999999441206,3589901.879999999888241,3916064.659999999683350,11189880.439999999478459
20140702,3682337.259999999776483,3588656.399999999906868,3916064.659999999683350,11187059.320000000298023
20140703,3704002.309999999590218,3605262.799999999813735,3936289.619999999646097,11245555.729999998584390
20140707,3780420.849999999627471,3594883.799999999813735,3922384.959999999962747,11297690.609999999403954
