訓練日期,20160520 - 20160822
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11025305.599999999627471
真實報酬,1025305.599999999627471

夏普值報酬,0.093830560000000
夏普值風險,0.030025558965371
夏普值,3.125022921578821

預期報酬,18760.407248812258331
風險,99131.569399279265781
趨勢值,0.189247556177081
找到最佳解世代,2238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](14),JNJ[12](11),MRK[17](8),PG[21](1),UTX[24](3),VZ[26](15),
Stock#,AAPL[0](14),JNJ[12](11),MRK[17](8),PG[21](1),UTX[24](3),VZ[26](15),
張數,17692,14768,30536,20783,16918,33581,
20160802,1848539.760000000009313,1843882.000000000000000,1781176.000000000000000,1803210.310000000055879,1797949.679999999701977,1813414.969999999972060,10888176.720000000670552
20160803,1871716.280000000027940,1829852.400000000372529,1760411.520000000018626,1786791.739999999990687,1798288.040000000037253,1810056.869999999878928,10857120.849999999627471
20160804,1873131.639999999897555,1829261.680000000167638,1766213.360000000102445,1788454.379999999888241,1799472.299999999813735,1811064.300000000046566,10867601.660000000149012
20160805,1901615.760000000009313,1834873.520000000018626,1950040.080000000074506,1782842.969999999972060,1822819.139999999664724,1801325.810000000055879,11093521.279999999329448
20160808,1917361.639999999897555,1826160.400000000372529,1919504.080000000074506,1782427.310000000055879,1823665.040000000037253,1799646.760000000009313,11068769.229999998584390
20160809,1925146.119999999878928,1822911.440000000176951,1908205.760000000242144,1787207.399999999906868,1832969.939999999944121,1801997.429999999934807,11078442.089999999850988
20160810,1910815.599999999860302,1821877.680000000167638,1912786.160000000149012,1793857.959999999962747,1829247.979999999981374,1807034.580000000074506,11075623.960000000894070
20160811,1909577.159999999916181,1827932.560000000055879,1943016.800000000279397,1802586.820000000065193,1847181.060000000055879,1808713.629999999888241,11139012.030000001192093
20160812,1914000.159999999916181,1819810.160000000149012,1934466.720000000204891,1809029.550000000046566,1841936.479999999981374,1801661.619999999878928,11120908.689999999478459
20160815,1936999.760000000009313,1806371.280000000260770,1933550.640000000130385,1808613.889999999897555,1855809.239999999757856,1800318.379999999888241,11141667.189999997615814
20160816,1935230.559999999823049,1777130.640000000130385,1925000.560000000055879,1799469.369999999878928,1846842.699999999720603,1771774.529999999795109,11055452.359999999403954
20160817,1932399.839999999850988,1791603.280000000260770,1932634.560000000055879,1807366.909999999916181,1843120.739999999757856,1785542.739999999990687,11092672.070000000298023
20160818,1929922.959999999729916,1782890.160000000149012,1943016.800000000279397,1817342.750000000000000,1849718.759999999776483,1775468.439999999944121,11098363.869999999180436
20160819,1934876.719999999739230,1771075.760000000242144,1934772.080000000074506,1814640.959999999962747,1846504.339999999850988,1761364.420000000158325,11063238.279999999329448
20160822,1919838.520000000018626,1759409.040000000037253,1940573.919999999925494,1805080.779999999795109,1835676.819999999832362,1764722.519999999785796,11025305.599999999627471
