訓練日期,20140226 - 20140529
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10921727.580000001937151
真實報酬,921727.580000001937151

夏普值報酬,0.083472758000000
夏普值風險,0.024630855562173
夏普值,3.388950813718107

預期報酬,13531.281363689739010
風險,48983.087855697791383
趨勢值,0.276243943696493
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](11),INTC[11](6),JNJ[12](1),KO[14](2),MCD[15](8),PG[21](10),TRV[22](5),UNH[23](18),VZ[26](14),
Stock#,AAPL[0](11),INTC[11](6),JNJ[12](1),KO[14](2),MCD[15](8),PG[21](10),TRV[22](5),UNH[23](18),VZ[26](14),
張數,14898,45130,12195,29417,11499,14223,13332,14751,24003,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,18.159999999916181,10.399999999906868,24.550000000046566,30.909999999916181,77.619999999878928,10.239999999990687,22.119999999878928,65.680000000167638,12.130000000121072,
20140226,1101129.339999999850988,1119234.399999999906868,1111111.000000000000000,1114052.699999999953434,1102716.729999999981374,1107413.020000000018626,1112310.879999999888241,1122026.740000000223517,1112551.180000000167638,10002546.989999998360872
20140227,1123029.399999999906868,1117429.199999999953434,1114159.750000000000000,1119936.099999999860302,1093402.539999999804422,1112106.609999999869615,1117910.319999999832362,1121436.700000000186265,1140154.630000000121072,10059566.250000001862645
20140228,1120049.800000000046566,1117429.199999999953434,1123427.950000000186265,1123760.310000000055879,1094207.469999999972060,1118791.419999999925494,1117777.000000000000000,1139875.450000000186265,1142074.870000000111759,10097394.469999998807907
20140303,1123178.379999999888241,1105695.399999999906868,1116598.750000000000000,1121406.949999999953434,1084663.299999999813735,1102008.280000000027940,1108977.879999999888241,1137367.780000000027940,1135594.060000000288710,10035491.779999999329448
20140304,1130627.379999999888241,1110659.699999999953434,1138305.850000000093132,1126996.179999999934807,1092252.639999999897555,1115804.590000000083819,1121376.639999999897555,1152561.310000000055879,1149755.830000000074506,10138341.119999999180436
20140305,1133011.059999999823049,1105695.399999999906868,1129159.600000000093132,1128172.859999999869615,1092712.599999999860302,1106844.099999999860302,1124842.959999999962747,1150496.170000000158325,1137274.270000000251457,10108210.019999999552965
20140306,1129584.519999999785796,1111562.299999999813735,1132818.100000000093132,1131702.899999999906868,1099152.039999999804422,1110257.620000000111759,1125242.919999999925494,1145333.320000000065193,1139194.510000000242144,10124849.229999998584390
20140307,1128988.599999999860302,1112013.599999999860302,1138061.949999999953434,1134056.259999999776483,1098232.119999999878928,1114808.979999999981374,1118976.879999999888241,1141793.080000000307336,1131753.580000000074506,10118686.050000000745058
20140310,1130031.459999999729916,1121039.599999999860302,1139647.300000000046566,1136997.959999999962747,1094782.419999999925494,1116942.429999999934807,1116977.079999999841675,1148873.560000000055879,1128873.220000000204891,10134166.029999999329448
20140311,1140907.000000000000000,1116075.299999999813735,1140135.100000000093132,1141410.509999999776483,1135948.839999999850988,1122916.090000000083819,1114310.679999999934807,1147398.460000000195578,1120952.230000000214204,10180055.210000000894070
20140312,1142098.839999999850988,1117429.199999999953434,1141476.550000000046566,1131702.899999999906868,1135143.909999999916181,1127040.760000000009313,1112310.879999999888241,1144743.280000000027940,1112791.210000000195578,10164738.530000001192093
20140313,1129435.540000000037253,1108854.500000000000000,1134159.550000000046566,1116994.399999999906868,1119735.250000000000000,1126329.609999999869615,1101112.000000000000000,1136040.190000000176951,1104870.220000000204891,10077532.259999999776483
20140314,1116772.239999999757856,1105695.399999999906868,1131842.500000000000000,1122877.800000000046566,1122150.039999999804422,1123342.780000000027940,1102045.239999999757856,1116716.380000000121072,1106070.370000000111759,10047513.750000000000000
20140317,1121092.659999999916181,1114721.399999999906868,1145500.900000000139698,1125819.500000000000000,1122380.019999999785796,1135574.560000000055879,1113777.399999999906868,1132352.440000000176951,1111591.060000000288710,10122810.939999999478459
