訓練日期,20091028 - 20100201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12411130.730000000447035
真實報酬,2411130.730000000447035

夏普值報酬,0.232413073000000
夏普值風險,0.068544135898447
夏普值,3.390706877453936

預期報酬,42056.815876688218850
風險,227983.042666866880609
趨勢值,0.184473438834407
找到最佳解世代,2008
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),MRK[17](3),UNH[23](2),
Stock#,BA[2](1),MRK[17](3),UNH[23](2),
張數,69808,102785,125786,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.000000000000000,15.450000000186265,4.000000000000000,
20091028,3296334.759999999776483,3294274.699999999720603,3255345.679999999701977,9845956.139999998733401
20091029,3407329.479999999981374,3218213.800000000279397,3329559.419999999925494,9955103.699999999254942
20091030,3336823.399999999906868,3179155.500000000000000,3264150.699999999720603,9780130.599999999627471
20091102,3369633.160000000149012,3213074.550000000279397,3323270.120000000111759,9905978.830000001937151
20091103,3357765.800000000279397,3152431.400000000372529,3384905.260000000242144,9895103.460000000894070
20091104,3355671.560000000055879,3354917.850000000093132,3505659.820000000298023,10216250.230000000447035
20091105,3474345.160000000149012,3362112.800000000279397,3548427.060000000055879,10384886.020000001415610
20091106,3468062.439999999944121,3349778.600000000558794,3606288.620000000111759,10424130.660000000149012
20091109,3584641.800000000279397,3436118.000000000000000,3664150.179999999701977,10684910.980000000447035
20091110,3512739.560000000055879,3454619.300000000279397,3644024.419999999925494,10611384.280000001192093
20091111,3537870.439999999944121,3414533.149999999906868,3694338.820000000298023,10646743.410000000149012
20091112,3509947.240000000223517,3389864.750000000000000,3617609.360000000335276,10517422.350000001490116
20091113,3537870.439999999944121,3402198.950000000186265,3657860.879999999888241,10597931.269999999552965
20091116,3663524.839999999850988,3475176.300000000279397,3666665.899999999906868,10805368.040000000968575
20091117,3667015.240000000223517,3524513.100000000093132,3644024.419999999925494,10835553.759999999776483
20091118,3631413.160000000149012,3611880.350000000093132,3631445.820000000298023,10874740.330000000074506
20091119,3590226.439999999944121,3631409.500000000000000,3601257.179999999701977,10822894.119999999180436
20091120,3609074.600000000093132,3747556.550000000279397,3592452.159999999683350,10949084.310000000521541
20091123,3673996.040000000037253,3743445.150000000372529,3657860.879999999888241,11075303.070000000298023
20091124,3627922.759999999776483,3722888.149999999906868,3718238.159999999683350,11069050.070000000298023
20091125,3694938.439999999944121,3758862.900000000372529,3715722.439999999944121,11169524.779999999329448
20091127,3661430.600000000093132,3730083.100000000093132,3703143.840000000316650,11094658.540000000968575
20091130,3658638.279999999795109,3721860.300000000279397,3606288.620000000111759,10986788.199999999254942
20091201,3750086.759999999776483,3790726.250000000465661,3610062.199999999720603,11150876.209999999031425
20091202,3754275.240000000223517,3782503.449999999720603,3558489.939999999944121,11095269.629999998956919
20091203,3753577.160000000149012,3779419.900000000372529,3437735.379999999888241,10970733.440000001341105
20091204,3817102.439999999944121,3772224.950000000651926,3454087.560000000055879,11043415.950000001117587
20091207,3896683.560000000055879,3772224.950000000651926,3559747.800000000279397,11228657.310000000521541
20091208,3885514.279999999795109,3736250.200000000186265,3579873.560000000055879,11201639.040000000968575
20091209,3872250.759999999776483,3818478.200000000186265,3584905.000000000000000,11275634.960000000894070
20091210,3840139.080000000074506,3858564.350000000093132,3812577.659999999683350,11511282.089999999850988
20091211,3881325.800000000279397,3810255.400000000372529,3833961.280000000260770,11525543.480000000447035
20091214,3912739.399999999906868,3882204.900000000372529,3893080.699999999720603,11688026.000000000000000
20091215,3886212.360000000335276,3905845.450000000186265,3939621.520000000018626,11731680.330000000074506
20091216,3848516.040000000037253,3880149.200000000186265,4050313.200000000186265,11778979.440000001341105
20091217,3802442.759999999776483,3831840.250000000465661,4002514.520000000018626,11636798.529999999329448
20091218,3730540.520000000018626,3844174.450000000186265,3967294.439999999944121,11542010.410000000149012
20091221,3790575.399999999906868,3873982.100000000093132,4046539.620000000111759,11711098.120000001043081
20091222,3846421.800000000279397,3880149.200000000186265,4065407.520000000018626,11791979.519999999552965
20091223,3836648.680000000167638,3828756.700000000186265,3977357.320000000298023,11642763.700000001117587
20091224,3872948.839999999850988,3802032.600000000558794,3984904.479999999981374,11659886.919999999925494
20091228,3849214.120000000111759,3832868.100000000093132,3948426.540000000037253,11630509.760000001639128
20091229,3854100.680000000167638,3813338.950000000186265,3880502.100000000093132,11547942.730000000447035
20091230,3836648.680000000167638,3809227.550000000279397,3900627.860000000335276,11546505.089999999850988
20091231,3778708.040000000037253,3755779.350000000093132,3833961.280000000260770,11368449.670000001788139
20100104,3921814.439999999944121,3804088.299999999813735,3966036.580000000074506,11691940.320000000298023
20100105,4050261.160000000149012,3819506.049999999813735,3959747.280000000260770,11829515.490000000223517
20100106,4173123.240000000223517,3870898.549999999813735,3998740.939999999944121,12042763.730000000447035
20100107,4342058.600000000558794,3877065.649999999906868,4152199.859999999869615,12371325.109999999403954
20100108,4300173.799999999813735,3875009.950000000651926,4113206.200000000186265,12288390.949999999254942
20100111,4249213.959999999962747,3890427.700000000186265,4140879.120000000111759,12280521.780000001192093
20100112,4218498.440000000409782,3859592.199999999720603,4031445.299999999813735,12109536.940000001341105
20100113,4269458.279999999329448,4001435.500000000000000,4093080.439999999944121,12363975.219999998807907
20100114,4297381.480000000447035,4110387.600000000558794,4191193.520000000018626,12598963.600000001490116
20100115,4245723.559999999590218,4056939.399999999906868,4245281.500000000000000,12547945.459999999031425
20100119,4233856.200000000186265,4175142.149999999906868,4418866.180000000633299,12827865.530000001192093
20100120,4202442.600000000558794,4217284.000000000000000,4345910.299999999813735,12765637.900000002235174
20100121,4132634.600000000093132,4119638.250000000000000,4163520.600000000093132,12415794.449999999254942
20100122,4032809.160000000149012,3995268.399999999906868,4171067.759999999776483,12199146.320000000298023
20100125,4033507.240000000223517,3983962.049999999813735,4150942.000000000000000,12168412.289999999105930
20100126,4028620.680000000167638,3965460.750000000000000,4080501.839999999850988,12074584.269999999552965
20100127,4323210.440000000409782,3971627.850000000093132,4181130.640000000130385,12475969.930000001564622
20100128,4367189.480000000447035,3902761.899999999906868,4205029.979999999515712,12474982.359999999403954
20100129,4230365.799999999813735,3924346.750000000000000,4150942.000000000000000,12305655.550000000745058
20100201,4307154.600000000558794,3936680.949999999720603,4167294.180000000167638,12411130.730000000447035
