訓練日期,20160121 - 20160422
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11490231.370000001043081
真實報酬,1490231.370000001043081

夏普值報酬,0.140323137000000
夏普值風險,0.041210435708493
夏普值,3.405038907925975

預期報酬,23213.904276197081344
風險,63896.245956720689719
趨勢值,0.363306230727870
找到最佳解世代,2277
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,10
AXP[1](30),DD[7](5),KO[14](9),MCD[15](15),MMM[16](6),MRK[17](23),PFE[20](29),UTX[24](2),WMT[28](14),XOM[29](12),
Stock#,AXP[1](30),DD[7](5),KO[14](9),MCD[15](15),MMM[16](6),MRK[17](23),PFE[20](29),UTX[24](2),WMT[28](14),XOM[29](12),
張數,15865,16995,24166,8637,7301,19782,32615,11788,16436,13664,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,29.049999999930151,14.199999999953434,10.919999999925494,8.140000000013970,55.039999999920838,19.900000000023283,24.099999999976717,23.959999999962747,33.759999999892898,68.479999999864958,
20160121,993812.649999999906868,1016485.150000000023283,1000241.659999999916181,1017792.220000000088476,1005840.799999999813735,1007319.340000000083819,997390.799999999930151,1008723.119999999878928,1017093.439999999944121,1012570.879999999771826,10077270.059999998658895
20160122,873555.949999999953434,1046056.449999999953434,1016432.880000000004657,1022628.940000000060536,1018690.559999999939464,1015825.600000000093132,1001630.750000000000000,1017917.759999999892898,1030406.599999999860302,1046320.959999999729916,10089466.449999997392297
20160125,872921.349999999976717,1020903.849999999976717,1018849.479999999864958,1029538.540000000037253,1004453.609999999869615,1007319.340000000083819,994781.599999999976717,1000825.160000000032596,1042897.959999999962747,1010931.199999999953434,10003422.089999999850988
20160126,874031.900000000023283,1027701.849999999976717,1016916.199999999837019,1040162.050000000046566,1057093.819999999832362,1017803.800000000046566,1000326.150000000023283,1009666.160000000032596,1051937.759999999776483,1048097.279999999911524,10143736.970000000670552
20160127,864988.849999999976717,1002209.349999999976717,1017157.859999999986030,1043962.330000000074506,1062715.589999999850988,996439.239999999990687,995433.899999999906868,1011552.239999999990687,1051115.959999999962747,1028831.039999999920838,10074406.359999999403954
20160128,838970.250000000000000,1005608.349999999976717,1028757.539999999920838,1057004.200000000186265,1075638.359999999869615,973294.300000000046566,984997.099999999976717,1019096.559999999939464,1055553.679999999701977,1052059.839999999850988,10090980.179999999701977
20160129,848806.549999999930151,1016485.150000000023283,1037215.640000000013970,1069096.000000000000000,1102506.040000000037253,1002373.840000000083819,994455.449999999953434,1033713.679999999934807,1090726.719999999739230,1063810.879999999888241,10259189.949999999254942
20160201,867844.549999999930151,1030591.000000000000000,1039148.919999999925494,1076264.709999999962747,1085932.770000000018626,1003956.400000000023283,984018.650000000023283,1032181.239999999990687,1109463.759999999776483,1042495.039999999920838,10271897.039999999105930
20160202,851344.949999999837019,1089903.549999999813735,1025615.959999999846332,1070564.290000000037253,1079653.910000000149012,997230.519999999902211,983040.199999999953434,1006954.919999999925494,1098944.719999999739230,1019266.239999999874271,10222519.259999999776483
20160203,858484.199999999953434,1131201.399999999906868,1032382.439999999944121,1049144.529999999795109,1113603.560000000055879,990109.000000000000000,967711.150000000023283,1013320.439999999944121,1089247.479999999981374,1072419.199999999720603,10317623.400000000372529
20160204,862767.750000000000000,1147006.749999999767169,1027790.899999999906868,1042148.559999999939464,1120320.479999999981374,961227.280000000144355,945859.099999999976717,1038782.520000000018626,1091712.879999999888241,1090865.599999999627471,10328481.819999998435378
20160205,856421.749999999883585,1130011.749999999767169,1025615.959999999846332,996717.940000000060536,1120539.509999999776483,976855.060000000055879,946837.550000000046566,1035481.880000000004657,1101245.759999999776483,1094281.599999999627471,10284008.759999997913837
20160208,831355.049999999930151,1118965.000000000000000,1030690.819999999948777,1002331.989999999990687,1123678.939999999944121,965974.959999999962747,931508.499999999883585,1022986.599999999976717,1099602.160000000149012,1109038.719999999739230,10236132.739999998360872
20160209,835004.000000000000000,1127802.399999999906868,1046398.719999999855645,1010623.510000000009313,1129811.779999999795109,972503.019999999902211,949120.599999999976717,1028409.079999999958090,1081686.919999999925494,1094281.599999999627471,10275641.629999998956919
20160210,829609.899999999906868,1117265.499999999767169,1028274.219999999855645,1015201.120000000111759,1113092.489999999757856,979822.360000000102445,961840.449999999953434,1025108.439999999944121,1081358.200000000186265,1084306.879999999888241,10235879.559999998658895
20160211,810889.199999999953434,1084295.199999999953434,1024890.979999999864958,1008205.150000000023283,1100096.709999999962747,966370.600000000093132,950099.049999999930151,997996.039999999920838,1073633.279999999795109,1087722.879999999888241,10104199.089999999850988
20160212,835479.949999999837019,1113526.599999999860302,1041807.179999999934807,1018569.550000000046566,1124117.000000000000000,969931.360000000102445,957600.500000000000000,1013202.559999999939464,1087768.240000000223517,1107262.399999999906868,10269265.339999999850988
20160216,843729.749999999883585,1133410.750000000000000,1047848.679999999934807,1029365.800000000046566,1135579.569999999832362,984767.860000000102445,972277.249999999883585,1019450.199999999953434,1083166.160000000149012,1109858.560000000055879,10359454.580000000074506
20160217,850551.699999999953434,1161452.500000000000000,1050990.260000000009313,1024701.820000000065193,1143537.660000000149012,1000989.100000000093132,966406.549999999930151,1038782.520000000018626,1086617.719999999739230,1120516.479999999981374,10444546.310000002384186
20160218,859118.799999999930151,1151255.499999999767169,1053890.179999999934807,1012005.430000000051223,1144705.819999999832362,995450.140000000013970,963797.349999999976717,1041611.640000000013970,1053910.080000000074506,1126665.279999999795109,10402410.219999996945262
20160219,868003.199999999953434,1139528.949999999953434,1057756.739999999990687,1006477.750000000000000,1142296.489999999757856,991493.739999999990687,961840.449999999953434,1040079.199999999953434,1062785.520000000018626,1127348.479999999981374,10397610.519999999552965
20160222,882599.000000000000000,1159073.199999999953434,1061864.959999999962747,1016323.930000000051223,1151422.739999999757856,1004352.040000000037253,980104.849999999976717,1088881.520000000018626,1078728.439999999944121,1125845.439999999944121,10549196.119999999180436
20160223,874349.199999999953434,1136979.699999999953434,1055823.459999999962747,1009673.440000000060536,1140252.209999999962747,999802.180000000051223,977169.500000000000000,1079804.760000000009313,1092699.040000000037253,1109995.199999999720603,10476548.689999997615814
20160224,866892.649999999906868,1142078.199999999953434,1061139.979999999748543,1011055.359999999986030,1147918.259999999776483,1000197.820000000065193,979126.399999999906868,1103498.639999999897555,1103218.080000000074506,1113957.759999999776483,10529083.150000000372529
20160225,878791.399999999906868,1164171.699999999953434,1067181.479999999748543,1022369.830000000074506,1160841.029999999795109,1008901.900000000023283,997716.949999999953434,1156073.119999999878928,1118339.200000000186265,1120653.120000000111759,10695039.730000000447035
20160226,878632.750000000000000,1179637.149999999906868,1042532.159999999916181,1011055.359999999986030,1155584.310000000055879,1001780.380000000004657,985975.550000000046566,1151593.679999999934807,1093192.120000000111759,1117100.479999999981374,10617083.940000001341105
20160229,881805.749999999883585,1176578.050000000046566,1042290.500000000000000,1012178.170000000041910,1145362.910000000149012,993274.119999999995343,967711.150000000023283,1138980.520000000018626,1090398.000000000000000,1095238.080000000074506,10543817.250000000000000
20160301,901161.049999999930151,1211757.699999999953434,1055823.459999999962747,1026515.589999999967404,1165221.629999999888241,1023738.400000000023283,979778.699999999953434,1120473.359999999869615,1092370.319999999832362,1110678.399999999906868,10687518.610000001266599
20160302,906237.849999999860302,1200880.899999999906868,1057756.739999999990687,1023319.900000000023283,1163907.449999999720603,1034025.040000000037253,977821.800000000046566,1126131.599999999860302,1088261.319999999832362,1130081.279999999795109,10708423.879999998956919
20160303,921626.900000000023283,1200371.049999999813735,1062348.280000000027940,1007859.670000000041910,1163688.419999999925494,1030662.100000000093132,974886.449999999953434,1132968.639999999897555,1087110.799999999813735,1125982.080000000074506,10707504.389999998733401
20160304,924799.899999999906868,1217196.100000000093132,1065973.179999999934807,1012091.800000000046566,1168726.109999999869615,1030266.459999999962747,969015.750000000000000,1143459.959999999962747,1097629.839999999850988,1124479.040000000037253,10753638.140000000596046
20160307,936064.049999999930151,1204279.899999999906868,1063556.579999999841675,1011832.690000000060536,1172376.609999999869615,1041344.380000000004657,971624.949999999953434,1142516.919999999925494,1115873.799999999813735,1154129.919999999925494,10813599.799999998882413
20160308,942885.999999999883585,1181846.500000000000000,1071048.040000000037253,1022801.680000000051223,1169675.239999999757856,1037585.800000000046566,957600.500000000000000,1142281.159999999916181,1118339.200000000186265,1129124.799999999813735,10773188.919999998062849
20160309,936857.299999999930151,1187454.850000000093132,1082889.379999999888241,1033338.820000000065193,1168872.129999999888241,1035805.420000000041910,969994.199999999953434,1138744.760000000009313,1109956.839999999850988,1125982.080000000074506,10789895.779999999329448
20160310,932097.799999999930151,1189154.349999999860302,1093039.099999999860302,1036275.400000000023283,1167411.929999999701977,1049257.180000000167638,965101.949999999953434,1133793.800000000046566,1107984.520000000018626,1122976.000000000000000,10797092.029999999329448
20160311,943361.949999999953434,1225183.750000000000000,1092314.119999999878928,1049835.489999999757856,1181940.919999999925494,1052422.300000000279397,994781.599999999976717,1140512.959999999962747,1104039.879999999888241,1123112.639999999664724,10907505.609999999403954
