訓練日期,20130103 - 20130408
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11274832.029999999329448
真實報酬,1274832.029999999329448

夏普值報酬,0.118783203000000
夏普值風險,0.036709456284724
夏普值,3.235765795022963

預期報酬,20693.743349596970802
風險,45420.526306419727916
趨勢值,0.455603336914045
找到最佳解世代,1738
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,7
AXP[1](8),JNJ[12](1),MMM[16](5),MRK[17](17),PG[21](9),TRV[22](2),VZ[26](20),
Stock#,AXP[1](8),JNJ[12](1),MMM[16](5),MRK[17](17),PG[21](9),TRV[22](2),VZ[26](20),
張數,24316,20166,15072,34556,20587,19607,32269,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,6.000000000000000,11.559999999823049,46.840000000083819,25.959999999962747,39.070000000065193,4.979999999981374,22.369999999878928,
20130103,1434650.000000000000000,1426554.399999999674037,1426913.080000000074506,1462781.439999999944121,1419512.720000000204891,1439550.919999999925494,1421794.510000000009313,10031760.070000000298023
20130104,1449482.760000000009313,1442888.859999999869615,1437463.480000000214204,1450341.280000000027940,1422394.900000000139698,1452099.400000000139698,1429539.069999999832362,10084212.750000001862645
20130107,1455561.760000000009313,1439863.959999999962747,1439272.120000000111759,1455524.679999999934807,1412719.010000000242144,1432492.400000000139698,1442123.979999999748543,10077560.910000000149012
20130108,1463829.199999999953434,1440065.619999999646097,1439422.840000000083819,1457598.040000000037253,1410454.440000000176951,1435041.309999999823049,1390816.270000000018626,10037230.719999998807907
20130109,1465288.159999999916181,1446518.739999999990687,1453138.360000000102445,1471766.000000000000000,1418071.629999999888241,1449746.559999999823049,1387589.369999999878928,10092121.819999998435378
20130110,1478175.639999999897555,1455795.099999999860302,1460372.920000000158325,1478331.639999999897555,1426100.560000000055879,1459746.130000000121072,1406628.080000000074506,10165153.070000000298023
20130111,1489117.840000000083819,1459021.659999999683350,1451179.000000000000000,1493881.839999999850988,1425071.209999999962747,1467588.929999999934807,1397270.069999999832362,10183133.550000000745058
20130114,1488388.360000000102445,1463256.519999999785796,1463236.600000000093132,1497683.000000000000000,1433511.879999999888241,1469549.630000000121072,1374359.080000000074506,10189988.070000000298023
20130115,1477446.159999999916181,1459424.979999999981374,1466401.720000000204891,1481441.679999999934807,1438658.629999999888241,1481509.900000000139698,1354352.299999999813735,10159238.369999997317791
20130116,1474041.919999999925494,1463659.839999999850988,1471074.040000000037253,1470038.199999999953434,1427541.650000000139698,1481313.829999999841675,1339508.559999999823049,10127181.040000000968575
20130117,1476959.840000000083819,1470112.959999999962747,1478308.600000000093132,1477294.959999999962747,1434335.360000000102445,1488176.280000000027940,1359515.339999999850988,10184706.339999999850988
20130118,1453616.479999999981374,1476767.739999999990687,1488256.120000000111759,1485242.839999999850988,1439893.850000000093132,1496215.150000000139698,1372745.629999999888241,10212740.809999998658895
20130122,1444376.399999999906868,1465878.099999999860302,1497148.600000000093132,1492845.160000000149012,1440099.720000000204891,1528370.630000000121072,1385653.229999999748543,10254374.840000001713634
20130123,1432947.879999999888241,1469104.659999999683350,1499560.120000000111759,1479713.879999999888241,1455334.100000000093132,1522292.459999999962747,1380812.879999999888241,10239768.980000000447035
20130124,1441944.800000000046566,1474146.159999999683350,1502273.080000000074506,1485933.959999999962747,1449775.610000000102445,1531115.610000000102445,1374359.080000000074506,10259551.300000000745058
20130125,1446808.000000000000000,1490682.279999999795109,1516139.320000000065193,1501829.719999999972060,1508036.820000000065193,1536213.429999999934807,1376940.599999999860302,10376653.169999999925494
20130128,1436352.120000000111759,1484632.479999999981374,1517043.640000000130385,1483515.040000000037253,1518742.060000000055879,1516606.429999999934807,1380167.500000000000000,10337062.269999999552965
20130129,1445592.199999999953434,1500563.619999999646097,1534527.160000000149012,1508740.919999999925494,1544064.070000000065193,1525625.650000000139698,1403723.869999999878928,10462840.489999998360872
20130130,1442674.280000000027940,1494110.500000000000000,1519304.439999999944121,1503211.959999999962747,1545711.030000000027940,1521116.040000000037253,1407273.459999999962747,10433404.710000000894070
20130131,1430029.959999999962747,1490682.279999999795109,1515536.439999999944121,1494572.959999999962747,1547357.989999999990687,1538370.199999999953434,1407273.459999999962747,10423826.289999999105930
20130201,1456777.559999999823049,1495925.439999999944121,1530759.160000000149012,1445503.439999999944121,1563004.110000000102445,1566408.209999999962747,1437929.010000000009313,10496309.929999999701977
20130204,1444619.559999999823049,1494513.819999999832362,1518852.280000000027940,1411638.560000000055879,1549210.820000000065193,1529350.979999999981374,1436638.250000000000000,10384827.270000001415610
20130205,1475014.559999999823049,1505605.119999999646097,1529704.120000000111759,1431681.040000000037253,1558474.970000000204891,1542095.530000000027940,1437929.010000000009313,10480507.349999999627471
20130206,1472582.959999999962747,1520326.299999999813735,1547790.520000000018626,1419932.000000000000000,1567739.120000000111759,1548173.699999999953434,1444060.119999999878928,10520607.719999998807907
20130207,1511002.239999999990687,1513671.519999999785796,1540706.680000000167638,1416821.959999999962747,1567739.120000000111759,1551310.820000000065193,1434702.109999999869615,10535957.449999999254942
20130208,1502734.800000000046566,1522141.239999999990687,1547338.360000000102445,1423042.040000000037253,1559504.320000000065193,1546213.000000000000000,1431152.520000000018626,10532129.280000001192093
20130211,1507111.679999999934807,1520729.619999999646097,1546735.480000000214204,1429953.239999999990687,1560739.540000000037253,1553075.449999999953434,1430184.449999999953434,10548532.459999999031425
20130212,1512461.199999999953434,1528594.359999999869615,1559395.959999999962747,1432372.160000000149012,1564239.330000000074506,1566604.280000000027940,1434056.729999999748543,10597727.019999999552965
20130213,1510029.600000000093132,1525771.119999999646097,1550352.760000000009313,1422005.359999999869615,1576179.790000000037253,1568368.909999999916181,1436638.250000000000000,10589348.789999999105930
20130214,1515865.440000000176951,1528796.019999999785796,1549147.000000000000000,1423387.599999999860302,1580708.930000000167638,1575231.360000000102445,1430507.139999999897555,10603646.490000000223517
20130215,1500060.040000000037253,1535854.119999999646097,1555929.400000000139698,1431335.479999999981374,1575768.050000000279397,1576211.709999999962747,1432765.969999999739230,10607927.769999999552965
20130219,1514406.479999999981374,1551986.919999999692664,1570247.800000000279397,1458980.280000000027940,1593061.129999999888241,1580329.179999999934807,1435992.869999999878928,10705007.659999998286366
20130220,1505409.559999999823049,1545735.459999999962747,1554723.640000000130385,1474184.919999999925494,1586885.030000000027940,1570721.750000000000000,1449545.849999999860302,10687209.209999999031425
20130221,1496412.639999999897555,1550171.979999999981374,1548242.680000000167638,1468655.959999999962747,1586061.550000000279397,1576015.639999999897555,1455999.649999999906868,10681563.100000001490116
20130222,1521458.120000000111759,1537669.059999999823049,1560601.720000000204891,1484897.280000000027940,1585032.199999999953434,1588368.050000000046566,1465034.969999999739230,10743064.400000002235174
20130225,1508084.320000000065193,1523956.179999999701977,1533622.840000000083819,1469347.080000000074506,1563004.110000000102445,1553859.729999999981374,1475361.049999999813735,10627238.309999998658895
20130226,1505652.719999999972060,1527586.059999999823049,1542063.160000000149012,1465891.479999999981374,1566298.030000000027940,1569349.260000000009313,1488268.649999999906868,10665112.360000001266599
20130227,1519756.000000000000000,1539080.679999999701977,1561053.879999999888241,1484897.280000000027940,1580091.320000000065193,1583858.439999999944121,1495690.520000000018626,10764431.119999999180436
20130228,1511245.399999999906868,1534845.819999999832362,1567534.840000000083819,1476603.839999999850988,1568356.730000000214204,1576799.919999999925494,1501498.939999999944121,10736888.490000000223517
20130301,1516594.919999999925494,1546743.759999999776483,1564068.280000000027940,1473148.239999999990687,1574738.699999999953434,1582093.809999999823049,1507630.049999999813735,10765020.760000001639128
20130304,1529239.239999999990687,1556826.759999999776483,1556683.000000000000000,1497683.000000000000000,1578650.230000000214204,1578760.619999999878928,1520214.959999999962747,10818060.809999998658895
20130305,1559147.920000000158325,1566103.119999999646097,1574317.240000000223517,1494572.959999999962747,1586267.419999999925494,1597191.199999999953434,1538930.979999999748543,10916533.839999999850988
20130306,1572035.400000000139698,1560658.299999999813735,1577482.360000000102445,1509432.040000000037253,1589355.470000000204891,1589544.469999999739230,1525700.689999999944121,10924211.729999998584390
20130307,1569846.959999999962747,1567918.059999999823049,1575673.720000000204891,1495264.080000000074506,1583179.370000000111759,1592093.380000000121072,1532154.489999999757856,10916133.060000000521541
20130308,1573251.199999999953434,1576791.099999999860302,1593307.959999999962747,1484897.280000000027940,1588943.730000000214204,1600916.530000000027940,1547643.609999999869615,10965754.410000000149012
20130311,1592704.000000000000000,1581832.599999999860302,1594815.160000000149012,1508740.919999999925494,1592443.520000000018626,1602877.229999999981374,1542803.260000000009313,11016219.689999999478459
20130312,1587597.640000000130385,1584252.519999999785796,1584566.199999999953434,1556428.199999999953434,1588737.860000000102445,1602681.159999999916181,1560551.209999999962747,11064817.789999999105930
20130313,1587840.800000000046566,1584050.859999999869615,1583963.320000000065193,1540878.000000000000000,1581120.669999999925494,1610131.820000000065193,1546998.229999999748543,11034986.700000001117587
20130314,1589786.079999999841675,1595142.159999999683350,1597980.280000000027940,1529820.080000000074506,1593267.000000000000000,1614837.500000000000000,1564423.489999999757856,11085259.589999999850988
20130315,1607050.440000000176951,1596957.099999999860302,1603707.640000000130385,1523600.000000000000000,1571650.650000000139698,1613268.939999999944121,1549579.750000000000000,11065817.519999999552965
20130318,1599512.479999999981374,1589294.019999999785796,1588786.360000000102445,1507704.239999999990687,1567944.989999999990687,1618170.689999999944121,1573136.119999999878928,11044551.900000000372529
20130319,1583707.079999999841675,1590302.319999999832362,1585319.800000000279397,1510123.160000000149012,1587502.640000000130385,1631111.309999999823049,1579589.919999999925494,11067659.230000000447035
20130320,1604862.000000000000000,1602200.259999999776483,1592554.360000000102445,1524636.679999999934807,1597178.530000000027940,1643855.860000000102445,1568295.770000000018626,11133586.459999999031425
20130321,1590515.559999999823049,1593327.219999999972060,1581702.520000000018626,1513233.199999999953434,1589561.339999999850988,1642091.229999999981374,1574749.569999999832362,11085183.640000000596046
20130322,1610211.520000000018626,1608048.399999999674037,1604009.080000000074506,1517034.359999999869615,1590796.560000000055879,1640914.809999999823049,1581848.750000000000000,11152866.480000000447035
20130325,1607293.599999999860302,1606838.439999999944121,1585169.080000000074506,1509777.599999999860302,1578650.230000000214204,1634640.570000000065193,1586366.409999999683350,11108738.929999999701977
