訓練日期,20120712 - 20121011
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11482501.910000000149012
真實報酬,1482501.910000000149012

夏普值報酬,0.139550191000000
夏普值風險,0.040640188468367
夏普值,3.433797830652776

預期報酬,24576.655547643196769
風險,84693.846075744237169
趨勢值,0.290182305874544
找到最佳解世代,2740
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,6
GS[8](3),HD[9](4),PFE[20](11),TRV[22](10),UNH[23](29),WBA[27](16),
Stock#,GS[8](3),HD[9](4),PFE[20](11),TRV[22](10),UNH[23](29),WBA[27](16),
張數,17519,32255,74604,26653,29740,55666,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,83.530000000027940,50.149999999906868,12.639999999897555,53.909999999916181,36.400000000139698,25.959999999962747,
20120712,1647219.909999999916181,1662795.399999999906868,1691285.320000000065193,1658936.629999999888241,1622948.200000000186265,1675572.560000000055879,9958762.019999999552965
20120713,1706959.700000000186265,1680213.100000000093132,1701729.879999999888241,1682657.800000000046566,1641684.400000000139698,1702292.239999999757856,10115541.119999999180436
20120716,1711339.450000000186265,1659569.899999999906868,1725603.159999999916181,1667199.059999999823049,1640494.800000000046566,1697838.959999999962747,10102049.329999998211861
20120717,1716595.150000000139698,1636023.749999999767169,1762159.119999999878928,1687455.340000000083819,1662502.400000000139698,1708972.159999999916181,10173711.919999999925494
20120718,1690842.220000000204891,1642152.199999999720603,1765889.320000000065193,1705845.909999999916181,1675885.400000000139698,1724001.979999999981374,10204621.030000001192093
20120719,1664388.530000000027940,1643764.949999999953434,1775587.839999999850988,1697583.479999999748543,1635439.000000000232831,1927182.879999999888241,10343950.679999999701977
20120720,1649672.570000000065193,1635378.649999999906868,1768127.439999999944121,1671463.540000000037253,1647929.800000000046566,1926069.560000000055879,10298645.560000000521541
20120723,1632153.570000000065193,1643764.949999999953434,1760667.040000000037253,1645610.129999999888241,1621163.800000000046566,1888216.680000000167638,10191580.169999999925494
20120724,1655103.459999999962747,1650538.500000000000000,1744254.159999999916181,1622955.079999999841675,1632762.400000000139698,1898793.219999999972060,10204410.820000000298023
20120725,1681206.770000000018626,1647313.000000000000000,1740523.959999999729916,1625353.849999999860302,1560791.600000000093132,1928852.859999999869615,10184046.039999999105930
20120726,1717996.670000000158325,1706662.199999999720603,1752460.599999999860302,1642145.239999999990687,1546813.800000000046566,1946665.979999999981374,10312748.490000000223517
20120727,1780714.689999999944121,1732466.199999999953434,1777825.959999999729916,1671730.069999999832362,1586368.000000000232831,1988415.479999999981374,10537524.400000000372529
20120730,1767400.250000000000000,1717628.899999999906868,1768873.479999999981374,1684790.040000000037253,1583988.800000000046566,2019031.780000000027940,10541717.250000000000000
20120731,1767750.630000000121072,1683116.049999999813735,1793492.799999999813735,1669864.359999999869615,1519453.000000000232831,2024041.719999999972060,10457722.560000000521541
20120801,1753560.239999999990687,1666988.549999999813735,1786032.399999999906868,1688521.459999999962747,1523021.800000000279397,2019031.780000000027940,10437160.229999998584390
20120802,1713616.920000000158325,1657634.599999999860302,1784540.320000000065193,1675728.019999999785796,1519750.400000000139698,1990085.459999999962747,10341359.719999998807907
20120803,1769152.150000000139698,1686664.099999999860302,1811397.760000000009313,1698116.540000000037253,1534917.800000000046566,1992868.759999999776483,10493121.109999999403954
20120806,1787371.909999999916181,1677310.149999999906868,1809905.679999999934807,1693052.469999999972060,1516776.400000000139698,1992312.099999999860302,10476732.709999999031425
20120807,1808745.089999999850988,1690212.149999999906868,1771111.599999999860302,1689054.519999999785796,1562576.000000000000000,2005671.939999999944121,10527375.299999998882413
20120808,1795781.030000000027940,1702791.599999999860302,1777825.959999999729916,1700781.840000000083819,1568226.600000000093132,2017361.800000000046566,10562772.830000000074506
20120809,1815051.929999999934807,1714403.399999999906868,1780810.119999999878928,1702914.079999999841675,1547111.200000000186265,2009011.900000000139698,10569306.630000000819564
20120810,1804890.909999999916181,1711500.449999999953434,1786032.399999999906868,1705312.849999999860302,1543542.400000000139698,2013465.180000000167638,10564748.189999999478459
20120813,1815227.120000000111759,1703759.250000000000000,1769619.519999999785796,1698649.599999999860302,1543542.400000000139698,2002331.979999999981374,10533133.869999999180436
20120814,1809095.470000000204891,1764721.199999999953434,1789016.559999999823049,1693585.529999999795109,1545624.200000000186265,1987858.820000000065193,10589905.780000001192093
20120815,1806818.000000000000000,1774075.149999999906868,1793492.799999999813735,1699182.659999999916181,1570903.200000000186265,1979508.920000000158325,10623984.729999998584390
20120816,1813124.839999999850988,1816329.199999999953434,1792000.719999999972060,1706645.500000000000000,1587855.000000000232831,1977282.280000000027940,10693241.539999999105930
20120817,1815051.929999999934807,1829876.299999999813735,1774841.799999999813735,1735963.799999999813735,1580122.600000000325963,1995095.400000000139698,10730955.830000000074506
20120820,1844483.850000000093132,1824715.500000000000000,1783794.279999999795109,1749556.829999999841675,1582204.400000000139698,2005671.939999999944121,10790430.799999998882413
20120821,1845184.609999999869615,1816651.750000000000000,1767381.399999999906868,1738629.100000000093132,1588747.200000000186265,1984518.859999999869615,10741116.919999998062849
20120822,1833797.260000000009313,1826973.349999999860302,1768127.439999999944121,1744492.760000000009313,1605104.200000000186265,1978952.259999999776483,10757451.269999999552965
20120823,1823461.050000000046566,1824070.399999999906868,1771111.599999999860302,1727168.309999999823049,1603617.200000000186265,1985075.519999999785796,10734508.079999998211861
20120824,1838877.770000000018626,1837294.949999999953434,1791254.679999999934807,1743160.110000000102445,1610754.800000000046566,1984518.859999999869615,10805865.169999999925494
20120827,1841680.810000000055879,1827941.000000000000000,1782302.199999999953434,1737296.450000000186265,1624137.800000000046566,1981735.560000000055879,10795097.820000000298023
