訓練日期,20100106 - 20100409
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10899653.370000001043081
真實報酬,899653.370000001043081

夏普值報酬,0.081265337000000
夏普值風險,0.031237438731511
夏普值,2.601536499150436

預期報酬,15705.577974163248655
風險,93636.032100500480738
趨勢值,0.167730067388015
找到最佳解世代,2209
找到最佳解實驗#,2
找到最佳解次數,18

stock[index](rank)
投資組合檔數,2
MCD[15](1),TRV[22](2),
Stock#,MCD[15](1),TRV[22](2),
張數,80256,102817,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,51.200000000186265,9.290000000037253,
20100106,4931782.400000000372529,4929056.269999999552965,9860838.669999999925494
20100107,4967897.599999999627471,5000000.000000000000000,9967897.599999999627471
20100108,4963082.240000000223517,4992802.810000000521541,9955885.050000000745058
20100111,5001605.120000000111759,4990746.469999999739230,9992351.589999999850988
20100112,5028892.160000000149012,5022619.740000000223517,10051511.900000000372529
20100113,5023274.240000000223517,5040098.630000000819564,10063372.870000001043081
20100114,5028089.599999999627471,5066831.049999999813735,10094920.649999998509884
20100115,4998394.879999999888241,5016450.719999999739230,10014845.599999999627471
20100119,5094702.080000000074506,5082253.599999999627471,10176955.679999999701977
20100120,5056981.759999999776483,5030845.099999999627471,10087826.859999999403954
20100121,5072230.400000000372529,5032901.440000000409782,10105131.839999999850988
20100122,5087479.040000000037253,4967098.560000000521541,10054577.600000001490116
20100125,5063402.240000000223517,5026732.419999999925494,10090134.660000000149012
20100126,5121186.560000000521541,5164507.199999999254942,10285693.759999999776483
20100127,5114766.080000000074506,5233394.589999999850988,10348160.669999999925494
20100128,5042535.679999999701977,5168619.880000000819564,10211155.560000000521541
20100129,5010433.280000000260770,5209746.680000000633299,10220179.960000000894070
20100201,5127607.040000000037253,5211803.019999999552965,10339410.059999998658895
20100202,5138842.879999999888241,5252929.820000000298023,10391772.699999999254942
20100203,5233544.959999999962747,5199464.980000000447035,10433009.940000001341105
20100204,5141250.560000000521541,5113098.699999999254942,10254349.259999999776483
20100205,5085873.919999999925494,5169648.049999999813735,10255521.969999998807907
20100208,5049758.720000000670552,5043183.139999999664724,10092941.859999999403954
20100209,5101925.120000000111759,5096647.980000000447035,10198573.100000001490116
20100210,5076243.200000000186265,5108986.019999999552965,10185229.219999998807907
20100211,5119581.440000000409782,5161422.690000000409782,10281004.130000000819564
20100212,5103530.240000000223517,5187126.940000000409782,10290657.179999999701977
20100216,5137237.760000000707805,5306394.660000000149012,10443632.420000001788139
20100217,5157301.760000000707805,5320789.040000000037253,10478090.800000000745058
20100218,5174958.080000000074506,5422577.870000000111759,10597535.949999999254942
20100219,5195824.639999999664724,5436972.250000000000000,10632796.890000000596046
20100222,5198232.320000000298023,5453422.969999999739230,10651655.289999999105930
20100223,5206257.920000000856817,5383507.410000000149012,10589765.330000001937151
20100224,5237557.760000000707805,5427718.719999999739230,10665276.480000000447035
20100225,5166932.479999999515712,5423606.040000000037253,10590538.519999999552965
20100226,5124396.800000000745058,5407155.320000000298023,10531552.120000001043081
20100301,5134830.080000000074506,5457535.649999999441206,10592365.730000000447035
20100302,5142053.119999999180436,5479127.219999999739230,10621180.339999999850988
20100303,5106740.480000000447035,5461648.330000000074506,10568388.810000000521541
20100304,5090689.280000000260770,5505859.639999999664724,10596548.919999999925494
20100305,5109950.720000000670552,5545958.269999999552965,10655908.990000000223517
20100308,5226321.920000000856817,5531563.889999999664724,10757885.810000000521541
20100309,5224716.799999999813735,5507915.980000000447035,10732632.780000001192093
20100310,5211875.839999999850988,5438000.419999999925494,10649876.259999999776483
20100311,5233544.959999999962747,5513056.830000000074506,10746601.789999999105930
20100312,5259226.879999999888241,5465761.009999999776483,10724987.890000000596046
20100315,5291329.280000001192093,5421549.699999999254942,10712878.980000000447035
20100316,5302565.119999999180436,5433887.740000000223517,10736452.859999999403954
20100317,5327444.479999999515712,5448282.120000000111759,10775726.599999999627471
20100318,5351521.280000001192093,5488380.750000000000000,10839902.030000001192093
20100319,5339482.879999999888241,5496606.110000000335276,10836088.990000000223517
20100322,5378005.760000000707805,5489408.919999999925494,10867414.679999999701977
20100323,5405292.799999999813735,5541845.589999999850988,10947138.390000000596046
20100324,5361152.000000000000000,5558296.310000000521541,10919448.310000000521541
20100325,5369177.600000000558794,5560352.649999999441206,10929530.250000000000000
20100326,5398069.760000000707805,5588113.240000000223517,10986183.000000000000000
20100329,5382821.119999999180436,5630268.209999999962747,11013089.329999998211861
20100330,5396464.639999999664724,5544930.099999999627471,10941394.739999998360872
20100331,5354731.520000000484288,5545958.269999999552965,10900689.789999999105930
20100401,5423751.679999999701977,5543901.930000000633299,10967653.609999999403954
20100405,5459866.879999999888241,5483239.899999999441206,10943106.779999999329448
20100406,5442210.560000000521541,5407155.320000000298023,10849365.880000000819564
20100407,5433382.400000000372529,5397901.790000000037253,10831284.190000001341105
20100408,5518453.760000000707805,5373225.709999999962747,10891679.470000000670552
20100409,5512033.280000001192093,5387620.089999999850988,10899653.370000001043081
