訓練日期,20160216 - 20160517
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11018702.269999999552965
真實報酬,1018702.269999999552965

夏普值報酬,0.093170227000000
夏普值風險,0.031014413036128
夏普值,3.004094479926703

預期報酬,17492.996716809906502
風險,51088.011899051176442
趨勢值,0.342409032306360
找到最佳解世代,2462
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](5),XOM[29](6),
Stock#,JNJ[12](1),MCD[15](5),XOM[29](6),
張數,32737,28265,41137,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,51.660000000149012,41.549999999813735,1.890000000130385,
20160216,3349701.500000000000000,3368664.250000000000000,3341149.030000000260770,10059515.780000001192093
20160217,3355594.160000000149012,3353401.149999999906868,3373235.890000000130385,10082232.200000001117587
20160218,3412556.540000000037253,3311851.600000000093132,3391747.540000000037253,10116156.679999999701977
20160219,3409937.580000000074506,3293762.000000000000000,3393804.390000000130385,10097504.970000000670552
20160222,3429252.410000000149012,3325984.100000000093132,3389279.320000000298023,10144516.830000000074506
20160223,3407318.620000000111759,3304220.049999999813735,3341560.400000000372529,10053100.070000000298023
20160224,3436127.180000000167638,3308742.449999999720603,3353490.129999999888241,10098360.759999999776483
20160225,3482613.720000000204891,3345769.600000000093132,3373647.260000000242144,10202031.580000000074506
20160226,3462971.520000000018626,3308742.449999999720603,3362951.640000000130385,10134666.609999999403954
20160229,3444311.430000000167638,3312416.899999999906868,3297132.440000000409782,10053861.769999999552965
20160301,3510112.800000000279397,3359336.799999999813735,3343617.250000000000000,10213067.849999999627471
20160302,3504220.140000000130385,3348878.750000000000000,3402031.790000000037253,10255131.679999999701977
20160303,3491452.710000000428408,3298284.399999999906868,3389690.690000000409782,10179428.800000000745058
20160304,3486542.160000000149012,3312134.250000000000000,3385165.620000000577420,10183843.030000001192093
20160307,3494399.040000000037253,3311286.299999999813735,3474432.909999999683350,10280119.250000000000000
20160308,3477375.800000000279397,3347182.850000000093132,3399152.199999999720603,10223711.849999999627471
20160309,3497672.740000000223517,3381666.149999999906868,3389690.690000000409782,10269030.580000001937151
20160310,3507493.840000000316650,3391276.250000000000000,3380640.550000000279397,10279411.640000000596046
20160311,3526153.930000000167638,3435652.299999999813735,3381051.919999999925494,10342859.150000000372529
20160314,3524517.080000000074506,3473810.049999999813735,3390102.060000000055879,10388430.189999999478459
20160315,3527790.780000000260770,3488790.500000000000000,3406968.229999999981374,10423550.509999999776483
20160316,3516332.830000000074506,3491334.349999999627471,3409025.080000000540167,10416693.259999999776483
20160317,3494399.040000000037253,3481158.949999999720603,3459623.589999999850988,10435182.580000000074506
20160318,3519279.160000000149012,3507162.749999999534339,3463737.290000000037253,10490180.199999999254942
20160321,3512077.020000000018626,3499531.199999999720603,3439877.830000000540167,10451487.050000000745058
20160322,3515350.720000000204891,3499813.849999999627471,3460446.330000000540167,10475611.900000000372529
20160323,3552016.160000000149012,3510271.899999999906868,3445225.640000000130385,10507514.700000001117587
20160324,3545796.130000000353903,3484833.399999999906868,3454687.150000000372529,10485317.679999999701977
20160328,3543177.170000000391155,3481441.600000000093132,3464560.030000000260770,10489179.800000000745058
20160329,3572967.840000000316650,3504053.599999999627471,3477312.500000000000000,10554334.939999999478459
20160330,3567729.920000000391155,3556626.499999999534339,3476901.129999999888241,10601258.550000000745058
20160331,3542195.060000000055879,3552386.750000000000000,3438643.720000000204891,10533226.530000001192093
20160401,3574604.689999999944121,3590261.849999999627471,3412727.409999999683350,10577594.949999999254942
20160404,3554962.490000000223517,3605807.599999999627471,3420954.810000000055879,10581725.900000000372529
20160405,3566747.810000000055879,3600437.249999999534339,3381874.659999999683350,10549060.719999998807907
20160406,3582134.200000000186265,3604394.349999999627471,3427125.360000000335276,10613654.910000000149012
20160407,3577223.649999999906868,3621918.649999999441206,3388456.580000000540167,10587599.879999998956919
20160408,3571658.359999999869615,3616830.949999999720603,3423011.659999999683350,10611501.969999998807907
20160411,3567402.550000000279397,3605524.949999999720603,3427536.729999999981374,10600465.230000000447035
20160412,3588026.859999999869615,3606938.199999999720603,3469907.839999999850988,10664873.899999998509884
20160413,3596865.850000000093132,3586587.399999999906868,3489653.600000000093132,10673107.849999999627471
20160414,3595883.740000000223517,3604111.700000000186265,3514335.800000000279397,10714332.240000000223517
20160415,3607014.320000000298023,3611743.250000000000000,3495412.780000000260770,10714171.350000001490116
20160418,3631567.070000000298023,3641986.799999999813735,3528733.750000000000000,10802288.620000001043081
20160419,3688856.820000000298023,3642269.450000000186265,3546422.659999999683350,10877549.929999999701977
20160420,3718320.120000000111759,3633507.300000000279397,3570693.490000000223517,10922521.910000000149012
20160421,3717992.750000000000000,3555495.899999999906868,3570282.120000000577420,10843771.770000001415610
20160422,3709808.500000000000000,3547299.049999999813735,3600723.500000000000000,10857832.050000000745058
20160425,3716028.530000000260770,3602698.449999999720603,3592496.100000000093132,10911224.080000000074506
20160426,3696386.330000000074506,3609764.699999999720603,3604837.199999999720603,10910989.229999998584390
20160427,3691803.149999999906868,3626441.050000000279397,3638980.909999999683350,10957226.109999999403954
20160428,3682309.420000000391155,3615700.350000000093132,3621292.000000000000000,10919302.769999999552965
20160429,3669214.620000000111759,3575281.399999999441206,3636512.690000000409782,10881009.710000000894070
20160502,3691148.410000000149012,3623614.549999999348074,3666542.699999999720603,10981306.659999998286366
20160503,3689184.189999999944121,3629267.549999999813735,3624582.959999999962747,10943035.699999999254942
20160504,3673797.800000000279397,3655554.000000000000000,3617589.669999999925494,10946942.470000000670552
20160505,3695404.220000000204891,3654140.750000000000000,3621703.370000000577420,10971249.340000001713634
20160506,3690821.040000000037253,3690885.250000000000000,3641037.760000000242144,11022745.050000000745058
20160509,3722903.300000000279397,3697951.500000000000000,3643505.979999999981374,11064361.780000001192093
20160510,3754003.450000000186265,3719715.549999999813735,3701920.520000000018626,11175640.519999999552965
20160511,3744182.350000000093132,3650183.649999999441206,3653378.860000000335276,11047745.859999999403954
20160512,3739599.170000000391155,3677883.350000000093132,3688756.680000000167638,11106240.200000001117587
20160513,3717665.380000000353903,3641421.500000000000000,3647208.310000000055879,11006296.190000001341105
20160516,3746473.939999999944121,3664316.149999999441206,3684642.979999999981374,11095434.070000000298023
20160517,3726504.370000000111759,3609199.399999999906868,3682997.500000000000000,11018702.269999999552965
