訓練日期,20170519 - 20170821
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11139272.070000000298023
真實報酬,1139272.070000000298023

夏普值報酬,0.105227207000000
夏普值風險,0.034340549103179
夏普值,3.064226104359478

預期報酬,20185.378619868701207
風險,66270.418681359311449
趨勢值,0.304591083344800
找到最佳解世代,2034
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](24),AXP[1](3),BA[2](1),JNJ[12](12),JPM[13](7),MCD[15](6),
Stock#,AAPL[0](24),AXP[1](3),BA[2](1),JNJ[12](12),JPM[13](7),MCD[15](6),
張數,10926,21820,9394,13126,19850,11337,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,13.960000000195578,54.400000000139698,170.399999999906868,57.780000000027940,60.000000000232831,13.630000000121072,
20170519,1672347.520000000251457,1675830.400000000139698,1698229.839999999850988,1667059.780000000027940,1682943.000000000232831,1679590.180000000167638,10076004.720000000670552
20170522,1682508.700000000186265,1679758.000000000232831,1725566.379999999888241,1670472.540000000037253,1681355.000000000232831,1680043.660000000149012,10119708.280000001192093
20170523,1680432.760000000242144,1684558.400000000139698,1723875.459999999962747,1673885.300000000046566,1702396.000000000232831,1675848.969999999972060,10141000.890000000596046
20170524,1675406.800000000279397,1682812.800000000279397,1740408.899999999906868,1673754.040000000037253,1701403.500000000000000,1694895.130000000121072,10168685.169999999925494
20170525,1681197.580000000307336,1689795.200000000186265,1757505.979999999748543,1674016.560000000055879,1694257.500000000232831,1698069.490000000223517,10194846.310000000521541
20170526,1678356.820000000298023,1690231.600000000093132,1752996.859999999869615,1666009.699999999953434,1694456.000000000232831,1698976.450000000186265,10181031.429999999701977
20170530,1679012.380000000121072,1682158.200000000186265,1755721.119999999878928,1668503.640000000130385,1665475.000000000232831,1699770.040000000270084,10150644.380000000819564
20170531,1669069.720000000204891,1678885.200000000186265,1762766.619999999878928,1683467.280000000027940,1630737.500000000232831,1710653.560000000055879,10135583.880000000819564
20170601,1673658.640000000363216,1708124.000000000232831,1759854.479999999748543,1690424.060000000055879,1648801.000000000232831,1727659.060000000055879,10208525.240000000223517
20170602,1698460.660000000149012,1712706.199999999953434,1787191.019999999785796,1707487.860000000102445,1640464.000000000232831,1742964.010000000242144,10289277.750000000000000
20170605,1681853.140000000363216,1723179.800000000046566,1775166.699999999720603,1711163.140000000130385,1643441.500000000465661,1732193.860000000102445,10267002.140000000596046
