訓練日期,20091029 - 20100202
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12870377.310000000521541
真實報酬,2870377.310000000521541

夏普值報酬,0.278337731000000
夏普值風險,0.067442455345406
夏普值,4.127040297902796

預期報酬,47203.202813537616748
風險,271672.390206122712698
趨勢值,0.173750460169043
找到最佳解世代,1871
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),MRK[17](3),UNH[23](2),
Stock#,BA[2](1),MRK[17](3),UNH[23](2),
張數,70591,104004,128799,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,25.979999999981374,4.800000000279397,14.880000000353903,
20091029,3445572.689999999944121,3256370.040000000037253,3409324.410000000149012,10111268.140000000596046
20091030,3374275.779999999795109,3216848.520000000018626,3342348.930000000167638,9933474.230000000447035
20091102,3407453.550000000279397,3251169.840000000316650,3402884.460000000428408,10061508.850000001490116
20091103,3395453.080000000074506,3189807.480000000447035,3465995.970000000204891,10051257.530000001192093
20091104,3393335.350000000093132,3394695.360000000335276,3589643.010000000707805,10377674.720000002533197
20091105,3513340.050000000279397,3401975.640000000596046,3633434.670000000391155,10548751.360000001266599
20091106,3506986.859999999869615,3389495.160000000614673,3692682.210000000428408,10589165.230000000447035
20091109,3624873.830000000074506,3476858.520000000018626,3751929.750000000000000,10853663.099999999627471
20091110,3552165.100000000093132,3495579.240000000223517,3731321.910000000149012,10779067.250000000000000
20091111,3577577.859999999869615,3455017.680000000167638,3782841.510000000707805,10815438.050000000745058
20091112,3549341.459999999962747,3430056.719999999739230,3704274.120000000577420,10683673.300000000745058
20091113,3577577.859999999869615,3442537.200000000651926,3745489.800000000279397,10765605.860000001266599
20091116,3704641.659999999683350,3516380.040000000502914,3754505.729999999981374,10975528.429999999701977
20091117,3708171.209999999962747,3566301.959999999962747,3731321.910000000149012,11005796.080000000074506
20091118,3672169.800000000279397,3654705.360000000335276,3718442.010000000707805,11045318.170000001788139
20091119,3630521.109999999869615,3674466.120000000111759,3687530.250000000000000,10992518.480000000447035
20091120,3649580.680000000167638,3791990.640000000596046,3678514.320000000298023,11120086.640000000596046
20091123,3715230.310000000055879,3787830.480000000447035,3745489.800000000279397,11248551.590000001713634
20091124,3668640.250000000000000,3767029.680000000167638,3807313.320000000298023,11242984.250000000000000
20091125,3736407.609999999869615,3803431.080000000540167,3804737.340000000316650,11344577.030000001192093
20091127,3702523.930000000167638,3774309.959999999962747,3791857.440000000409782,11268692.330000001937151
20091130,3699700.289999999571592,3765989.640000000596046,3692682.210000000428408,11158373.140000000596046
20091201,3792174.500000000000000,3835672.320000000763685,3696546.180000000167638,11324394.000000000000000
