訓練日期,20140915 - 20141215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11359355.289999999105930
真實報酬,1359355.289999999105930

夏普值報酬,0.127235529000000
夏普值風險,0.046988565078570
夏普值,2.707797711789008

預期報酬,26075.543566540312895
風險,166649.202229891699972
趨勢值,0.156469657325867
找到最佳解世代,2793
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),NKE[19](1),TRV[22](3),
Stock#,HD[9](2),NKE[19](1),TRV[22](3),
張數,37520,81459,36067,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,56.199999999720603,30.719999999739230,20.859999999869615,
20140915,3353593.799999999348074,3324372.509999999776483,3374088.709999999962747,10052056.019999999552965
20140916,3386986.599999999627471,3307266.119999999646097,3377334.739999999757856,10071588.459999999031425
20140917,3422630.599999999627471,3320299.559999999590218,3377695.410000000149012,10120626.570000000298023
20140918,3455273.000000000000000,3339035.129999999888241,3418451.120000000111759,10212760.250000000000000
20140919,3464653.000000000000000,3332518.409999999683350,3412319.729999999981374,10209492.140000000596046
20140922,3447768.999999999534339,3286901.369999999646097,3411959.059999999590218,10146630.429999999701977
20140923,3432760.999999999534339,3263278.259999999776483,3374088.709999999962747,10070128.969999998807907
20140924,3490166.599999999627471,3292603.500000000000000,3418811.790000000037253,10201582.890000000596046
20140925,3448144.199999999720603,3248615.640000000130385,3379498.759999999776483,10076259.599999999627471
20140926,3483413.000000000000000,3645320.969999999739230,3404745.660000000149012,10533480.629999998956919
20140929,3484913.799999999348074,3629843.759999999776483,3382023.449999999720603,10496782.009999997913837
20140930,3442140.999999999534339,3633102.119999999646097,3388154.839999999850988,10463398.959999999031425
20141001,3415126.599999999627471,3572007.869999999646097,3357858.559999999590218,10344994.029999997466803
20141002,3460900.999999999534339,3637175.069999999832362,3356776.549999999813735,10454853.619999999180436
20141003,3509677.000000000000000,3677904.569999999832362,3406909.679999999701977,10594492.250000000000000
20141006,3499171.399999999906868,3633916.709999999497086,3415565.759999999776483,10548654.869999999180436
20141007,3469530.599999999627471,3587485.079999999608845,3378056.079999999608845,10435072.759999999776483
20141008,3530313.000000000000000,3618439.500000000000000,3406549.009999999776483,10555302.509999999776483
20141009,3492042.599999999627471,3553272.299999999348074,3386351.489999999757856,10431667.389999998733401
20141010,3472532.199999999720603,3551643.119999999646097,3391761.540000000037253,10415937.859999999403954
20141013,3399368.199999999720603,3478330.020000000018626,3373006.699999999720603,10250705.919999999925494
20141014,3380608.199999999720603,3466111.169999999459833,3378777.419999999925494,10225497.789999999105930
20141015,3296188.199999999720603,3469369.529999999795109,3317824.189999999478459,10083382.919999998062849
20141016,3334833.799999999348074,3545126.399999999906868,3311332.129999999888241,10191293.329999998211861
20141017,3385860.999999999534339,3550828.529999999795109,3362907.939999999478459,10299598.469999998807907
20141020,3446268.199999999720603,3620883.270000000018626,3361465.259999999776483,10428617.730000000447035
20141021,3534440.199999999720603,3691752.599999999627471,3398974.939999999478459,10625168.739999998360872
20141022,3502173.000000000000000,3659983.589999999850988,3447304.719999999739230,10609462.309999998658895
20141023,3556952.199999999720603,3681162.929999999701977,3490224.449999999720603,10728340.579999998211861
20141024,3564080.999999999534339,3702342.270000000018626,3524848.770000000018626,10791273.039999999105930
20141027,3582090.599999999627471,3732482.099999999627471,3565965.149999999906868,10880538.849999999627471
20141028,3624113.000000000000000,3765880.289999999571592,3596982.770000000018626,10986977.059999998658895
20141029,3617734.599999999627471,3745515.539999999571592,3585802.000000000000000,10949053.139999998733401
20141030,3659006.599999999627471,3787874.219999999739230,3606720.859999999869615,11053602.679999999701977
20141031,3659006.599999999627471,3787059.629999999888241,3635574.459999999962747,11081641.689999999478459
20141103,3605353.000000000000000,3806609.789999999571592,3604917.509999999776483,11016881.299999998882413
20141104,3600475.399999999441206,3826974.539999999571592,3647476.569999999832362,11074927.509999999776483
20141105,3593721.799999999813735,3856299.779999999795109,3660460.689999999478459,11110483.269999999552965
20141106,3650377.000000000000000,3853041.419999999459833,3675608.829999999608845,11179028.250000000000000
20141107,3663884.199999999720603,3819643.229999999981374,3692199.649999999906868,11175728.080000000074506
20141110,3683019.399999999441206,3867704.039999999571592,3714561.189999999478459,11265285.629999998956919
20141111,3682268.999999999534339,3864445.679999999701977,3712757.839999999850988,11259473.519999999552965
20141112,3695400.999999999534339,3902731.409999999683350,3717085.879999999888241,11315219.289999999105930
20141113,3714536.199999999720603,3914950.259999999776483,3723217.270000000018626,11352704.729999998584390
20141114,3686020.999999999534339,3889697.969999999739230,3694363.669999999925494,11270083.639999998733401
20141117,3678141.799999999813735,3912506.489999999757856,3705905.109999999869615,11296554.399999998509884
20141118,3601225.799999999813735,3929612.879999999888241,3709511.809999999590218,11240351.489999998360872
20141119,3628240.199999999720603,3949163.039999999571592,3716003.870000000111759,11293408.109999999403954
20141120,3660882.599999999627471,3963011.069999999832362,3731512.679999999701977,11355407.349999999627471
20141121,3687521.799999999813735,3967898.609999999869615,3744136.129999999888241,11399557.539999999105930
20141124,3692024.199999999720603,3989892.539999999571592,3743414.790000000037253,11425332.529999999329448
20141125,3639871.399999999906868,3963011.069999999832362,3730430.669999999925494,11333314.140000000596046
20141126,3665760.199999999720603,3983375.819999999832362,3764333.649999999906868,11413470.669999999925494
20141128,3729544.199999999720603,4044470.069999999832362,3767219.009999999776483,11541234.279999999329448
20141201,3710033.799999999348074,3979302.869999999646097,3766858.339999999850988,11456196.009999997913837
20141202,3683019.399999999441206,3993150.899999999906868,3765415.660000000149012,11441586.959999999031425
20141203,3699153.000000000000000,4011886.469999999739230,3793908.589999999850988,11504949.059999998658895
20141204,3712660.199999999720603,4034694.989999999757856,3790662.559999999590218,11538018.750000000000000
20141205,3738548.999999999534339,4046099.250000000000000,3794269.259999999776483,11578918.509999999776483
20141208,3768189.799999999813735,3980117.459999999497086,3817352.140000000130385,11565660.400000000372529
20141209,3738548.999999999534339,3952421.399999999906868,3787777.199999999720603,11478748.599999999627471
20141210,3712284.999999999534339,3977673.689999999478459,3760366.280000000260770,11450325.969999998807907
20141211,3762186.599999999627471,3948348.449999999720603,3771547.049999999813735,11482083.099999997764826
20141212,3743801.799999999813735,3917394.029999999795109,3720692.579999999608845,11381889.410000000149012
20141215,3753932.199999999720603,3887254.199999999720603,3718167.890000000130385,11359355.289999999105930
