訓練日期,20100930 - 20101231
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11534715.150000000372529
真實報酬,1534715.150000000372529

夏普值報酬,0.144771515000000
夏普值風險,0.043900330568859
夏普值,3.297731773862643

預期報酬,25631.941061549146980
風險,89378.208703317475738
趨勢值,0.286780653063119
找到最佳解世代,2475
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](16),DIS[6](5),KO[14](1),XOM[29](2),
Stock#,CAT[3](16),DIS[6](5),KO[14](1),XOM[29](2),
張數,31253,75734,85091,40591,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,72.530000000260770,20.660000000149012,26.419999999925494,0.310000000055879,
20100930,2459058.570000000298023,2506816.060000000055879,2489789.080000000074506,2508118.200000000186265,9963781.910000000149012
20101001,2444682.190000000409782,2524992.220000000204891,2515316.379999999888241,2538561.450000000186265,10023552.240000000223517
20101004,2414991.840000000316650,2509845.420000000391155,2505105.459999999962747,2524354.600000000093132,9954297.320000000298023
20101005,2481560.730000000447035,2562101.879999999888241,2538290.949999999720603,2567786.970000000204891,10149740.530000001192093
20101006,2464684.110000000335276,2540896.359999999869615,2542545.500000000000000,2586458.830000000074506,10134584.800000000745058
20101007,2460933.750000000000000,2568160.600000000093132,2528930.939999999944121,2591735.660000000149012,10149760.949999999254942
20101008,2511876.140000000596046,2613601.000000000000000,2528080.029999999795109,2613248.889999999664724,10266806.059999998658895
20101011,2499687.470000000204891,2618145.040000000037253,2534036.399999999906868,2620149.359999999869615,10272018.269999999552965
20101012,2479685.550000000279397,2611328.979999999981374,2535738.220000000204891,2626238.010000000242144,10252990.759999999776483
20101013,2509375.900000000372529,2643894.600000000093132,2550203.689999999944121,2640038.950000000186265,10343513.140000000596046
20101014,2497499.760000000242144,2639350.560000000055879,2549352.779999999795109,2650592.609999999869615,10336795.709999999031425
20101015,2492499.280000000260770,2641622.580000000540167,2550203.689999999944121,2646127.600000000093132,10330453.150000000372529
20101018,2507813.250000000000000,2631777.160000000149012,2552756.419999999925494,2690371.790000000037253,10382718.620000001043081
20101019,2454995.680000000167638,2593152.820000000298023,2567221.890000000130385,2643286.230000000447035,10258656.620000001043081
20101020,2510313.490000000223517,2621931.739999999757856,2602109.199999999720603,2679412.220000000204891,10413766.650000000372529
20101021,2465621.700000000186265,2626475.780000000260770,2615723.759999999776483,2691995.429999999701977,10399816.669999999925494
20101022,2448120.020000000018626,2648438.640000000130385,2621680.129999999888241,2692807.250000000000000,10411046.039999999105930
20101025,2470622.180000000167638,2685548.300000000279397,2596152.830000000074506,2687124.510000000242144,10439447.820000000298023
20101026,2458120.980000000447035,2723415.300000000279397,2605512.839999999850988,2700519.540000000037253,10487568.660000000149012
20101027,2444682.190000000409782,2720385.940000000409782,2603811.020000000018626,2665611.280000000260770,10434490.429999999701977
20101028,2429680.750000000000000,2765069.000000000000000,2604661.929999999701977,2687936.330000000074506,10487348.009999999776483
20101029,2456558.330000000074506,2736290.080000000540167,2608916.479999999981374,2698895.899999999906868,10500660.790000000968575
20101101,2477497.840000000316650,2728716.680000000167638,2625934.679999999701977,2717567.760000000242144,10549716.960000000894070
20101102,2492499.280000000260770,2734775.399999999906868,2631891.049999999813735,2753693.750000000000000,10612859.480000000447035
20101103,2496562.169999999925494,2748407.520000000018626,2636145.600000000093132,2758970.580000000074506,10640085.869999999180436
20101104,2599697.070000000298023,2804450.680000000167638,2657418.350000000093132,2816203.889999999664724,10877769.989999998360872
20101105,2610948.150000000372529,2817325.460000000428408,2662523.810000000055879,2841370.310000000055879,10932167.730000002309680
20101108,2597821.890000000596046,2806722.700000000186265,2657418.350000000093132,2854359.429999999701977,10916322.370000001043081
20101109,2560005.760000000242144,2791575.899999999906868,2665076.540000000037253,2866942.639999999664724,10883600.839999999850988
20101110,2577194.910000000149012,2801421.320000000298023,2661672.899999999906868,2887238.139999999664724,10927527.269999999552965
20101111,2576569.850000000093132,2721143.280000000260770,2671883.819999999832362,2915651.839999999850988,10885248.790000000968575
20101112,2532815.650000000372529,2858979.160000000149012,2676989.279999999795109,2881555.399999999906868,10950339.490000000223517
20101115,2557192.990000000223517,2821112.160000000149012,2678691.100000000093132,2860853.990000000223517,10917850.240000000223517
20101116,2511876.140000000596046,2796119.940000000409782,2641251.060000000055879,2798343.850000000093132,10747590.990000000223517
20101117,2536878.540000000502914,2818840.140000000130385,2659971.080000000074506,2801185.220000000204891,10816874.980000000447035
20101118,2597509.360000000335276,2846104.379999999888241,2716131.140000000130385,2853953.520000000018626,11013698.400000000372529
20101119,2624386.940000000409782,2802936.000000000000000,2736552.979999999515712,2863289.450000000186265,11027165.370000001043081
20101122,2625324.530000000260770,2798391.960000000428408,2734851.160000000149012,2849082.600000000093132,11007650.250000000000000
20101123,2582507.919999999925494,2735532.739999999757856,2706771.129999999888241,2799967.490000000223517,10824779.280000001192093
20101124,2646889.100000000093132,2792333.239999999757856,2749316.629999999888241,2836499.389999999664724,11025038.359999999403954
20101126,2629387.419999999925494,2779458.460000000428408,2728043.879999999888241,2810115.240000000223517,10947005.000000000000000
20101129,2615011.040000000502914,2758252.940000000409782,2697411.119999999646097,2819045.260000000242144,10889720.359999999403954
20101130,2644076.330000000074506,2765069.000000000000000,2688051.109999999869615,2823510.270000000018626,10920706.709999999031425
20101201,2733147.380000000353903,2811266.739999999757856,2752720.270000000018626,2895356.339999999850988,11192490.730000000447035
20101202,2769713.390000000596046,2827928.220000000204891,2761229.370000000111759,2901444.990000000223517,11260315.970000002533197
20101203,2793465.669999999925494,2846861.720000000204891,2744211.169999999925494,2889673.600000000093132,11274212.160000000149012
20101206,2787840.130000000353903,2844589.700000000186265,2722938.419999999925494,2894544.520000000018626,11249912.769999999552965
20101207,2823781.080000000074506,2827170.879999999888241,2728894.790000000037253,2900633.169999999925494,11280479.919999999925494
20101208,2800966.390000000596046,2799906.640000000130385,2739956.620000000111759,2916463.659999999683350,11257293.310000000521541
20101209,2802529.040000000502914,2782487.820000000298023,2758676.640000000130385,2922552.310000000055879,11266245.810000002384186
20101210,2810967.350000000093132,2776429.100000000093132,2751018.449999999720603,2929858.690000000409782,11268273.589999999850988
20101213,2863784.919999999925494,2812024.080000000540167,2758676.640000000130385,2937165.069999999832362,11371650.710000000894070
20101214,2878161.300000000279397,2820354.820000000298023,2718683.869999999646097,2929858.690000000409782,11347058.679999999701977
20101215,2910351.890000000596046,2798391.960000000428408,2754422.089999999850988,2916463.659999999683350,11379629.600000001490116
20101216,2912852.130000000353903,2802936.000000000000000,2779949.390000000130385,2931482.330000000074506,11427219.850000001490116
20101217,2893787.800000000279397,2805965.359999999869615,2795265.770000000018626,2929452.780000000260770,11424471.710000000894070
20101220,2915977.430000000167638,2806722.700000000186265,2779098.479999999515712,2931482.330000000074506,11433280.939999999478459
20101221,2957543.919999999925494,2827170.879999999888241,2785905.760000000242144,2951777.830000000074506,11522398.390000000596046
20101222,2955668.740000000223517,2874125.960000000428408,2791011.219999999739230,2955025.109999999869615,11575831.030000001192093
20101223,2951918.380000000353903,2855192.460000000428408,2790160.310000000055879,2971261.510000000242144,11568532.660000000149012
20101227,2940042.240000000223517,2838530.979999999981374,2768036.649999999906868,2963549.220000000204891,11510159.090000001713634
20101228,2928166.100000000093132,2829442.899999999906868,2780800.299999999813735,2980191.530000000260770,11518600.830000001937151
20101229,2930978.870000000111759,2847619.060000000055879,2785054.849999999627471,2978161.980000000447035,11541814.759999999776483
20101230,2933791.640000000596046,2838530.979999999981374,2786756.669999999925494,2977756.069999999832362,11536835.360000001266599
20101231,2927228.510000000242144,2840803.000000000000000,2798669.410000000149012,2968014.230000000447035,11534715.150000000372529
