訓練日期,20100112 - 20100415
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11490112.800000000745058
真實報酬,1490112.800000000745058

夏普值報酬,0.140311280000000
夏普值風險,0.041668912957758
夏普值,3.367289186119225

預期報酬,21521.871208135376946
風險,115703.141139677100000
趨勢值,0.186009394353038
找到最佳解世代,2227
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),TRV[22](3),
Stock#,HD[9](2),MCD[15](1),TRV[22](3),
張數,118371,53487,68671,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,5.640000000130385,23.160000000149012,42.660000000149012,
20100112,3312026.220000000204891,3351518.580000000074506,3354621.010000000242144,10018166.810000000521541
20100113,3329781.870000000111759,3347774.490000000223517,3366295.080000000540167,10043852.440000001341105
20100114,3349904.940000000409782,3350983.709999999962747,3384149.540000000037253,10085039.190000001341105
20100115,3381865.110000000335276,3331193.520000000018626,3350500.750000000000000,10063560.380000000819564
20100119,3418560.120000000111759,3395377.919999999925494,3394450.189999999944121,10208389.230000000447035
20100120,3392518.500000000000000,3370239.030000000260770,3360114.689999999944121,10122873.220000000670552
20100121,3371211.720000000204891,3380401.560000000521541,3361488.110000000335276,10113102.390000000596046
20100122,3281249.759999999776483,3390564.090000000316650,3317538.670000000391155,9989353.519999999552965
20100125,3269412.660000000149012,3374517.990000000223517,3357367.850000000093132,10001299.500000000000000
20100126,3282433.470000000204891,3413028.630000000353903,3449386.989999999757856,10144850.089999999850988
20100127,3295454.280000000260770,3408749.669999999925494,3495396.560000000055879,10199601.509999999776483
20100128,3236268.780000000260770,3360611.370000000111759,3452133.830000000540167,10049014.980000000447035
20100129,3315577.350000000093132,3339216.570000000298023,3479602.230000000447035,10134397.150000000372529
20100201,3360558.330000000074506,3417307.590000000316650,3480975.649999999906868,10258842.570000000298023
20100202,3436315.770000000484288,3424795.770000000018626,3508444.050000000279397,10369556.590000001713634
20100203,3370028.009999999776483,3487910.429999999701977,3472735.130000000353903,10330674.570000000298023
20100204,3306107.669999999925494,3426400.380000000353903,3415051.489999999757856,10147560.540000000968575
20100205,3312026.220000000204891,3389494.350000000093132,3452820.540000000037253,10154342.109999999403954
20100208,3384232.530000000260770,3365425.200000000186265,3368355.209999999962747,10118013.940000001341105
20100209,3417376.410000000149012,3400191.750000000000000,3404064.130000000353903,10221633.290000000968575
20100210,3391334.790000000037253,3383075.910000000149012,3412304.649999999906868,10186716.349999999627471
20100211,3431580.930000000167638,3411958.890000000130385,3447326.860000000335276,10290867.679999999701977
20100212,3432764.640000000130385,3401261.490000000223517,3464494.610000000335276,10298521.740000002086163
20100216,3484847.880000000353903,3423726.030000000260770,3544152.970000000204891,10452727.880000000819564
20100217,3553503.060000000055879,3437097.780000000260770,3553766.910000000149012,10544368.750000000000000
20100218,3586646.940000000409782,3448864.920000000391155,3621751.200000000186265,10657264.060000002384186
20100219,3568891.290000000037253,3462771.540000000037253,3631365.140000000130385,10663028.970000000670552
20100222,3589014.360000000335276,3464376.149999999906868,3642352.500000000000000,10695744.009999999776483
20100223,3639913.890000000130385,3469724.850000000558794,3595656.220000000204891,10705295.960000000894070
20100224,3712120.200000000186265,3490584.780000000260770,3625184.750000000000000,10827890.730000000447035
20100225,3712120.200000000186265,3443516.219999999739230,3622437.910000000149012,10778075.330000000074506
20100226,3693180.839999999850988,3415168.110000000335276,3611450.550000000279397,10719800.500000000000000
20100301,3720406.169999999925494,3422121.419999999925494,3645099.339999999850988,10787627.929999999701977
20100302,3712120.200000000186265,3426935.250000000000000,3659520.250000000000000,10798576.699999999254942
20100303,3725141.009999999776483,3403400.970000000204891,3647846.180000000167638,10776389.160000000149012
20100304,3721589.880000000353903,3392703.570000000298023,3677374.709999999962747,10791669.160000000149012
20100305,3764203.440000000409782,3405540.450000000186265,3704156.399999999906868,10873901.290000000968575
20100308,3783142.800000000279397,3483096.600000000558794,3694542.459999999962747,10960782.859999999403954
20100309,3749998.919999999925494,3482026.859999999869615,3678748.130000000353903,10910774.910000000149012
20100310,3753550.050000000279397,3473468.939999999944121,3632051.850000000093132,10859071.839999999850988
20100311,3803265.870000000577420,3487910.429999999701977,3682181.680000000167638,10973358.980000000447035
20100312,3841144.590000000316650,3505026.270000000018626,3650593.020000000018626,10996764.880000000819564
20100315,3869553.629999999888241,3526421.070000000298023,3621064.489999999757856,11017040.189999999478459
20100316,3852981.689999999944121,3533909.250000000000000,3629305.010000000242144,11016196.949999999254942
20100317,3849430.560000000521541,3550490.219999999739230,3638918.950000000186265,11038840.730000000447035
20100318,3835226.040000000037253,3566536.320000000298023,3665700.640000000130385,11067464.000000000000000
20100319,3830491.200000000186265,3558513.270000000018626,3671194.320000000298023,11060199.790000000968575
20100322,3867186.210000000428408,3584187.030000000260770,3666387.350000000093132,11117761.589999999850988
20100323,3857716.530000000726432,3602372.609999999869615,3701409.560000000055879,11161499.700000001117587
