訓練日期,20161104 - 20170208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11798387.029999999329448
真實報酬,1798387.029999999329448

夏普值報酬,0.171138703000000
夏普值風險,0.045179519841429
夏普值,3.787970823963244

預期報酬,27758.462541077242349
風險,98479.393282827440999
趨勢值,0.281870771292797
找到最佳解世代,2786
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,3
AAPL[0](10),BA[2](2),DIS[6](1),
Stock#,AAPL[0](10),BA[2](2),DIS[6](1),
張數,30349,23806,35700,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,102.330000000074506,16.879999999888241,24.000000000000000,
20161104,3303287.490000000223517,3321906.119999999646097,3300489.000000000000000,9925683.609999999403954
20161107,3350935.419999999925494,3404989.060000000055879,3371175.000000000465661,10127100.480000000447035
20161108,3370662.270000000018626,3385230.079999999608845,3369390.000000000000000,10125283.349999999627471
20161109,3365199.449999999720603,3454029.419999999925494,3378672.000000000000000,10197901.869999999180436
20161110,3271421.040000000037253,3515925.020000000018626,3390096.000000000000000,10177443.060000000521541
20161111,3290844.400000000372529,3535684.000000000000000,3487200.000000000465661,10313729.400000000372529
20161114,3208295.120000000111759,3570678.820000000298023,3495768.000000000000000,10274742.940000001341105
20161115,3250783.720000000204891,3525923.540000000037253,3487914.000000000000000,10264622.259999999776483
20161116,3338188.839999999850988,3486167.520000000018626,3538608.000000000000000,10362965.359999999403954
20161117,3336974.880000000353903,3459742.860000000335276,3547533.000000000000000,10344251.740000000223517
20161118,3340313.270000000018626,3484024.979999999981374,3507192.000000000000000,10331531.250000000000000
20161121,3390996.100000000093132,3499975.000000000000000,3485415.000000000000000,10376387.099999999627471
20161122,3393120.529999999795109,3559490.000000000000000,3488271.000000000000000,10440882.529999999329448
20161123,3375821.600000000093132,3564727.320000000298023,3507906.000000000000000,10448455.919999999925494
20161125,3392817.040000000037253,3571869.119999999646097,3527897.999999999534339,10492585.160000000149012
20161128,3386140.259999999776483,3565441.500000000000000,3533253.000000000000000,10484835.759999999776483
20161129,3382801.870000000111759,3609958.719999999739230,3558243.000000000000000,10551004.589999999850988
20161130,3354273.810000000055879,3584248.239999999757856,3538608.000000000000000,10477131.050000000745058
20161201,3323014.339999999850988,3627813.219999999739230,3532182.000000000000000,10483010.559999998658895
20161202,3335457.430000000167638,3624480.379999999888241,3516474.000000000000000,10476412.810000000521541
20161205,3311481.720000000204891,3622337.839999999850988,3568596.000000000000000,10502416.560000000521541
20161206,3336974.880000000353903,3624242.320000000298023,3593586.000000000000000,10554804.200000001117587
20161207,3369751.800000000279397,3669473.719999999739230,3641067.000000000000000,10680293.519999999552965
20161208,3402832.210000000428408,3699231.219999999739230,3690690.000000000000000,10792754.429999999701977
20161209,3458370.880000000353903,3725417.820000000298023,3743526.000000000000000,10927315.700000001117587
20161212,3438644.029999999795109,3741367.839999999850988,3714966.000000000000000,10894978.869999999180436
20161213,3496003.640000000130385,3729464.839999999850988,3707469.000000000000000,10932938.480000000447035
20161214,3496003.640000000130385,3677329.699999999720603,3714609.000000000000000,10887943.339999999850988
20161215,3515123.509999999776483,3660665.500000000000000,3726747.000000000000000,10902537.009999999776483
20161216,3519675.859999999869615,3678043.879999999888241,3709611.000000000000000,10907331.740000000223517
20161219,3540009.689999999944121,3718037.959999999962747,3759234.000000000000000,11017282.650000000372529
20161220,3549417.880000000353903,3723037.219999999739230,3764946.000000000000000,11037402.099999999627471
20161221,3552756.270000000018626,3748985.759999999776483,3768516.000000000000000,11070259.029999999329448
20161222,3529387.540000000037253,3748509.640000000130385,3763518.000000000000000,11041416.179999999701977
20161223,3536367.810000000055879,3756841.739999999757856,3753879.000000000000000,11047089.550000000745058
20161227,3558826.070000000298023,3748985.759999999776483,3754593.000000000000000,11062405.830000000074506
20161228,3543651.570000000298023,3716133.479999999981374,3723534.000000000000000,10983320.050000000745058
20161229,3542741.100000000093132,3706373.020000000018626,3732816.000000000000000,10981931.120000001043081
20161230,3515123.509999999776483,3706134.959999999962747,3720678.000000000000000,10941937.469999998807907
20170103,3525138.680000000167638,3736844.699999999720603,3787080.000000000000000,11049064.379999998956919
20170104,3521193.310000000055879,3776124.600000000093132,3835632.000000000000000,11132950.910000000149012
20170105,3539099.220000000204891,3778267.140000000130385,3833490.000000000000000,11150857.359999999403954
20170106,3578552.919999999925494,3787551.479999999981374,3890610.000000000000000,11256715.400000000372529
20170109,3611329.839999999850988,3768982.799999999813735,3868476.000000000000000,11248789.640000000596046
20170110,3614971.720000000204891,3786837.299999999813735,3869190.000000000000000,11271000.019999999552965
20170111,3634395.080000000074506,3794693.279999999795109,3907032.000000000000000,11336121.359999999403954
20170112,3619220.580000000074506,3768268.619999999646097,3838845.000000000000000,11226335.199999999254942
20170113,3612847.290000000037253,3781123.860000000335276,3857766.000000000000000,11251738.150000000372529
20170117,3641982.330000000074506,3753508.899999999441206,3854553.000000000000000,11250045.230000000447035
20170118,3641678.839999999850988,3768982.799999999813735,3861336.000000000000000,11271998.640000000596046
20170119,3635305.550000000279397,3785170.879999999888241,3829920.000000000000000,11250397.429999999701977
20170120,3641982.330000000074506,3797788.060000000055879,3843486.000000000000000,11283257.390000000596046
20170123,3644410.250000000000000,3757555.919999999925494,3824208.000000000000000,11226175.169999999925494
20170124,3641071.859999999869615,3822070.180000000167638,3852054.000000000000000,11315197.039999999105930
20170125,3699038.449999999720603,3984189.040000000037253,3857052.000000000000000,11540280.490000000223517
20170126,3700859.390000000130385,4026087.600000000093132,3857766.000000000000000,11584713.990000000223517
20170127,3701162.880000000353903,3992283.079999999608845,3902034.000000000000000,11595480.960000000894070
20170130,3691451.199999999720603,3941576.299999999813735,3960582.000000000000000,11593610.500000000000000
20170131,3682953.479999999981374,3890393.399999999441206,3950229.000000000000000,11523576.879999998956919
20170201,3907536.080000000074506,3903486.699999999720603,3973434.000000000000000,11784457.779999999329448
20170202,3900859.300000000279397,3862778.439999999478459,3948801.000000000000000,11712439.740000000223517
20170203,3917551.250000000465661,3866111.279999999795109,3937734.000000000000000,11721397.530000001192093
20170206,3954273.540000000037253,3903724.759999999776483,3911672.999999999534339,11769672.299999998882413
20170207,3991906.300000000279397,3963715.879999999888241,3891324.000000000000000,11846947.179999999701977
20170208,4007384.290000000037253,3899677.739999999757856,3891324.000000000000000,11798387.029999999329448
