訓練日期,20140219 - 20140521
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10829194.309999998658895
真實報酬,829194.309999998658895

夏普值報酬,0.074219431000000
夏普值風險,0.023685244786076
夏普值,3.133572469710433

預期報酬,12903.011568889127375
風險,49628.811603945621755
趨勢值,0.259990339318609
找到最佳解世代,2121
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,7
CVX[5](2),JNJ[12](1),KO[14](3),MCD[15](8),TRV[22](15),UNH[23](18),VZ[26](11),
Stock#,CVX[5](2),JNJ[12](1),KO[14](3),MCD[15](8),TRV[22](15),UNH[23](18),VZ[26](11),
張數,12674,15499,38125,14877,16932,19349,31069,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,84.460000000195578,28.169999999925494,27.250000000000000,81.459999999962747,18.159999999916181,34.330000000074506,18.380000000121072,
20140219,1439850.860000000102445,1420356.530000000027940,1414464.750000000000000,1421578.809999999823049,1422475.479999999981374,1423153.280000000027940,1445658.950000000186265,9987541.660000000149012
20140220,1452524.860000000102445,1431825.789999999804422,1422089.750000000000000,1424554.209999999962747,1419089.079999999841675,1421798.850000000093132,1495058.660000000149012,10066944.200000001117587
20140221,1428190.780000000260770,1418496.649999999906868,1417514.750000000000000,1434968.110000000102445,1418750.439999999944121,1428184.020000000018626,1468650.010000000242144,10014757.759999999776483
20140224,1446821.560000000288710,1412142.059999999823049,1429714.750000000000000,1435711.959999999962747,1412824.239999999990687,1470751.820000000065193,1436338.250000000000000,10044307.640000000596046
20140225,1457214.240000000223517,1412142.059999999823049,1440008.500000000232831,1437497.199999999953434,1411131.040000000037253,1457401.010000000009313,1438202.390000000130385,10053599.440000001341105
20140226,1464058.200000000186265,1412142.059999999823049,1443821.000000000000000,1426636.989999999990687,1412654.919999999925494,1471719.270000000018626,1440066.530000000260770,10071101.969999998807907
20140227,1466339.520000000251457,1416016.809999999823049,1451446.000000000000000,1414586.619999999878928,1419766.359999999869615,1470945.310000000055879,1475795.880000000121072,10114899.500000001862645
20140228,1461776.880000000121072,1427796.050000000046566,1456402.250000000000000,1415628.010000000009313,1419597.040000000037253,1495131.560000000055879,1478281.400000000139698,10154616.189999999478459
20140303,1455566.620000000344589,1419116.609999999869615,1453352.250000000000000,1403280.099999999860302,1408421.919999999925494,1491842.229999999981374,1469892.770000000251457,10101475.500000000000000
20140304,1461650.140000000130385,1446704.830000000074506,1460596.000000000000000,1413098.919999999925494,1424168.679999999934807,1511771.699999999953434,1488223.479999999981374,10206216.750000000000000
20140305,1450370.280000000260770,1435080.580000000074506,1462121.000000000000000,1413694.000000000000000,1428571.000000000000000,1509062.840000000083819,1472067.600000000093132,10170970.300000000745058
20140306,1455693.360000000102445,1439730.280000000027940,1466696.000000000000000,1422025.119999999878928,1429078.959999999962747,1502290.690000000176951,1474553.120000000111759,10190070.530000001192093
20140307,1458608.380000000121072,1446394.849999999860302,1469746.000000000000000,1420834.959999999962747,1421120.919999999925494,1497646.930000000167638,1464921.729999999981374,10179276.770000001415610
