訓練日期,20140505 - 20140805
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11337685.649999998509884
真實報酬,1337685.649999998509884

夏普值報酬,0.125068565000000
夏普值風險,0.048308209882541
夏普值,2.588971218434692

預期報酬,26235.682080392874923
風險,107959.868524240897386
趨勢值,0.243013282982111
找到最佳解世代,2568
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),CSCO[4](5),DIS[6](4),INTC[11](3),
Stock#,AAPL[0](1),CSCO[4](5),DIS[6](4),INTC[11](3),
張數,29533,108979,31129,94661,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,31.549999999813735,21.739999999757856,30.009999999776483,2.989999999757856,
20140505,2535439.599999999627471,2502179.580000000074506,2528327.389999999664724,2477281.359999999869615,10043227.929999999701977
20140506,2507973.909999999683350,2476024.619999999646097,2522412.879999999888241,2480121.189999999478459,9986532.599999997764826
20140507,2499114.009999999776483,2492371.469999999739230,2499377.419999999925494,2496213.560000000055879,9987076.459999999031425
20140508,2480803.549999999813735,2508718.319999999832362,2540156.409999999683350,2493373.729999999515712,10023052.009999997913837
20140509,2470467.000000000000000,2508718.319999999832362,2551051.560000000055879,2489587.290000000037253,10019824.170000001788139
20140512,2501181.319999999832362,2527244.750000000000000,2565682.189999999944121,2496213.560000000055879,10090321.820000000298023
20140513,2505020.609999999403954,2491281.679999999701977,2555098.329999999608845,2503786.439999999478459,10055187.059999998658895
20140514,2505611.270000000018626,2485832.729999999515712,2518988.689999999944121,2492427.119999999646097,10002859.809999998658895
20140515,2484347.509999999776483,2635133.959999999497086,2495019.359999999869615,2462135.600000000093132,10076636.429999997839332
20140516,2520968.429999999701977,2655839.969999999739230,2502490.319999999832362,2444150.009999999776483,10123448.729999998584390
20140519,2550796.759999999776483,2653660.390000000130385,2523035.459999999497086,2464975.429999999701977,10192468.039999999105930
20140520,2551387.419999999925494,2628595.219999999739230,2524280.620000000111759,2464975.429999999701977,10169238.689999999478459
20140521,2558180.009999999776483,2667827.659999999683350,2558522.519999999552965,2480121.189999999478459,10264651.379999998956919
20140522,2562019.299999999813735,2656929.759999999776483,2563503.159999999683350,2475388.139999999664724,10257840.359999999403954
20140523,2590961.640000000130385,2672186.819999999832362,2593698.289999999571592,2488640.679999999701977,10345487.429999999701977
20140527,2639691.089999999850988,2692892.830000000074506,2606772.469999999739230,2528398.299999999813735,10467754.689999999478459
20140528,2632603.169999999925494,2704880.520000000018626,2602414.409999999683350,2544490.669999999459833,10484388.769999999552965
