訓練日期,20130903 - 20131203
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11734164.800000000745058
真實報酬,1734164.800000000745058

夏普值報酬,0.164716480000000
夏普值風險,0.046229986692391
夏普值,3.562979178341608

預期報酬,26634.651149308723689
風險,79310.506442922895076
趨勢值,0.335827525808031
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,5
AAPL[0](19),BA[2](1),MSFT[18](17),NKE[19](2),UNH[23](28),
Stock#,AAPL[0](19),BA[2](1),MSFT[18](17),NKE[19](2),UNH[23](28),
張數,28735,19245,59880,63673,27878,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,44.000000000232831,59.599999999860302,8.000000000000000,31.070000000065193,32.280000000027940,
20130903,2005747.000000000232831,2020977.050000000046566,1908982.399999999906868,2047118.020000000018626,2022859.960000000195578,10005684.430000001564622
20130904,2047125.400000000139698,2047150.250000000000000,1868264.000000000000000,2073860.680000000167638,2044883.579999999841675,10081283.910000000149012
20130905,2033045.250000000232831,2052538.849999999860302,1870659.199999999953434,2081501.439999999944121,2064119.400000000139698,10101864.140000000596046
20130906,2045113.950000000186265,2041376.749999999767169,1865270.000000000000000,2068766.840000000083819,2064676.960000000195578,10085204.500000000000000
20130909,2077871.850000000325963,2062931.149999999906868,1895808.800000000046566,2082138.170000000158325,2069973.780000000027940,10188723.750000000000000
20130910,2030459.100000000093132,2081791.250000000000000,1939521.199999999953434,2127346.000000000000000,2080567.419999999925494,10259684.969999998807907
20130911,1920116.699999999953434,2102190.950000000186265,1960479.200000000186265,2152178.469999999739230,2095900.320000000298023,10230865.640000000596046
20130912,1940518.550000000279397,2113160.599999999627471,1957485.199999999953434,2167459.990000000223517,2083634.000000000000000,10262258.339999999850988
20130913,1908335.350000000093132,2142605.450000000186265,1977844.400000000139698,2162366.150000000372529,2076385.720000000204891,10267537.070000000298023
20130916,1847704.500000000232831,2226128.750000000000000,1964071.999999999767169,2171280.370000000111759,2094227.640000000130385,10303413.259999999776483
20130917,1869255.750000000232831,2253841.549999999813735,1971856.399999999906868,2175100.750000000000000,2071646.460000000195578,10341700.910000000149012
20130918,1907473.300000000046566,2278667.599999999627471,1995209.600000000093132,2212031.089999999850988,2036241.400000000139698,10429622.990000000223517
20130919,1938794.450000000186265,2290984.400000000372529,2014371.199999999953434,2212667.820000000298023,1974909.800000000046566,10431727.670000001788139
20130920,1918679.950000000186265,2244603.950000000186265,1963473.199999999953434,2208847.439999999478459,1967382.739999999757856,10302987.279999999329448
20130923,2014080.150000000372529,2261539.549999999813735,1960479.200000000186265,2196112.839999999850988,2002230.239999999757856,10434441.980000000447035
20130924,2007758.450000000419095,2290214.599999999627471,1943712.800000000046566,2210757.629999999888241,2016169.239999999757856,10468612.720000000670552
20130925,1976724.650000000372529,2280784.549999999813735,1946706.799999999813735,2194202.650000000372529,2006690.720000000204891,10405109.370000001043081
20130926,1995977.100000000093132,2297527.700000000186265,1962275.600000000093132,2239410.480000000447035,2011708.760000000009313,10506899.640000000596046
20130927,1981609.600000000093132,2285210.899999999441206,1992215.600000000093132,2344470.929999999701977,2006969.500000000000000,10610476.529999999329448
20130930,1957184.850000000325963,2261347.099999999627471,1992814.400000000139698,2312634.429999999701977,1996375.860000000102445,10520356.640000000596046
20131001,2003160.850000000093132,2266158.349999999627471,2010778.399999999906868,2305630.400000000372529,2023417.520000000018626,10609145.519999999552965
20131002,2009769.900000000139698,2267890.400000000372529,2031137.600000000093132,2289075.419999999925494,2023138.739999999757856,10621012.060000000521541
20131003,1984483.100000000325963,2217853.399999999441206,2027544.800000000046566,2280797.929999999701977,2021744.839999999850988,10532424.070000000298023
20131004,1982759.000000000232831,2255573.599999999627471,2028742.400000000139698,2296716.179999999701977,2034847.500000000000000,10598638.679999999701977
20131007,2002298.800000000512227,2245758.649999999441206,1994011.999999999767169,2271246.980000000447035,2011987.540000000037253,10525303.969999998807907
20131008,1974425.850000000093132,2221702.399999999441206,1976646.799999999813735,2237500.290000000037253,1992751.720000000204891,10403027.060000000521541
20131009,1997413.850000000325963,2203034.750000000000000,1980239.600000000093132,2257238.919999999925494,1989963.919999999925494,10427891.040000000968575
20131010,2010057.250000000232831,2288290.099999999627471,2021556.799999999813735,2338103.629999999888241,2062446.720000000204891,10720454.500000000000000
20131011,2022988.000000000465661,2270584.700000000186265,2043712.400000000139698,2338740.359999999403954,2070531.339999999850988,10746556.800000000745058
20131014,2036206.100000000325963,2299067.299999999813735,2062874.000000000232831,2357842.259999999776483,2083076.439999999944121,10839066.099999999627471
20131015,2047125.400000000139698,2274433.700000000186265,2065269.200000000186265,2346381.120000000111759,2059380.140000000130385,10792589.560000002384186
20131016,2057182.650000000372529,2316002.900000000372529,2074251.199999999953434,2372487.049999999813735,2096179.099999999860302,10916102.900000000372529
20131017,2070975.449999999953434,2353530.650000000372529,2091017.600000000093132,2373123.780000000260770,1989685.140000000130385,10878332.620000001043081
20131018,2089078.500000000232831,2357957.000000000000000,2093412.800000000046566,2417694.879999999888241,1916923.560000000055879,10875066.740000000223517
20131021,2140226.800000000745058,2337749.750000000000000,2095209.200000000186265,2422788.719999999739230,1901311.880000000121072,10897286.350000001490116
20131022,2134192.450000000186265,2357187.200000000186265,2070658.399999999906868,2418331.609999999403954,1919711.360000000102445,10900081.019999999552965
20131023,2154881.650000000372529,2483049.500000000000000,2021556.799999999813735,2405597.009999999776483,1896015.060000000055879,10961100.020000001415610
20131024,2183616.650000000372529,2482279.699999999254942,2019161.599999999860302,2404323.549999999813735,1884863.860000000102445,10974245.359999999403954
20131025,2159191.900000000372529,2524811.149999999441206,2139520.399999999906868,2410054.120000000111759,1885142.640000000130385,11118720.210000000894070
20131028,2175283.500000000000000,2499600.200000000186265,2129939.600000000093132,2404323.549999999813735,1866185.599999999860302,11075332.450000001117587
20131029,2120974.350000000558794,2495366.299999999813735,2126945.600000000093132,2417058.150000000372529,1897966.520000000018626,11058310.919999999925494
20131030,2154881.650000000372529,2495751.200000000186265,2128143.199999999720603,2424062.179999999701977,1896015.060000000055879,11098853.290000000968575
20131031,2145686.450000000186265,2511532.099999999627471,2120358.799999999813735,2411964.310000000521541,1902984.560000000055879,11092526.220000000670552
20131101,2134767.150000000372529,2560221.950000000186265,2127544.399999999906868,2421515.259999999776483,1913299.419999999925494,11157348.179999999701977
20131104,2162352.750000000000000,2555603.149999999441206,2152095.199999999720603,2431702.939999999478459,1922220.380000000121072,11223974.419999999925494
20131105,2156893.100000000558794,2570614.250000000000000,2194011.200000000186265,2457808.870000000111759,1915808.439999999944121,11295135.860000001266599
20131106,2138502.700000000186265,2561376.650000000372529,2286226.399999999906868,2443800.810000000521541,1959576.900000000139698,11389483.460000000894070
20131107,2103733.349999999627471,2530969.549999999813735,2245508.000000000000000,2410054.120000000111759,1944801.560000000055879,11235066.580000000074506
20131108,2137065.950000000186265,2569074.650000000372529,2262274.399999999906868,2455261.950000000186265,1965431.280000000027940,11389108.229999998584390
20131111,2130744.250000000000000,2550599.450000000186265,2250897.200000000186265,2456535.410000000149012,1965431.280000000027940,11354207.589999999850988
20131112,2134767.150000000372529,2546750.450000000186265,2237124.799999999813735,2447621.189999999478459,1950098.380000000121072,11316361.970000000670552
20131113,2137353.299999999813735,2562916.250000000000000,2285028.799999999813735,2478184.230000000447035,1979649.060000000055879,11443131.640000000596046
20131114,2168099.750000000000000,2599866.650000000372529,2276645.600000000093132,2503653.429999999701977,1991636.599999999860302,11539902.029999999329448
20131115,2155169.000000000000000,2618919.200000000186265,2265867.200000000186265,2522118.599999999627471,2003624.140000000130385,11565698.140000000596046
20131118,2129020.150000000372529,2662797.799999999813735,2227544.000000000000000,2501743.240000000223517,1998327.320000000298023,11519432.510000001639128
20131119,2132755.700000000186265,2636239.699999999254942,2199999.200000000186265,2477547.500000000000000,1996375.860000000102445,11442917.959999999031425
20131120,2114077.950000000186265,2549059.849999999627471,2220358.399999999906868,2478184.230000000447035,2006690.720000000204891,11368371.150000000372529
20131121,2139364.750000000000000,2558297.450000000186265,2239520.000000000000000,2486461.719999999739230,2032617.260000000009313,11456261.179999999701977
20131122,2133905.100000000558794,2616802.250000000000000,2249699.600000000093132,2511294.189999999478459,2055756.000000000000000,11567457.140000000596046
20131125,2149996.700000000186265,2559644.599999999627471,2253891.200000000186265,2519571.679999999701977,2064955.739999999757856,11548059.919999999925494
20131126,2189651.000000000000000,2593900.700000000186265,2236526.000000000000000,2534216.469999999739230,2077500.839999999850988,11631795.009999999776483
20131127,2241086.650000000372529,2592746.000000000000000,2251496.000000000000000,2525938.980000000447035,2073040.360000000102445,11684307.990000000223517
20131129,2282752.400000000372529,2583700.849999999627471,2283232.400000000372529,2519571.679999999701977,2076385.720000000204891,11745643.050000000745058
20131202,2262925.250000000000000,2581968.799999999813735,2302394.000000000000000,2518298.219999999739230,2067464.760000000009313,11733051.029999999329448
20131203,2324705.500000000000000,2540399.599999999627471,2294010.800000000279397,2519571.679999999701977,2055477.220000000204891,11734164.800000000745058
