訓練日期,20110107 - 20110411
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11627023.109999999403954
真實報酬,1627023.109999999403954

夏普值報酬,0.154002311000000
夏普值風險,0.045968963305759
夏普值,3.350136699313059

預期報酬,25253.550999412796955
風險,111434.342663497678586
趨勢值,0.226622694546437
找到最佳解世代,2710
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](1),PFE[20](2),
Stock#,CVX[5](1),PFE[20](2),
張數,55132,275027,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,78.919999999925494,9.139999999664724,
20110107,5027566.000000000000000,5044004.319999999366701,10071570.320000000298023
20110110,4984563.040000000037253,5022002.160000000149012,10006565.199999999254942
20110111,5062850.479999999515712,5011001.079999999143183,10073851.559999998658895
20110112,5097032.320000000298023,5052255.129999999888241,10149287.449999999254942
20110113,5082146.680000000633299,5011001.079999999143183,10093147.759999999776483
20110114,5117982.479999999515712,5044004.319999999366701,10161986.799999998882413
20110118,5146651.119999999180436,5055005.399999999441206,10201656.519999999552965
20110119,5125700.959999999962747,5038503.779999999329448,10164204.739999998360872
20110120,5111366.639999999664724,5016501.619999999180436,10127868.259999997913837
20110121,5170357.879999999888241,5049504.859999999403954,10219862.739999998360872
20110124,5188000.119999999180436,5074257.289999999105930,10262257.409999998286366
20110125,5186897.479999999515712,5079757.829999999143183,10266655.309999998658895
20110126,5217771.400000000372529,5049504.859999999403954,10267276.259999999776483
20110127,5223835.919999999925494,5082508.099999999627471,10306344.019999999552965
20110128,5147753.759999999776483,4991749.189999999478459,10139502.949999999254942
20110131,5233759.680000000633299,5011001.079999999143183,10244760.759999999776483
20110201,5304879.959999999962747,5286028.079999999143183,10590908.039999999105930
20110202,5319214.280000000260770,5214521.059999999590218,10533735.339999999850988
20110203,5364973.839999999850988,5272276.730000000447035,10637250.570000000298023
20110204,5353947.439999999478459,5308030.240000000223517,10661977.679999999701977
20110207,5384270.040000000037253,5236523.219999999739230,10620793.259999999776483
20110208,5388680.599999999627471,5269526.459999999962747,10658207.059999998658895
20110209,5305982.599999999627471,5239273.490000000223517,10545256.089999999850988
20110210,5331343.320000000298023,5233772.950000000186265,10565116.269999999552965
20110211,5317560.320000000298023,5178767.549999998882413,10496327.869999999180436
20110214,5345126.320000000298023,5239273.490000000223517,10584399.810000000521541
20110215,5311495.799999999813735,5239273.490000000223517,10550769.289999999105930
20110216,5329138.040000000037253,5302529.700000000186265,10631667.740000000223517
20110217,5357255.360000000335276,5327282.129999999888241,10684537.490000000223517
20110218,5442709.959999999962747,5277777.269999999552965,10720487.230000000447035
20110222,5530921.159999999217689,5195269.169999999925494,10726190.329999998211861
20110223,5638428.559999999590218,5159515.660000000149012,10797944.219999998807907
20110224,5625196.879999999888241,5198019.439999999478459,10823216.320000000298023
20110225,5629056.119999999180436,5187018.359999999403954,10816074.479999998584390
20110228,5720023.919999999925494,5291528.619999999180436,11011552.539999999105930
20110301,5673161.720000000670552,5264025.919999999925494,10937187.640000000596046
20110302,5704586.959999999962747,5277777.269999999552965,10982364.230000000447035
20110303,5744282.000000000000000,5437292.929999999701977,11181574.929999999701977
20110304,5720023.919999999925494,5407039.959999999962747,11127063.879999998956919
20110307,5679226.240000000223517,5393288.609999999403954,11072514.849999999627471
20110308,5721126.559999999590218,5412540.500000000000000,11133667.059999998658895
20110309,5631261.400000000372529,5407039.959999999962747,11038301.359999999403954
20110310,5462557.479999999515712,5324531.859999999403954,10787089.339999999850988
20110311,5509419.680000000633299,5354784.829999999143183,10864204.509999999776483
20110314,5557384.519999999552965,5448294.009999999776483,11005678.529999999329448
20110315,5581091.280000000260770,5434542.660000000149012,11015633.940000001341105
20110316,5486264.240000000223517,5308030.240000000223517,10794294.480000000447035
20110317,5636774.599999999627471,5467545.899999999441206,11104320.500000000000000
20110318,5667648.519999999552965,5550054.000000000000000,11217702.519999999552965
20110321,5799414.000000000000000,5495048.599999999627471,11294462.599999999627471
20110322,5801619.280000000260770,5484047.519999999552965,11285666.800000000745058
20110323,5815402.280000000260770,5478546.980000000447035,11293949.260000001639128
20110324,5809889.080000000074506,5583057.240000000223517,11392946.320000000298023
20110325,5887073.879999999888241,5596808.589999999850988,11483882.469999998807907
20110328,5846276.200000000186265,5574806.429999999701977,11421082.629999998956919
20110329,5919601.759999999776483,5605059.399999999441206,11524661.160000000149012
20110330,5954886.240000000223517,5594058.319999999366701,11548944.559999998658895
20110331,5926217.599999999627471,5585807.509999999776483,11512025.109999999403954
20110401,5971977.159999999217689,5605059.399999999441206,11577036.559999998658895
20110404,5967015.280000000260770,5649063.719999999739230,11616079.000000000000000
20110405,6027660.479999999515712,5624311.289999999105930,11651971.769999999552965
20110406,5990722.040000000037253,5580306.969999999739230,11571029.009999999776483
20110407,6006159.000000000000000,5591308.049999998882413,11597467.049999998882413
20110408,6045854.040000000037253,5627061.559999999590218,11672915.599999999627471
20110411,5942205.879999999888241,5684817.230000000447035,11627023.109999999403954
