訓練日期,20110621 - 20110921
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11392156.260000001639128
真實報酬,1392156.260000001639128

夏普值報酬,0.130515626000000
夏普值風險,0.033899155014676
夏普值,3.850114433338980

預期報酬,23890.329368173821422
風險,307156.389840249205008
趨勢值,0.077779040770075
找到最佳解世代,2265
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),KO[14](3),MCD[15](2),
Stock#,AAPL[0](1),KO[14](3),MCD[15](2),
張數,73991,101255,40311,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.450000000186265,18.399999999906868,16.410000000149012,
20110621,3438400.220000000204891,3354596.550000000279397,3337767.209999999962747,10130764.980000000447035
20110622,3410283.640000000596046,3361684.400000000372529,3331720.560000000521541,10103689.600000001490116
20110623,3501292.570000000298023,3289793.350000000093132,3317208.600000000558794,10108295.519999999552965
20110624,3449498.870000000111759,3287768.250000000000000,3299068.650000000372529,10036336.769999999552965
20110627,3509431.580000000074506,3300931.399999999906868,3318417.929999999701977,10128781.910000000149012
20110628,3543467.440000000409782,3343458.500000000000000,3400249.259999999776483,10287176.199999999254942
20110629,3530888.970000000204891,3376872.649999999906868,3409117.679999999701977,10316880.300000000745058
20110630,3547906.900000000372529,3407249.149999999906868,3399039.929999999701977,10354196.980000000447035
20110701,3628557.090000000316650,3447751.149999999441206,3452653.560000000521541,10528962.800000000745058
20110705,3693669.170000000391155,3457876.649999999906868,3452250.450000000186265,10603797.269999999552965
20110706,3718086.200000000186265,3470027.250000000000000,3461118.870000000111759,10649233.320000000298023
20110707,3775799.180000000167638,3481165.300000000279397,3469181.070000000298023,10726146.550000000745058
20110708,3802435.940000000409782,3477115.100000000093132,3450638.009999999776483,10730190.050000000745058
20110711,3741763.320000000298023,3447751.149999999441206,3440560.259999999776483,10630075.730000000447035
20110712,3739543.590000000316650,3434588.000000000000000,3426048.299999999813735,10600180.890000000596046
20110713,3784678.100000000093132,3445726.049999999813735,3424838.969999999739230,10655244.120000001043081
20110714,3781718.459999999962747,3426487.600000000093132,3459103.320000000298023,10667310.380000000819564
20110715,3857189.280000000260770,3419399.750000000000000,3445800.690000000409782,10722390.720000000670552
20110718,3951157.850000000093132,3398136.200000000186265,3442575.810000000521541,10791870.860000001266599
20110719,3983713.890000000596046,3509516.699999999720603,3475227.719999999739230,10968459.309999998658895
20110720,4089521.020000000484288,3487240.599999999627471,3477646.379999999888241,11054409.000000000000000
20110721,4093960.479999999981374,3510529.250000000000000,3488530.350000000558794,11093021.080000001937151
20110722,4157592.740000000223517,3530780.249999999534339,3569958.570000000298023,11258332.560000000521541
20110725,4212346.080000000074506,3506479.050000000279397,3552221.730000000447035,11271047.860000001266599
20110726,4264139.780000000260770,3503441.399999999906868,3548190.629999999888241,11315772.809999998658895
20110727,4149453.729999999981374,3478127.649999999906868,3510701.400000000372529,11138283.780000001192093
