訓練日期,20110224 - 20110526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11403692.599999999627471
真實報酬,1403692.599999999627471

夏普值報酬,0.131669260000000
夏普值風險,0.040004512723951
夏普值,3.291360175002664

預期報酬,23353.459302834573464
風險,115526.881906984723173
趨勢值,0.202147404286713
找到最佳解世代,2360
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),PFE[20](2),
Stock#,AXP[1](1),PFE[20](2),
張數,115101,266524,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.560000000521541,9.759999999776483,
20110224,5013812.120000001043081,5037313.359999999403954,10051125.480000000447035
20110225,5010359.090000000782311,5026652.399999999441206,10037011.490000000223517
20110228,5014963.130000000819564,5127931.519999999552965,10142894.650000000372529
20110301,4966620.709999999962747,5101279.120000000111759,10067899.830000000074506
20110302,4951657.580000001005828,5114605.320000000298023,10066262.900000002235174
20110303,5098986.860000000335276,5269189.239999999292195,10368176.099999999627471
20110304,5032228.280000000260770,5239871.599999999627471,10272099.879999998956919
20110307,5031077.270000000484288,5226545.399999999441206,10257622.669999999925494
20110308,5207181.800000000745058,5245202.080000000074506,10452383.880000000819564
20110309,5185312.610000000335276,5239871.599999999627471,10425184.210000000894070
20110310,5066758.580000001005828,5159914.399999999441206,10226672.980000000447035
20110311,5096684.840000000782311,5189232.039999999105930,10285916.879999998956919
20110314,5054097.469999999739230,5279850.199999999254942,10333947.669999998062849
20110315,5023020.200000000186265,5266524.000000000000000,10289544.199999999254942
20110316,4875690.920000000856817,5143922.959999999962747,10019613.880000000819564
20110317,4997697.980000000447035,5298506.879999999888241,10296204.859999999403954
20110318,5084023.730000000447035,5378464.080000000074506,10462487.810000000521541
20110321,5101288.880000000819564,5325159.280000000260770,10426448.160000000149012
20110322,5150782.310000000521541,5314498.320000000298023,10465280.630000000819564
20110323,5181859.580000001005828,5309167.839999999850988,10491027.420000001788139
20110324,5247467.150000001303852,5410446.959999999962747,10657914.110000001266599
20110325,5247467.150000001303852,5423773.160000000149012,10671240.310000002384186
20110328,5262430.280000000260770,5402451.239999999292195,10664881.519999999552965
20110329,5254373.209999999962747,5431768.879999999888241,10686142.089999999850988
20110330,5284299.469999999739230,5421107.919999999925494,10705407.390000000596046
20110331,5202577.760000000707805,5413112.199999999254942,10615689.960000000894070
20110401,5220993.920000000856817,5431768.879999999888241,10652762.800000000745058
20110404,5227899.980000000447035,5474412.719999999739230,10702312.699999999254942
20110405,5227899.980000000447035,5450425.559999999590218,10678325.539999999105930
20110406,5326886.840000000782311,5407781.719999999739230,10734668.560000000521541
20110407,5313074.719999999739230,5418442.679999999701977,10731517.399999998509884
20110408,5326886.840000000782311,5453090.799999999813735,10779977.640000000596046
20110411,5338396.940000000409782,5509060.839999999850988,10847457.780000001192093
20110412,5296960.580000001005828,5453090.799999999813735,10750051.380000000819564
20110413,5306168.660000001080334,5453090.799999999813735,10759259.460000000894070
20110414,5280846.440000000409782,5461086.519999999552965,10741932.960000000894070
20110415,5323433.810000000521541,5471747.480000000447035,10795181.290000000968575
20110418,5301564.620000001043081,5437099.359999999403954,10738663.980000000447035
20110419,5368323.200000000186265,5471747.480000000447035,10840070.679999999701977
20110420,5409759.560000000521541,5434434.120000000111759,10844193.679999999701977
20110421,5422420.670000000856817,5274519.719999999739230,10696940.390000000596046
20110425,5415514.610000000335276,5367803.120000000111759,10783317.730000000447035
20110426,5421269.660000001080334,5381129.320000000298023,10802398.980000000447035
20110427,5481122.180000000633299,5498399.879999999888241,10979522.060000000521541
20110428,5584713.080000001005828,5551704.679999999701977,11136417.760000001639128
20110429,5649169.640000000596046,5589018.039999999105930,11238187.679999999701977
20110502,5714777.209999999962747,5602344.239999999292195,11317121.449999999254942
20110503,5743552.459999999962747,5447760.320000000298023,11191312.780000001192093
20110504,5720532.260000000707805,5501065.120000000111759,11221597.380000000819564
20110505,5699814.080000001005828,5434434.120000000111759,11134248.200000001117587
20110506,5778082.760000000707805,5477077.959999999962747,11255160.720000000670552
20110509,5776931.750000000000000,5490404.160000000149012,11267335.910000000149012
20110510,5774629.730000000447035,5559700.399999999441206,11334330.129999998956919
20110511,5735495.390000000596046,5493069.399999999441206,11228564.789999999105930
20110512,5702116.100000000558794,5567696.120000000111759,11269812.220000000670552
20110513,5696361.050000000745058,5575691.839999999850988,11272052.890000000596046
20110516,5763119.630000000819564,5591683.280000000260770,11354802.910000000149012
20110517,5842539.320000000298023,5634327.120000000111759,11476866.440000001341105
20110518,5877069.620000001043081,5644988.080000000074506,11522057.700000001117587
20110519,5964546.380000000819564,5605009.480000000447035,11569555.860000001266599
20110520,5892032.750000000000000,5514391.320000000298023,11406424.070000000298023
20110523,5883975.680000000633299,5487738.919999999925494,11371714.600000001490116
20110524,5819519.120000001043081,5469082.239999999292195,11288601.359999999403954
20110525,5802253.969999999739230,5538378.480000000447035,11340632.449999999254942
20110526,5833331.240000000223517,5570361.359999999403954,11403692.599999999627471
