訓練日期,20150914 - 20151214
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11604333.559999998658895
真實報酬,1604333.559999998658895

夏普值報酬,0.151733356000000
夏普值風險,0.047274037651514
夏普值,3.209655099031700

預期報酬,27179.146615171088342
風險,153115.945920984697295
趨勢值,0.177506963443225
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),MCD[15](1),PG[21](6),
Stock#,HD[9](3),MCD[15](1),PG[21](6),
張數,28875,34219,48718,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.000000000000000,60.209999999962747,47.439999999944121,
20150914,3312831.750000000000000,3318276.640000000130385,3315794.520000000018626,9946903.910000000149012
20150915,3354700.500000000000000,3360023.819999999832362,3383512.540000000037253,10098237.859999999403954
20150916,3402055.500000000000000,3377133.319999999832362,3415179.239999999757856,10194369.060000000521541
20150917,3404654.250000000000000,3348047.169999999925494,3421999.759999999776483,10174702.179999999701977
20150918,3324093.000000000000000,3321014.159999999683350,3407384.359999999869615,10052492.519999999552965
20150921,3366250.500000000000000,3350100.310000000055879,3441974.140000000130385,10158325.950000001117587
20150922,3343728.000000000000000,3326147.010000000242144,3419563.859999999869615,10089439.869999999180436
20150923,3354411.750000000000000,3332306.429999999701977,3422974.120000000111759,10109693.300000000745058
20150924,3359320.500000000000000,3329226.720000000204891,3476563.919999999925494,10165112.140000000596046
20150925,3370870.500000000000000,3339492.419999999925494,3540384.500000000000000,10250748.419999999925494
20150928,3294640.500000000000000,3283715.449999999720603,3496538.299999999813735,10074895.250000000000000
20150929,3260279.250000000000000,3335728.330000000074506,3521384.479999999981374,10117393.060000000521541
20150930,3334776.750000000000000,3371658.279999999795109,3504820.359999999869615,10211256.389999998733401
20151001,3379244.250000000000000,3380213.029999999795109,3505307.540000000037253,10264765.820000000298023
20151002,3401766.750000000000000,3414774.220000000204891,3528205.000000000000000,10344746.970000000670552
20151005,3441903.000000000000000,3461996.439999999944121,3567179.399999999906868,10471079.839999999850988
20151006,3426888.000000000000000,3486976.310000000055879,3575948.640000000130385,10489813.950000001117587
20151007,3454896.750000000000000,3482527.839999999850988,3591538.399999999906868,10528963.990000000223517
20151008,3495610.500000000000000,3522906.260000000242144,3624666.640000000130385,10643184.400000000372529
20151009,3503406.750000000000000,3516404.649999999906868,3628564.080000000074506,10648376.480000000447035
20151012,3519865.500000000000000,3532829.770000000018626,3621256.379999999888241,10673952.649999998509884
20151013,3511491.750000000000000,3537620.429999999701977,3610538.419999999925494,10659651.599999999627471
20151014,3472799.250000000000000,3518457.789999999571592,3615410.219999999739230,10606668.259999997913837
20151015,3517266.750000000000000,3547201.750000000000000,3618333.299999999813735,10682802.800000000745058
20151016,3544120.500000000000000,3586895.789999999571592,3649025.640000000130385,10780042.929999999701977
20151019,3554515.500000000000000,3575603.520000000018626,3661692.319999999832362,10791812.339999999850988
20151020,3547296.750000000000000,3553361.169999999925494,3626128.180000000167638,10726787.099999999627471
20151021,3560290.500000000000000,3508876.470000000204891,3585205.060000000055879,10654373.030000001192093
20151022,3590898.000000000000000,3793920.740000000223517,3646589.739999999757856,11031409.480000000447035
20151023,3598116.750000000000000,3852777.419999999925494,3752794.979999999981374,11203690.150000000372529
20151026,3609666.750000000000000,3838747.630000000353903,3775205.259999999776483,11223620.640000000596046
20151027,3594074.250000000000000,3820269.370000000111759,3765461.660000000149012,11179806.280000001192093
20151028,3575305.500000000000000,3864754.069999999832362,3727461.620000000111759,11167522.190000001341105
20151029,3569819.250000000000000,3853803.990000000223517,3752307.799999999813735,11175932.039999999105930
20151030,3570108.000000000000000,3841142.959999999962747,3721128.279999999795109,11132380.240000000223517
20151102,3592341.750000000000000,3836352.299999999813735,3731846.239999999757856,11160541.289999999105930
20151103,3628435.500000000000000,3835325.729999999981374,3753769.339999999850988,11217531.570000000298023
20151104,3620350.500000000000000,3846275.810000000055879,3754256.520000000018626,11220883.830000000074506
20151105,3630168.000000000000000,3861674.359999999869615,3721615.459999999962747,11213458.820000000298023
20151106,3637675.500000000000000,3877415.100000000093132,3681666.699999999720603,11196758.299999998882413
20151109,3594940.500000000000000,3864411.880000000353903,3673384.640000000130385,11132738.020000001415610
20151110,3616885.500000000000000,3874335.390000000130385,3691410.299999999813735,11182632.190000001341105
20151111,3601004.250000000000000,3895893.359999999869615,3700666.719999999739230,11197565.329999998211861
20151112,3575016.750000000000000,3836352.299999999813735,3637333.319999999832362,11048703.369999999180436
20151113,3465003.000000000000000,3763123.640000000130385,3603230.719999999739230,10831358.359999999403954
20151116,3489258.000000000000000,3800422.350000000093132,3668512.839999999850988,10958194.189999999478459
20151117,3643450.500000000000000,3796316.069999999832362,3657307.699999999720603,11097075.269999999552965
20151118,3653845.500000000000000,3850724.279999999795109,3697743.640000000130385,11202314.419999999925494
20151119,3663085.500000000000000,3877072.909999999683350,3713333.399999999906868,11253492.810000000521541
20151120,3759816.750000000000000,3897946.500000000000000,3693846.199999999720603,11351610.449999999254942
20151123,3825940.500000000000000,3917109.140000000130385,3701153.899999999906868,11444204.540000000968575
20151124,3857703.000000000000000,3910607.529999999795109,3724538.540000000037253,11492850.070000000298023
20151125,3888021.750000000000000,3914713.810000000055879,3697743.640000000130385,11500480.200000001117587
20151127,3890620.500000000465661,3908896.580000000074506,3688000.040000000037253,11487518.120000001043081
20151130,3865788.000000000000000,3906501.250000000000000,3646102.560000000055879,11418392.810000000521541
20151201,3881669.250000000000000,3916424.760000000242144,3699692.359999999869615,11497787.369999999180436
20151202,3863766.750000000000000,3891444.890000000130385,3692384.660000000149012,11447597.300000000745058
20151203,3780606.750000000000000,3880152.620000000111759,3689948.759999999776483,11350709.129999998956919
20151204,3884556.750000000000000,3976308.010000000242144,3791769.379999999888241,11652635.140000000596046
20151207,3867231.750000000000000,3983836.189999999944121,3818077.100000000093132,11669146.039999999105930
20151208,3864633.000000000000000,3987600.279999999795109,3787871.939999999944121,11640106.219999998807907
20151209,3808615.500000000000000,3989311.229999999981374,3785436.040000000037253,11583363.769999999552965
20151210,3827095.500000000000000,4010527.010000000242144,3789820.660000000149012,11627444.169999999925494
20151211,3766458.000000000000000,3972201.729999999981374,3789333.479999999981374,11527994.210000000894070
20151214,3811791.749999999534339,3978361.149999999906868,3814179.660000000149012,11604333.559999998658895
