代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12674963.860000001266599
真實報酬,2674963.860000001266599

夏普值報酬,0.258796386000000
夏普值風險,0.081278911010407
夏普值,3.184053314479851

二次趨勢線,42.789193141356783 x^2 + 781.774842076810955 x + 10000000.000000000000000
二次加權預期報酬,15130.417608811783793
風險,190509.765007554320619
二次加權趨勢值,0.079420693255340
一次趨勢線,8852.854497873318905 x + 10000000.000000000000000
一次預期報酬,8852.854497873318905
一次風險,357824.663241981936153
一次趨勢值,0.024740761069023
找到最佳解世代,1926
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](7),KO[14](6),MCD[15](3),PG[21](1),
Stock#,HD[9](7),KO[14](6),MCD[15](3),PG[21](1),
張數,12042,54077,14999,29879,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,80.800000000279397,20.290000000037253,116.670000000391155,24.069999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465680.300000000279397,2515141.560000000055879,2477651.490000000689179,2520616.509999999776483,9979089.860000001266599
FS( 3 ),2453517.880000000353903,2480532.279999999795109,2469852.010000000242144,2480877.439999999944121,9884779.609999999403954
FS( 4 ),2394632.500000000000000,2479450.740000000223517,2486950.870000000577420,2447711.750000000000000,9808745.860000001266599
FS( 5 ),2364888.760000000242144,2481073.050000000279397,2498500.100000000093132,2454583.919999999925494,9799045.830000000074506
FS( 6 ),2389334.020000000018626,2513519.250000000000000,2516498.900000000372529,2462053.669999999925494,9881405.839999999850988
FS( 7 ),2357302.300000000279397,2508652.320000000298023,2547396.840000000782311,2456077.870000000111759,9869429.330000001937151
FS( 8 ),2332616.200000000186265,2470257.649999999906868,2525498.300000000279397,2433369.829999999608845,9761741.980000000447035
FS( 9 ),2284929.880000000353903,2414017.570000000298023,2444503.700000000186265,2356580.799999999813735,9500031.950000001117587
FS( 10 ),2317804.540000000037253,2416180.649999999906868,2457252.850000000093132,2362257.810000000055879,9553495.849999999627471
FS( 11 ),2302149.939999999944121,2428618.359999999869615,2455003.000000000000000,2394228.339999999850988,9579999.640000000596046
FS( 12 ),2331171.160000000614673,2459983.020000000018626,2461002.600000000093132,2420521.859999999869615,9672678.640000000596046
FS( 13 ),2229897.939999999944121,2479991.509999999776483,2501499.900000000372529,2445919.009999999776483,9657308.359999999403954
FS( 14 ),2172939.280000000260770,2466472.259999999776483,2502099.860000000335276,2397515.029999999795109,9539026.429999999701977
FS( 15 ),2165834.500000000000000,2505407.699999999720603,2512299.180000000633299,2608460.769999999552965,9792002.149999998509884
FS( 16 ),2152588.300000000279397,2485939.979999999981374,2499400.040000000502914,2587545.469999999739230,9725473.789999999105930
FS( 17 ),2149939.060000000521541,2507030.009999999776483,2657189.520000000484288,2604277.709999999962747,9918436.300000000745058
FS( 18 ),2131153.540000000037253,2527038.500000000000000,2660189.320000000298023,2672999.409999999683350,9991380.769999999552965
FS( 19 ),2156441.740000000223517,2515141.560000000055879,2629591.360000000335276,2659255.069999999832362,9960429.730000000447035
FS( 20 ),2074074.460000000195578,2483236.130000000353903,2600043.330000000540167,2625193.009999999776483,9782546.930000001564622
FS( 21 ),2085755.200000000186265,2512437.709999999962747,2598393.440000000409782,2636547.029999999795109,9833133.380000000819564
FS( 22 ),2122362.880000000353903,2575707.800000000279397,2677288.180000000633299,2664932.079999999608845,10040290.940000001341105
FS( 23 ),2118027.760000000242144,2589227.050000000279397,2653439.770000000484288,2649693.790000000037253,10010388.370000001043081
FS( 24 ),2173180.120000000577420,2581656.270000000018626,2623141.790000000502914,2676883.679999999701977,10054861.860000001266599
FS( 25 ),2166797.860000000335276,2595716.290000000037253,2651189.920000000391155,2683457.060000000055879,10097161.130000000819564
FS( 26 ),2194012.780000000260770,2633029.419999999925494,2705786.280000000260770,2724988.870000000111759,10257817.350000001490116
FS( 27 ),2191845.220000000204891,2655741.759999999776483,2740583.960000000428408,2734251.359999999869615,10322422.300000000745058
FS( 28 ),2254704.459999999962747,2669801.779999999795109,2763682.420000000391155,2727677.979999999981374,10415866.640000000596046
FS( 29 ),2263976.800000000279397,2667638.699999999720603,2782131.190000000409782,2729769.509999999776483,10443516.199999999254942
FS( 30 ),2239772.380000000353903,2686565.649999999906868,2789030.730000000447035,2761142.459999999962747,10476511.220000000670552
FS( 31 ),2160776.860000000335276,2696840.279999999795109,2765482.300000000279397,2769807.370000000111759,10392906.810000002384186
FS( 32 ),2155598.800000000279397,2696299.509999999776483,2760082.660000000149012,2792814.199999999720603,10404795.169999999925494
FS( 33 ),2166436.600000000558794,2690891.810000000055879,2757682.820000000298023,2793411.779999999795109,10408423.009999999776483
FS( 34 ),2135849.920000000391155,2689810.270000000018626,2753333.110000000335276,2803570.639999999664724,10382563.940000001341105
FS( 35 ),2131755.640000000596046,2713063.380000000353903,2813779.080000000540167,2803271.849999999627471,10461869.950000001117587
FS( 36 ),2090451.580000000307336,2731449.560000000055879,2800729.950000000186265,2787435.979999999981374,10410067.070000000298023
FS( 37 ),2035780.900000000372529,2670342.550000000279397,2755582.960000000428408,2751879.969999999739230,10213586.380000002682209
FS( 38 ),2038791.400000000372529,2635192.500000000000000,2740733.950000000186265,2731263.459999999962747,10145981.310000000521541
