代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13852533.210000000894070
真實報酬,3852533.210000000894070

夏普值報酬,0.376553321000000
夏普值風險,0.098700461723102
夏普值,3.815112051414683

二次趨勢線,40.744459488168026 x^2 + 4916.852286302982066 x + 10000000.000000000000000
二次加權預期報酬,18579.827701335332677
風險,249568.360948489222210
二次加權趨勢值,0.074447849201407
一次趨勢線,12602.245581170544028 x + 10000000.000000000000000
一次預期報酬,12602.245581170544028
一次風險,381405.479240692686290
一次趨勢值,0.033041595538321
找到最佳解世代,1883
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](4),NKE[19](3),V[25](1),
Stock#,MRK[17](4),NKE[19](3),V[25](1),
張數,51639,64263,31613,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,35.550000000279397,11.189999999944121,58.280000000260770,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3324037.980000000447035,3307627.799999999813735,3338074.950000000186265,9969741.730000000447035
FS( 3 ),3335914.950000000186265,3346828.229999999981374,3329223.310000000521541,10011967.490000000223517
FS( 4 ),3335914.950000000186265,3353254.529999999795109,3358623.399999999906868,10047793.880000000819564
FS( 5 ),3333333.000000000000000,3368677.649999999906868,3374113.770000000484288,10076125.420000001788139
FS( 6 ),3321972.420000000391155,3310840.950000000186265,3382965.410000000614673,10015779.780000001192093
FS( 7 ),3328685.489999999757856,3311483.580000000074506,3392449.310000000521541,10032619.380000000819564
FS( 8 ),3293570.970000000204891,3279352.080000000074506,3428172.000000000000000,10001096.050000000745058
FS( 9 ),3296152.920000000391155,3266499.479999999981374,3417739.710000000428408,9980393.110000001266599
FS( 10 ),3273431.760000000242144,3276138.929999999701977,3435126.860000000335276,9984698.550000000745058
FS( 11 ),3270849.810000000521541,3301201.500000000000000,3423746.180000000167638,9995798.490000000223517
FS( 12 ),3264653.130000000353903,3341687.189999999944121,3399720.300000000279397,10006061.620000001043081
FS( 13 ),3279628.439999999944121,3360966.089999999850988,3407939.680000000167638,10048535.209999999031425
FS( 14 ),3292021.800000000279397,3386028.659999999683350,3383281.540000000037253,10061333.000000000000000
FS( 15 ),3298734.870000000577420,3409805.970000000204891,3400036.430000000167638,10108578.270000001415610
FS( 16 ),3273948.150000000372529,3448363.769999999552965,3399404.170000000391155,10121717.089999999850988
FS( 17 ),3258972.840000000316650,3432940.649999999906868,3427223.610000000335276,10119138.100000001490116
FS( 18 ),3224891.100000000558794,3530620.409999999683350,3461365.649999999906868,10216878.160000000149012
FS( 19 ),3201137.160000000614673,3650792.220000000204891,3471165.680000000167638,10323096.060000000521541
FS( 20 ),3007490.910000000614673,3596168.669999999925494,3468320.510000000242144,10071981.089999999850988
FS( 21 ),2825205.240000000223517,3551827.200000000186265,3478752.800000000279397,9855786.240000000223517
FS( 22 ),2844828.060000000521541,3533833.560000000055879,3476856.020000000484288,9855518.640000000596046
FS( 23 ),2857737.810000000521541,3538974.600000000093132,3511314.189999999944121,9908027.599999999627471
FS( 24 ),2859286.979999999981374,3542187.750000000000000,3508469.020000000484288,9909944.750000000000000
FS( 25 ),2894917.890000000596046,3580102.919999999925494,3520481.960000000428408,9995503.770000001415610
FS( 26 ),2885622.870000000577420,3601309.709999999962747,3538185.240000000223517,10025118.820000000298023
FS( 27 ),2870647.560000000521541,3544115.639999999664724,3543559.450000000186265,9958323.650000000372529
FS( 28 ),2921770.170000000391155,3583316.069999999832362,3555572.390000000130385,10060659.630000000819564
FS( 29 ),2902663.740000000223517,3607093.379999999888241,3545140.100000000093132,10054898.220000000670552
FS( 30 ),2864967.270000000018626,3604522.860000000335276,3536920.720000000204891,10006411.850000001490116
FS( 31 ),2845344.450000000186265,3592955.519999999552965,3521746.480000000447035,9960047.449999999254942
FS( 32 ),2839664.160000000614673,3597453.929999999701977,3540082.020000000484288,9977201.109999999403954
FS( 33 ),2829852.750000000000000,3639224.879999999888241,3485391.530000000260770,9954470.160000000149012
FS( 34 ),2848959.180000000167638,3677782.679999999701977,3509733.540000000037253,10036476.399999998509884
FS( 35 ),2850508.350000000558794,3803738.159999999683350,3471797.939999999944121,10126045.449999999254942
FS( 36 ),2793705.450000000186265,3807593.939999999944121,3475907.630000000353903,10077208.020000001415610
FS( 37 ),2802484.080000000540167,3816590.759999999776483,3523327.130000000353903,10142402.970000000670552
FS( 38 ),2807647.979999999981374,3796026.600000000093132,3503410.939999999944121,10107086.519999999552965
FS( 39 ),2806615.200000000186265,3812092.350000000093132,3539765.890000000130385,10158474.440000001341105
FS( 40 ),2816943.000000000000000,3832013.879999999888241,3552727.220000000204891,10201685.099999999627471
FS( 41 ),2836565.820000000298023,3828800.729999999981374,3583707.960000000428408,10249075.510000001639128
FS( 42 ),2858770.590000000316650,3878925.870000000111759,3473062.460000000428408,10210759.920000001788139
FS( 43 ),2854123.080000000540167,3882781.649999999906868,3559365.950000000186265,10296271.679999999701977
FS( 44 ),2885106.479999999981374,3848079.629999999888241,3500565.770000000484288,10233752.879999998956919
FS( 45 ),2903180.130000000353903,3862217.490000000223517,3396242.870000000577420,10161641.490000002086163
FS( 46 ),2879942.580000000540167,3882781.649999999906868,3432597.820000000298023,10195323.050000000745058
FS( 47 ),2806615.200000000186265,3837797.549999999813735,3469268.899999999906868,10113682.650000000372529
FS( 48 ),2828303.580000000540167,3894348.990000000223517,3521746.480000000447035,10244400.050000000745058
FS( 49 ),2869614.780000000260770,3939333.089999999850988,3559682.080000000074506,10368630.949999999254942
FS( 50 ),2909376.810000000521541,3978533.519999999552965,3552411.090000000316650,10440322.419999999925494
FS( 51 ),2947073.280000000260770,3995241.899999999906868,3586869.260000000242144,10529185.439999999478459
FS( 52 ),2938811.040000000037253,4132122.089999999850988,3582127.310000000521541,10653061.440000001341105
FS( 53 ),2892335.939999999944121,4146902.580000000074506,3569798.240000000223517,10609037.759999999776483
FS( 54 ),2904212.910000000614673,4163610.960000000428408,3598249.939999999944121,10666074.810000000521541
FS( 55 ),2903180.130000000353903,4164896.220000000204891,3589714.430000000167638,10657791.780000001192093
FS( 56 ),2903696.520000000018626,4128266.309999999590218,3545140.100000000093132,10577103.929999999701977
FS( 57 ),2897499.840000000316650,4086495.360000000335276,3544507.840000000316650,10528504.040000000968575
FS( 58 ),2922802.950000000186265,4162325.699999999720603,3553675.610000000335276,10638805.260000001639128
FS( 59 ),2910409.590000000316650,4067216.459999999962747,3562527.250000000000000,10540154.300000000745058
FS( 60 ),2909376.810000000521541,4090351.139999999664724,3572011.149999999906868,10571740.099999999627471
FS( 61 ),2909376.810000000521541,4045367.040000000037253,3604572.540000000037253,10559317.390000000596046
FS( 62 ),2922802.950000000186265,4045367.040000000037253,3615004.830000000074506,10583175.820000000298023
FS( 63 ),2905762.080000000540167,4019661.839999999850988,3604572.540000000037253,10529997.460000000894070
FS( 64 ),2903180.130000000353903,4080069.060000000055879,3620062.910000000614673,10603313.100000001490116
FS( 65 ),2899049.010000000242144,4079426.429999999701977,3656101.730000000447035,10634578.169999999925494
FS( 66 ),2946040.500000000000000,4076855.909999999683350,3669695.320000000298023,10692592.730000000447035
FS( 67 ),2942942.160000000614673,4111557.929999999701977,3757579.460000000428408,10812080.550000000745058
FS( 68 ),2925901.290000000037253,4148187.839999999850988,3772753.700000000186265,10846843.830000000074506
FS( 69 ),2933130.750000000000000,4118626.860000000335276,3765482.710000000428408,10817241.320000000298023
FS( 70 ),2958950.250000000000000,4126981.049999999813735,3761373.020000000484288,10847305.320000000298023
FS( 71 ),2974441.950000000186265,4131479.460000000428408,3788560.200000000186265,10894482.609999999403954
FS( 72 ),3029179.290000000037253,4155899.399999999906868,3796463.450000000186265,10981543.140000000596046
FS( 73 ),3205268.280000000260770,4075570.649999999906868,3805947.350000000093132,11086787.279999999329448
