代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14463361.590000001713634
真實報酬,4463361.590000001713634

夏普值報酬,0.437636159000000
夏普值風險,0.127381901848461
夏普值,3.435622742708237

二次趨勢線,8.421570568612227 x^2 + 19184.403486960625742 x + 10000000.000000000000000
二次加權預期報酬,22019.665578393414762
風險,418918.612556824460626
二次加權趨勢值,0.052563111111246
一次趨勢線,20779.232159750128631 x + 10000000.000000000000000
一次預期報酬,20779.232159750128631
一次風險,423206.189423847070429
一次趨勢值,0.049099546932522
找到最佳解世代,2109
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,245098,85881,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.800000000745058,8.179999999701977,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4901960.800000000745058,4933871.629999999888241,9835832.429999999701977
FS( 3 ),4852941.200000001117587,4980247.370000000111759,9833188.570000000298023
FS( 4 ),4740196.120000001043081,4878048.979999999515712,9618245.100000001490116
FS( 5 ),4803921.600000001490116,4898660.419999999925494,9702582.020000001415610
FS( 6 ),4774509.840000000782311,4875472.549999999813735,9649982.390000000596046
FS( 7 ),4850490.220000000670552,4899519.229999999515712,9750009.449999999254942
FS( 8 ),4982843.140000000596046,4918413.049999999813735,9901256.190000001341105
FS( 9 ),4980392.160000001080334,4934730.439999999478459,9915122.600000001490116
FS( 10 ),5142156.840000000782311,4902095.659999999217689,10044252.500000000000000
FS( 11 ),5164215.660000001080334,4914119.000000000000000,10078334.660000000149012
FS( 12 ),5313725.440000000409782,4967365.219999999739230,10281090.660000000149012
FS( 13 ),5352941.120000001043081,5005152.859999999403954,10358093.980000000447035
FS( 14 ),5303921.520000000484288,5035211.209999999962747,10339132.730000000447035
FS( 15 ),5487745.020000000484288,5051528.599999999627471,10539273.620000001043081
FS( 16 ),5526960.700000001117587,4817073.469999999739230,10344034.170000001788139
FS( 17 ),5602941.080000001005828,4816214.659999999217689,10419155.740000000223517
FS( 18 ),5605392.060000001452863,4806767.750000000000000,10412159.810000002384186
FS( 19 ),5602941.080000001005828,4849708.250000000000000,10452649.330000001937151
FS( 20 ),5602941.080000001005828,4844555.389999999664724,10447496.470000000670552
FS( 21 ),5700980.280000001192093,4774132.969999999739230,10475113.250000000000000
FS( 22 ),5720588.120000001043081,4728616.040000000037253,10449204.160000000149012
FS( 23 ),5828431.240000001154840,4734627.709999999962747,10563058.950000001117587
FS( 24 ),5796568.500000000000000,4724321.989999999292195,10520890.489999998360872
FS( 25 ),5781862.620000001043081,4731192.469999999739230,10513055.089999999850988
FS( 26 ),5740195.960000000894070,4709722.219999999739230,10449918.179999999701977
FS( 27 ),5794117.520000000484288,4740639.379999999888241,10534756.900000000372529
FS( 28 ),5767156.740000001154840,4832532.049999999813735,10599688.790000000968575
FS( 29 ),5700980.280000001192093,4811061.799999999813735,10512042.080000001937151
FS( 30 ),5789215.560000001452863,4831673.239999999292195,10620888.800000000745058
FS( 31 ),5897058.680000000633299,4790450.359999999403954,10687509.039999999105930
FS( 32 ),5840686.140000000596046,4746651.049999999813735,10587337.190000001341105
FS( 33 ),5588235.200000001117587,4680522.679999999701977,10268757.880000000819564
FS( 34 ),5742646.940000000409782,4745792.239999999292195,10488439.179999999701977
FS( 35 ),5762254.780000001192093,4779285.829999999143183,10541540.609999999403954
FS( 36 ),5823529.280000001192093,4821367.519999999552965,10644896.800000000745058
FS( 37 ),5924019.460000000894070,4832532.049999999813735,10756551.510000001639128
FS( 38 ),5919117.500000000000000,4801614.889999999664724,10720732.390000000596046
FS( 39 ),5931372.400000000372529,4847990.629999999888241,10779363.030000001192093
FS( 40 ),5862744.960000000894070,4895225.179999999701977,10757970.140000000596046
FS( 41 ),5933823.380000000819564,4908966.139999999664724,10842789.519999999552965
FS( 42 ),5953431.220000000670552,4815355.849999999627471,10768787.070000000298023
FS( 43 ),5889705.740000001154840,4829955.620000000111759,10719661.360000001266599
FS( 44 ),5786764.580000001005828,4778427.019999999552965,10565191.600000001490116
FS( 45 ),5784313.600000001490116,4755239.149999999441206,10539552.750000000000000
FS( 46 ),5830882.220000000670552,4772415.349999999627471,10603297.570000000298023
FS( 47 ),5963235.140000000596046,4821367.519999999552965,10784602.660000000149012
FS( 48 ),6053921.400000000372529,4828238.000000000000000,10882159.400000000372529
FS( 49 ),5992646.900000000372529,4731192.469999999739230,10723839.370000001043081
FS( 50 ),6041666.500000000000000,4710581.030000000260770,10752247.530000001192093
FS( 51 ),6026960.620000001043081,4671075.769999999552965,10698036.390000000596046
FS( 52 ),6083333.160000001080334,4657334.809999999590218,10740667.970000000670552
FS( 53 ),6132352.760000000707805,4721745.559999999590218,10854098.320000000298023
FS( 54 ),6367646.840000000782311,4849708.250000000000000,11217355.089999999850988
FS( 55 ),6460784.080000001005828,4848849.439999999478459,11309633.519999999552965
FS( 56 ),6477940.940000000409782,4895225.179999999701977,11373166.120000001043081
FS( 57 ),6443627.220000000670552,4821367.519999999552965,11264994.740000000223517
FS( 58 ),6458333.100000001490116,4793026.790000000037253,11251359.890000000596046
FS( 59 ),6495097.800000000745058,4769838.919999999925494,11264936.720000000670552
FS( 60 ),6436274.280000001192093,4819649.899999999441206,11255924.179999999701977
FS( 61 ),6384803.700000001117587,4890931.129999999888241,11275734.830000001937151
FS( 62 ),6517156.620000001043081,4909824.950000000186265,11426981.570000000298023
FS( 63 ),6490195.840000000782311,4909824.950000000186265,11400020.790000000968575
FS( 64 ),6490195.840000000782311,4901236.849999999627471,11391432.690000001341105
FS( 65 ),6333333.120000001043081,4872896.120000000111759,11206229.240000002086163
FS( 66 ),6473038.980000000447035,4870319.689999999478459,11343358.669999999925494
FS( 67 ),6512254.660000001080334,4861731.589999999850988,11373986.250000000000000
FS( 68 ),6651960.520000000484288,4933012.819999999366701,11584973.339999999850988
FS( 69 ),6661764.440000000409782,4907248.519999999552965,11569012.960000000894070
FS( 70 ),6627450.720000000670552,4884060.649999999441206,11511511.370000001043081
FS( 71 ),6669117.380000000819564,4869460.879999999888241,11538578.260000001639128
FS( 72 ),6681372.280000001192093,4867743.259999999776483,11549115.540000000968575
FS( 73 ),6654411.500000000000000,4899519.229999999515712,11553930.730000000447035
FS( 74 ),6698529.140000000596046,4938165.679999999701977,11636694.820000000298023
FS( 75 ),6671568.360000000335276,4998282.379999999888241,11669850.740000000223517
FS( 76 ),6583333.080000001005828,5048093.359999999403954,11631426.440000001341105
FS( 77 ),6647058.560000001452863,5091033.859999999403954,11738092.420000001788139
FS( 78 ),6958333.020000000484288,5060116.700000000186265,12018449.720000000670552
FS( 79 ),7174019.260000000707805,5009446.909999999217689,12183466.169999999925494
FS( 80 ),7183823.180000000633299,5109927.679999999701977,12293750.859999999403954
FS( 81 ),7139705.540000000037253,5103916.009999999776483,12243621.550000000745058
FS( 82 ),7090685.940000000409782,5084163.379999999888241,12174849.320000000298023
FS( 83 ),6911764.400000000372529,5068704.799999999813735,11980469.199999999254942
FS( 84 ),6737744.820000000298023,5036070.019999999552965,11773814.839999999850988
FS( 85 ),6874999.700000001117587,5079010.519999999552965,11954010.220000000670552
FS( 86 ),6600489.940000000409782,5033493.589999999850988,11633983.530000001192093
FS( 87 ),6627450.720000000670552,5080728.139999999664724,11708178.859999999403954
FS( 88 ),6607842.880000000819564,5087598.620000000111759,11695441.500000000000000
FS( 89 ),6681372.280000001192093,5177773.669999999925494,11859145.950000001117587
FS( 90 ),6794117.360000000335276,5279972.059999999590218,12074089.419999999925494
FS( 91 ),6803921.280000001192093,5300583.500000000000000,12104504.780000001192093
FS( 92 ),7053921.240000001154840,5379594.019999999552965,12433515.260000001639128
FS( 93 ),7107842.800000000745058,5348676.859999999403954,12456519.660000000149012
FS( 94 ),7117646.720000000670552,5395911.409999999217689,12513558.129999998956919
FS( 95 ),7073529.080000001005828,5339229.950000000186265,12412759.030000001192093
FS( 96 ),7159313.380000000819564,5460322.159999999217689,12619635.539999999105930
FS( 97 ),7235293.760000000707805,5541909.109999999403954,12777202.870000001043081
FS( 98 ),7247548.660000001080334,5459463.349999999627471,12707012.010000001639128
FS( 99 ),7210783.960000000894070,5494674.559999999590218,12705458.519999999552965
FS( 100 ),7019607.520000000484288,5445722.389999999664724,12465329.910000000149012
FS( 101 ),6999999.680000000633299,5493815.750000000000000,12493815.429999999701977
FS( 102 ),7208332.980000000447035,5495533.370000000111759,12703866.350000001490116
FS( 103 ),7159313.380000000819564,5515286.000000000000000,12674599.380000000819564
FS( 104 ),7149509.460000000894070,5535038.629999999888241,12684548.089999999850988
FS( 105 ),7024509.480000000447035,5462039.780000000260770,12486549.260000001639128
FS( 106 ),6999999.680000000633299,5431981.429999999701977,12431981.109999999403954
FS( 107 ),6897058.520000000484288,5456886.919999999925494,12353945.440000001341105
FS( 108 ),6870097.740000001154840,5367570.679999999701977,12237668.420000001788139
FS( 109 ),6879901.660000001080334,5322053.750000000000000,12201955.410000000149012
FS( 110 ),6769607.560000001452863,5289418.969999999739230,12059026.530000001192093
FS( 111 ),6615195.820000000298023,5318618.509999999776483,11933814.330000000074506
FS( 112 ),6647058.560000001452863,5205255.589999999850988,11852314.150000002235174
FS( 113 ),6926470.280000001192093,5204396.780000000260770,12130867.060000002384186
FS( 114 ),6877450.680000000633299,5243043.229999999515712,12120493.910000000149012
FS( 115 ),6816176.180000000633299,5295430.639999999664724,12111606.820000000298023
FS( 116 ),6897058.520000000484288,5336653.519999999552965,12233712.039999999105930
FS( 117 ),6799019.320000000298023,5324630.179999999701977,12123649.500000000000000
FS( 118 ),6828431.080000001005828,5360700.200000000186265,12189131.280000001192093
FS( 119 ),6718136.980000000447035,5317759.700000000186265,12035896.679999999701977
FS( 120 ),6843136.960000000894070,5339229.950000000186265,12182366.910000000149012
FS( 121 ),6941176.160000001080334,5381311.639999999664724,12322487.800000000745058
FS( 122 ),7014705.560000001452863,5407934.750000000000000,12422640.310000002384186
FS( 123 ),7075980.060000001452863,5441428.339999999850988,12517408.400000002235174
FS( 124 ),7318627.080000001005828,5446581.200000000186265,12765208.280000001192093
FS( 125 ),7409313.340000000782311,5462898.589999999850988,12872211.929999999701977
FS( 126 ),7321078.060000001452863,5461180.969999999739230,12782259.030000001192093
FS( 127 ),7409313.340000000782311,5401064.269999999552965,12810377.609999999403954
FS( 128 ),7377450.600000001490116,5362417.819999999366701,12739868.420000001788139
FS( 129 ),7492646.660000001080334,5391617.359999999403954,12884264.019999999552965
FS( 130 ),7507352.540000000037253,5350394.479999999515712,12857747.019999999552965
FS( 131 ),7387254.520000000484288,5277395.629999999888241,12664650.150000000372529
FS( 132 ),7372548.640000000596046,5316042.079999999143183,12688590.719999998807907
