代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13417665.200000001117587
真實報酬,3417665.200000001117587

夏普值報酬,0.333066520000000
夏普值風險,0.093864128675281
夏普值,3.548389834334142

二次趨勢線,20.410381027891866 x^2 + 9839.313078224573474 x + 10000000.000000000000000
二次加權預期報酬,16710.808024281508551
風險,156561.498281776235672
二次加權趨勢值,0.106736382876240
一次趨勢線,13704.513829158073349 x + 10000000.000000000000000
一次預期報酬,13704.513829158073349
一次風險,213821.730433638877003
一次趨勢值,0.064093176130250
找到最佳解世代,1939
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](4),CSCO[4](7),DIS[6](2),DD[7](5),INTC[11](1),MRK[17](9),MSFT[18](3),
Stock#,AAPL[0](4),CSCO[4](7),DIS[6](2),DD[7](5),INTC[11](1),MRK[17](9),MSFT[18](3),
張數,20493,61470,22035,26183,62574,29310,42542,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,3.970000000204891,8.200000000186265,41.949999999953434,26.520000000018626,6.580000000074506,1.599999999860302,10.640000000130385,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1433284.390000000130385,1433488.600000000093132,1429672.749999999767169,1442971.649999999906868,1432325.440000000176951,1417726.299999999813735,1443035.280000000260770,10032507.410000000149012
FS( 3 ),1415250.550000000279397,1414432.900000000372529,1410722.649999999906868,1445589.949999999953434,1414178.980000000214204,1417433.199999999953434,1440482.760000000009313,9958093.990000000223517
FS( 4 ),1414020.970000000204891,1415047.600000000093132,1438927.449999999953434,1491148.370000000111759,1427319.520000000018626,1413622.899999999674037,1441333.600000000325963,10041423.410000000149012
FS( 5 ),1427956.210000000428408,1407056.500000000232831,1423282.600000000093132,1467321.840000000083819,1428571.000000000000000,1403657.499999999767169,1416659.239999999990687,9974507.890000000596046
FS( 6 ),1408078.000000000000000,1391689.000000000232831,1410281.949999999953434,1436425.899999999906868,1406670.100000000093132,1399554.099999999860302,1404322.060000000055879,9857024.109999999403954
FS( 7 ),1424472.400000000372529,1383083.200000000186265,1401247.600000000093132,1451350.209999999962747,1413553.239999999990687,1385485.300000000046566,1406874.580000000074506,9866069.530000001192093
FS( 8 ),1433489.320000000298023,1414432.900000000372529,1445097.250000000000000,1506334.510000000009313,1445465.980000000214204,1391933.500000000000000,1436228.560000000055879,10072985.020000001415610
FS( 9 ),1442711.170000000391155,1431029.800000000279397,1458979.299999999813735,1531470.190000000176951,1455477.820000000065193,1386071.499999999767169,1451969.100000000325963,10157711.880000000819564
FS( 10 ),1452137.950000000186265,1434718.000000000232831,1472641.000000000000000,1522044.310000000055879,1467366.880000000121072,1370244.099999999860302,1465582.540000000270084,10184737.780000001192093
