代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15051816.569999998435378
真實報酬,5051816.569999998435378

夏普值報酬,0.496481657000000
夏普值風險,0.112804993692313
夏普值,4.401238285196875

二次趨勢線,-15.922939639298999 x^2 + 23981.254872695346421 x + 10000000.000000000000000
二次加權預期報酬,18641.762446983750124
風險,226222.469802880688803
二次加權趨勢值,0.082404557174304
一次趨勢線,20977.802254211404943 x + 10000000.000000000000000
一次預期報酬,20977.802254211404943
一次風險,252747.167783151293406
一次趨勢值,0.082999158559156
找到最佳解世代,2748
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](6),HD[9](3),KO[14](7),VZ[26](2),WMT[28](5),
Stock#,AAPL[0](6),HD[9](3),KO[14](7),VZ[26](2),WMT[28](5),
張數,37376,63311,61143,55035,38491,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,10.239999999990687,5.510000000009313,12.469999999972060,28.099999999860302,7.639999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1988787.199999999953434,2055713.679999999934807,1994497.129999999888241,2003302.099999999860302,2035411.719999999972060,10077711.830000000074506
FS( 3 ),2019809.280000000027940,2078505.639999999897555,2003668.580000000074506,1968630.050000000046566,2026558.789999999804422,10097172.339999999850988
FS( 4 ),2014950.399999999906868,2113326.690000000409782,1999388.570000000065193,1976334.949999999720603,2030407.889999999897555,10134408.500000000000000
FS( 5 ),1974584.319999999832362,2147514.629999999888241,2014674.320000000065193,1990093.699999999720603,2066974.340000000083819,10193841.309999998658895
FS( 6 ),2075873.280000000027940,2194364.769999999552965,2045245.820000000065193,2030819.599999999860302,2109699.349999999627471,10456002.820000000298023
FS( 7 ),2137169.919999999925494,2197530.320000000298023,2042188.669999999925494,2008805.599999999860302,2106235.160000000149012,10491929.669999999925494
FS( 8 ),2147635.200000000186265,2198163.429999999701977,2062977.290000000037253,2018161.550000000046566,2124710.839999999850988,10551648.310000000521541
FS( 9 ),2180899.839999999850988,2178537.019999999552965,2060531.570000000065193,2037423.800000000046566,2117782.459999999962747,10575174.690000001341105
FS( 10 ),2253409.280000000260770,2219056.059999999590218,2073983.030000000027940,2054484.649999999674037,2134718.500000000000000,10735651.519999999552965
FS( 11 ),2242570.240000000223517,2193731.660000000149012,2048302.969999999972060,2033020.999999999767169,2108544.620000000111759,10626170.489999998360872
FS( 12 ),2254530.559999999590218,2276035.959999999962747,2040354.379999999888241,2049531.500000000000000,2151269.629999999888241,10771722.029999997466803
FS( 13 ),2128573.440000000409782,2241214.910000000149012,2049525.830000000074506,2039074.849999999627471,2165126.389999999664724,10623515.420000001788139
FS( 14 ),2110632.959999999962747,2262107.540000000037253,2051971.550000000046566,2041826.599999999860302,2169745.309999999590218,10636283.960000000894070
FS( 15 ),2097551.360000000335276,2333648.969999999739230,2084988.770000000018626,2059437.800000000046566,2190915.360000000335276,10766542.260000001639128
FS( 16 ),2166696.959999999962747,2323519.209999999962747,2075205.889999999897555,2032470.649999999906868,2185526.620000000111759,10783419.329999998211861
FS( 17 ),2123714.559999999590218,2281733.950000000186265,2047080.109999999869615,1991744.749999999767169,2182832.250000000000000,10627105.619999999180436
FS( 18 ),2139038.719999999739230,2314022.559999999590218,2062977.290000000037253,2025866.449999999953434,2208236.309999999590218,10750141.329999998211861
FS( 19 ),2160716.799999999813735,2365937.580000000074506,2095994.510000000009313,2072646.199999999720603,2225172.349999999627471,10920467.439999999478459
FS( 20 ),2162211.839999999850988,2286798.830000000074506,2107611.679999999701977,2070995.149999999906868,2199768.290000000037253,10827385.789999999105930
FS( 21 ),2161464.320000000298023,2266539.309999999590218,2088657.349999999860302,2035222.399999999674037,2183217.160000000149012,10735100.539999999105930
FS( 22 ),2116986.879999999888241,2250078.450000000186265,2049525.830000000074506,2007154.549999999813735,2164356.569999999366701,10588102.280000001192093
FS( 23 ),2121845.759999999776483,2278568.400000000372529,2072148.739999999990687,2025316.099999999627471,2188605.899999999441206,10686484.899999998509884
FS( 24 ),2152120.320000000298023,2307691.459999999962747,2099051.660000000149012,2061088.850000000093132,2210160.860000000335276,10830113.150000002235174
FS( 25 ),2137169.919999999925494,2303892.799999999813735,2072148.739999999990687,2045679.050000000046566,2213240.139999999664724,10772130.649999998509884
FS( 26 ),2134179.839999999850988,2364038.250000000000000,2084988.770000000018626,2055035.000000000000000,2230176.179999999701977,10868418.039999999105930
FS( 27 ),2168939.520000000484288,2402024.849999999627471,2099051.660000000149012,2064941.300000000046566,2283293.759999999776483,11018251.089999999850988
FS( 28 ),2110632.959999999962747,2352642.269999999552965,2049525.830000000074506,2030269.250000000000000,2234410.189999999478459,10777480.499999998137355
FS( 29 ),2056811.520000000018626,2355174.709999999962747,2060531.570000000065193,2054484.649999999674037,2237489.469999999739230,10764491.920000001788139
FS( 30 ),2053821.440000000176951,2409622.169999999925494,2082543.050000000046566,2064941.300000000046566,2278674.839999999850988,10889602.800000000745058
FS( 31 ),2025041.919999999925494,2421651.259999999776483,2072760.169999999925494,2036323.099999999860302,2266742.629999999888241,10822519.079999998211861
FS( 32 ),2076247.039999999804422,2410255.280000000260770,2078874.469999999972060,2049531.500000000000000,2211700.500000000000000,10826608.789999999105930
FS( 33 ),2054568.959999999962747,2395693.750000000000000,2048914.399999999906868,2017060.849999999860302,2181677.519999999552965,10697915.479999998584390
FS( 34 ),2015324.160000000149012,2381765.330000000074506,2036685.800000000046566,2019812.600000000093132,2183602.069999999366701,10637189.960000000894070
FS( 35 ),2001868.800000000046566,2398226.190000000409782,2060531.570000000065193,2006604.199999999953434,2202847.569999999366701,10670078.329999998211861
FS( 36 ),1970472.959999999962747,2346311.169999999925494,2016508.609999999869615,1985140.549999999813735,2180907.700000000186265,10499340.990000000223517
FS( 37 ),2010465.280000000027940,2348843.610000000335276,2017120.040000000037253,1991744.749999999767169,2188220.990000000223517,10556394.670000001788139
FS( 38 ),1959633.919999999925494,2312123.230000000447035,1983491.389999999897555,1945515.349999999860302,2180137.879999999888241,10380901.769999999552965
FS( 39 ),1941319.679999999934807,2308957.679999999701977,1979211.379999999888241,1945515.349999999860302,2189760.629999999888241,10364764.719999998807907
FS( 40 ),2008222.719999999972060,2361505.809999999590218,1992662.840000000083819,1995046.849999999860302,2203617.389999999664724,10561055.609999999403954
FS( 41 ),1992524.800000000046566,2466602.070000000298023,2023845.770000000018626,2015960.149999999906868,2239029.110000000335276,10737961.900000002235174
FS( 42 ),2040739.840000000083819,2483062.929999999701977,2055640.129999999888241,2076498.649999999674037,2267127.540000000037253,10923069.089999999850988
FS( 43 ),2071388.160000000149012,2490660.250000000000000,2043411.530000000027940,2078700.050000000046566,2255965.149999999441206,10940125.140000000596046
FS( 44 ),2080732.160000000149012,2528646.849999999627471,2029348.639999999897555,2083102.849999999860302,2235949.830000000074506,10957780.330000000074506
FS( 45 ),2098298.879999999888241,2547007.040000000037253,2027514.349999999860302,2094109.849999999627471,2245572.580000000074506,11012502.699999999254942
FS( 46 ),2087459.840000000083819,2552705.030000000260770,2038520.090000000083819,2108969.299999999813735,2262508.620000000111759,11050162.879999998956919
FS( 47 ),2077368.319999999832362,2578662.540000000037253,2041577.239999999990687,2108418.950000000186265,2252116.049999999813735,11058143.100000001490116
FS( 48 ),2085964.800000000046566,2526747.519999999552965,2040354.379999999888241,2080901.449999999953434,2231715.819999999366701,10965683.969999998807907
FS( 49 ),2101662.719999999739230,2547007.040000000037253,2065423.010000000009313,2115023.149999999441206,2244802.759999999776483,11073918.679999997839332
FS( 50 ),2092318.719999999972060,2535611.059999999590218,2045245.820000000065193,2110620.349999999627471,2235949.830000000074506,11019745.779999999329448
FS( 51 ),2075873.280000000027940,2501423.120000000111759,2032405.790000000037253,2105667.200000000186265,2217089.240000000223517,10932458.630000000819564
FS( 52 ),2029900.800000000046566,2477998.049999999813735,2025680.060000000055879,2105667.200000000186265,2219013.790000000037253,10858259.899999998509884
FS( 53 ),2023173.120000000111759,2495725.129999999888241,2045245.820000000065193,2114472.799999999813735,2230561.089999999850988,10909177.960000000894070
FS( 54 ),2034385.919999999925494,2559036.129999999888241,2061754.429999999934807,2134285.400000000372529,2242878.209999999962747,11032340.089999999850988
FS( 55 ),2040739.840000000083819,2545107.709999999962747,2059920.139999999897555,2126030.150000000372529,2224017.620000000111759,10995815.460000000894070
