代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10896215.279999999329448
真實報酬,896215.279999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17563.287681797864934
風險,53078.856981705524959
起點值,0.330890465253450
找到最佳解世代,2354
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,7
AAPL[0](2),CSCO[4](3),CVX[5](14),DIS[6](4),INTC[11](7),MCD[15](24),VZ[26](5),
Stock#,AAPL[0](2),CSCO[4](3),CVX[5](14),DIS[6](4),INTC[11](7),MCD[15](24),VZ[26](5),
張數,16906,62084,11434,17955,54010,14149,30253,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,14.000000000000000,18.159999999916181,7.040000000037253,71.199999999953434,6.500000000000000,87.960000000195578,24.340000000083819,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1431106.900000000139698,1424225.120000000111759,1426055.520000000018626,1442037.250000000000000,1426410.600000000093132,1435221.030000000260770,1425545.699999999953434,10010605.120000001043081
FS( 3 ),1451394.099999999860302,1425466.800000000046566,1433373.280000000027940,1458376.300000000046566,1413448.200000000186265,1431117.820000000298023,1433714.010000000009313,10046893.509999999776483
FS( 4 ),1435671.520000000018626,1410566.639999999897555,1428914.020000000018626,1454964.849999999860302,1415068.500000000000000,1428429.510000000242144,1436134.250000000000000,10009752.289999999105930
FS( 5 ),1430599.719999999972060,1419879.239999999990687,1443320.860000000102445,1441678.150000000139698,1424250.199999999953434,1442720.000000000000000,1455193.640000000130385,10057644.810000002384186
FS( 6 ),1420118.000000000000000,1429191.839999999850988,1430286.100000000093132,1465199.199999999953434,1422629.899999999906868,1442578.510000000242144,1466992.310000000055879,10076998.859999999403954
FS( 7 ),1414200.900000000139698,1429191.839999999850988,1429600.060000000055879,1471483.449999999953434,1420469.500000000000000,1456444.530000000260770,1466689.780000000027940,10088083.060000000521541
FS( 8 ),1431783.139999999897555,1439746.120000000111759,1432001.199999999953434,1479922.300000000046566,1424250.199999999953434,1455454.100000000093132,1457008.820000000065193,10120168.880000000819564
FS( 9 ),1433980.919999999925494,1419258.399999999906868,1438975.939999999944121,1473817.599999999860302,1428571.000000000000000,1464933.930000000167638,1447630.390000000130385,10107171.179999999701977
FS( 10 ),1434319.040000000037253,1416154.199999999720603,1445493.320000000065193,1452989.800000000046566,1422089.799999999813735,1457859.430000000167638,1452470.870000000111759,10081379.460000000894070
FS( 11 ),1422146.719999999972060,1501209.279999999795109,1415650.580000000074506,1439164.449999999953434,1404806.600000000093132,1450360.460000000195578,1450958.220000000204891,10084299.310000002384186
FS( 12 ),1443110.159999999916181,1513005.239999999990687,1408447.160000000149012,1443473.649999999906868,1394544.699999999953434,1459415.820000000298023,1484539.050000000046566,10146538.780000001192093
FS( 13 ),1460185.219999999972060,1511763.560000000055879,1405817.340000000083819,1455323.949999999953434,1406426.899999999906868,1444559.370000000344589,1486959.290000000037253,10171038.630000002682209
FS( 14 ),1460523.340000000083819,1497484.239999999990687,1400672.040000000037253,1456042.149999999906868,1406426.899999999906868,1436635.930000000167638,1471832.790000000037253,10129620.390000000596046
FS( 15 ),1464411.719999999972060,1519834.479999999981374,1419652.479999999981374,1475792.649999999906868,1415068.500000000000000,1451209.400000000139698,1487564.350000000093132,10233536.580000000074506
FS( 16 ),1466609.500000000000000,1513626.079999999841675,1413592.459999999962747,1478665.449999999953434,1412368.000000000000000,1449653.010000000242144,1496035.190000000176951,10230552.689999999478459
FS( 17 ),1483177.380000000121072,1522317.839999999850988,1410619.620000000111759,1496081.799999999813735,1419929.399999999906868,1443285.960000000195578,1504808.560000000055879,10280223.560000000521541
FS( 18 ),1511072.280000000027940,1534113.800000000046566,1404559.600000000093132,1503622.899999999906868,1442613.600000000093132,1448379.600000000093132,1501178.199999999953434,10345542.979999998584390
FS( 19 ),1507014.840000000083819,1540943.040000000037253,1400900.719999999972060,1501109.199999999953434,1451795.300000000046566,1433381.660000000149012,1504808.560000000055879,10339956.320000000298023
FS( 20 ),1534571.619999999878928,1532251.279999999795109,1398613.919999999925494,1508829.849999999860302,1456116.100000000093132,1433947.620000000344589,1504203.500000000000000,10368536.890000000596046
FS( 21 ),1528823.580000000074506,1528526.239999999990687,1403987.900000000139698,1508470.750000000000000,1475559.699999999953434,1435221.030000000260770,1511464.220000000204891,10392056.420000001788139
FS( 22 ),1518341.860000000102445,1538459.679999999934807,1397356.179999999934807,1513139.049999999813735,1472319.100000000093132,1443710.430000000167638,1514186.989999999990687,10397516.289999999105930
FS( 23 ),1539812.479999999981374,1532251.279999999795109,1401243.739999999990687,1506136.599999999860302,1493923.100000000093132,1435504.010000000242144,1491194.709999999962747,10400068.919999998062849
FS( 24 ),1557394.719999999972060,1521076.159999999916181,1398956.939999999944121,1512600.399999999906868,1490682.500000000000000,1449511.520000000251457,1486959.290000000037253,10417184.530000001192093
FS( 25 ),1563480.880000000121072,1533492.959999999962747,1412334.719999999972060,1522296.099999999860302,1493923.100000000093132,1449653.010000000242144,1490892.180000000167638,10466075.949999999254942
FS( 26 ),1559085.320000000065193,1541563.879999999888241,1419995.500000000000000,1519243.750000000000000,1521468.200000000186265,1442720.000000000000000,1495127.600000000093132,10499207.250000000000000
FS( 27 ),1584106.199999999953434,1539701.359999999869615,1422053.620000000111759,1534864.600000000093132,1507425.600000000093132,1434513.580000000074506,1499665.550000000046566,10522333.509999999776483
FS( 28 ),1593404.500000000000000,1552118.159999999916181,1433144.600000000093132,1521757.449999999953434,1525248.899999999906868,1427439.080000000074506,1498152.900000000139698,10551268.589999999850988
FS( 29 ),1586811.159999999916181,1554601.519999999785796,1431315.160000000149012,1513857.250000000000000,1508505.800000000046566,1420930.540000000270084,1493614.949999999953434,10509639.379999998956919
FS( 30 ),1560268.739999999990687,1531009.599999999860302,1441948.780000000027940,1486745.199999999953434,1510126.100000000093132,1411592.200000000186265,1483631.459999999962747,10425325.080000001937151
FS( 31 ),1543193.679999999934807,1533492.959999999962747,1455097.880000000121072,1486745.199999999953434,1613285.199999999953434,1421920.970000000204891,1487866.880000000121072,10541605.770000001415610
FS( 32 ),1558747.199999999953434,1522938.679999999934807,1469733.399999999906868,1495722.699999999953434,1620846.600000000093132,1430551.860000000102445,1491799.770000000251457,10590343.209999999031425
FS( 33 ),1556718.479999999981374,1521076.159999999916181,1473049.260000000242144,1493209.000000000000000,1617606.000000000000000,1432957.190000000176951,1488774.470000000204891,10583393.560000000521541
FS( 34 ),1558409.080000000074506,1529147.079999999841675,1489628.560000000055879,1500750.099999999860302,1616525.800000000046566,1434089.110000000102445,1495127.600000000093132,10623680.330000000074506
FS( 35 ),1552999.159999999916181,1534113.800000000046566,1509180.700000000186265,1504161.549999999813735,1625167.399999999906868,1442012.550000000046566,1496640.250000000000000,10664278.410000000149012
