代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12607843.500000000000000
真實報酬,2607843.500000000000000

夏普值報酬,0.252084350000000
夏普值風險,0.074518697888493
夏普值,3.382833532292937

二次趨勢線,69.584965311015225 x^2 + -8186.214042402051746 x + 10000000.000000000000000
二次加權預期報酬,15240.724278973069886
風險,227679.344600028765853
二次加權趨勢值,0.066939424416154
一次趨勢線,4991.387091367519133 x + 10000000.000000000000000
一次預期報酬,4991.387091367519133
一次風險,546211.517641067504883
一次趨勢值,0.009138194509197
找到最佳解世代,2078
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](11),MRK[17](1),PFE[20](2),
Stock#,MCD[15](11),MRK[17](1),PFE[20](2),
張數,19282,59662,91701,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.659999999683350,17.060000000055879,1.649999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3290526.959999999962747,3354214.700000000186265,3306739.709999999962747,9951482.370000001043081
FS( 3 ),3335646.839999999850988,3327366.800000000279397,3267308.280000000260770,9930322.920000001788139
FS( 4 ),3345095.019999999552965,3242646.760000000242144,3260889.209999999962747,9848631.989999998360872
FS( 5 ),3334104.279999999795109,3267704.800000000279397,3255387.149999999906868,9857197.230000000447035
FS( 6 ),3338731.959999999962747,3315434.399999999906868,3277395.390000000130385,9931562.750000000000000
FS( 7 ),3340660.159999999683350,3361374.140000000130385,3320494.859999999869615,10022530.160000000149012
FS( 8 ),3320992.519999999552965,3404927.399999999906868,3354424.229999999981374,10080345.150000000372529
FS( 9 ),3346444.759999999776483,3395381.479999999981374,3359926.290000000037253,10101753.530000001192093
FS( 10 ),3338539.139999999199063,3341685.680000000167638,3343420.109999999869615,10023645.929999999701977
FS( 11 ),3356278.579999999608845,3355407.939999999944121,3411278.850000000093132,10122966.369999999180436
FS( 12 ),3358978.059999999590218,3354214.700000000186265,3404859.780000000260770,10118053.539999999105930
FS( 13 ),3343359.639999999199063,3354811.319999999832362,3387436.589999999850988,10085608.549999998882413
FS( 14 ),3319835.599999999627471,3347651.879999999888241,3343420.109999999869615,10010908.589999999850988
FS( 15 ),3313665.359999999403954,3376886.260000000242144,3323245.890000000130385,10013798.509999999776483
FS( 16 ),3305374.099999999627471,3362567.379999999888241,3314075.790000000037253,9982018.269999999552965
FS( 17 ),3302867.439999999478459,3361374.140000000130385,3320494.859999999869615,9984737.439999999478459
FS( 18 ),3329476.599999999627471,3361374.140000000130385,3331498.979999999981374,10022350.720000000670552
FS( 19 ),3337767.859999999403954,3376886.260000000242144,3335167.019999999552965,10049822.139999998733401
FS( 20 ),3318871.500000000000000,3357197.800000000279397,3321411.869999999646097,9997482.169999999925494
FS( 21 ),3340081.699999999720603,3354214.700000000186265,3341586.089999999850988,10035883.490000000223517
FS( 22 ),3326005.839999999850988,3349441.740000000223517,3366345.359999999869615,10041793.939999999478459
FS( 23 ),3349337.059999999590218,3403734.159999999683350,3373681.439999999944121,10126753.659999998286366
FS( 24 ),3356085.759999999776483,3400154.439999999944121,3380100.509999999776483,10136341.709999999031425
FS( 25 ),3353771.919999999925494,3380465.979999999981374,3342503.100000000093132,10076742.000000000000000
FS( 26 ),3346251.939999999478459,3388818.659999999683350,3338835.059999999590218,10073906.660000000149012
FS( 27 ),3345673.479999999515712,3418649.659999999683350,3344337.119999999646097,10108661.259999997913837
FS( 28 ),3343359.639999999199063,3436548.260000000242144,3352590.209999999962747,10132499.109999999403954
FS( 29 ),3346830.399999999441206,3499789.979999999981374,3350756.189999999944121,10197377.569999998435378
FS( 30 ),3348951.419999999925494,3703237.399999999906868,3356258.250000000000000,10408448.070000000298023
FS( 31 ),3374018.019999999552965,3700850.919999999925494,3409444.830000000074506,10484314.769999999552965
FS( 32 ),3366112.399999999441206,3647155.120000000111759,3392021.640000000130385,10405290.160000000149012
FS( 33 ),3395999.500000000000000,3656104.419999999925494,3387436.589999999850988,10439541.509999999776483
FS( 34 ),3397734.879999999888241,3654314.560000000055879,3386519.580000000074506,10438570.019999999552965
FS( 35 ),3409304.079999999608845,3681162.460000000428408,3376432.469999999739230,10466900.009999999776483
FS( 36 ),3395999.500000000000000,3650138.220000000204891,3386519.580000000074506,10432658.300000000745058
FS( 37 ),3387129.779999999795109,3657297.659999999683350,3414029.879999999422580,10458458.319999998435378
FS( 38 ),3439191.180000000167638,3701447.540000000037253,3577257.659999999683350,10717897.380000000819564
FS( 39 ),3427814.799999999813735,3676986.120000000111759,3578174.670000000391155,10682976.589999999850988
FS( 40 ),3325813.019999999552965,3618517.359999999869615,3466299.449999999720603,10410630.829999998211861
FS( 41 ),3299975.139999999199063,3534990.560000000055879,3396606.689999999944121,10231573.389999998733401
FS( 42 ),3314629.459999999962747,3571384.379999999888241,3377349.479999999981374,10263364.320000000298023
FS( 43 ),3266038.819999999366701,3493823.780000000260770,3357175.259999999776483,10117038.859999999403954
FS( 44 ),3159409.359999999403954,3364953.859999999869615,3179275.319999999832362,9703639.539999999105930
FS( 45 ),3185054.419999999925494,3308871.580000000074506,3235212.930000000167638,9729139.929999999701977
FS( 46 ),3195273.879999999888241,3333929.620000000111759,3207702.629999999422580,9736907.129999998956919
FS( 47 ),3065313.199999999720603,3265318.319999999832362,3083906.280000000260770,9414538.800000000745058
FS( 48 ),3100599.259999999776483,3273671.000000000000000,3132507.809999999590218,9506779.070000000298023
FS( 49 ),3160373.459999999962747,3307081.720000000204891,3178358.309999999590218,9645814.489999998360872
FS( 50 ),3131450.459999999962747,3275460.859999999869615,3204034.589999999850988,9610946.910000000149012
FS( 51 ),3084980.839999999850988,3275460.859999999869615,3226959.839999999850988,9587402.539999999105930
FS( 52 ),3100213.619999999646097,3340492.439999999944121,3274644.359999999869615,9715351.419999999925494
FS( 53 ),3042560.439999999478459,3358391.040000000037253,3325079.909999999683350,9726032.389999998733401
FS( 54 ),3030412.779999999795109,3280233.819999999832362,3302154.659999999683350,9612802.259999999776483
FS( 55 ),3058950.139999999199063,3254579.159999999683350,3279229.409999999683350,9592759.709999999031425
FS( 56 ),3097899.779999999795109,3255772.399999999906868,3277395.390000000130385,9631068.570000000298023
FS( 57 ),3144176.579999999608845,3273671.000000000000000,3325079.909999999683350,9742928.490000000223517
FS( 58 ),3154203.219999999739230,3344668.780000000260770,3401191.740000000223517,9900064.740000000223517
FS( 59 ),3097899.779999999795109,3264721.700000000186265,3374598.449999999720603,9737220.929999999701977
FS( 60 ),3041596.339999999850988,3234890.700000000186265,3329664.959999999962747,9606153.000000000000000
FS( 61 ),3002261.059999999590218,3203866.460000000428408,3267308.280000000260770,9473436.800000000745058
FS( 62 ),2858995.799999999813735,3243243.379999999888241,3296652.600000000093132,9398892.779999999329448
FS( 63 ),2912214.119999999646097,3245629.859999999869615,3312241.769999999552965,9470086.750000000000000
FS( 64 ),2915492.059999999590218,3239663.659999999683350,3290233.530000000260770,9445390.250000000000000
FS( 65 ),2938244.819999999366701,3249806.200000000186265,3294818.580000000074506,9482870.599999999627471
FS( 66 ),2977965.739999999757856,3267108.180000000167638,3347088.149999999906868,9592163.070000000298023
FS( 67 ),3031955.339999999850988,3289779.740000000223517,3371847.420000000391155,9693583.500000000000000
FS( 68 ),3041596.339999999850988,3302905.379999999888241,3357175.259999999776483,9701677.980000000447035
FS( 69 ),3050851.699999999720603,3303502.000000000000000,3370013.399999999906868,9724368.099999999627471
FS( 70 ),3051237.339999999850988,3269494.659999999683350,3333333.000000000000000,9654066.000000000000000
FS( 71 ),3116217.680000000167638,3296342.560000000055879,3354424.229999999981374,9766985.470000000670552
FS( 72 ),3130679.180000000167638,3321400.600000000093132,3372764.430000000167638,9824845.210000000894070
FS( 73 ),3066084.479999999515712,3259352.120000000111759,3331498.979999999981374,9656936.580000000074506
FS( 74 ),3073218.819999999366701,3259948.740000000223517,3331498.979999999981374,9664667.539999999105930
FS( 75 ),3059335.779999999795109,3262931.839999999850988,3325996.920000000391155,9648265.539999999105930
