代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12112192.480000000447035
真實報酬,2112192.480000000447035

夏普值報酬,0.202519248000000
夏普值風險,0.061183321037143
夏普值,3.310040131313807

二次趨勢線,14.429569824346833 x^2 + 5331.431389957750071 x + 10000000.000000000000000
二次加權預期報酬,10208.625990586977423
風險,154378.171116272686049
二次加權趨勢值,0.066127392990672
一次趨勢線,8074.842680052944161 x + 10000000.000000000000000
一次預期報酬,8074.842680052944161
一次風險,186014.880974463681923
一次趨勢值,0.043409659688256
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](1),PG[21](4),WMT[28](9),
Stock#,MRK[17](1),PG[21](4),WMT[28](9),
張數,67517,46328,51864,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,18.709999999962747,33.399999999906868,33.720000000204891,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3385321.089999999850988,3355107.160000000149012,3370156.440000000409782,10110585.690000001341105
FS( 3 ),3458914.619999999646097,3392169.560000000055879,3416315.400000000372529,10267400.580000000074506
FS( 4 ),3362365.309999999590218,3400508.600000000093132,3406461.240000000689179,10169336.150000000372529
FS( 5 ),3440009.860000000335276,3415333.560000000055879,3441728.760000000242144,10297073.179999999701977
FS( 6 ),3444736.050000000279397,3446836.600000000093132,3468698.040000000037253,10360271.690000001341105
FS( 7 ),3440009.860000000335276,3450542.840000000316650,3458843.879999999888241,10349397.580000001937151
FS( 8 ),3423805.779999999795109,3443593.639999999664724,3471291.240000000689179,10338691.660000000149012
FS( 9 ),3340084.699999999720603,3433401.479999999981374,3460918.440000000409782,10234405.620000001043081
FS( 10 ),3344810.890000000130385,3438034.279999999795109,3113429.640000000130385,9896275.810000000521541
FS( 11 ),3424480.949999999720603,3440813.959999999497086,3077124.840000000316650,9942420.750000000000000
FS( 12 ),3475793.869999999646097,3470000.600000000093132,3054304.680000000167638,10000100.150000000372529
FS( 13 ),3470392.509999999776483,3482045.879999999888241,3052230.120000000111759,10004669.509999999776483
FS( 14 ),3402200.339999999850988,3448226.440000000409782,3047043.720000000204891,9897471.500000000000000
FS( 15 ),3415703.740000000223517,3409310.919999999925494,3041338.680000000167638,9866354.339999999850988
FS( 16 ),3511577.879999999888241,3467684.199999999720603,3054823.320000000298023,10034086.400000000372529
FS( 17 ),3570317.669999999925494,3568679.239999999757856,3023704.919999999925494,10162702.830000000074506
FS( 18 ),3572343.179999999701977,3589990.119999999646097,3009183.000000000465661,10171517.299999998882413
FS( 19 ),3610152.699999999720603,3580724.520000000018626,2981176.439999999944121,10172054.660000000149012
FS( 20 ),3720205.410000000149012,3544588.680000000167638,2989474.680000000167638,10254269.769999999552965
FS( 21 ),3704676.500000000000000,3568215.959999999497086,3006071.160000000149012,10278964.619999999180436
FS( 22 ),3690497.929999999701977,3538566.039999999571592,2968729.080000000540167,10197794.049999998882413
FS( 23 ),3720880.580000000074506,3548758.199999999720603,2987918.760000000242144,10257558.539999999105930
