代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12571969.059999998658895
真實報酬,2571969.059999998658895

夏普值報酬,0.248496906000000
夏普值風險,0.083911427689360
夏普值,2.961419115879375

二次趨勢線,85.388549239419774 x^2 + -10978.047461838530580 x + 10000000.000000000000000
二次加權預期報酬,17541.727984127675882
風險,140488.951798319933005
二次加權趨勢值,0.124861974978003
一次趨勢線,5064.262312932702116 x + 10000000.000000000000000
一次預期報酬,5064.262312932702116
一次風險,615885.924079818069004
一次趨勢值,0.008222727805476
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](3),NKE[19](4),TRV[22](1),
Stock#,JNJ[12](3),NKE[19](4),TRV[22](1),
張數,51109,119774,51599,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.020000000018626,22.580000000074506,37.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3338954.989999999757856,3421965.760000000242144,3340556.859999999869615,10101478.609999999403954
FS( 3 ),3339466.080000000074506,3425558.980000000447035,3341072.850000000093132,10106098.910000000149012
FS( 4 ),3308800.679999999701977,3347705.879999999888241,3328173.100000000093132,9984680.660000000149012
FS( 5 ),3311867.219999999739230,3336926.220000000204891,3332817.010000000242144,9981611.449999999254942
FS( 6 ),3321066.840000000316650,3255479.899999999906868,3322497.209999999962747,9899044.949999999254942
FS( 7 ),3285290.540000000037253,3238711.540000000037253,3298245.680000000167638,9822248.759999999776483
FS( 8 ),3300112.149999999441206,3220745.439999999944121,3335396.959999999962747,9856255.550000000745058
FS( 9 ),3288357.080000000074506,3242304.760000000242144,3334364.980000000447035,9865027.820000000298023
FS( 10 ),3267402.390000000130385,3218349.959999999962747,3327141.120000000111759,9812894.469999998807907
FS( 11 ),3251047.509999999776483,3211163.520000000018626,3310113.450000000186265,9772325.480000000447035
FS( 12 ),3256158.410000000149012,3203977.080000000074506,3282249.990000000223517,9742386.480000000447035
FS( 13 ),3247980.969999999739230,3124926.240000000223517,3235294.900000000372529,9608203.109999999403954
FS( 14 ),3237759.169999999925494,3157265.220000000204891,3208463.419999999925494,9603488.810000000521541
FS( 15 ),3243892.250000000000000,3211163.520000000018626,3235294.900000000372529,9690351.669999999925494
FS( 16 ),3246447.700000000186265,3247095.720000000204891,3241486.780000000260770,9735031.199999999254942
FS( 17 ),3246447.700000000186265,3247095.720000000204891,3241486.780000000260770,9735031.199999999254942
FS( 18 ),3224981.919999999925494,3218349.959999999962747,3260578.410000000149012,9703911.289999999105930
FS( 19 ),3194827.609999999869615,3257875.379999999888241,3230135.000000000000000,9682838.990000000223517
FS( 20 ),3198916.330000000074506,3321355.600000000093132,3244582.720000000204891,9764855.650000000372529
FS( 21 ),3179494.910000000149012,3251886.679999999701977,3193499.709999999962747,9624882.300000000745058
FS( 22 ),3190738.890000000130385,3239909.280000000260770,3224459.110000000335276,9655108.280000001192093
FS( 23 ),3157518.040000000037253,3132112.679999999701977,3125905.020000000018626,9415536.740000000223517
FS( 24 ),3186139.080000000074506,3135705.899999999906868,3115585.220000000204891,9437431.200000001117587
FS( 25 ),3179494.910000000149012,3159660.700000000186265,3137256.799999999813735,9476413.410000000149012
FS( 26 ),3209649.219999999739230,3206372.560000000055879,3180599.959999999962747,9596622.739999998360872
FS( 27 ),3209649.219999999739230,3214756.740000000223517,3194531.689999999944121,9618938.650000000372529
FS( 28 ),3218848.839999999850988,3253084.419999999925494,3206399.459999999962747,9678333.719999998807907
FS( 29 ),3174895.100000000093132,3218349.959999999962747,3176472.040000000037253,9569718.100000001490116
