代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14616033.609999999403954
真實報酬,4616033.609999999403954

夏普值報酬,0.452903361000000
夏普值風險,0.119025124509535
夏普值,3.805107223086474

二次趨勢線,36.989225078649127 x^2 + 10150.273482321599658 x + 10000000.000000000000000
二次加權預期報酬,22553.993625361945305
風險,150863.762070867494913
二次加權趨勢值,0.149499079936554
一次趨勢線,17127.338486321685195 x + 10000000.000000000000000
一次預期報酬,17127.338486321685195
一次風險,302189.588201677892357
一次趨勢值,0.056677460624127
找到最佳解世代,2557
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](4),MSFT[18](2),V[25](3),
Stock#,BA[2](1),MCD[15](4),MSFT[18](2),V[25](3),
張數,18885,21807,43538,30171,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.700000000186265,45.520000000018626,48.040000000037253,30.939999999944121,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2497544.950000000186265,2475140.020000000018626,2492163.160000000149012,2496077.770000000018626,9960925.900000000372529
FS( 3 ),2543057.800000000279397,2473177.390000000130385,2509578.359999999869615,2514783.789999999571592,10040597.339999999850988
FS( 4 ),2538525.399999999906868,2484298.959999999962747,2513932.160000000149012,2515085.500000000000000,10051842.019999999552965
FS( 5 ),2527760.950000000186265,2474049.669999999925494,2516544.439999999944121,2500603.419999999925494,10018958.480000000447035
FS( 6 ),2565342.100000000093132,2501526.489999999757856,2526993.560000000055879,2507844.459999999962747,10101706.609999999403954
FS( 7 ),2525683.600000000558794,2479065.280000000260770,2489986.259999999776483,2475259.780000000260770,9969994.920000001788139
FS( 8 ),2514730.300000000279397,2501526.489999999757856,2486503.220000000204891,2481595.689999999944121,9984355.699999999254942
FS( 9 ),2518885.000000000000000,2516791.390000000130385,2478231.000000000000000,2470130.709999999962747,9984038.100000001490116
FS( 10 ),2521151.200000000186265,2488006.149999999906868,2500000.000000000000000,2487629.890000000130385,9996787.240000000223517
FS( 11 ),2530593.700000000186265,2451370.390000000130385,2491292.399999999906868,2478578.590000000316650,9951835.080000000074506
FS( 12 ),2551367.200000000186265,2426074.270000000018626,2510449.120000000111759,2461381.120000000111759,9949271.710000000894070
FS( 13 ),2571763.000000000465661,2426292.340000000316650,2504789.180000000167638,2498491.450000000186265,10001335.970000002533197
FS( 14 ),2565342.100000000093132,2411245.509999999776483,2492598.540000000037253,2489138.439999999944121,9958324.589999999850988
FS( 15 ),2561376.250000000000000,2484517.030000000260770,2597525.120000000111759,2484612.789999999571592,10128031.189999999478459
FS( 16 ),2595746.950000000186265,2476666.509999999776483,2655866.040000000037253,2509353.009999999776483,10237632.509999999776483
FS( 17 ),2625396.400000000372529,2458130.560000000055879,2655430.660000000149012,2474958.069999999832362,10213915.690000001341105
FS( 18 ),2748526.600000000093132,2444828.290000000037253,2639756.979999999981374,2466510.189999999944121,10299622.060000000521541
FS( 19 ),2706413.050000000279397,2444174.080000000074506,2616681.840000000316650,2471639.259999999776483,10238908.230000000447035
FS( 20 ),2700747.549999999813735,2444610.219999999739230,2606668.100000000093132,2480690.560000000055879,10232716.429999999701977
FS( 21 ),2689794.250000000465661,2454859.509999999776483,2608845.000000000000000,2489440.149999999906868,10242938.910000000149012
FS( 22 ),2689416.550000000279397,2447881.270000000018626,2603620.439999999944121,2462587.959999999962747,10203506.219999998807907
FS( 23 ),2658067.450000000186265,2450934.250000000000000,2587511.379999999888241,2431210.120000000111759,10127723.199999999254942
FS( 24 ),2644281.400000000372529,2436323.560000000055879,2577933.020000000018626,2433322.090000000316650,10091860.070000000298023
FS( 25 ),2635216.600000000093132,2421494.800000000279397,2556164.020000000018626,2424572.500000000000000,10037447.919999999925494
FS( 26 ),2701125.250000000000000,2460311.259999999776483,2630614.000000000000000,2489440.149999999906868,10281490.660000000149012
FS( 27 ),2685450.700000000186265,2488442.290000000037253,2632790.899999999906868,2500603.419999999925494,10307287.310000000521541
FS( 28 ),2740028.350000000093132,2507414.379999999888241,2619729.500000000000000,2511464.979999999981374,10378637.210000000894070
FS( 29 ),2789129.350000000093132,2497165.090000000316650,2555728.640000000130385,2470130.709999999962747,10312153.789999999105930
FS( 30 ),2804803.900000000372529,2490841.060000000055879,2569660.800000000279397,2470432.419999999925494,10335738.180000001564622
FS( 31 ),2832564.850000000558794,2570218.540000000037253,2530476.600000000093132,2364833.919999999925494,10298093.910000000149012
FS( 32 ),2797061.050000000279397,2580249.759999999776483,2563130.100000000093132,2370566.409999999683350,10311007.320000000298023
FS( 33 ),2765523.100000000093132,2599657.989999999757856,2597089.739999999757856,2416124.620000000111759,10378395.449999999254942
FS( 34 ),2744560.750000000465661,2604891.669999999925494,2640192.359999999869615,2445993.909999999683350,10435638.689999999478459
FS( 35 ),2763823.450000000186265,2616885.520000000018626,2627566.340000000316650,2438451.159999999683350,10446726.470000000670552
FS( 36 ),2776476.400000000372529,2605982.020000000018626,2649770.720000000204891,2464699.929999999701977,10496929.070000000298023
FS( 37 ),2823688.900000000372529,2610125.350000000093132,2661090.600000000093132,2411598.970000000204891,10506503.820000000298023
FS( 38 ),2827843.600000000558794,2619938.500000000000000,2629743.239999999757856,2400737.409999999683350,10478262.750000000000000
FS( 39 ),2833509.100000000093132,2631278.140000000130385,2635403.180000000167638,2417633.169999999925494,10517823.589999999850988
FS( 40 ),2828410.150000000372529,2656574.259999999776483,2638886.220000000204891,2385953.620000000111759,10509824.250000000000000
FS( 41 ),2863725.100000000093132,2631714.280000000260770,2659784.459999999962747,2388065.590000000316650,10543289.430000001564622
FS( 42 ),2843329.300000000279397,2600966.410000000149012,2623647.919999999925494,2332852.659999999683350,10400796.290000000968575
FS( 43 ),2877888.850000000093132,2583520.810000000055879,2577497.640000000130385,2275829.470000000204891,10314736.770000001415610
FS( 44 ),2875244.950000000186265,2578505.199999999720603,2579674.540000000037253,2284579.060000000055879,10318003.750000000000000
FS( 45 ),2873545.300000000279397,2601402.550000000279397,2621906.399999999906868,2332550.950000000186265,10429405.199999999254942
FS( 46 ),2875056.100000000558794,2600530.270000000018626,2610151.140000000130385,2326516.750000000000000,10412254.260000001639128
FS( 47 ),2910937.600000000093132,2615140.959999999962747,2671975.100000000093132,2392892.950000000186265,10590946.609999999403954
FS( 48 ),2934543.850000000093132,2626698.669999999925494,2656301.419999999925494,2391987.819999999832362,10609531.759999999776483
FS( 49 ),2955317.350000000558794,2644362.340000000316650,2698097.899999999906868,2387763.879999999888241,10685541.470000002533197
FS( 50 ),2967970.300000000279397,2654829.699999999720603,2706805.500000000000000,2368454.439999999944121,10698059.939999999478459
FS( 51 ),2958527.800000000279397,2675328.280000000260770,2742071.279999999795109,2389574.140000000130385,10765501.500000000000000
FS( 52 ),2917169.650000000372529,2678817.399999999906868,2729009.879999999888241,2387462.169999999925494,10712459.100000001490116
FS( 53 ),2903950.150000000372529,2668350.040000000037253,2724656.080000000074506,2398625.439999999944121,10695581.710000000894070
FS( 54 ),2917736.200000000186265,2687540.199999999720603,2712465.439999999944121,2363928.789999999571592,10681670.629999998956919
FS( 55 ),2949463.000000000465661,2682088.449999999720603,2769935.600000000093132,2356386.039999999571592,10757873.089999999850988
FS( 56 ),2953428.850000000093132,2689502.830000000074506,2766452.560000000055879,2364230.500000000000000,10773614.740000000223517
