代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13892031.000000000000000
真實報酬,3892031.000000000000000

夏普值報酬,0.380503100000000
夏普值風險,0.116728372994172
夏普值,3.259731034022013

二次趨勢線,25.784906697879762 x^2 + 12481.261623379736193 x + 10000000.000000000000000
二次加權預期報酬,21162.180211665927345
風險,218649.153801374661271
二次加權趨勢值,0.096786014689497
一次趨勢線,17364.259182082805637 x + 10000000.000000000000000
一次預期報酬,17364.259182082805637
一次風險,285754.224036282277666
一次趨勢值,0.060766412957304
找到最佳解世代,1906
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),HD[9](2),NKE[19](8),UNH[23](1),
Stock#,DIS[6](5),HD[9](2),NKE[19](8),UNH[23](1),
張數,31422,31513,68568,33355,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,65.679999999701977,73.709999999962747,10.719999999739230,42.750000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2523566.500000000000000,2502205.910000000149012,2502057.040000000037253,2502668.399999999906868,10030497.849999999627471
FS( 3 ),2552160.519999999552965,2479831.679999999701977,2513027.919999999459833,2509339.399999999906868,10054359.519999999552965
FS( 4 ),2546190.339999999850988,2439810.169999999925494,2477372.560000000055879,2510340.050000000279397,9973713.120000001043081
FS( 5 ),2522938.060000000055879,2429095.750000000000000,2474629.839999999850988,2598730.799999999813735,10025394.449999999254942
FS( 6 ),2564100.879999999422580,2428150.359999999869615,2504799.759999999776483,2564708.700000000186265,10061759.699999999254942
FS( 7 ),2575098.579999999608845,2448948.939999999944121,2518513.359999999403954,2566710.000000000000000,10109270.879999998956919
FS( 8 ),2589866.919999999925494,2466596.219999999739230,2558968.479999999981374,2593060.449999999720603,10208492.069999998435378
FS( 9 ),2579183.439999999478459,2435083.219999999739230,2557597.119999999646097,2603066.950000000186265,10174930.730000000447035
FS( 10 ),2542733.919999999925494,2404830.740000000223517,2522627.439999999478459,2574048.100000000093132,10044240.199999999254942
FS( 11 ),2518538.979999999981374,2402624.829999999608845,2500685.679999999701977,2551033.149999999906868,9972882.639999998733401
FS( 12 ),2526080.259999999776483,2437919.390000000130385,2534969.679999999701977,2556703.500000000000000,10055672.830000000074506
FS( 13 ),2546818.779999999795109,2410818.209999999962747,2553483.040000000037253,2575048.750000000000000,10086168.780000001192093
FS( 14 ),2548075.659999999683350,2456827.189999999944121,2511656.560000000055879,2557037.049999999813735,10073596.460000000894070
FS( 15 ),2582639.859999999403954,2460608.750000000000000,2543883.520000000018626,2592393.350000000093132,10179525.479999998584390
FS( 16 ),2587667.379999999422580,2482667.850000000093132,2567196.639999999664724,2613073.450000000186265,10250605.320000000298023
FS( 17 ),2618146.719999999273568,2495273.050000000279397,2600109.279999999795109,2627416.100000000093132,10340945.149999998509884
FS( 18 ),2631343.959999999497086,2511344.679999999701977,2626850.799999999813735,2638756.799999999813735,10408296.239999998360872
FS( 19 ),2626944.879999999422580,2511029.550000000279397,2615194.239999999757856,2621078.649999999906868,10374247.320000000298023
FS( 20 ),2640456.339999999850988,2517962.410000000149012,2618622.639999999664724,2647429.100000000093132,10424470.490000000223517
FS( 21 ),2639827.899999999906868,2528361.700000000186265,2637136.000000000000000,2656101.399999999906868,10461427.000000000000000
FS( 22 ),2647997.619999999646097,2547584.629999999888241,2630279.199999999720603,2650764.600000000093132,10476626.049999998882413
FS( 23 ),2635743.039999999571592,2542227.419999999925494,2590509.759999999776483,2664440.149999999906868,10432920.369999999180436
FS( 24 ),2647054.959999999497086,2538130.729999999981374,2610394.479999999981374,2685453.800000000279397,10481033.970000000670552
FS( 25 ),2664022.839999999850988,2533088.649999999906868,2601480.639999999664724,2661771.750000000000000,10460363.879999998956919
FS( 26 ),2658681.099999999627471,2541282.029999999795109,2613822.879999999422580,2666107.900000000372529,10479893.909999998286366
FS( 27 ),2686018.239999999757856,2540336.640000000130385,2628907.839999999850988,2660437.550000000279397,10515700.269999999552965
FS( 28 ),2663080.179999999701977,2544433.329999999608845,2616565.599999999627471,2662105.300000000279397,10486184.410000000149012
FS( 29 ),2649254.500000000000000,2515126.240000000223517,2576110.479999999981374,2674113.100000000093132,10414604.320000000298023
FS( 30 ),2601807.279999999795109,2471638.300000000279397,2563768.239999999757856,2649763.949999999720603,10286977.769999999552965
FS( 31 ),2601807.279999999795109,2460293.619999999646097,2558282.799999999813735,2641091.650000000372529,10261475.349999999627471
FS( 32 ),2617518.279999999795109,2486449.410000000149012,2556225.759999999776483,2601732.750000000000000,10261926.199999999254942
FS( 33 ),2613119.199999999720603,2521743.969999999739230,2574739.119999999646097,2607403.100000000093132,10317005.389999998733401
FS( 34 ),2626316.439999999478459,2543487.939999999944121,2612451.520000000018626,2642092.299999999813735,10424348.199999999254942
FS( 35 ),2632286.619999999646097,2534979.429999999701977,2593252.479999999981374,2685453.800000000279397,10445972.330000000074506
FS( 36 ),2602435.719999999273568,2526470.919999999925494,2574739.119999999646097,2715473.299999999813735,10419119.059999998658895
FS( 37 ),2600550.399999999906868,2541282.029999999795109,2587081.359999999403954,2718141.699999999720603,10447055.489999998360872
FS( 38 ),2598036.640000000130385,2534664.300000000279397,2570625.040000000037253,2726480.449999999720603,10429806.429999999701977
FS( 39 ),2636371.479999999981374,2537815.600000000093132,2622051.040000000037253,2746493.450000000186265,10542731.570000000298023
FS( 40 ),2653653.579999999608845,2544748.459999999962747,2635078.959999999497086,2744825.700000000186265,10578306.699999999254942
FS( 41 ),2680362.279999999795109,2556723.399999999906868,2663191.839999999850988,2735152.750000000000000,10635430.269999999552965
FS( 42 ),2694187.959999999497086,2551366.189999999944121,2659077.759999999776483,2726814.000000000000000,10631445.910000000149012
FS( 43 ),2717126.019999999552965,2578467.369999999646097,2674162.719999999739230,2731483.700000000186265,10701239.809999998658895
FS( 44 ),2716183.359999999403954,2583509.450000000186265,2667305.919999999459833,2751496.699999999720603,10718495.429999997839332
FS( 45 ),2728752.159999999683350,2585715.359999999869615,2689933.359999999403954,2780182.000000000000000,10784582.879999998956919
FS( 46 ),2720896.659999999683350,2565862.169999999925494,2696790.159999999683350,2742490.850000000093132,10726039.839999999850988
FS( 47 ),2697958.599999999627471,2545063.590000000316650,2663191.839999999850988,2732817.900000000372529,10639031.929999999701977
FS( 48 ),2740692.519999999552965,2544118.200000000186265,2698161.520000000018626,2759835.449999999720603,10742807.689999999478459
FS( 49 ),2729380.599999999627471,2502205.910000000149012,2657020.719999999739230,2737821.149999999906868,10626428.379999998956919
FS( 50 ),2730323.259999999776483,2508823.640000000130385,2650163.919999999459833,2764171.600000000093132,10653482.419999999925494
FS( 51 ),2726238.399999999906868,2504096.689999999944121,2672791.359999999403954,2810868.600000000093132,10713995.049999998882413
FS( 52 ),2707070.979999999981374,2516701.890000000130385,2675534.080000000074506,2798527.250000000000000,10697834.199999999254942
FS( 53 ),2681933.379999999422580,2510399.290000000037253,2637136.000000000000000,2793857.550000000279397,10623326.220000000670552
FS( 54 ),2671878.339999999850988,2506932.859999999869615,2624108.080000000074506,2838886.799999999813735,10641806.079999998211861
FS( 55 ),2696387.500000000000000,2523634.750000000000000,2657706.399999999441206,2852562.350000000093132,10730291.000000000000000
FS( 56 ),2694187.959999999497086,2511974.939999999944121,2633707.599999999627471,2837219.050000000279397,10677089.549999998882413
FS( 57 ),2708956.299999999348074,2538130.729999999981374,2641250.080000000074506,2870240.500000000000000,10758577.609999999403954
FS( 58 ),2703614.560000000055879,2553256.969999999739230,2652906.639999999664724,2866571.449999999720603,10776349.619999999180436
FS( 59 ),2727495.279999999795109,2558929.310000000055879,2694733.119999999646097,2857899.150000000372529,10839056.859999999403954
FS( 60 ),2709584.739999999757856,2553572.100000000093132,2664563.199999999720603,2824544.150000000372529,10752264.189999999478459
FS( 61 ),2738492.979999999981374,2554832.619999999646097,2687876.319999999832362,2860234.000000000000000,10841435.919999999925494
FS( 62 ),2708642.079999999608845,2551996.450000000186265,2677591.119999999646097,2810868.600000000093132,10749098.249999998137355
FS( 63 ),2740378.299999999348074,2576576.590000000316650,2729702.799999999813735,2766840.000000000000000,10813497.689999999478459
FS( 64 ),2698587.039999999571592,2547899.759999999776483,2644678.479999999981374,2703465.500000000000000,10594630.779999999329448
