代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13560277.929999999701977
真實報酬,3560277.929999999701977

夏普值報酬,0.347327793000000
夏普值風險,0.102208667842067
夏普值,3.398222482820078

二次趨勢線,58.411007993596087 x^2 + 407.489414396411576 x + 10000000.000000000000000
二次加權預期報酬,20150.410116231876600
風險,296377.601976490637753
二次加權趨勢值,0.067988977513322
一次趨勢線,11512.839105770583046 x + 10000000.000000000000000
一次預期報酬,11512.839105770583046
一次風險,514104.151577195327263
一次趨勢值,0.022393981979042
找到最佳解世代,2007
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](6),KO[14](3),UNH[23](5),VZ[26](1),
Stock#,AAPL[0](6),KO[14](3),UNH[23](5),VZ[26](1),
張數,89863,91945,75460,90317,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.339999999850988,15.449999999720603,10.199999999720603,25.439999999944121,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2514378.080000000074506,2531261.299999999813735,2569423.199999999720603,2510838.040000000037253,10125900.620000001043081
FS( 3 ),2557512.319999999832362,2522986.250000000000000,2514337.399999999906868,2464776.369999999646097,10059612.339999999850988
FS( 4 ),2465852.060000000055879,2456785.849999999627471,2449441.799999999813735,2417811.529999999795109,9789891.240000000223517
FS( 5 ),2508986.299999999813735,2441155.199999999720603,2455478.599999999627471,2426843.229999999981374,9832463.330000000074506
FS( 6 ),2491912.330000000074506,2420927.299999999348074,2445668.799999999348074,2395232.279999999795109,9753740.709999997168779
FS( 7 ),2518871.229999999981374,2483449.899999999906868,2490190.199999999720603,2427746.399999999906868,9920257.730000000447035
FS( 8 ),2504493.149999999906868,2473335.949999999720603,2468306.799999999813735,2437681.270000000018626,9883817.169999999925494
FS( 9 ),2550323.279999999795109,2492644.399999999441206,2499245.399999999441206,2452131.989999999757856,9994345.069999998435378
FS( 10 ),2572789.029999999795109,2481610.999999999534339,2428312.999999999534339,2443100.290000000037253,9925813.320000000298023
FS( 11 ),2611430.119999999646097,2520227.899999999906868,2386809.999999999534339,2463873.200000000186265,9982341.219999998807907
FS( 12 ),2600646.560000000055879,2544133.600000000093132,2456233.199999999720603,2460260.520000000018626,10061273.879999998956919
FS( 13 ),2605139.709999999497086,2570797.649999999906868,2466797.599999999627471,2461163.689999999944121,10103898.649999998509884
FS( 14 ),2588964.369999999646097,2561603.149999999441206,2410202.599999999627471,2450325.649999999906868,10011095.769999999552965
FS( 15 ),2572789.029999999795109,2545972.500000000000000,2496226.999999999534339,2448519.310000000055879,10063507.839999999850988
FS( 16 ),2529654.789999999571592,2521147.350000000093132,2475852.799999999813735,2426843.229999999981374,9953498.169999999925494
FS( 17 ),2576383.549999999813735,2535858.549999999348074,2536975.399999999441206,2445809.799999999813735,10095027.299999998882413
FS( 18 ),2593457.520000000018626,2442074.649999999441206,2524147.199999999720603,2438584.439999999944121,9998263.809999998658895
FS( 19 ),2626706.830000000074506,2423685.649999999441206,2555085.799999999813735,2443100.290000000037253,10048578.570000000298023
