代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11532257.470000000670552
真實報酬,1532257.470000000670552

夏普值報酬,0.144525747000000
夏普值風險,0.074044659483099
夏普值,1.951872667237919

二次趨勢線,95.425451731160223 x^2 + -16714.749457910027559 x + 10000000.000000000000000
二次加權預期報酬,15411.819291580577556
風險,208755.667362171399873
二次加權趨勢值,0.073827070116580
一次趨勢線,1356.374603194486781 x + 10000000.000000000000000
一次預期報酬,1356.374603194486781
一次風險,712155.376899495371617
一次趨勢值,0.001904604875834
找到最佳解世代,2789
找到最佳解實驗#,4
找到最佳解次數,6

stock[index](rank)
投資組合檔數,1
KO[14](1),
Stock#,KO[14](1),
張數,350631,
分配資金,10000000.000000000000000,
剩餘資金,3.880000000819564,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9880785.460000000894070,9880785.460000000894070
FS( 3 ),9877279.150000002235174,9877279.150000002235174
FS( 4 ),9852734.980000000447035,9852734.980000000447035
FS( 5 ),9670406.859999999403954,9670406.859999999403954
FS( 6 ),9866760.220000000670552,9866760.220000000670552
FS( 7 ),9971949.520000001415610,9971949.520000001415610
FS( 8 ),10000000.000000000000000,10000000.000000000000000
FS( 9 ),10017531.550000000745058,10017531.550000000745058
FS( 10 ),9870266.530000001192093,9870266.530000001192093
FS( 11 ),9891304.390000000596046,9891304.390000000596046
FS( 12 ),9730014.130000000819564,9730014.130000000819564
FS( 13 ),9533660.770000001415610,9533660.770000001415610
FS( 14 ),9509116.600000001490116,9509116.600000001490116
FS( 15 ),9530154.460000000894070,9530154.460000000894070
FS( 16 ),9491585.050000000745058,9491585.050000000745058
FS( 17 ),9558204.940000001341105,9558204.940000001341105
FS( 18 ),9498597.669999999925494,9498597.669999999925494
FS( 19 ),9512622.910000000149012,9512622.910000000149012
FS( 20 ),9533660.770000001415610,9533660.770000001415610
FS( 21 ),9652875.310000000521541,9652875.310000000521541
FS( 22 ),9621318.520000001415610,9621318.520000001415610
FS( 23 ),9368864.200000001117587,9368864.200000001117587
FS( 24 ),9309256.930000001564622,9309256.930000001564622
FS( 25 ),9232118.109999999403954,9232118.109999999403954
FS( 26 ),9470547.190000001341105,9470547.190000001341105
FS( 27 ),9431977.780000001192093,9431977.780000001192093
FS( 28 ),9505610.290000000968575,9505610.290000000968575
FS( 29 ),9463534.570000000298023,9463534.570000000298023
FS( 30 ),9610799.590000001713634,9610799.590000001713634
FS( 31 ),9701963.650000002235174,9701963.650000002235174
FS( 32 ),9803646.640000000596046,9803646.640000000596046
FS( 33 ),9768583.540000000968575,9768583.540000000968575
FS( 34 ),9708976.270000001415610,9708976.270000001415610
FS( 35 ),9614305.900000002235174,9614305.900000002235174
FS( 36 ),9670406.859999999403954,9670406.859999999403954
FS( 37 ),9312763.240000000223517,9312763.240000000223517
FS( 38 ),9242637.040000000968575,9242637.040000000968575
FS( 39 ),9340813.720000000670552,9340813.720000000670552
FS( 40 ),9344320.030000001192093,9344320.030000001192093
FS( 41 ),9456521.950000001117587,9456521.950000001117587
FS( 42 ),9551192.320000000298023,9551192.320000000298023
FS( 43 ),9589761.730000000447035,9589761.730000000447035
FS( 44 ),9547686.010000001639128,9547686.010000001639128
FS( 45 ),9498597.669999999925494,9498597.669999999925494
FS( 46 ),9502103.980000000447035,9502103.980000000447035
FS( 47 ),9396914.680000001564622,9396914.680000001564622
FS( 48 ),9354838.960000000894070,9354838.960000000894070
FS( 49 ),9407433.609999999403954,9407433.609999999403954
FS( 50 ),9414446.230000000447035,9414446.230000000447035
FS( 51 ),9438990.400000002235174,9438990.400000002235174
FS( 52 ),9460028.260000001639128,9460028.260000001639128
FS( 53 ),9600280.660000000149012,9600280.660000000149012
FS( 54 ),9561711.250000000000000,9561711.250000000000000
FS( 55 ),9694951.030000001192093,9694951.030000001192093
FS( 56 ),9575736.490000000223517,9575736.490000000223517
FS( 57 ),9607293.280000001192093,9607293.280000001192093
FS( 58 ),9582749.109999999403954,9582749.109999999403954
FS( 59 ),9603786.970000000670552,9603786.970000000670552
FS( 60 ),9621318.520000001415610,9621318.520000001415610
FS( 61 ),9642356.380000000819564,9642356.380000000819564
FS( 62 ),9694951.030000001192093,9694951.030000001192093
FS( 63 ),9617812.210000000894070,9617812.210000000894070
FS( 64 ),9519635.530000001192093,9519635.530000001192093
FS( 65 ),9435484.090000001713634,9435484.090000001713634
FS( 66 ),9424965.160000000149012,9424965.160000000149012
FS( 67 ),9572230.180000001564622,9572230.180000001564622
FS( 68 ),9600280.660000000149012,9600280.660000000149012
FS( 69 ),9645862.690000001341105,9645862.690000001341105
FS( 70 ),9635343.760000001639128,9635343.760000001639128
FS( 71 ),9512622.910000000149012,9512622.910000000149012
FS( 72 ),9638850.070000000298023,9638850.070000000298023
FS( 73 ),9698457.340000001713634,9698457.340000001713634
FS( 74 ),9551192.320000000298023,9551192.320000000298023
FS( 75 ),9502103.980000000447035,9502103.980000000447035
FS( 76 ),9523141.840000001713634,9523141.840000001713634
FS( 77 ),9446003.020000001415610,9446003.020000001415610
FS( 78 ),9421458.850000001490116,9421458.850000001490116
FS( 79 ),9270687.520000001415610,9270687.520000001415610
FS( 80 ),9354838.960000000894070,9354838.960000000894070
FS( 81 ),9421458.850000001490116,9421458.850000001490116
FS( 82 ),9372370.510000001639128,9372370.510000001639128
FS( 83 ),9424965.160000000149012,9424965.160000000149012
FS( 84 ),9323282.169999999925494,9323282.169999999925494
FS( 85 ),9407433.609999999403954,9407433.609999999403954
FS( 86 ),9169004.530000001192093,9169004.530000001192093
FS( 87 ),9235624.419999999925494,9235624.419999999925494
FS( 88 ),9474053.500000000000000,9474053.500000000000000
FS( 89 ),9400420.990000000223517,9400420.990000000223517
FS( 90 ),9470547.190000001341105,9470547.190000001341105
FS( 91 ),9379383.130000000819564,9379383.130000000819564
FS( 92 ),9351332.650000002235174,9351332.650000002235174
FS( 93 ),9365357.890000000596046,9365357.890000000596046
FS( 94 ),9309256.930000001564622,9309256.930000001564622
FS( 95 ),9312763.240000000223517,9312763.240000000223517
FS( 96 ),9035764.750000000000000,9035764.750000000000000
FS( 97 ),9046283.680000001564622,9046283.680000001564622
FS( 98 ),9021739.510000001639128,9021739.510000001639128
FS( 99 ),8874474.490000000223517,8874474.490000000223517
FS( 100 ),8779804.120000001043081,8779804.120000001043081
FS( 101 ),8983170.100000001490116,8983170.100000001490116
FS( 102 ),9011220.580000000074506,9011220.580000000074506
FS( 103 ),8993689.030000001192093,8993689.030000001192093
FS( 104 ),9190042.390000000596046,9190042.390000000596046
FS( 105 ),9249649.660000000149012,9249649.660000000149012
FS( 106 ),8990182.720000000670552,8990182.720000000670552
FS( 107 ),8906031.280000001192093,8906031.280000001192093
FS( 108 ),9039271.060000000521541,9039271.060000000521541
FS( 109 ),9004207.960000000894070,9004207.960000000894070
FS( 110 ),9197055.010000001639128,9197055.010000001639128
FS( 111 ),9056802.609999999403954,9056802.609999999403954
FS( 112 ),9032258.440000001341105,9032258.440000001341105
FS( 113 ),9147966.669999999925494,9147966.669999999925494
FS( 114 ),9186536.080000000074506,9186536.080000000074506
FS( 115 ),9179523.460000000894070,9179523.460000000894070
FS( 116 ),9172510.840000001713634,9172510.840000001713634
FS( 117 ),9200561.320000000298023,9200561.320000000298023
FS( 118 ),9197055.010000001639128,9197055.010000001639128
FS( 119 ),9158485.600000001490116,9158485.600000001490116
FS( 120 ),9081346.780000001192093,9081346.780000001192093
FS( 121 ),8811360.910000000149012,8811360.910000000149012
FS( 122 ),8955119.620000001043081,8955119.620000001043081
FS( 123 ),8825386.150000002235174,8825386.150000002235174
FS( 124 ),8786816.740000000223517,8786816.740000000223517
FS( 125 ),8772791.500000000000000,8772791.500000000000000
