代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12137320.910000000149012
真實報酬,2137320.910000000149012

夏普值報酬,0.205032091000000
夏普值風險,0.068141163331429
夏普值,3.008931473663771

二次趨勢線,42.834746877925632 x^2 + -1499.829774438180038 x + 10000000.000000000000000
二次加權預期報酬,12864.088678626209003
風險,132704.552991695527453
二次加權趨勢值,0.096937809507043
一次趨勢線,6579.842420957088507 x + 10000000.000000000000000
一次預期報酬,6579.842420957088507
一次風險,330984.086337312182877
一次趨勢值,0.019879633772638
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),DD[7](2),JNJ[12](12),MCD[15](14),MRK[17](4),MSFT[18](7),
Stock#,CAT[3](1),DD[7](2),JNJ[12](12),MCD[15](14),MRK[17](4),MSFT[18](7),
張數,19350,34083,19674,17013,34399,46829,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,50.500000000000000,7.300000000046566,81.460000000195578,72.520000000018626,34.449999999953434,21.889999999897555,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1662602.500000000000000,1680299.199999999953434,1654664.860000000102445,1673641.330000000074506,1700721.009999999776483,1638568.600000000093132,10010501.500000000000000
FS( 3 ),1633577.500000000000000,1633605.489999999990687,1646401.780000000260770,1640465.979999999981374,1676297.719999999739230,1628734.510000000009313,9859086.980000000447035
FS( 4 ),1625450.500000000000000,1644852.879999999888241,1661747.500000000000000,1644889.360000000102445,1671825.850000000093132,1637163.729999999981374,9885933.820000000298023
FS( 5 ),1638028.000000000000000,1667347.660000000149012,1670600.800000000046566,1672110.160000000149012,1657722.259999999776483,1670412.320000000065193,9976225.199999999254942
FS( 6 ),1621580.500000000000000,1666325.170000000158325,1675125.820000000298023,1693376.410000000149012,1667009.989999999990687,1661046.519999999785796,9984468.410000000149012
FS( 7 ),1616162.500000000000000,1650306.160000000149012,1666272.520000000251457,1671259.510000000009313,1636050.890000000130385,1631544.250000000000000,9871599.830000000074506
FS( 8 ),1610163.999999999767169,1640081.260000000009313,1647582.220000000204891,1671429.639999999897555,1625387.199999999953434,1639036.889999999897555,9833685.210000000894070
FS( 9 ),1647509.500000000000000,1681662.520000000251457,1670600.800000000046566,1682317.959999999962747,1647746.549999999813735,1625924.769999999785796,9955766.099999999627471
FS( 10 ),1622935.000000000000000,1650646.989999999990687,1670600.800000000046566,1674491.979999999981374,1649466.500000000000000,1610939.489999999757856,9879084.759999999776483
FS( 11 ),1623902.500000000000000,1657122.760000000009313,1684766.080000000074506,1679936.139999999897555,1644306.649999999906868,1639036.889999999897555,9929075.019999999552965
FS( 12 ),1636093.000000000000000,1680299.199999999953434,1699128.100000000093132,1697119.270000000018626,1642586.699999999953434,1638100.309999999823049,9993330.580000000074506
FS( 13 ),1630288.000000000000000,1655077.780000000027940,1669617.100000000093132,1681127.050000000046566,1636738.869999999878928,1619837.000000000000000,9892689.800000000745058
FS( 14 ),1609970.500000000000000,1611110.710000000195578,1625547.340000000316650,1646760.790000000037253,1593052.140000000130385,1568325.100000000093132,9654770.580000000074506
FS( 15 ),1608422.500000000000000,1583844.310000000055879,1636958.260000000242144,1654246.510000000009313,1616787.449999999953434,1558022.719999999972060,9658285.750000000000000
FS( 16 ),1577462.500000000000000,1570211.110000000102445,1664698.600000000093132,1655267.290000000037253,1596492.039999999804422,1579095.769999999785796,9643231.310000000521541
FS( 17 ),1593136.000000000000000,1577368.540000000037253,1679257.360000000102445,1659180.280000000027940,1590300.219999999739230,1576754.320000000065193,9676000.720000000670552
FS( 18 ),1588685.500000000000000,1563053.679999999934807,1711522.720000000204891,1681637.440000000176951,1606123.759999999776483,1608598.040000000037253,9759625.140000000596046
FS( 19 ),1605326.499999999767169,1570211.110000000102445,1706014.000000000000000,1695417.970000000204891,1626419.169999999925494,1621241.869999999878928,9824634.619999999180436
FS( 20 ),1596232.000000000000000,1561349.530000000027940,1689291.100000000093132,1684359.520000000018626,1597868.000000000000000,1617495.549999999813735,9746599.699999999254942
FS( 21 ),1600682.500000000000000,1577368.540000000037253,1704440.080000000074506,1698310.179999999934807,1593396.129999999888241,1609066.329999999841675,9783267.759999999776483
FS( 22 ),1596038.500000000000000,1574641.900000000139698,1703259.640000000130385,1700181.610000000102445,1601307.899999999906868,1589398.149999999906868,9764831.700000001117587
FS( 23 ),1583848.000000000000000,1573960.239999999990687,1707391.180000000167638,1707327.069999999832362,1601307.899999999906868,1592676.179999999701977,9766514.570000000298023
FS( 24 ),1589459.500000000000000,1586570.949999999953434,1728835.840000000316650,1698990.699999999953434,1622291.289999999804422,1602041.979999999981374,9828194.260000001639128
FS( 25 ),1609970.500000000000000,1605998.260000000009313,1743001.120000000344589,1699330.959999999962747,1630891.039999999804422,1607661.459999999729916,9896857.339999999850988
FS( 26 ),1651186.000000000000000,1651328.650000000139698,1748706.580000000074506,1701202.389999999897555,1638114.829999999841675,1608598.040000000037253,9999140.489999998360872
FS( 27 ),1644026.499999999767169,1640081.260000000009313,1755789.220000000204891,1701032.260000000009313,1649810.489999999990687,1624988.189999999944121,10015731.919999999925494
FS( 28 ),1677695.500000000000000,1659849.400000000139698,1764249.040000000270084,1714812.790000000037253,1661850.140000000130385,1671348.899999999906868,10149809.770000001415610
FS( 29 ),1686790.000000000000000,1656100.270000000251457,1770544.720000000204891,1728253.060000000055879,1669761.909999999916181,1670412.320000000065193,10181866.280000001192093
FS( 30 ),1691240.500000000000000,1669733.470000000204891,1778611.060000000288710,1714132.270000000018626,1669073.930000000167638,1693826.820000000065193,10216622.050000000745058
FS( 31 ),1706140.000000000000000,1648942.840000000083819,1778611.060000000288710,1716343.959999999962747,1659098.219999999739230,1698509.719999999972060,10207649.800000000745058
FS( 32 ),1677115.000000000000000,1685752.479999999981374,1773299.080000000074506,1703073.819999999832362,1655658.320000000065193,1673690.350000000093132,10168593.050000000745058
FS( 33 ),1658732.500000000000000,1678595.050000000046566,1774086.040000000270084,1704434.860000000102445,1630547.049999999813735,1659641.649999999906868,10106041.150000000372529
FS( 34 ),1657378.000000000000000,1682685.010000000009313,1814614.480000000214204,1705966.030000000027940,1643962.659999999916181,1470452.489999999757856,9975062.669999999925494
FS( 35 ),1664150.500000000000000,1678935.879999999888241,1815598.180000000167638,1660201.060000000055879,1641554.729999999981374,1499018.179999999701977,9959462.530000001192093
FS( 36 ),1654862.500000000000000,1676890.900000000139698,1818352.540000000270084,1646250.400000000139698,1648778.520000000018626,1490120.669999999925494,9935259.530000001192093
FS( 37 ),1614614.500000000000000,1668370.150000000139698,1817172.100000000093132,1644549.099999999860302,1643274.680000000167638,1496676.729999999981374,9884661.259999999776483
FS( 38 ),1589459.500000000000000,1698363.189999999944121,1821303.640000000130385,1658669.889999999897555,1657034.280000000027940,1469984.199999999953434,9894818.699999999254942
FS( 39 ),1587911.500000000000000,1684389.160000000149012,1826418.880000000121072,1667856.910000000149012,1668041.959999999962747,1480754.869999999878928,9915377.279999999329448
FS( 40 ),1606487.500000000000000,1698704.020000000251457,1833895.000000000000000,1665134.830000000074506,1662882.110000000102445,1477008.549999999813735,9944116.010000001639128
FS( 41 ),1609777.000000000000000,1701771.489999999990687,1833108.040000000270084,1673641.330000000074506,1652906.399999999906868,1491525.540000000037253,9962733.800000000745058
FS( 42 ),1604359.000000000000000,1700749.000000000000000,1839600.460000000195578,1668707.560000000055879,1657034.280000000027940,1491057.250000000000000,9961511.549999998882413
FS( 43 ),1633964.500000000000000,1718131.329999999841675,1844912.440000000176951,1684359.520000000018626,1671137.869999999878928,1483096.320000000065193,10035605.980000000447035
FS( 44 ),1631255.500000000000000,1758008.439999999944121,1857110.320000000298023,1687762.120000000111759,1669761.909999999916181,1493398.699999999953434,10097300.989999998360872
FS( 45 ),1616936.500000000000000,1770619.150000000139698,1845502.660000000149012,1689633.550000000046566,1669417.919999999925494,1484501.189999999944121,10076614.970000000670552
FS( 46 ),1597006.000000000000000,1750169.350000000093132,1845699.400000000139698,1679085.489999999990687,1666322.009999999776483,1478881.709999999729916,10017167.959999999031425
FS( 47 ),1595071.000000000232831,1761416.739999999990687,1842748.300000000046566,1672960.810000000055879,1670105.899999999906868,1501359.629999999888241,10043666.379999998956919
FS( 48 ),1624676.499999999767169,1791409.780000000027940,1836452.620000000344589,1668027.040000000037253,1667353.979999999981374,1540227.699999999953434,10128151.619999999180436
FS( 49 ),1635319.000000000000000,1846283.410000000149012,1817172.100000000093132,1660881.580000000074506,1664602.060000000055879,1531330.189999999944121,10155592.339999999850988
FS( 50 ),1670342.499999999767169,1819017.010000000009313,1810089.460000000195578,1651014.040000000037253,1667353.979999999981374,1539291.119999999878928,10157112.109999999403954
FS( 51 ),1675179.999999999767169,1838444.320000000065193,1829960.200000000186265,1640976.370000000111759,1665978.020000000018626,1509320.559999999823049,10159863.470000000670552
FS( 52 ),1660667.499999999767169,1832309.379999999888241,1784513.260000000242144,1635191.949999999953434,1670793.879999999888241,1514940.040000000037253,10098420.010000001639128
FS( 53 ),1661441.500000000000000,1803338.829999999841675,1761888.160000000149012,1622942.590000000083819,1650154.479999999981374,1488715.799999999813735,9988485.359999999403954
FS( 54 ),1647896.500000000000000,1790387.290000000037253,1758346.840000000316650,1616817.910000000149012,1640866.750000000000000,1489184.089999999850988,9943503.380000000819564
FS( 55 ),1629320.500000000000000,1777776.579999999841675,1779594.760000000242144,1624473.760000000009313,1636738.869999999878928,1469984.199999999953434,9917892.669999998062849
FS( 56 ),1622741.500000000000000,1793454.760000000009313,1765429.480000000214204,1624814.020000000018626,1636050.890000000130385,1480754.869999999878928,9923249.519999999552965
FS( 57 ),1604939.500000000000000,1802657.170000000158325,1747132.660000000149012,1618178.949999999953434,1632610.989999999990687,1480286.579999999841675,9885809.849999999627471
FS( 58 ),1628740.000000000000000,1805042.979999999981374,1736508.700000000186265,1624133.500000000000000,1644650.640000000130385,1516813.199999999953434,9955893.019999999552965
FS( 59 ),1623322.000000000000000,1880366.410000000149012,1739459.800000000046566,1618519.209999999962747,1641898.719999999739230,1627329.639999999897555,10130899.780000001192093
FS( 60 ),1616936.500000000000000,1875935.620000000111759,1722146.680000000167638,1621581.550000000046566,1638114.829999999841675,1599232.239999999757856,10073951.419999999925494
FS( 61 ),1600295.500000000000000,1823106.970000000204891,1695390.040000000270084,1613585.440000000176951,1620571.339999999850988,1557554.429999999701977,9910507.720000000670552
FS( 62 ),1595458.000000000000000,1817653.689999999944121,1702472.680000000167638,1634681.560000000055879,1619883.360000000102445,1546315.469999999972060,9916468.759999999776483
FS( 63 ),1597006.000000000000000,1821061.989999999990687,1703259.640000000130385,1613925.699999999953434,1620227.350000000093132,1571134.839999999850988,9926619.520000001415610
FS( 64 ),1597199.500000000232831,1815267.879999999888241,1700111.800000000046566,1605419.199999999953434,1626763.159999999916181,1564110.489999999757856,9908876.029999999329448
FS( 65 ),1596619.000000000000000,1817312.860000000102445,1700308.540000000270084,1608141.280000000027940,1624011.239999999990687,1492930.409999999916181,9839327.330000000074506
FS( 66 ),1616549.500000000232831,1833672.699999999953434,1709752.060000000288710,1619029.599999999860302,1640178.770000000018626,1461086.689999999944121,9880273.320000000298023
