代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11519316.140000000596046
真實報酬,1519316.140000000596046

夏普值報酬,0.143231614000000
夏普值風險,0.073750945140806
夏普值,1.942098690756304

二次趨勢線,71.494639890569871 x^2 + -9481.607240603214450 x + 10000000.000000000000000
二次加權預期報酬,14588.254855888639213
風險,241860.280367279687198
二次加權趨勢值,0.060316869035856
一次趨勢線,4057.637098594331746 x + 10000000.000000000000000
一次預期報酬,4057.637098594331746
一次風險,564554.231393520836718
一次趨勢值,0.007187329175762
找到最佳解世代,1790
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),VZ[26](2),
Stock#,MCD[15](1),VZ[26](2),
張數,51124,99186,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,72.799999999813735,33.740000000223517,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4914622.919999999925494,5010910.460000000894070,9925533.380000000819564
FS( 3 ),4914622.919999999925494,4968260.480000000447035,9882883.400000000372529
FS( 4 ),4927915.160000000149012,4923626.780000000260770,9851541.940000001341105
FS( 5 ),4947853.519999999552965,4932553.519999999552965,9880407.039999999105930
FS( 6 ),5021983.320000000298023,4973219.780000000260770,9995203.100000001490116
FS( 7 ),4985174.040000000037253,4939496.540000000037253,9924670.580000000074506
FS( 8 ),5007668.599999999627471,4921643.059999999590218,9929311.660000000149012
FS( 9 ),4976994.199999999254942,4932553.519999999552965,9909547.719999998807907
FS( 10 ),4995398.839999999850988,4956358.160000000149012,9951757.000000000000000
FS( 11 ),5012269.759999999776483,4938504.679999999701977,9950774.439999999478459
FS( 12 ),5011247.279999999329448,4919659.340000000782311,9930906.620000001043081
FS( 13 ),5147237.120000000111759,4914700.040000000037253,10061937.160000000149012
FS( 14 ),5118096.439999999478459,4928586.080000000074506,10046682.519999999552965
FS( 15 ),5075663.519999999552965,4949415.139999999664724,10025078.660000000149012
FS( 16 ),5060837.559999999590218,4920651.200000000186265,9981488.759999999776483
FS( 17 ),5033741.839999999850988,4901805.860000000335276,9935547.699999999254942
FS( 18 ),5043966.639999999664724,4916683.760000000707805,9960650.400000000372529
FS( 19 ),4932516.320000000298023,4913708.179999999701977,9846224.500000000000000
FS( 20 ),4904398.120000000111759,4903789.580000000074506,9808187.699999999254942
FS( 21 ),4919224.080000000074506,4881968.660000000149012,9801192.740000000223517
FS( 22 ),4922802.759999999776483,4874033.780000000260770,9796836.539999999105930
FS( 23 ),4934561.279999999329448,4868082.620000000111759,9802643.899999998509884
FS( 24 ),4923825.240000000223517,4770880.340000000782311,9694705.580000001937151
FS( 25 ),4884459.759999999776483,4684588.519999999552965,9569048.279999999329448
FS( 26 ),4873212.479999999515712,4705417.580000000074506,9578630.059999998658895
FS( 27 ),4843049.320000000298023,4695498.980000000447035,9538548.300000000745058
FS( 28 ),4872190.000000000000000,4708393.160000000149012,9580583.160000000149012
