代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13430596.900000002235174
真實報酬,3430596.900000002235174

夏普值報酬,0.334359690000000
夏普值風險,0.086403737895483
夏普值,3.869736404279775

二次趨勢線,30.020386267978253 x^2 + 4876.145164716921499 x + 10000000.000000000000000
二次加權預期報酬,15023.035723293571209
風險,188734.068307651818031
二次加權趨勢值,0.079598960897747
一次趨勢線,10583.748899488575262 x + 10000000.000000000000000
一次預期報酬,10583.748899488575262
一次風險,286762.189484295086004
一次趨勢值,0.036907755930174
找到最佳解世代,2063
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),V[25](3),VZ[26](2),WMT[28](5),
Stock#,KO[14](1),V[25](3),VZ[26](2),WMT[28](5),
張數,73811,116713,69696,47510,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,21.430000000167638,7.539999999571592,4.479999999981374,23.800000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2474904.260000000242144,2438142.109999999869615,2473515.520000000018626,2455340.600000000093132,9841902.490000000223517
FS( 3 ),2524357.630000000353903,2552520.849999999627471,2506969.600000000093132,2436336.600000000558794,10020184.679999999701977
FS( 4 ),2429141.439999999944121,2480158.789999999571592,2433788.800000000279397,2380274.800000000279397,9723363.830000000074506
FS( 5 ),2464570.720000000204891,2433473.589999999850988,2442849.279999999795109,2415907.300000000279397,9756800.890000000596046
FS( 6 ),2403307.590000000316650,2312092.069999999366701,2308336.000000000000000,2324213.000000000465661,9347948.660000000149012
FS( 7 ),2460880.170000000391155,2414799.509999999776483,2389880.319999999832362,2414482.000000000465661,9680042.000000000000000
FS( 8 ),2360497.210000000428408,2313259.199999999720603,2345971.839999999850988,2299982.899999999906868,9319711.150000000372529
FS( 9 ),2453499.070000000298023,2466153.229999999515712,2412880.000000000000000,2362696.100000000093132,9695228.400000000372529
FS( 10 ),2477856.700000000186265,2446312.019999999552965,2390577.279999999795109,2363646.300000000279397,9678392.300000000745058
FS( 11 ),2516976.530000000260770,2505835.649999999441206,2442849.279999999795109,2374573.600000000093132,9840235.059999998658895
FS( 12 ),2516238.420000000391155,2504668.519999999552965,2431000.959999999962747,2466743.000000000465661,9918650.900000000372529
FS( 13 ),2556834.470000000204891,2450980.539999999571592,2481879.040000000037253,2449164.300000000279397,9938858.349999999627471
FS( 14 ),2500738.110000000335276,2342437.449999999720603,2444243.200000000186265,2460566.700000000186265,9747985.460000000894070
FS( 15 ),2476380.479999999981374,2322596.239999999292195,2419152.640000000130385,2484796.800000000279397,9702926.160000000149012
FS( 16 ),2483023.470000000204891,2328431.889999999664724,2426819.200000000186265,2479570.700000000186265,9717845.259999999776483
FS( 17 ),2548715.260000000242144,2443977.759999999776483,2506272.640000000130385,2528030.900000000372529,10026996.560000000521541
FS( 18 ),2571596.670000000391155,2521008.339999999850988,2541817.600000000093132,2535632.500000000000000,10170055.109999999403954
FS( 19 ),2508857.320000000298023,2454481.929999999701977,2493030.400000000372529,2503800.800000000279397,9960170.450000001117587
FS( 20 ),2528048.180000000167638,2504668.519999999552965,2492333.439999999944121,2513302.800000000279397,10038352.939999999478459
FS( 21 ),2573811.000000000000000,2526843.989999999292195,2518817.919999999925494,2527080.700000000186265,10146553.609999999403954
FS( 22 ),2578239.660000000149012,2565359.279999999795109,2530666.240000000223517,2509502.000000000465661,10183767.179999999701977
FS( 23 ),2600382.959999999962747,2564192.149999999441206,2520908.800000000279397,2527080.700000000186265,10212564.609999999403954
FS( 24 ),2600382.959999999962747,2559523.629999999422580,2500696.959999999962747,2501425.300000000279397,10162028.849999999627471
FS( 25 ),2573811.000000000000000,2496498.609999999869615,2478394.240000000223517,2471969.100000000558794,10020672.949999999254942
FS( 26 ),2562739.350000000093132,2505835.649999999441206,2454697.600000000093132,2455340.600000000093132,9978613.199999999254942
FS( 27 ),2612930.830000000074506,2581699.099999999627471,2482576.000000000000000,2490498.000000000465661,10167703.929999999701977
FS( 28 ),2626954.920000000391155,2552520.849999999627471,2465848.959999999962747,2480520.900000000372529,10125845.629999998956919
FS( 29 ),2560525.020000000018626,2519841.209999999497086,2456091.520000000018626,2440137.400000000372529,9976595.150000000372529
FS( 30 ),2560525.020000000018626,2551353.719999999273568,2456788.479999999981374,2461992.000000000465661,10030659.219999998807907
FS( 31 ),2550191.479999999981374,2560690.759999999776483,2474212.479999999981374,2451064.700000000651926,10036159.420000001788139
FS( 32 ),2575287.220000000204891,2614378.739999999292195,2481182.080000000074506,2480045.800000000279397,10150893.839999999850988
FS( 33 ),2621050.040000000037253,2641222.729999999515712,2522302.719999999739230,2494773.900000000372529,10279349.390000000596046
FS( 34 ),2629169.250000000000000,2650559.769999999552965,2559241.600000000093132,2501425.300000000279397,10340395.919999999925494
FS( 35 ),2601121.070000000298023,2627217.169999999925494,2528575.359999999869615,2491923.300000000279397,10248836.900000000372529
FS( 36 ),2607764.060000000055879,2708916.269999999552965,2537635.839999999850988,2484321.700000000186265,10338637.870000001043081
FS( 37 ),2556834.470000000204891,2668066.719999999273568,2497909.120000000111759,2438237.000000000465661,10161047.310000000521541
FS( 38 ),2502952.439999999944121,2577030.579999999143183,2480485.120000000111759,2388826.600000000558794,9949294.740000000223517
FS( 39 ),2488190.240000000223517,2628384.299999999348074,2500696.959999999962747,2413531.800000000279397,10030803.299999998882413
FS( 40 ),2537643.610000000335276,2634219.949999999720603,2534151.040000000037253,2462467.100000000093132,10168481.700000001117587
FS( 41 ),2567168.010000000242144,2610877.349999999627471,2571089.919999999925494,2471969.100000000558794,10221104.379999998956919
