代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14188649.179999999701977
真實報酬,4188649.179999999701977

夏普值報酬,0.410164918000000
夏普值風險,0.118823815983464
夏普值,3.451874648236164

二次趨勢線,63.856204178647694 x^2 + 2229.167238665626428 x + 10000000.000000000000000
二次加權預期報酬,23557.139434333956160
風險,226261.075624393793987
二次加權趨勢值,0.104114856562603
一次趨勢線,14226.103802169051050 x + 10000000.000000000000000
一次預期報酬,14226.103802169051050
一次風險,502283.472070870746393
一次趨勢值,0.028322858690763
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),DD[7](9),UNH[23](2),
Stock#,BA[2](1),DD[7](9),UNH[23](2),
張數,47612,79840,59038,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.879999999888241,13.000000000000000,47.520000000018626,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3310479.239999999757856,3315768.200000000186265,3353405.919999999925494,9979654.359999999403954
FS( 3 ),3326191.199999999720603,3264670.600000000093132,3356948.200000000186265,9947811.000000000000000
FS( 4 ),3330000.159999999683350,3318163.400000000372529,3422480.379999999888241,10070644.940000001341105
FS( 5 ),3375231.560000000055879,3319760.199999999720603,3372888.459999999962747,10067881.219999998807907
FS( 6 ),3359995.719999999739230,3297405.000000000000000,3400636.320000000298023,10058038.039999999105930
FS( 7 ),3363328.560000000055879,3228742.599999999627471,3392961.379999999888241,9985033.539999999105930
FS( 8 ),3349044.959999999962747,3192814.600000000093132,3371707.700000000186265,9913568.260000001639128
FS( 9 ),3372374.839999999850988,3208782.599999999627471,3404178.599999999627471,9985337.039999999105930
FS( 10 ),3420939.079999999608845,3192814.600000000093132,3369346.180000000167638,9983100.859999999403954
FS( 11 ),3439983.879999999888241,3219960.199999999720603,3394142.140000000130385,10054087.220000000670552
FS( 12 ),3498546.640000000130385,3400398.600000000093132,3358128.959999999962747,10257075.199999999254942
FS( 13 ),3505688.439999999478459,3437923.400000000372529,3305585.140000000130385,10249197.980000000447035
FS( 14 ),3535684.000000000000000,3436326.600000000093132,3306765.899999999906868,10278777.500000000000000
FS( 15 ),3523781.000000000000000,3394809.800000000279397,3286102.599999999627471,10204694.400000000372529
FS( 16 ),3509021.279999999795109,3381237.000000000000000,3338056.040000000037253,10228315.320000000298023
FS( 17 ),3467122.719999999739230,3246307.399999999906868,3316802.359999999869615,10030233.479999998584390
FS( 18 ),3461885.399999999441206,3397205.000000000000000,3301452.479999999981374,10160543.879999998956919
FS( 19 ),3406179.360000000335276,3372454.600000000093132,3318573.500000000000000,10097208.460000000894070
FS( 20 ),3385706.199999999720603,3362075.399999999906868,3293187.160000000149012,10040969.759999999776483
FS( 21 ),3353806.159999999683350,3331736.199999999720603,3306175.520000000018626,9991718.879999998956919
FS( 22 ),3370470.360000000335276,3423552.200000000186265,3362261.620000000111759,10156285.179999999701977
FS( 23 ),3335237.479999999981374,3382833.799999999813735,3309127.419999999925494,10027199.699999999254942
FS( 24 ),3352377.799999999813735,3417963.400000000372529,3263668.160000000149012,10034010.359999999403954
FS( 25 ),3429033.119999999646097,3469859.399999999906868,3329200.339999999850988,10228093.859999999403954
