代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13199765.810000002384186
真實報酬,3199765.810000002384186

夏普值報酬,0.311276581000000
夏普值風險,0.106847613514169
夏普值,2.913275933474377

二次趨勢線,56.052664486639131 x^2 + -185.732629204947443 x + 10000000.000000000000000
二次加權預期報酬,18535.857309332524892
風險,356596.881954194745049
二次加權趨勢值,0.051979863670579
一次趨勢線,10345.119755635190813 x + 10000000.000000000000000
一次預期報酬,10345.119755635190813
一次風險,531139.921563081676140
一次趨勢值,0.019477202401188
找到最佳解世代,2262
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),PG[21](1),WMT[28](2),
Stock#,AAPL[0](3),PG[21](1),WMT[28](2),
張數,18035,35719,33755,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,104.300000000279397,35.920000000391155,26.750000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3186708.450000000186265,3332975.810000000521541,3234093.300000000279397,9753778.560000000521541
FS( 3 ),3151179.500000000465661,3341548.370000000111759,3198988.100000000093132,9691716.970000000670552
FS( 4 ),3038821.450000000651926,3302257.470000000670552,3145655.199999999720603,9486735.120000001043081
FS( 5 ),3058840.300000000279397,3322974.490000000223517,3170971.449999999720603,9552787.240000000223517
FS( 6 ),3041346.350000000093132,3354407.210000000428408,3167933.500000000000000,9563688.060000000521541
FS( 7 ),3049822.800000000279397,3358693.490000000223517,3142954.799999999813735,9551472.089999999850988
FS( 8 ),3083187.550000000279397,3446562.229999999981374,3137891.549999999813735,9667642.330000000074506
FS( 9 ),2984536.100000000093132,3451920.080000000540167,3100423.500000000000000,9536880.679999999701977
FS( 10 ),2956762.200000000186265,3313687.550000000279397,3063968.100000000093132,9334418.849999999627471
FS( 11 ),2995176.750000000000000,3303686.229999999981374,3074432.149999999906868,9373296.130000000819564
FS( 12 ),2901755.450000000186265,3277611.360000000800937,3056542.000000000000000,9235909.810000000521541
FS( 13 ),2828533.350000000558794,3249750.540000000502914,2946163.149999999906868,9024448.040000000968575
FS( 14 ),2718519.850000000093132,3249393.350000000558794,2941099.899999999906868,8909014.100000001490116
FS( 15 ),2648183.350000000558794,3120447.760000000242144,2896880.849999999627471,8665512.960000000894070
FS( 16 ),2834665.250000000000000,3217960.630000000353903,3051816.299999999813735,9104443.179999999701977
FS( 17 ),2816269.550000000279397,3286898.300000000279397,3091647.200000000186265,9194816.050000000745058
FS( 18 ),2817712.350000000093132,3256894.340000000782311,3109874.899999999906868,9184482.590000001713634
FS( 19 ),2844945.200000000651926,3283326.400000000372529,3144305.000000000000000,9272577.600000001490116
FS( 20 ),2848191.500000000000000,3260466.240000000223517,3150718.450000000186265,9259377.190000001341105
FS( 21 ),2564500.950000000186265,3237606.080000000540167,3134516.049999999813735,8936624.080000001937151
FS( 22 ),2673973.399999999906868,3303686.229999999981374,3154093.949999999720603,9131754.580000000074506
