代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14242937.059999998658895
真實報酬,4242937.059999998658895

夏普值報酬,0.415593706000000
夏普值風險,0.115046009148326
夏普值,3.612413060449438

二次趨勢線,69.390140564662687 x^2 + -67.776810237166387 x + 10000000.000000000000000
二次加權預期報酬,23293.570513199269044
風險,188959.809827093733475
二次加權趨勢值,0.123272618312401
一次趨勢線,13072.929531863746888 x + 10000000.000000000000000
一次預期報酬,13072.929531863746888
一次風險,529940.111889385501854
一次趨勢值,0.024668692251385
找到最佳解世代,2611
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),BA[2](2),MCD[15](3),
Stock#,AAPL[0](1),BA[2](2),MCD[15](3),
張數,33854,26369,27329,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,68.160000000149012,27.709999999962747,14.870000000111759,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3308281.040000000037253,3344935.359999999869615,3311469.800000000279397,9964687.200000001117587
FS( 3 ),3315051.840000000316650,3358910.929999999701977,3316389.020000000018626,9990352.789999999105930
FS( 4 ),3339088.180000000167638,3478098.810000000055879,3334152.870000000111759,10151340.859999999403954
FS( 5 ),3352629.780000000260770,3478889.880000000353903,3331419.970000000204891,10162940.630000000819564
FS( 6 ),3349582.919999999925494,3507104.709999999962747,3337159.060000000055879,10193847.689999999478459
FS( 7 ),3373619.260000000242144,3509741.609999999869615,3355742.780000000260770,10239104.650000000372529
FS( 8 ),3345858.979999999981374,3458058.369999999646097,3343991.310000000055879,10147909.660000000149012
FS( 9 ),3295416.520000000484288,3425888.189999999478459,3361208.580000000074506,10082514.289999999105930
FS( 10 ),3299479.000000000000000,3441182.209999999962747,3348090.660000000149012,10088752.870000001043081
FS( 11 ),3288645.720000000204891,3432216.750000000000000,3340985.120000000111759,10061848.589999999850988
FS( 12 ),3302525.859999999869615,3411385.240000000223517,3346997.500000000000000,10060909.599999999627471
FS( 13 ),3227369.979999999981374,3423251.289999999571592,3341531.700000000186265,9992153.969999998807907
FS( 14 ),3219583.560000000055879,3500512.459999999962747,3372960.050000000279397,10093057.070000000298023
FS( 15 ),3247005.299999999813735,3468078.590000000316650,3351370.140000000130385,10066455.030000001192093
FS( 16 ),3234817.859999999869615,3474670.840000000316650,3296438.850000000093132,10005928.550000000745058
FS( 17 ),3253437.560000000055879,3521607.660000000149012,3312562.959999999962747,10087609.179999999701977
FS( 18 ),3162031.760000000242144,3336233.589999999850988,3264190.629999999888241,9762456.980000000447035
FS( 19 ),3115990.320000000298023,3235504.010000000242144,3178377.569999999832362,9529872.900000000372529
FS( 20 ),3168464.020000000484288,3266883.120000000111759,3238501.370000000111759,9673849.510000001639128
FS( 21 ),3195885.760000000242144,3348627.020000000018626,3265557.080000000074506,9810070.859999999403954
FS( 22 ),3236510.560000000055879,3424569.740000000223517,3288786.729999999981374,9949868.030000001192093
FS( 23 ),3246328.220000000204891,3419823.319999999832362,3290426.470000000204891,9956579.009999999776483
FS( 24 ),3215859.620000000111759,3348099.640000000130385,3300264.910000000149012,9864225.169999999925494
FS( 25 ),3234140.780000000260770,3347835.949999999720603,3296712.140000000130385,9878689.870000001043081
FS( 26 ),3248020.919999999925494,3353373.439999999944121,3304637.550000000279397,9906032.910000000149012
FS( 27 ),3273072.880000000353903,3430370.919999999925494,3315295.860000000335276,10018740.660000000149012
FS( 28 ),3283229.080000000074506,3481790.469999999739230,3334152.870000000111759,10099173.419999999925494
FS( 29 ),3298124.840000000316650,3449356.600000000093132,3340985.120000000111759,10088467.560000000521541
FS( 30 ),3279505.140000000130385,3430898.300000000279397,3356562.649999999906868,10066967.089999999850988
FS( 31 ),3344504.820000000298023,3468869.660000000149012,3386897.840000000316650,10200273.320000000298023
FS( 32 ),3344166.280000000260770,3491019.619999999646097,3378152.560000000055879,10213339.460000000894070
FS( 33 ),3379712.979999999981374,3518443.380000000353903,3383345.069999999832362,10281502.429999999701977
FS( 34 ),3381067.140000000130385,3550877.250000000000000,3457133.370000000111759,10389078.760000001639128
FS( 35 ),3384114.000000000000000,3552459.390000000130385,3445108.610000000335276,10381683.000000000000000
FS( 36 ),3366171.380000000353903,3521080.279999999795109,3475717.090000000316650,10362969.750000000000000
FS( 37 ),3340103.799999999813735,3519498.140000000130385,3505232.409999999683350,10364835.349999999627471
