代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13109413.820000000298023
真實報酬,3109413.820000000298023

夏普值報酬,0.302241382000000
夏普值風險,0.090319539686094
夏普值,3.346356536475290

二次趨勢線,86.022282062432637 x^2 + -10357.042078397054865 x + 10000000.000000000000000
二次加權預期報酬,18718.489258705176326
風險,229547.770624192053219
二次加權趨勢值,0.081545071022931
一次趨勢線,5997.880672774675077 x + 10000000.000000000000000
一次預期報酬,5997.880672774675077
一次風險,659861.697045864071697
一次趨勢值,0.009089602714670
找到最佳解世代,2318
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](6),CSCO[4](3),HD[9](4),MCD[15](1),
Stock#,AAPL[0](6),CSCO[4](3),HD[9](4),MCD[15](1),
張數,50100,134698,68008,33382,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.000000000000000,5.120000000111759,25.919999999925494,22.020000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2520040.000000000000000,2491918.120000000111759,2493199.199999999720603,2493323.600000000093132,9998480.919999999925494
FS( 3 ),2573647.000000000000000,2495959.060000000055879,2553726.319999999832362,2545065.699999999720603,10168398.080000000074506
FS( 4 ),2576653.000000000000000,2478448.319999999832362,2531283.679999999701977,2538055.479999999981374,10124440.480000000447035
FS( 5 ),2543587.000000000000000,2451508.720000000204891,2507480.879999999888241,2546734.800000000279397,10049311.400000000372529
FS( 6 ),2546092.000000000000000,2454202.680000000167638,2519042.239999999757856,2521698.300000000279397,10041035.220000000670552
FS( 7 ),2522545.000000000000000,2440732.880000000353903,2561887.280000000260770,2529709.979999999981374,10054875.140000000596046
FS( 8 ),2480962.000000000000000,2413793.280000000260770,2521082.479999999981374,2559753.780000000260770,9975591.539999999105930
FS( 9 ),2519038.000000000000000,2417834.220000000204891,2525843.040000000037253,2561422.880000000353903,10024138.140000000596046
FS( 10 ),2530561.000000000000000,2404364.420000000391155,2494559.359999999869615,2526037.959999999962747,9955522.739999998360872
FS( 11 ),2472445.000000000000000,2342403.340000000316650,2468036.239999999757856,2507677.860000000335276,9790562.440000001341105
FS( 12 ),2361724.000000000000000,2296606.020000000018626,2426551.359999999869615,2449593.179999999701977,9534474.559999998658895
FS( 13 ),2395291.000000000000000,2289871.120000000111759,2431992.000000000000000,2450260.820000000298023,9567414.940000001341105
FS( 14 ),2366734.000000000000000,2308728.840000000316650,2448313.919999999925494,2436574.199999999720603,9560350.959999999031425
FS( 15 ),2428357.000000000000000,2342403.340000000316650,2477557.359999999869615,2462278.340000000316650,9710596.039999999105930
FS( 16 ),2441884.000000000000000,2350485.220000000204891,2468036.239999999757856,2465950.360000000335276,9726355.820000000298023
FS( 17 ),2427856.000000000000000,2367995.959999999962747,2490478.879999999888241,2487982.479999999981374,9774313.320000000298023
FS( 18 ),2468938.000000000000000,2338362.399999999906868,2540804.799999999813735,2501335.280000000260770,9849440.480000000447035
FS( 19 ),2516032.000000000000000,2327586.560000000055879,2544885.280000000260770,2512017.520000000018626,9900521.360000001266599
FS( 20 ),2508016.000000000000000,2315463.740000000223517,2492519.119999999646097,2503672.020000000018626,9819670.879999998956919
FS( 21 ),2512024.000000000000000,2349138.240000000223517,2563927.520000000018626,2516023.360000000335276,9941113.120000001043081
FS( 22 ),2494990.000000000000000,2334321.459999999962747,2555086.479999999981374,2530711.439999999944121,9915109.379999998956919
FS( 23 ),2494489.000000000000000,2310075.819999999832362,2520402.399999999906868,2540058.399999999906868,9865025.620000001043081
FS( 24 ),2465932.000000000000000,2295259.040000000037253,2554406.399999999906868,2536720.199999999720603,9852317.639999998733401
FS( 25 ),2441884.000000000000000,2297953.000000000000000,2548285.679999999701977,2550073.000000000000000,9838195.679999999701977
FS( 26 ),2425351.000000000000000,2319504.680000000167638,2557126.720000000204891,2557083.219999999739230,9859065.620000001043081
FS( 27 ),2419339.000000000000000,2433997.979999999981374,2550325.919999999925494,2561089.060000000055879,9964751.960000000894070
FS( 28 ),2419840.000000000000000,2412446.300000000279397,2572768.559999999590218,2537387.840000000316650,9942442.700000001117587
FS( 29 ),2398297.000000000000000,2377424.819999999832362,2547605.600000000093132,2538389.300000000279397,9861716.720000000670552
FS( 30 ),2367736.000000000000000,2353179.180000000167638,2557126.720000000204891,2545399.520000000018626,9823441.419999999925494
FS( 31 ),2379259.000000000000000,2349138.240000000223517,2568008.000000000000000,2559086.140000000130385,9855491.380000000819564
FS( 32 ),2405812.000000000000000,2323545.620000000111759,2561887.280000000260770,2566764.000000000000000,9858008.900000000372529
