代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12588491.949999999254942
真實報酬,2588491.949999999254942

夏普值報酬,0.250149195000000
夏普值風險,0.075663934057716
夏普值,3.306055891954903

二次趨勢線,39.133594488898062 x^2 + 857.546298553026418 x + 10000000.000000000000000
二次加權預期報酬,14084.701235800570430
風險,192062.853139250189997
二次加權趨勢值,0.073333812372291
一次趨勢線,8297.792005788431197 x + 10000000.000000000000000
一次預期報酬,8297.792005788431197
一次風險,340727.675285921781324
一次趨勢值,0.024353149472890
找到最佳解世代,2507
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,2
JPM[13](2),PG[21](19),
Stock#,JPM[13](2),PG[21](19),
張數,84947,61637,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.580000000074506,6.559999999590218,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4844546.990000000223517,4944526.699999999254942,9789073.689999999478459
FS( 3 ),4876826.849999999627471,4998767.259999998845160,9875594.109999999403954
FS( 4 ),4960924.379999999888241,4974112.459999999962747,9935036.839999999850988
FS( 5 ),4905708.830000000074506,5004930.959999999962747,9910639.789999999105930
FS( 6 ),4802922.959999999962747,5092455.500000000000000,9895378.460000000894070
FS( 7 ),4774040.980000000447035,5093688.239999999292195,9867729.219999998807907
FS( 8 ),4716277.020000000484288,5030818.500000000000000,9747095.519999999552965
FS( 9 ),4508156.870000000111759,4924802.860000000335276,9432959.730000000447035
FS( 10 ),4883622.610000000335276,4991987.189999999478459,9875609.800000000745058
FS( 11 ),4956677.030000000260770,5021572.949999999254942,9978249.980000000447035
FS( 12 ),4992354.770000000484288,5081977.209999999962747,10074331.980000000447035
FS( 13 ),4910805.650000000372529,5053007.820000000298023,9963813.470000000670552
FS( 14 ),4911655.120000000111759,5041296.790000000037253,9952951.910000000149012
FS( 15 ),4975365.370000000111759,5062253.369999999180436,10037618.739999998360872
FS( 16 ),4767245.219999999739230,5042529.529999999329448,9809774.750000000000000
FS( 17 ),4768944.160000000149012,5027120.279999999329448,9796064.439999999478459
FS( 18 ),4842848.049999999813735,5075197.139999999664724,9918045.189999999478459
FS( 19 ),4887869.959999999962747,4998767.259999998845160,9886637.219999998807907
FS( 20 ),4782535.679999999701977,4948841.290000000037253,9731376.969999998807907
FS( 21 ),5028881.980000000447035,5006780.070000000298023,10035662.050000000745058
FS( 22 ),5076452.299999999813735,5088140.909999999217689,10164593.209999999031425
FS( 23 ),5093441.700000000186265,5106015.639999999664724,10199457.339999999850988
FS( 24 ),5101086.929999999701977,5146079.689999999478459,10247166.619999999180436
FS( 25 ),5091742.759999999776483,5122041.259999998845160,10213784.019999999552965
FS( 26 ),4993204.240000000223517,5119575.779999999329448,10112780.019999999552965
FS( 27 ),5022086.219999999739230,5113412.079999999143183,10135498.299999998882413
FS( 28 ),4978763.250000000000000,5071498.919999999925494,10050262.169999999925494
FS( 29 ),5040774.560000000521541,5038831.309999999590218,10079605.870000001043081
FS( 30 ),5022086.219999999739230,5003081.849999999627471,10025168.070000000298023
FS( 31 ),5028881.980000000447035,5011711.029999999329448,10040593.009999999776483
FS( 32 ),5005096.820000000298023,5013560.139999999664724,10018656.960000000894070
FS( 33 ),4990655.830000000074506,5100468.309999999590218,10091124.140000000596046
FS( 34 ),5137614.139999999664724,5125123.110000000335276,10262737.250000000000000
FS( 35 ),5135915.200000000186265,5135601.399999999441206,10271516.599999999627471
FS( 36 ),5117226.860000000335276,5099851.939999999478459,10217078.800000000745058
FS( 37 ),5091742.759999999776483,5104782.899999999441206,10196525.660000000149012
FS( 38 ),5052667.139999999664724,5109097.489999999292195,10161764.629999998956919
FS( 39 ),5045871.379999999888241,5092455.500000000000000,10138326.879999998956919
FS( 40 ),5014440.990000000223517,5103550.159999999217689,10117991.149999998509884
