代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12287192.769999999552965
真實報酬,2287192.769999999552965

夏普值報酬,0.220019277000000
夏普值風險,0.082516672460930
夏普值,2.666361481119765

二次趨勢線,88.377902689234148 x^2 + -13320.487086477936828 x + 10000000.000000000000000
二次加權預期報酬,16433.406818897554331
風險,284547.945134135894477
二次加權趨勢值,0.057752681401902
一次趨勢線,3416.012608140315933 x + 10000000.000000000000000
一次預期報酬,3416.012608140315933
一次風險,691814.342409202363342
一次趨勢值,0.004937759162732
找到最佳解世代,1706
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),JPM[13](2),MSFT[18](3),PG[21](18),
FS( 53 ),2224231.979999999981374,2376613.700000000186265,2440237.800000000279397,2652477.219999999739230,9693560.699999999254942
FS( 54 ),2205743.950000000186265,2375827.800000000279397,2457117.200000000186265,2657900.049999999348074,9696589.000000000000000
FS( 55 ),2176247.779999999795109,2367182.900000000372529,2466697.399999999906868,2639398.629999999422580,9649526.709999999031425
FS( 56 ),2174554.220000000204891,2355394.399999999906868,2462135.399999999906868,2641950.549999999348074,9634034.569999998435378
FS( 57 ),2159312.180000000167638,2337318.700000000186265,2473084.200000000186265,2644183.479999999515712,9613898.560000000521541
FS( 58 ),2171167.100000000093132,2334175.100000000093132,2442518.799999999813735,2635570.750000000000000,9583431.750000000000000
FS( 59 ),2187961.570000000298023,2319635.950000000186265,2495894.200000000186265,2641312.569999999366701,9644804.289999999105930
FS( 60 ),2208707.680000000167638,2346356.550000000279397,2511405.000000000000000,2637484.689999999944121,9703953.919999999925494
FS( 61 ),2215481.919999999925494,2327102.000000000000000,2519616.599999999627471,2625682.059999999590218,9687882.579999998211861
FS( 62 ),2255562.839999999850988,2352643.750000000000000,2535127.399999999906868,2664598.839999999850988,9807932.830000000074506
FS( 63 ),2226631.190000000409782,2326316.100000000093132,2528740.600000000093132,2654391.159999999217689,9736079.050000000745058
FS( 64 ),2192477.729999999981374,2293308.300000000279397,2489051.200000000186265,2652796.209999999497086,9627633.439999999478459
FS( 65 ),2190219.649999999906868,2310991.050000000279397,2514598.399999999906868,2673530.559999999590218,9689339.660000000149012
FS( 66 ),2122759.510000000242144,2252441.500000000000000,2484489.200000000186265,2655348.129999999422580,9515038.339999999850988
FS( 67 ),2120924.820000000298023,2268945.400000000372529,2482664.399999999906868,2654072.169999999925494,9526606.790000000968575
FS( 68 ),2148021.779999999795109,2287021.100000000093132,2477646.200000000186265,2639079.639999999664724,9551768.719999998807907
FS( 69 ),2177800.210000000428408,2329459.700000000186265,2493157.000000000000000,2642269.539999999571592,9642686.449999999254942
FS( 70 ),2255986.229999999981374,2428090.149999999906868,2525091.000000000000000,2630466.909999999217689,9839634.289999999105930
FS( 71 ),2270946.010000000242144,2459526.150000000372529,2525547.200000000186265,2616112.359999999869615,9872131.720000000670552
FS( 72 ),2237215.940000000409782,2431233.750000000000000,2538777.000000000000000,2625363.069999999366701,9832589.759999999776483
FS( 73 ),2244272.440000000409782,2446951.750000000000000,2575729.200000000186265,2642269.539999999571592,9909222.929999999701977
FS( 74 ),2295502.630000000353903,2488211.500000000000000,2572535.799999999813735,2656624.089999999850988,10012874.019999999552965
FS( 75 ),2356611.919999999925494,2524362.899999999906868,2536039.800000000279397,2601438.819999999366701,10018453.440000001341105
FS( 76 ),2333184.339999999850988,2499214.100000000093132,2544707.600000000093132,2577514.569999999366701,9954620.609999999403954
FS( 77 ),2353365.930000000167638,2513753.250000000000000,2362227.600000000093132,2582299.419999999925494,9811646.199999999254942
FS( 78 ),2329938.350000000093132,2499214.100000000093132,2377282.200000000186265,2596972.959999999497086,9803407.609999999403954
FS( 79 ),2340523.100000000093132,2512181.450000000186265,2346716.799999999813735,2537640.819999999366701,9737062.169999999925494
FS( 80 ),2355765.140000000130385,2519254.550000000279397,2323906.799999999813735,2548486.479999999515712,9747412.969999998807907
FS( 81 ),2318647.950000000186265,2499214.100000000093132,2276462.000000000000000,2544339.609999999869615,9638663.660000000149012
FS( 82 ),2316107.610000000335276,2483496.100000000093132,2275093.399999999906868,2555823.250000000000000,9630520.360000001266599
FS( 83 ),2345321.520000000484288,2506680.149999999906868,2308852.200000000186265,2582937.399999999441206,9743791.269999999552965
FS( 84 ),2302418.000000000000000,2458347.300000000279397,2270987.600000000093132,2587084.269999999552965,9618837.169999999925494
FS( 85 ),2259091.089999999850988,2458347.300000000279397,2275093.399999999906868,2603033.769999999552965,9595565.560000000521541
FS( 86 ),2251470.070000000298023,2406477.900000000372529,2278286.799999999813735,2593464.069999999366701,9529698.839999999850988
FS( 87 ),2241873.229999999981374,2420624.100000000093132,2298815.799999999813735,2619940.239999999292195,9581253.369999999180436
FS( 88 ),2222961.810000000055879,2405299.050000000279397,2284217.399999999906868,2619621.250000000000000,9532099.509999999776483
FS( 89 ),2278143.640000000130385,2437913.899999999906868,2327556.400000000372529,2631104.889999999664724,9674718.830000000074506
FS( 90 ),2249917.640000000130385,2428876.050000000279397,2328925.000000000000000,2620578.219999999739230,9628296.910000000149012
FS( 91 ),2230865.089999999850988,2427304.250000000000000,2349910.199999999720603,2628871.959999999497086,9636951.499999998137355
FS( 92 ),2192336.600000000093132,2404906.100000000093132,2330293.600000000093132,2591231.139999999664724,9518767.440000001341105
FS( 93 ),2192901.120000000111759,2422981.799999999813735,2364508.600000000093132,2603990.739999999292195,9584382.259999997913837
FS( 94 ),2182598.630000000353903,2422981.799999999813735,2304290.199999999720603,2571772.750000000000000,9481643.379999998956919
FS( 95 ),2257256.399999999906868,2516503.900000000372529,2317976.200000000186265,2547210.519999999552965,9638947.019999999552965
FS( 96 ),2183304.279999999795109,2490962.149999999906868,2295622.399999999906868,2558056.179999999701977,9527945.009999999776483
FS( 97 ),2180622.810000000055879,2495677.549999999813735,2309308.399999999906868,2552633.349999999627471,9538242.109999999403954
FS( 98 ),2193889.029999999795109,2493712.800000000279397,2282392.600000000093132,2558375.169999999925494,9528369.599999999627471
FS( 99 ),2224090.850000000093132,2536151.400000000372529,2353559.800000000279397,2582937.399999999441206,9696739.449999999254942
FS( 100 ),2275744.430000000167638,2574660.500000000000000,2377738.399999999906868,2599205.889999999664724,9827349.219999998807907
FS( 101 ),2247095.040000000037253,2555405.950000000186265,2367245.799999999813735,2590912.149999999441206,9760658.939999999478459
FS( 102 ),2251470.070000000298023,2571123.950000000186265,2386862.399999999906868,2597610.939999999944121,9807067.359999999403954
FS( 103 ),2250764.419999999925494,2564836.750000000000000,2417884.000000000000000,2585170.330000000074506,9818655.500000000000000
FS( 104 ),2257679.790000000037253,2581340.649999999906868,2411041.000000000000000,2609094.580000000074506,9859156.019999999552965
FS( 105 ),2247941.820000000298023,2586056.050000000279397,2394161.599999999627471,2614198.419999999925494,9842357.890000000596046
FS( 106 ),2196993.890000000130385,2540080.899999999906868,2362683.799999999813735,2630785.899999999441206,9730544.489999998360872
FS( 107 ),2216610.960000000428408,2565229.700000000186265,2378194.600000000093132,2640355.599999999627471,9800390.859999999403954
FS( 108 ),2189937.390000000130385,2556584.800000000279397,2376826.000000000000000,2626001.049999999348074,9749349.240000000223517
FS( 109 ),2182457.500000000000000,2564050.850000000093132,2374088.799999999813735,2636527.719999999739230,9757124.869999999180436
FS( 110 ),2161711.390000000130385,2544403.350000000093132,2354928.399999999906868,2653115.199999999720603,9714158.339999999850988
FS( 111 ),2115420.750000000000000,2508644.900000000372529,2348541.599999999627471,2654072.169999999925494,9626679.419999999925494
FS( 112 ),2097638.370000000111759,2486246.750000000000000,2287410.799999999813735,2633975.799999999348074,9505271.719999998807907
FS( 113 ),2063202.650000000139698,2439485.700000000186265,2273268.600000000093132,2658857.019999999552965,9434813.970000000670552
FS( 114 ),2062779.260000000009313,2435163.250000000000000,2266881.799999999813735,2646097.419999999925494,9410921.730000000447035
FS( 115 ),2069412.370000000111759,2444987.000000000000000,2298815.799999999813735,2660770.959999999497086,9473986.129999998956919
FS( 116 ),2055440.500000000000000,2447344.700000000186265,2286954.600000000093132,2651839.239999999292195,9441579.039999999105930
FS( 117 ),2085218.930000000167638,2450881.250000000000000,2284217.399999999906868,2648968.330000000074506,9469285.910000000149012
FS( 118 ),2093686.729999999981374,2473672.350000000093132,2335311.799999999813735,2660770.959999999497086,9563441.839999999850988
FS( 119 ),2090723.000000000000000,2464241.550000000279397,2326187.800000000279397,2665874.799999999348074,9547027.150000000372529
FS( 120 ),2154513.760000000242144,2516896.850000000093132,2368158.199999999720603,2686290.159999999217689,9725858.969999998807907
FS( 121 ),2002093.360000000335276,2342034.100000000093132,2273268.600000000093132,2624087.109999999869615,9241483.169999999925494
FS( 122 ),1968927.810000000055879,2263837.050000000279397,2209400.600000000093132,2591231.139999999664724,9033396.600000001490116
FS( 123 ),2009855.510000000009313,2338890.500000000000000,2255476.799999999813735,2630466.909999999217689,9234689.719999998807907
FS( 124 ),2053464.680000000167638,2404906.100000000093132,2305658.799999999813735,2676720.459999999497086,9440750.039999999105930
FS( 125 ),2096932.720000000437722,2441843.399999999906868,2334399.399999999906868,2700963.699999999720603,9574139.219999998807907
FS( 126 ),2092275.430000000167638,2407263.799999999813735,2333943.199999999720603,2704472.589999999850988,9537955.019999999552965
FS( 127 ),2038646.030000000027940,2340069.350000000093132,2334399.399999999906868,2725525.929999999701977,9438640.709999999031425
FS( 128 ),2054593.720000000437722,2365218.149999999906868,2343979.600000000093132,2712447.339999999850988,9476238.810000000521541
FS( 129 ),2074634.180000000167638,2365218.149999999906868,2343979.600000000093132,2706067.539999999571592,9489899.469999998807907
FS( 130 ),2122336.120000000111759,2429661.950000000186265,2385950.000000000000000,2736052.599999999627471,9674000.669999999925494
FS( 131 ),2147880.649999999906868,2446951.750000000000000,2399179.800000000279397,2735414.619999999646097,9729426.820000000298023
FS( 132 ),2214635.140000000130385,2483496.100000000093132,2427464.200000000186265,2735414.619999999646097,9861010.060000000521541
FS( 133 ),2228748.140000000130385,2481924.299999999813735,2441150.199999999720603,2739880.479999999515712,9891703.119999997317791
FS( 134 ),2293950.200000000186265,2519647.500000000465661,2451642.800000000279397,2739242.500000000000000,10004483.000000001862645
FS( 135 ),2281248.500000000000000,2522005.200000000186265,2449818.000000000000000,2743708.359999999869615,9996780.060000000521541
FS( 136 ),2305099.470000000204891,2513360.300000000279397,2461679.200000000186265,2741156.439999999944121,10021295.410000000149012
FS( 137 ),2278002.510000000242144,2509430.800000000279397,2421989.800000000279397,2748812.199999999720603,9958235.310000000521541
FS( 138 ),2283083.190000000409782,2512181.450000000186265,2550638.199999999720603,2721698.049999999348074,10067600.889999998733401
FS( 139 ),2258808.830000000540167,2502750.649999999906868,2545620.000000000000000,2719784.109999999869615,10026963.589999999850988
FS( 140 ),2263889.510000000242144,2516503.900000000372529,2580747.399999999906868,2734457.649999999441206,10095598.460000000894070
FS( 141 ),2265300.810000000055879,2509823.750000000000000,2588046.599999999627471,2737009.569999999366701,10100180.730000000447035
FS( 142 ),2274474.260000000242144,2520040.449999999720603,2589415.199999999720603,2720103.099999999627471,10104033.009999999776483
FS( 143 ),2272075.050000000279397,2527899.450000000186265,2563411.799999999813735,2694264.909999999217689,10057651.209999999031425
FS( 144 ),2265583.070000000298023,2518861.600000000093132,2564324.200000000186265,2705429.559999999590218,10054198.429999999701977
FS( 145 ),2241308.710000000428408,2513753.250000000000000,2585765.600000000093132,2730310.779999999795109,10071138.339999999850988
FS( 146 ),2232417.520000000484288,2507073.100000000093132,2581203.600000000093132,2756467.959999999497086,10077162.179999999701977
FS( 147 ),2202497.960000000428408,2501178.850000000093132,2581203.600000000093132,2767632.609999999869615,10052513.019999999552965
FS( 148 ),2234675.600000000093132,2540866.799999999813735,2598995.399999999906868,2742432.399999999441206,10116970.199999999254942
FS( 149 ),2230582.830000000540167,2536937.300000000279397,2618155.799999999813735,2744984.319999999366701,10130660.250000000000000
FS( 150 ),2287599.350000000093132,2605310.600000000093132,2644159.200000000186265,2736371.589999999850988,10273440.740000000223517
FS( 151 ),2298042.970000000204891,2597451.600000000093132,2648721.200000000186265,2735733.609999999869615,10279949.380000000819564
FS( 152 ),2306651.899999999906868,2588413.750000000465661,2655108.000000000000000,2743070.379999999422580,10293244.029999999329448
FS( 153 ),2289010.649999999906868,2565229.700000000186265,2646896.400000000372529,2753278.059999999590218,10254414.809999998658895
FS( 154 ),2312579.360000000335276,2572302.799999999813735,2659670.000000000000000,2766675.639999999664724,10311227.800000000745058
FS( 155 ),2303970.430000000167638,2566801.500000000000000,2643246.799999999813735,2776564.330000000074506,10290583.059999998658895
FS( 156 ),2336430.330000000540167,2582519.500000000000000,2651458.399999999906868,2775926.349999999627471,10346334.580000000074506
FS( 157 ),2337841.630000000353903,2582126.549999999813735,2620436.799999999813735,2761890.789999999571592,10302295.769999999552965
FS( 158 ),2338123.890000000130385,2589199.649999999906868,2625911.200000000186265,2774012.409999999217689,10327247.149999998509884
FS( 159 ),2343627.960000000428408,2591557.350000000093132,2627736.000000000000000,2789323.929999999701977,10352245.240000000223517
FS( 160 ),2346027.169999999925494,2588020.800000000279397,2628648.399999999906868,2785177.059999999590218,10347873.429999999701977
FS( 161 ),2346450.560000000055879,2585663.100000000093132,2630929.399999999906868,2770503.519999999552965,10333546.580000000074506
FS( 162 ),2343910.220000000204891,2584484.250000000000000,2640965.799999999813735,2788047.969999999739230,10357408.240000000223517
FS( 163 ),2332902.080000000540167,2591557.350000000093132,2643703.000000000000000,2785177.059999999590218,10353339.490000000223517
FS( 164 ),2341369.880000000353903,2596272.750000000000000,2653739.399999999906868,2803997.469999999739230,10395379.500000000000000
FS( 165 ),2342357.790000000037253,2602167.000000000000000,2647352.600000000093132,2793789.789999999571592,10385667.179999999701977
FS( 166 ),2355059.490000000223517,2630852.350000000093132,2650546.000000000000000,2816757.069999999366701,10453214.910000000149012
FS( 167 ),2390341.990000000223517,2652464.600000000093132,2640965.799999999813735,2792513.830000000074506,10476286.219999998807907
FS( 168 ),2391612.160000000149012,2652464.600000000093132,2621349.200000000186265,2785177.059999999590218,10450603.019999999552965
FS( 169 ),2378204.810000000055879,2641069.049999999813735,2627279.800000000279397,2817076.059999999590218,10463629.719999998807907
FS( 170 ),2387660.520000000484288,2652071.649999999906868,2630929.399999999906868,2813567.169999999925494,10484228.740000000223517
FS( 171 ),2389777.470000000204891,2650106.899999999906868,2628192.200000000186265,2827602.729999999515712,10495679.300000000745058
FS( 172 ),2394575.890000000130385,2639104.299999999813735,2630473.199999999720603,2805592.419999999925494,10469745.809999998658895
FS( 173 ),2422660.760000000242144,2642640.850000000093132,2619980.600000000093132,2800169.589999999850988,10485451.800000000745058
FS( 174 ),2379051.589999999850988,2619063.850000000093132,2564324.200000000186265,2751045.129999999422580,10313484.769999999552965
FS( 175 ),2414192.960000000428408,2635174.800000000279397,2602645.000000000000000,2815162.119999999646097,10467174.880000000819564
FS( 176 ),2356894.180000000167638,2614348.450000000186265,2578922.600000000093132,2776883.319999999366701,10327048.550000000745058
FS( 177 ),2345039.260000000242144,2609240.100000000093132,2566605.199999999720603,2775607.359999999869615,10296491.919999999925494
FS( 178 ),2372136.220000000204891,2618670.899999999906868,2609031.799999999813735,2809101.309999999590218,10408940.230000000447035
FS( 179 ),2342781.180000000167638,2586449.000000000000000,2611769.000000000000000,2808782.319999999366701,10349781.500000000000000
FS( 180 ),2345744.910000000149012,2600988.149999999906868,2597170.600000000093132,2818990.000000000000000,10362893.660000000149012
FS( 181 ),2349414.290000000037253,2611597.799999999813735,2591696.200000000186265,2825688.789999999571592,10378397.080000000074506
FS( 182 ),2357317.570000000298023,2626529.900000000372529,2635035.199999999720603,2800807.569999999366701,10419690.239999998360872
FS( 183 ),2371289.440000000409782,2648142.149999999906868,2637772.399999999906868,2838767.379999999422580,10495971.369999999180436
FS( 184 ),2330502.870000000111759,2642640.850000000093132,2619980.600000000093132,2799531.609999999869615,10392655.929999999701977
FS( 185 ),2278990.419999999925494,2584877.200000000186265,2595802.000000000000000,2802402.519999999552965,10262072.140000000596046
FS( 186 ),2298889.750000000000000,2607668.300000000279397,2643703.000000000000000,2818671.009999999776483,10368932.060000000521541
FS( 187 ),2306793.029999999795109,2621421.549999999813735,2647352.600000000093132,2853759.909999999217689,10429327.089999999850988
FS( 188 ),2243284.529999999795109,2579768.850000000093132,2618612.000000000000000,2814524.139999999664724,10256189.519999999552965
FS( 189 ),2276026.690000000409782,2616706.150000000372529,2627736.000000000000000,2863010.619999999646097,10383479.460000000894070
FS( 190 ),2273204.089999999850988,2613562.550000000279397,2619524.399999999906868,2828240.709999999497086,10334531.750000000000000
FS( 191 ),2290139.690000000409782,2617099.100000000093132,2611312.800000000279397,2818352.019999999552965,10336903.610000001266599
FS( 192 ),2348426.380000000353903,2659930.649999999906868,2629560.799999999813735,2834301.519999999552965,10472219.349999999627471
FS( 193 ),2359011.130000000353903,2667003.750000000465661,2634122.800000000279397,2846104.149999999441206,10506241.830000001937151
FS( 194 ),2396833.970000000204891,2676434.550000000279397,2636860.000000000000000,2870985.369999999646097,10581113.890000000596046
FS( 195 ),2413910.700000000186265,2697260.899999999906868,2647808.799999999813735,2841000.309999999590218,10599980.709999999031425
FS( 196 ),2385684.700000000186265,2684293.550000000279397,2609031.799999999813735,2824412.830000000074506,10503422.879999998956919
FS( 197 ),2389354.080000000540167,2677220.449999999720603,2605382.200000000186265,2825369.799999999348074,10497326.529999999329448
FS( 198 ),2362821.640000000130385,2661895.399999999906868,2596714.399999999906868,2814843.129999999422580,10436274.569999998435378
FS( 199 ),2406571.940000000409782,2653250.500000000000000,2619524.399999999906868,2820903.939999999944121,10500250.779999999329448
FS( 200 ),2385120.180000000167638,2639497.250000000000000,2610400.399999999906868,2801764.539999999571592,10436782.369999999180436
FS( 201 ),2436350.370000000111759,2660323.600000000093132,2630473.199999999720603,2789642.919999999925494,10516790.089999999850988
FS( 202 ),2462882.810000000055879,2685865.350000000093132,2624542.600000000093132,2728715.830000000074506,10502006.589999999850988
FS( 203 ),2462882.810000000055879,2682328.800000000279397,2611769.000000000000000,2709257.439999999944121,10466238.050000000745058
FS( 204 ),2465140.890000000130385,2691366.649999999906868,2721713.199999999720603,2690118.039999999571592,10568338.779999999329448
FS( 205 ),2471491.740000000223517,2706298.750000000465661,2782844.000000000000000,2682781.269999999552965,10643415.759999999776483
FS( 206 ),2477560.330000000540167,2703548.100000000093132,2782387.800000000279397,2774331.399999999441206,10737827.629999998956919
FS( 207 ),2499012.089999999850988,2716515.449999999720603,2765964.600000000093132,2788047.969999999739230,10769540.109999999403954
FS( 208 ),2508608.930000000167638,2720444.950000000186265,2741786.000000000000000,2761890.789999999571592,10732730.669999999925494
FS( 209 ),2500000.000000000000000,2715729.550000000279397,2731293.399999999906868,2770184.529999999795109,10717207.480000000447035
FS( 210 ),2515524.300000000279397,2721623.800000000279397,2733574.399999999906868,2768908.569999999366701,10739631.070000000298023
FS( 211 ),2512983.960000000428408,2710228.250000000000000,2728100.000000000000000,2770503.519999999552965,10721815.730000000447035
FS( 212 ),2492096.720000000204891,2698832.700000000186265,2711220.600000000093132,2766994.629999999422580,10669144.649999998509884
FS( 213 ),2486874.910000000149012,2687044.199999999720603,2701184.200000000186265,2762528.769999999552965,10637632.079999998211861
FS( 214 ),2482782.140000000130385,2662681.300000000279397,2678374.200000000186265,2714042.289999999571592,10537879.929999999701977
FS( 215 ),2561250.419999999925494,2745986.699999999720603,2756384.399999999906868,2761252.809999999590218,10824874.329999998211861
FS( 216 ),2567460.140000000130385,2751880.950000000186265,2758665.399999999906868,2789961.909999999217689,10867968.399999998509884
FS( 217 ),2718610.370000000111759,2878410.850000000093132,2744979.399999999906868,2741156.439999999944121,11083157.060000000521541
FS( 218 ),2834901.490000000223517,3012013.850000000093132,2677918.000000000000000,2646416.409999999217689,11171249.750000000000000
FS( 219 ),2878228.399999999906868,3013585.649999999906868,2692516.400000000372529,2666193.789999999571592,11250524.239999998360872
FS( 220 ),2952180.520000000484288,3124397.550000000279397,2651458.399999999906868,2647692.369999999646097,11375728.839999999850988
FS( 221 ),2980547.649999999906868,3118503.300000000279397,2685673.399999999906868,2667469.750000000000000,11452194.099999999627471
FS( 222 ),2910970.560000000055879,3041485.100000000093132,2721257.000000000000000,2653753.179999999701977,11327465.839999999850988
FS( 223 ),2958531.370000000111759,3065848.000000000000000,2766420.799999999813735,2649925.299999999348074,11440725.469999998807907
FS( 224 ),2968692.729999999981374,3053666.549999999813735,2753191.000000000000000,2615793.369999999646097,11391343.649999998509884
FS( 225 ),2978995.220000000204891,3067026.850000000093132,2776457.200000000186265,2636208.729999999515712,11458688.000000000000000
