代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14524022.320000000298023
真實報酬,4524022.320000000298023

夏普值報酬,0.443702232000000
夏普值風險,0.102843146647165
夏普值,4.314358773193270

二次趨勢線,2.464135359329441 x^2 + 16124.460665040352978 x + 10000000.000000000000000
二次加權預期報酬,16950.767388868825947
風險,428356.084655321959872
二次加權趨勢值,0.039571674118995
一次趨勢線,16589.256360114788549 x + 10000000.000000000000000
一次預期報酬,16589.256360114788549
一次風險,428711.082892769190948
一次趨勢值,0.038695655470759
找到最佳解世代,2181
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,184911,84516,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.560000000521541,33.440000000409782,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4985207.120000001043081,5006761.280000000260770,9991968.400000002235174
FS( 3 ),5040680.420000000856817,5095503.080000000074506,10136183.500000000000000
FS( 4 ),5125739.480000000447035,5196077.120000000111759,10321816.600000001490116
FS( 5 ),5133135.920000000856817,5216360.959999999962747,10349496.880000000819564
FS( 6 ),5321745.140000000596046,5294115.680000000633299,10615860.820000000298023
FS( 7 ),5362425.560000000521541,5263689.920000000856817,10626115.480000000447035
FS( 8 ),5369822.000000000000000,5310173.720000000670552,10679995.720000000670552
FS( 9 ),5336538.020000000484288,5254393.160000000149012,10590931.179999999701977
FS( 10 ),5401256.870000001043081,5373560.720000000670552,10774817.590000001713634
FS( 11 ),5458579.280000000260770,5453850.920000000856817,10912430.200000001117587
FS( 12 ),5467824.830000001005828,5372715.560000000521541,10840540.390000000596046
FS( 13 ),5440088.180000000633299,5407367.120000000111759,10847455.300000000745058
FS( 14 ),5295857.600000000558794,5359193.000000000000000,10655050.600000001490116
FS( 15 ),5281064.720000000670552,5406521.959999999962747,10687586.679999999701977
FS( 16 ),5438239.070000000298023,5408212.280000000260770,10846451.350000001490116
FS( 17 ),5401256.870000001043081,5427650.959999999962747,10828907.830000001937151
FS( 18 ),5393860.430000000633299,5447089.640000000596046,10840950.070000000298023
FS( 19 ),5299555.820000000298023,5375251.040000000968575,10674806.860000001266599
FS( 20 ),5281064.720000000670552,5345670.440000000409782,10626735.160000000149012
FS( 21 ),5203402.100000000558794,5370180.080000000074506,10573582.179999999701977
FS( 22 ),5183061.890000000596046,5282283.440000000409782,10465345.330000001937151
FS( 23 ),5190458.330000001005828,5237489.959999999962747,10427948.290000000968575
FS( 24 ),5107248.380000000819564,5205373.880000000819564,10312622.260000001639128
FS( 25 ),4990754.450000000186265,5234109.320000000298023,10224863.769999999552965
FS( 26 ),5014792.880000000819564,5122548.200000000186265,10137341.080000001937151
FS( 27 ),5225591.420000000856817,5121703.040000000968575,10347294.460000000894070
FS( 28 ),5188609.220000000670552,5159735.240000000223517,10348344.460000000894070
FS( 29 ),5142381.470000000670552,5211290.000000000000000,10353671.470000000670552
FS( 30 ),5203402.100000000558794,5251857.680000000633299,10455259.780000001192093
FS( 31 ),5129437.700000000186265,5240025.440000000409782,10369463.140000000596046
FS( 32 ),5151627.020000000484288,5275522.160000000149012,10427149.179999999701977
FS( 33 ),5068417.070000000298023,5233264.160000000149012,10301681.230000000447035
FS( 34 ),5162721.680000000633299,5254393.160000000149012,10417114.839999999850988
