代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14297375.620000001043081
真實報酬,4297375.620000001043081

夏普值報酬,0.421037562000000
夏普值風險,0.126142247249337
夏普值,3.337799755285492

二次趨勢線,99.771712765611895 x^2 + -7225.809599156888908 x + 10000000.000000000000000
二次加權預期報酬,26497.029315619936824
風險,285007.995573590684216
二次加權趨勢值,0.092969424462263
一次趨勢線,11743.213494759522291 x + 10000000.000000000000000
一次預期報酬,11743.213494759522291
一次風險,772061.402538527385332
一次趨勢值,0.015210206670283
找到最佳解世代,3296
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](2),IBM[10](1),UNH[23](4),
Stock#,CAT[3](2),IBM[10](1),UNH[23](4),
張數,57620,25926,97924,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.000000000000000,27.180000000167638,0.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3350619.000000000000000,3303518.100000000093132,3324519.840000000316650,9978657.939999999478459
FS( 3 ),3374819.399999999906868,3289518.060000000055879,3339208.439999999944121,10003546.900000000372529
FS( 4 ),3367905.000000000000000,3285369.899999999906868,3226595.840000000316650,9879871.740000000223517
FS( 5 ),3412848.599999999627471,3299110.680000000167638,3303955.800000000279397,10015916.080000000074506
FS( 6 ),3394410.199999999720603,3277332.839999999850988,3241284.439999999944121,9913028.479999998584390
FS( 7 ),3409967.600000000093132,3255036.479999999981374,3239325.959999999962747,9904331.039999999105930
FS( 8 ),3386919.600000000093132,3256851.300000000279397,3254993.800000000279397,9898765.700000001117587
FS( 9 ),3393834.000000000000000,3308184.779999999795109,3280454.040000000037253,9982473.820000000298023
FS( 10 ),3477959.200000000186265,3316999.620000000111759,3222678.879999999888241,10017638.699999999254942
FS( 11 ),3426677.399999999906868,3314147.760000000242144,3185467.760000000242144,9926293.919999999925494
FS( 12 ),3425525.000000000000000,3335925.599999999627471,3236388.239999999757856,9997839.839999999850988
FS( 13 ),3469892.399999999906868,3312332.940000000409782,3207011.040000000037253,9989237.379999998956919
FS( 14 ),3443963.400000000372529,3328407.060000000055879,3289267.200000000186265,10061638.660000000149012
FS( 15 ),3420915.399999999906868,3311036.640000000130385,3367606.399999999906868,10099559.439999999478459
FS( 16 ),3454335.000000000000000,3318036.660000000149012,3260869.239999999757856,10033241.900000000372529
FS( 17 ),3596080.199999999720603,3354073.800000000279397,3247159.879999999888241,10197314.879999998956919
FS( 18 ),3575913.200000000186265,3332295.960000000428408,3204073.319999999832362,10112283.480000000447035
FS( 19 ),3580522.799999999813735,3350703.420000000391155,3243242.919999999925494,10174470.140000000596046
FS( 20 ),3597808.799999999813735,3351221.939999999944121,3195260.160000000149012,10144291.900000000372529
FS( 21 ),3657733.599999999627471,3333851.520000000484288,3215824.200000000186265,10207410.320000000298023
FS( 22 ),3639295.199999999720603,3338518.200000000651926,3237367.480000000447035,10215181.880000000819564
FS( 23 ),3621433.000000000000000,3325036.680000000167638,3199177.120000000111759,10145647.800000000745058
FS( 24 ),3687119.800000000279397,3325036.680000000167638,3230512.800000000279397,10242670.280000001192093
FS( 25 ),3744739.799999999813735,3353555.279999999795109,3245201.399999999906868,10343497.480000000447035
FS( 26 ),3762025.800000000279397,3342666.360000000335276,3271640.879999999888241,10376334.039999999105930
FS( 27 ),3714777.399999999906868,3330999.659999999683350,3224637.359999999869615,10270415.419999999925494
FS( 28 ),3715353.600000000093132,3308444.040000000037253,3194280.919999999925494,10218079.560000000521541
FS( 29 ),3760873.399999999906868,3338258.939999999944121,3159028.279999999795109,10258161.619999999180436
FS( 30 ),3844998.600000000093132,3327888.540000000502914,3159028.279999999795109,10331916.419999999925494
FS( 31 ),3813883.799999999813735,3345258.960000000428408,3149235.879999999888241,10308379.640000000596046
FS( 32 ),3876689.600000000093132,3402814.680000000167638,3040540.240000000223517,10320045.519999999552965
FS( 33 ),3930852.399999999906868,3393481.319999999832362,2999412.160000000149012,10323746.879999998956919
FS( 34 ),3853641.599999999627471,3386740.560000000055879,3009204.560000000055879,10249587.720000000670552
FS( 35 ),3859979.799999999813735,3428222.159999999683350,3058166.560000000055879,10346369.519999999552965
FS( 36 ),3889366.000000000000000,3362370.120000000111759,3033685.560000000055879,10285422.679999999701977
FS( 37 ),3903771.000000000000000,3344221.920000000391155,2963180.280000000260770,10211174.199999999254942
FS( 38 ),3889942.200000000186265,3347851.560000000055879,2982765.080000000074506,10220559.839999999850988
FS( 39 ),3963119.600000000093132,3370147.920000000391155,3030747.839999999850988,10364016.359999999403954
FS( 40 ),4128489.000000000465661,3389333.159999999683350,2923031.439999999944121,10440854.599999999627471
FS( 41 ),3948714.600000000093132,3339814.500000000000000,2918135.240000000223517,10206665.339999999850988
FS( 42 ),3974067.399999999906868,3372999.779999999795109,2980806.600000000093132,10327874.779999999329448
FS( 43 ),4076631.000000000000000,3382333.140000000596046,3065021.240000000223517,10523986.380000000819564
FS( 44 ),3923361.800000000279397,3344481.180000000167638,2968076.479999999981374,10235920.460000000894070
FS( 45 ),4029958.799999999813735,3360036.779999999795109,2963180.280000000260770,10353176.859999999403954
FS( 46 ),3843270.000000000000000,3321666.300000000279397,2887778.799999999813735,10052716.100000001490116
FS( 47 ),3800631.199999999720603,3304555.140000000130385,2937720.040000000037253,10042907.379999998956919
FS( 48 ),3658886.000000000000000,3212777.100000000093132,2863297.799999999813735,9734961.899999998509884
FS( 49 ),3578218.000000000000000,3165591.779999999795109,2841754.520000000018626,9585565.299999998882413
FS( 50 ),3842693.799999999813735,3273703.200000000186265,2925969.160000000149012,10042367.160000000149012
FS( 51 ),3806969.399999999441206,3289777.320000000298023,2923031.439999999944121,10019779.160000000149012
FS( 52 ),3926819.000000000465661,3439888.860000000335276,2969055.720000000204891,10335764.580000001937151
FS( 53 ),3855370.199999999720603,3408777.659999999683350,2955346.359999999869615,10219495.219999998807907
FS( 54 ),3738401.599999999627471,3401259.120000000111759,2975910.399999999906868,10115572.119999999180436
FS( 55 ),3675019.600000000093132,3381814.620000000111759,2980806.600000000093132,10037641.820000000298023
FS( 56 ),3641023.799999999813735,3369110.879999999888241,2955346.359999999869615,9965482.039999999105930
FS( 57 ),3540188.799999999813735,3340851.540000000502914,2936740.799999999813735,9817782.140000000596046
FS( 58 ),3380581.399999999906868,3209665.979999999981374,2835879.080000000074506,9426127.460000000894070
FS( 59 ),3462401.800000000279397,3251666.100000000093132,2810418.839999999850988,9524487.740000000223517
FS( 60 ),3412272.399999999906868,3226517.880000000353903,2823148.959999999962747,9461940.240000000223517
FS( 61 ),3411696.200000000186265,3228332.700000000186265,2827065.919999999925494,9467095.820000000298023
FS( 62 ),3441658.599999999627471,3194888.160000000149012,2819232.000000000000000,9455779.759999999776483
FS( 63 ),3575913.200000000186265,3276814.320000000298023,2871131.720000000204891,9723860.240000000223517
FS( 64 ),3501007.199999999720603,3247517.940000000409782,2846650.720000000204891,9595176.860000001266599
FS( 65 ),3415153.400000000372529,3223666.020000000484288,2837837.560000000055879,9476657.980000000447035
FS( 66 ),3506769.200000000186265,3303258.839999999850988,2928906.879999999888241,9738935.919999999925494
FS( 67 ),3521174.200000000186265,3317518.140000000130385,2982765.080000000074506,9821458.419999999925494
FS( 68 ),3328147.199999999720603,3248036.460000000428408,2971014.200000000186265,9547198.859999999403954
FS( 69 ),3216940.600000000093132,3218221.560000000055879,2982765.080000000074506,9417928.240000000223517
FS( 70 ),3261884.200000000186265,3207591.899999999906868,3024872.399999999906868,9494349.500000000000000
FS( 71 ),3273408.200000000186265,3212258.580000000540167,2989619.760000000242144,9475287.540000000968575
FS( 72 ),3454335.000000000000000,3310258.860000000335276,3006266.839999999850988,9770861.699999999254942
FS( 73 ),3470468.599999999627471,3330221.879999999888241,3003329.120000000111759,9804020.599999999627471
FS( 74 ),3514836.000000000000000,3331518.180000000167638,2995495.200000000186265,9841850.379999998956919
FS( 75 ),3656581.200000000186265,3364962.719999999739230,3054249.600000000093132,10075794.519999999552965
FS( 76 ),3710167.799999999813735,3379481.279999999795109,3073834.399999999906868,10163484.480000000447035
FS( 77 ),3742435.000000000000000,3395814.659999999683350,3084606.040000000037253,10222856.699999999254942
FS( 78 ),3794292.999999999534339,3374296.080000000540167,3067958.959999999962747,10236549.039999999105930
FS( 79 ),3806969.399999999441206,3387259.080000000540167,3050332.640000000130385,10244562.120000001043081
FS( 80 ),3694034.200000000186265,3352258.980000000447035,3000391.399999999906868,10046685.580000000074506
FS( 81 ),3706710.600000000093132,3373259.040000000502914,2958284.080000000074506,10038254.720000000670552
FS( 82 ),3651395.399999999906868,3323481.120000000111759,2914218.280000000260770,9889095.800000000745058
FS( 83 ),3728606.199999999720603,3295740.300000000279397,2925969.160000000149012,9950316.660000000149012
FS( 84 ),3710744.000000000465661,3343962.659999999683350,2858401.600000000093132,9913109.259999999776483
FS( 85 ),3506193.000000000000000,3243110.520000000484288,2803564.160000000149012,9552868.679999999701977
FS( 86 ),3461249.399999999906868,3201369.660000000149012,2781041.640000000130385,9443661.700000001117587
FS( 87 ),3455487.399999999906868,3177777.000000000000000,2727183.439999999944121,9360448.839999999850988
FS( 88 ),3409967.600000000093132,3159369.540000000037253,2771249.240000000223517,9340587.380000000819564
FS( 89 ),3446268.200000000186265,3200851.140000000130385,2829024.399999999906868,9476144.740000000223517
FS( 90 ),3582827.600000000093132,3292629.180000000167638,2859380.839999999850988,9734838.620000001043081
FS( 91 ),3639871.399999999906868,3317777.399999999906868,2906384.359999999869615,9864034.160000000149012
FS( 92 ),3729182.399999999906868,3317518.140000000130385,2934782.319999999832362,9981483.859999999403954
FS( 93 ),3703829.600000000093132,3335925.599999999627471,2941637.000000000000000,9981393.199999999254942
FS( 94 ),3848455.800000000279397,3382851.659999999683350,2951429.399999999906868,10182737.859999999403954
FS( 95 ),3843270.000000000000000,3389073.899999999906868,2969055.720000000204891,10201400.620000001043081
FS( 96 ),3832322.200000000186265,3389073.899999999906868,3023893.160000000149012,10245290.259999999776483
FS( 97 ),3684238.799999999813735,3319332.960000000428408,2971014.200000000186265,9974586.960000000894070
FS( 98 ),3733792.000000000000000,3364962.719999999739230,3018017.720000000204891,10116773.439999999478459
FS( 99 ),3827712.600000000558794,3280962.479999999981374,3018996.959999999962747,10127673.039999999105930
FS( 100 ),3853065.400000000372529,3247777.200000000186265,3006266.839999999850988,10107110.440000001341105
