代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12431939.650000000372529
真實報酬,2431939.650000000372529

夏普值報酬,0.234493965000000
夏普值風險,0.072581986669992
夏普值,3.230746026092818

二次趨勢線,45.905202290400567 x^2 + -1933.271349952432047 x + 10000000.000000000000000
二次加權預期報酬,13582.687024202963585
風險,270447.519938710029237
二次加權趨勢值,0.050223004549205
一次趨勢線,6794.421281957977953 x + 10000000.000000000000000
一次預期報酬,6794.421281957977953
一次風險,426769.798084048263263
一次趨勢值,0.015920576649194
找到最佳解世代,1801
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),MCD[15](1),V[25](2),
Stock#,AAPL[0](3),MCD[15](1),V[25](2),
張數,76716,42800,172443,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,22.799999999813735,69.000000000000000,9.810000000521541,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3390102.839999999850988,3355589.000000000465661,3381617.040000000502914,10127309.880000000819564
FS( 3 ),3428460.839999999850988,3359869.000000000000000,3405759.060000000521541,10194089.900000000372529
FS( 4 ),3488299.319999999832362,3388973.000000000465661,3448869.810000000521541,10326143.130000000819564
FS( 5 ),3475257.599999999627471,3394109.000000000000000,3440247.660000000614673,10309615.259999999776483
FS( 6 ),3492135.120000000111759,3394537.000000000000000,3393688.050000000279397,10280361.169999999925494
FS( 7 ),3463750.199999999720603,3385548.999999999534339,3376443.750000000000000,10225743.949999999254942
FS( 8 ),3485230.679999999701977,3402669.000000000000000,3417830.070000000763685,10305730.750000000000000
FS( 9 ),3470654.640000000130385,3411229.000000000000000,3416105.640000000130385,10297990.280000001192093
FS( 10 ),3375526.799999999813735,3374848.999999999534339,3317813.130000000353903,10068189.929999999701977
FS( 11 ),3364786.559999999590218,3384264.999999999534339,3291946.680000000633299,10040999.239999998360872
FS( 12 ),3304948.079999999608845,3313645.000000000000000,3233316.060000000521541,9851910.140000000596046
FS( 13 ),3293440.679999999701977,3354305.000000000000000,3264355.800000000279397,9912102.480000000447035
FS( 14 ),3380129.759999999776483,3382125.000000000000000,3317813.130000000353903,10080068.890000000596046
FS( 15 ),3361717.919999999925494,3408661.000000000000000,3321261.990000000689179,10091641.910000000149012
FS( 16 ),3434598.120000000111759,3403525.000000000000000,3252284.790000000502914,10090408.910000000149012
FS( 17 ),3383198.399999999906868,3381697.000000000000000,3217796.190000000409782,9982692.589999999850988
FS( 18 ),3449941.319999999832362,3401813.000000000000000,3267804.660000000614673,10119559.980000000447035
FS( 19 ),3452242.799999999813735,3361581.000000000465661,3254009.220000000670552,10067834.020000001415610
FS( 20 ),3472956.120000000111759,3349597.000000000000000,3198827.460000000428408,10021381.580000000074506
FS( 21 ),3410049.000000000000000,3351309.000000000000000,3183307.590000000782311,9944666.589999999850988
FS( 22 ),3467586.000000000000000,3393681.000000000465661,3243662.640000000130385,10104930.640000000596046
FS( 23 ),3486765.000000000000000,3397533.000000000000000,3319537.560000000521541,10203836.560000000521541
FS( 24 ),3479093.399999999906868,3413797.000000000000000,3335057.430000000633299,10227948.830000001937151
FS( 25 ),3509012.640000000130385,3406093.000000000000000,3376443.750000000000000,10291550.390000000596046
FS( 26 ),3487532.159999999683350,3438621.000000000000000,3314364.270000000484288,10240518.429999999701977
FS( 27 ),3518218.559999999590218,3370141.000000000000000,3360923.880000000353903,10249284.439999999478459
FS( 28 ),3504409.679999999701977,3321777.000000000000000,3410932.350000000558794,10237120.030000001192093
FS( 29 ),3512848.439999999944121,3319637.000000000000000,3457491.960000000428408,10289978.400000000372529
FS( 30 ),3525123.000000000000000,3300377.000000000000000,3486807.270000000484288,10312308.269999999552965
FS( 31 ),3510546.959999999497086,3300377.000000000000000,3476460.690000000409782,10287385.649999998509884
FS( 32 ),3511314.120000000111759,3294813.000000000000000,3317813.130000000353903,10123941.250000000000000
FS( 33 ),3520520.040000000037253,3283256.999999999534339,2897052.210000000428408,9700830.250000000000000
FS( 34 ),3513615.599999999627471,3287537.000000000000000,2884981.200000000651926,9686134.800000000745058
FS( 35 ),3531260.279999999795109,3292245.000000000000000,2931540.810000000521541,9755047.089999999850988
FS( 36 ),3552740.759999999776483,3289677.000000000000000,2933265.240000000689179,9775684.000000000000000
FS( 37 ),3563481.000000000000000,3296097.000000000000000,2955682.830000000540167,9815261.830000000074506
FS( 38 ),3546603.479999999515712,3293956.999999999534339,2962580.550000000279397,9803142.029999999329448
FS( 39 ),3558110.879999999888241,3271273.000000000465661,3052250.910000000614673,9881635.790000000968575
FS( 40 ),3567316.799999999813735,3271273.000000000465661,3048802.050000000279397,9887392.850000001490116
FS( 41 ),3565015.319999999832362,3295241.000000000000000,3043628.760000000242144,9903886.080000000074506
FS( 42 ),3547370.640000000130385,3285397.000000000000000,3029833.320000000763685,9862601.960000000894070
FS( 43 ),3535096.079999999608845,3285397.000000000000000,3035006.610000000800937,9855500.690000001341105
FS( 44 ),3611812.079999999608845,3278548.999999999534339,3040179.900000000372529,9930541.980000000447035
FS( 45 ),3630991.079999999608845,3180537.000000000000000,3043628.760000000242144,9855157.839999999850988
FS( 46 ),3660143.159999999683350,3195517.000000000000000,3107432.670000000391155,9963093.830000000074506
FS( 47 ),3657841.679999999701977,3176256.999999999534339,3153992.280000000260770,9988091.960000000894070
FS( 48 ),3683925.120000000111759,3183105.000000000000000,3145370.130000000353903,10012401.250000000000000
FS( 49 ),3752969.520000000018626,3148437.000000000000000,3095361.660000000614673,9996769.179999999701977
FS( 50 ),3744530.759999999776483,3162989.000000000465661,3098810.520000000484288,10006331.280000001192093
FS( 51 ),3774450.000000000000000,3150148.999999999534339,3129850.260000000242144,10054450.259999999776483
FS( 52 ),3788258.879999999888241,3110345.000000000000000,3067770.780000000260770,9966375.660000000149012
FS( 53 ),3818945.279999999795109,3169837.000000000000000,3066046.350000000558794,10054829.629999998956919
FS( 54 ),3733023.359999999403954,3196373.000000000465661,3069495.210000000428408,9998892.570000000298023
FS( 55 ),3713844.359999999403954,3225048.999999999534339,2979824.850000000558794,9918719.210000000894070
FS( 56 ),3646334.279999999795109,3216917.000000000000000,3047077.620000001043081,9910329.900000000372529
FS( 57 ),3580358.520000000018626,3210497.000000000000000,3024660.030000000260770,9815516.550000000745058
FS( 58 ),3698501.159999999683350,3226333.000000000000000,3095361.660000000614673,10020196.820000000298023
FS( 59 ),3741462.120000000111759,3230613.000000000000000,3086739.510000000242144,10058815.630000000819564
FS( 60 ),3768312.719999999739230,3217345.000000000000000,3060873.060000000521541,10046531.780000001192093
FS( 61 ),3761408.279999999795109,3182248.999999999534339,3043628.760000000242144,9987287.039999999105930
FS( 62 ),3683157.959999999497086,3136453.000000000000000,2993620.290000000502914,9813232.250000000000000
FS( 63 ),3718447.319999999832362,3153145.000000000000000,3010864.590000000782311,9882457.910000000149012
FS( 64 ),3781354.439999999944121,3144585.000000000000000,3048802.050000000279397,9974742.490000000223517
FS( 65 ),3773682.839999999850988,3151861.000000000000000,3107432.670000000391155,10032977.509999999776483
FS( 66 ),3763709.759999999776483,3159993.000000000000000,3088463.940000000409782,10012167.699999999254942
FS( 67 ),3797464.799999999813735,3169409.000000000000000,3143645.700000000651926,10110520.500000000000000
FS( 68 ),3856536.120000000111759,3143729.000000000000000,3186756.450000000651926,10187022.570000000298023
FS( 69 ),3892592.640000000130385,3225477.000000000000000,3214347.330000000540167,10332417.970000000670552
FS( 70 ),3925580.520000000018626,3249873.000000000465661,3159165.570000000763685,10334620.090000001713634
FS( 71 ),3885688.199999999720603,3242597.000000000000000,3221245.050000000279397,10349531.250000000000000
FS( 72 ),3911004.479999999515712,3258861.000000000000000,3229867.200000000651926,10399733.679999999701977
FS( 73 ),3936320.759999999776483,3263141.000000000000000,3264355.800000000279397,10463818.560000000521541
FS( 74 ),3943992.359999999403954,3259289.000000000465661,3259182.510000000242144,10462464.869999999180436
FS( 75 ),3980048.879999999888241,3253725.000000000000000,3274702.380000000353903,10508477.259999999776483
FS( 76 ),3927114.839999999850988,3252013.000000000000000,3283324.530000000260770,10462453.370000001043081
FS( 77 ),3841960.079999999608845,3258433.000000000000000,3269529.090000000782311,10369923.170000001788139
FS( 78 ),3710775.719999999739230,3240029.000000000000000,3178134.300000000279397,10128940.019999999552965
FS( 79 ),3755271.000000000000000,3218201.000000000000000,3141921.270000000484288,10115394.269999999552965
FS( 80 ),3757572.479999999515712,3219056.999999999534339,3186756.450000000651926,10163386.929999999701977
FS( 81 ),3815876.640000000130385,3186101.000000000000000,3219520.620000001043081,10221499.260000001639128
FS( 82 ),3871112.159999999683350,3239173.000000000465661,3148818.990000000689179,10259105.150000000372529
FS( 83 ),3828151.199999999720603,3205361.000000000000000,3135023.550000000279397,10168536.750000000000000
FS( 84 ),3858837.599999999627471,3196801.000000000000000,3188480.880000000353903,10244120.480000000447035
FS( 85 ),3940923.719999999739230,3263141.000000000000000,3269529.090000000782311,10473594.810000000521541
