代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14046330.949999999254942
真實報酬,4046330.949999999254942

夏普值報酬,0.395933095000000
夏普值風險,0.110476574967293
夏普值,3.583864680066486

二次趨勢線,80.308157235742925 x^2 + -3967.699419500917429 x + 10000000.000000000000000
二次加權預期報酬,23069.380183199202293
風險,255715.118019155546790
二次加權趨勢值,0.090215159595965
一次趨勢線,11240.598222247692320 x + 10000000.000000000000000
一次預期報酬,11240.598222247692320
一次風險,627477.886564710759558
一次趨勢值,0.017913935236487
找到最佳解世代,2270
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),GS[8](2),JPM[13](1),PG[21](19),
Stock#,AAPL[0](7),GS[8](2),JPM[13](1),PG[21](19),
張數,24868,16165,42229,30776,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.959999999962747,82.750000000000000,43.199999999720603,65.520000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2505470.959999999962747,2492725.750000000000000,2523648.239999999757856,2540624.319999999832362,10062469.269999999552965
FS( 3 ),2524121.959999999962747,2510992.200000000186265,2532094.039999999571592,2549549.360000000335276,10116757.559999998658895
FS( 4 ),2561672.640000000130385,2535401.350000000093132,2535894.649999999441206,2569553.759999999776483,10202522.399999998509884
FS( 5 ),2533323.120000000111759,2511315.500000000000000,2531249.459999999497086,2557551.119999999646097,10133439.199999999254942
FS( 6 ),2512434.000000000000000,2450696.750000000000000,2482263.819999999832362,2556320.080000000074506,10001714.650000000372529
FS( 7 ),2514672.120000000111759,2423377.899999999906868,2496621.679999999701977,2553242.479999999981374,9987914.179999999701977
FS( 8 ),2515915.520000000018626,2441321.050000000279397,2475084.889999999664724,2532314.800000000279397,9964636.259999999776483
FS( 9 ),2543021.640000000130385,2488522.850000000093132,2505912.060000000055879,2516003.520000000018626,10053460.070000000298023
FS( 10 ),2549487.319999999832362,2481248.600000000093132,2496621.679999999701977,2498153.439999999944121,10025511.039999999105930
FS( 11 ),2600715.399999999906868,2457647.700000000186265,2500000.000000000000000,2502462.080000000074506,10060825.179999999701977
