代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14407513.290000000968575
真實報酬,4407513.290000000968575

夏普值報酬,0.432051329000000
夏普值風險,0.117348665818255
夏普值,3.681774530518684

二次趨勢線,37.900874633987002 x^2 + 8635.794966812458370 x + 10000000.000000000000000
二次加權預期報酬,21395.756093588090152
風險,209406.411250689736335
二次加權趨勢值,0.102173357376218
一次趨勢線,15813.244956409915176 x + 10000000.000000000000000
一次預期報酬,15813.244956409915176
一次風險,342026.170300502271857
一次趨勢值,0.046234020462576
找到最佳解世代,1905
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](7),MMM[16](2),UNH[23](6),
Stock#,BA[2](1),DD[7](7),MMM[16](2),UNH[23](6),
張數,35315,58302,28011,43898,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.149999999906868,10.239999999757856,18.250000000000000,8.899999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2473866.899999999906868,2470265.979999999515712,2492156.919999999925494,2460491.799999999813735,9896781.599999997764826
FS( 3 ),2486580.299999999813735,2495918.859999999869615,2509803.849999999627471,2426690.339999999850988,9918993.349999999627471
FS( 4 ),2543437.449999999720603,2533815.159999999683350,2545097.709999999962747,2475417.120000000111759,10097767.439999999478459
FS( 5 ),2475985.799999999813735,2515158.520000000018626,2503641.429999999701977,2381914.379999999888241,9876700.129999998956919
FS( 6 ),2506709.850000000093132,2453358.399999999441206,2480392.299999999813735,2345918.020000000018626,9786378.570000000298023
FS( 7 ),2586874.899999999906868,2437616.859999999869615,2487675.160000000149012,2322213.099999999627471,9834380.019999999552965
FS( 8 ),2602413.500000000000000,2390392.239999999757856,2498039.229999999981374,2291484.500000000000000,9782329.470000000670552
FS( 9 ),2590759.549999999813735,2393890.359999999869615,2495238.129999999888241,2291045.520000000018626,9770933.560000000521541
FS( 10 ),2517657.500000000000000,2347831.779999999795109,2445658.660000000149012,2249781.399999999906868,9560929.339999999850988
FS( 11 ),2508828.750000000000000,2315765.679999999701977,2465546.469999999739230,2249781.399999999906868,9539922.299999998882413
FS( 12 ),2499293.699999999720603,2302939.239999999757856,2478991.750000000000000,2278315.099999999627471,9559539.789999999105930
