代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14149944.099999999627471
真實報酬,4149944.099999999627471

夏普值報酬,0.406294410000000
夏普值風險,0.109356500333946
夏普值,3.715320157094308

二次趨勢線,12.584459467368923 x^2 + 15472.512651081384320 x + 10000000.000000000000000
二次加權預期報酬,19692.501392472429870
風險,245233.414775782555807
二次加權趨勢值,0.080301052817282
一次趨勢線,17846.246936061488668 x + 10000000.000000000000000
一次預期報酬,17846.246936061488668
一次風險,260911.961081181449117
一次趨勢值,0.068399497141140
找到最佳解世代,2295
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),HD[9](1),INTC[11](8),NKE[19](4),TRV[22](7),UNH[23](2),
Stock#,AAPL[0](3),HD[9](1),INTC[11](8),NKE[19](4),TRV[22](7),UNH[23](2),
張數,23261,22195,69589,47027,20765,23560,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,15.349999999860302,43.449999999953434,9.449999999953434,29.120000000111759,67.099999999860302,31.600000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1690624.830000000074506,1664002.599999999860302,1657619.429999999934807,1658201.140000000130385,1668534.849999999627471,1661247.200000000186265,10000234.050000000745058
FS( 3 ),1703418.379999999888241,1670439.150000000139698,1636742.729999999981374,1660082.219999999972060,1670403.699999999720603,1668550.800000000046566,10009640.980000000447035
FS( 4 ),1703185.769999999785796,1690414.649999999906868,1669449.559999999823049,1681714.640000000130385,1675594.949999999720603,1669728.800000000279397,10090092.369999999180436
FS( 5 ),1726911.989999999757856,1696851.199999999953434,1684759.139999999897555,1709460.570000000065193,1679540.299999999813735,1681273.200000000186265,10178800.399999998509884
FS( 6 ),1757849.119999999646097,1695963.399999999906868,1690326.260000000009313,1708990.300000000279397,1710064.849999999627471,1643106.000000000000000,10206303.929999999701977
FS( 7 ),1781110.119999999646097,1702399.949999999953434,1702852.279999999795109,1739557.850000000093132,1727922.749999999767169,1663838.800000000279397,10317685.750000000000000
FS( 8 ),1780877.510000000009313,1715273.050000000046566,1708419.399999999906868,1742849.740000000223517,1708196.000000000000000,1654886.000000000000000,10310505.699999999254942
FS( 9 ),1809255.929999999934807,1722153.500000000000000,1718857.750000000000000,1760720.000000000000000,1721070.299999999813735,1677739.199999999953434,10409800.679999999701977
FS( 10 ),1807627.659999999683350,1729699.800000000046566,1723033.090000000083819,1764952.430000000167638,1744742.399999999674037,1732162.800000000046566,10502222.180000001564622
FS( 11 ),1814373.349999999860302,1721709.599999999860302,1723033.090000000083819,1768244.320000000065193,1752010.149999999906868,1739466.400000000139698,10518840.910000000149012
FS( 12 ),1785762.319999999832362,1696851.199999999953434,1704939.949999999953434,1759309.189999999944121,1744534.750000000000000,1732869.600000000093132,10424271.009999999776483
FS( 13 ),1765060.029999999795109,1719712.050000000046566,1721641.309999999823049,1777179.450000000186265,1740381.750000000000000,1731220.400000000139698,10455198.990000000223517
FS( 14 ),1745520.790000000037253,1725482.749999999767169,1699372.830000000074506,1798341.600000000093132,1739966.449999999953434,1738995.200000000186265,10447683.620000001043081
FS( 15 ),1752964.309999999823049,1728368.100000000093132,1713986.519999999785796,1830319.960000000195578,1732698.699999999720603,1790827.200000000186265,10549168.789999999105930
FS( 16 ),1734820.729999999748543,1797394.550000000046566,1713290.630000000121072,1836903.740000000223517,1730622.199999999953434,1774570.800000000046566,10587606.650000000372529
FS( 17 ),1719235.859999999869615,1813374.949999999953434,1725816.649999999906868,1843957.790000000037253,1732491.050000000046566,1792005.200000000186265,10626885.500000000000000
FS( 18 ),1753429.529999999795109,1819367.599999999860302,1723033.090000000083819,1834552.390000000130385,1741212.349999999627471,1791062.800000000046566,10662661.759999999776483
FS( 19 ),1748777.330000000074506,1820699.300000000046566,1723033.090000000083819,1841136.170000000158325,1741004.699999999953434,1820512.800000000046566,10695167.390000000596046
FS( 20 ),1753662.139999999897555,1820033.449999999953434,1704939.949999999953434,1819974.020000000251457,1727299.800000000046566,1816507.599999999860302,10642420.960000000894070
FS( 21 ),1765292.639999999897555,1839343.100000000093132,1712594.739999999990687,1848660.490000000223517,1746611.249999999767169,1840774.399999999906868,10753280.620000001043081
FS( 22 ),1769014.399999999906868,1840230.899999999906868,1704939.949999999953434,1820444.290000000037253,1752010.149999999906868,1837476.000000000000000,10724119.689999999478459
FS( 23 ),1763664.369999999646097,1829133.399999999906868,1713986.519999999785796,1839255.090000000083819,1752633.100000000093132,1829230.000000000000000,10727906.479999998584390
FS( 24 ),1762733.929999999934807,1832240.699999999953434,1714682.409999999916181,1868411.830000000074506,1742873.550000000046566,1823575.600000000325963,10744522.019999999552965
FS( 25 ),1764362.199999999720603,1824028.550000000046566,1728600.209999999962747,1857125.350000000093132,1739758.799999999813735,1834884.399999999906868,10748763.509999999776483
FS( 26 ),1781342.729999999748543,1804275.000000000000000,1720945.419999999925494,1852892.920000000158325,1735605.799999999813735,1832528.400000000139698,10727594.269999999552965
FS( 27 ),1783203.609999999869615,1788072.649999999906868,1723033.090000000083819,1857125.350000000093132,1732491.050000000046566,1828287.599999999860302,10712217.349999999627471
FS( 28 ),1763431.760000000009313,1749009.449999999953434,1709811.179999999934807,1846779.410000000149012,1715048.449999999953434,1814387.200000000186265,10598471.449999999254942
FS( 29 ),1743659.909999999683350,1761882.549999999813735,1704939.949999999953434,1841606.439999999944121,1716501.999999999767169,1783523.600000000093132,10552118.449999999254942
FS( 30 ),1750405.599999999860302,1766321.549999999813735,1718857.750000000000000,1857125.350000000093132,1734775.199999999953434,1808497.200000000186265,10635986.649999998509884
FS( 31 ),1765757.859999999869615,1771648.349999999860302,1727208.429999999934807,1872644.260000000009313,1743288.849999999860302,1837711.600000000093132,10718263.349999999627471
FS( 32 ),1765292.639999999897555,1770094.699999999953434,1741126.229999999981374,1861357.780000000027940,1727715.099999999860302,1883889.199999999953434,10749479.650000000372529
FS( 33 ),1756918.679999999934807,1777641.000000000000000,1769657.719999999972060,1864179.400000000139698,1728338.050000000046566,1920878.400000000139698,10817617.250000000000000
FS( 34 ),1770642.669999999925494,1784965.350000000093132,1751564.580000000074506,1768244.320000000065193,1739758.799999999813735,1916402.000000000232831,10731581.719999998807907
FS( 35 ),1791810.179999999934807,1768097.149999999906868,1748085.130000000121072,1760249.730000000214204,1741419.999999999767169,1914988.400000000139698,10724654.589999999850988
FS( 36 ),1811116.809999999823049,1763880.099999999860302,1771745.389999999897555,1732033.530000000027940,1744950.049999999813735,1910747.599999999860302,10734477.479999998584390
FS( 37 ),1793671.059999999823049,1750563.100000000093132,1766178.269999999785796,1721687.590000000083819,1732491.050000000046566,1921114.000000000232831,10685709.070000000298023
FS( 38 ),1785994.929999999934807,1746346.050000000046566,1761307.039999999804422,1724038.939999999944121,1733736.949999999720603,1908862.800000000046566,10660290.709999999031425
FS( 39 ),1783901.439999999711290,1747233.849999999860302,1782879.630000000121072,1729211.910000000149012,1744119.449999999720603,1922998.800000000279397,10710349.080000000074506
FS( 40 ),1783668.830000000074506,1756333.799999999813735,1796101.539999999804422,1736736.230000000214204,1767168.599999999627471,1931716.000000000000000,10771729.000000000000000
FS( 41 ),1799951.529999999795109,1761882.549999999813735,1808627.559999999823049,1749433.520000000251457,1752425.449999999953434,1928182.000000000232831,10800506.609999999403954
FS( 42 ),1802975.459999999962747,1774533.699999999953434,1801668.659999999916181,1752725.410000000149012,1757824.350000000093132,1922763.200000000186265,10812494.780000001192093
FS( 43 ),1790414.519999999785796,1762326.450000000186265,1837854.939999999944121,1739557.850000000093132,1764676.800000000046566,1937841.600000000093132,10832676.160000000149012
FS( 44 ),1767153.519999999785796,1747233.849999999860302,1820457.689999999944121,1712752.460000000195578,1769245.099999999860302,1920878.400000000139698,10737725.019999999552965
