代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12696922.619999999180436
真實報酬,2696922.619999999180436

夏普值報酬,0.260992262000000
夏普值風險,0.070839163011487
夏普值,3.684293417719760

二次趨勢線,39.863697048547550 x^2 + 96.077984393864142 x + 10000000.000000000000000
二次加權預期報酬,13516.855990738205946
風險,199692.058815543103265
二次加權趨勢值,0.067688500338533
一次趨勢線,7645.236011207332012 x + 10000000.000000000000000
一次預期報酬,7645.236011207332012
一次風險,347532.100838889600709
一次趨勢值,0.021998647010601
找到最佳解世代,2346
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CSCO[4](13),HD[9](4),MSFT[18](2),NKE[19](7),
Stock#,AAPL[0](1),CSCO[4](13),HD[9](4),MSFT[18](2),NKE[19](7),
張數,26921,88613,25977,56290,52590,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,38.909999999916181,4.590000000083819,30.770000000018626,16.300000000046566,2.300000000046566,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2025844.159999999916181,2000886.129999999888241,2000259.770000000018626,2023078.899999999906868,2008414.399999999906868,10058483.360000001266599
FS( 3 ),2020729.169999999925494,2044306.500000000000000,1991167.820000000065193,2062481.900000000139698,2029976.300000000046566,10148661.690000001341105
FS( 4 ),2003499.729999999981374,2062915.230000000214204,1985193.110000000102445,2149168.500000000000000,2018406.500000000232831,10219183.070000000298023
FS( 5 ),1970925.319999999832362,2047851.020000000018626,1966229.899999999906868,2110891.299999999813735,1990533.800000000046566,10086431.339999999850988
FS( 6 ),2002153.679999999934807,2083296.220000000204891,1960774.730000000214204,2126652.500000000000000,2027872.700000000186265,10200749.830000001937151
FS( 7 ),1996231.060000000055879,2077979.439999999944121,1957917.260000000242144,2115957.400000000372529,2028924.500000000000000,10177009.660000000149012
FS( 8 ),2000000.000000000000000,2102791.080000000074506,1978958.630000000121072,2103010.700000000186265,2021561.899999999906868,10206322.310000000521541
FS( 9 ),2002422.889999999897555,2126716.589999999850988,2015845.969999999972060,2148042.700000000186265,2046805.100000000093132,10339833.250000000000000
FS( 10 ),2031228.360000000102445,1893664.400000000139698,2050655.149999999906868,2140162.100000000558794,2067841.100000000093132,10183551.110000001266599
FS( 11 ),2019113.909999999916181,1908728.610000000102445,2078970.080000000074506,2130029.900000000372529,2083092.199999999953434,10219934.699999999254942
FS( 12 ),1994615.800000000046566,1886575.360000000102445,2069618.360000000102445,2094004.300000000279397,2066263.399999999906868,10111077.220000000670552
FS( 13 ),1998115.529999999795109,1898095.050000000279397,2088062.029999999795109,2068110.900000000139698,2046279.199999999953434,10098662.709999999031425
FS( 14 ),1980616.879999999655411,1881258.580000000074506,2071696.520000000018626,2087249.500000000000000,2046805.100000000093132,10067626.580000000074506
FS( 15 ),2004307.360000000102445,1902525.699999999953434,2073774.679999999934807,2105262.299999999813735,2053641.799999999813735,10139511.839999999850988
