代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12781153.269999999552965
真實報酬,2781153.269999999552965

夏普值報酬,0.269415327000000
夏普值風險,0.092043583365598
夏普值,2.927040833795865

二次趨勢線,81.586558090986699 x^2 + -8394.186789544266503 x + 10000000.000000000000000
二次加權預期報酬,18964.505690299934940
風險,170063.016110533935716
二次加權趨勢值,0.111514579266157
一次趨勢線,6995.016905399324060 x + 10000000.000000000000000
一次預期報酬,6995.016905399324060
一次風險,602048.483524926356040
一次趨勢值,0.011618693671387
找到最佳解世代,3096
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](1),DIS[6](4),MCD[15](6),
FS( 25 ),2633218.029999999795109,2460637.950000000186265,2366331.100000000093132,2379100.000000000000000,9839287.080000000074506
FS( 26 ),2643896.830000000074506,2461197.600000000093132,2356030.450000000186265,2377150.000000000000000,9838274.879999998956919
FS( 27 ),2641494.100000000093132,2481158.450000000186265,2348604.400000000372529,2381245.000000000000000,9852501.950000001117587
FS( 28 ),2660448.970000000204891,2483023.950000000186265,2343813.400000000372529,2394505.000000000000000,9881791.320000000298023
FS( 29 ),2638557.429999999701977,2446460.149999999906868,2331835.900000000372529,2386120.000000000000000,9802973.480000000447035
FS( 30 ),2598778.899999999906868,2423701.049999999813735,2337345.549999999813735,2398405.000000000000000,9758230.500000000000000
FS( 31 ),2601982.539999999571592,2434520.950000000186265,2357228.200000000186265,2389045.000000000000000,9782776.690000001341105
FS( 32 ),2593439.500000000000000,2428178.250000000000000,2354114.050000000279397,2383975.000000000000000,9759706.800000000745058
FS( 33 ),2604385.270000000018626,2413440.800000000279397,2356749.100000000093132,2388265.000000000000000,9762840.169999999925494
FS( 34 ),2545117.929999999701977,2421835.550000000279397,2371601.200000000186265,2384365.000000000000000,9722919.679999999701977
FS( 35 ),2538977.619999999646097,2476494.700000000186265,2385255.549999999813735,2406790.000000000000000,9807517.870000001043081
FS( 36 ),2560602.189999999944121,2453549.050000000279397,2367289.299999999813735,2391385.000000000000000,9772825.539999999105930
FS( 37 ),2550991.270000000018626,2458212.800000000279397,2366570.650000000372529,2352190.000000000000000,9727964.720000000670552
FS( 38 ),2565674.619999999646097,2491418.700000000186265,2372080.300000000279397,2363695.000000000000000,9792868.620000001043081
FS( 39 ),2493592.720000000204891,2360274.050000000279397,2293028.800000000279397,2329180.000000000000000,9476075.570000000298023
FS( 40 ),2457284.800000000279397,2289011.950000000186265,2260929.100000000093132,2267950.000000000000000,9275175.849999999627471
FS( 41 ),2498665.149999999906868,2311211.400000000372529,2300933.950000000186265,2310850.000000000000000,9421660.500000000000000
FS( 42 ),2520289.720000000204891,2369041.899999999906868,2323212.100000000093132,2330155.000000000000000,9542698.720000000670552
FS( 43 ),2552326.119999999646097,2422768.300000000279397,2343334.299999999813735,2346730.000000000000000,9665158.719999998807907
FS( 44 ),2560068.250000000000000,2419410.400000000372529,2348364.850000000093132,2347900.000000000000000,9675743.500000000000000
FS( 45 ),2536040.949999999720603,2368668.800000000279397,2339501.500000000000000,2354920.000000000000000,9599131.250000000000000
FS( 46 ),2550457.330000000074506,2368482.250000000000000,2358425.950000000186265,2352385.000000000000000,9629750.530000001192093
FS( 47 ),2561403.100000000093132,2372399.800000000279397,2357467.750000000000000,2358040.000000000000000,9649310.650000000372529
FS( 48 ),2581158.879999999888241,2426872.400000000372529,2386453.300000000279397,2365645.000000000000000,9760129.580000000074506
FS( 49 ),2589167.979999999981374,2463249.649999999906868,2395077.100000000093132,2379100.000000000000000,9826594.730000000447035
FS( 50 ),2600914.660000000149012,2440304.000000000000000,2400347.200000000186265,2383975.000000000000000,9825540.859999999403954
FS( 51 ),2586231.310000000055879,2427245.500000000465661,2392681.600000000093132,2395090.000000000000000,9801248.410000000149012
FS( 52 ),2637489.550000000279397,2454108.700000000186265,2394837.550000000279397,2416735.000000000000000,9903170.800000000745058
FS( 53 ),2637222.580000000074506,2469778.899999999906868,2390765.200000000186265,2410495.000000000000000,9908261.679999999701977
FS( 54 ),2665254.429999999701977,2489180.100000000093132,2399149.450000000186265,2414200.000000000000000,9967783.980000000447035
FS( 55 ),2666322.310000000055879,2512125.750000000000000,2382860.050000000279397,2466850.000000000000000,10028158.110000001266599
FS( 56 ),2668725.039999999571592,2513245.050000000279397,2352916.300000000279397,2458270.000000000000000,9993156.390000000596046
FS( 57 ),2654575.629999999888241,2491045.600000000093132,2347885.750000000465661,2480110.000000000000000,9973616.980000000447035
FS( 58 ),2634018.939999999944121,2489926.300000000279397,2340699.250000000000000,2501170.000000000000000,9965814.490000000223517
FS( 59 ),2598778.899999999906868,2480039.150000000372529,2333033.650000000372529,2484400.000000000000000,9896251.700000001117587
FS( 60 ),2580891.910000000149012,2515670.200000000186265,2316265.149999999906868,2373445.000000000000000,9786272.259999999776483
FS( 61 ),2748549.069999999832362,2536377.250000000465661,2307641.350000000093132,2329960.000000000000000,9922527.669999999925494
FS( 62 ),2785657.899999999906868,2481345.000000000000000,2297580.250000000000000,2328790.000000000000000,9893373.150000000372529
FS( 63 ),2782187.289999999571592,2493470.750000000000000,2298538.450000000186265,2294275.000000000000000,9868471.489999998360872
FS( 64 ),2831309.770000000018626,2485076.000000000465661,2288716.900000000372529,2301295.000000000000000,9906397.670000001788139
FS( 65 ),2789395.479999999981374,2455041.450000000186265,2276020.750000000465661,2295250.000000000000000,9815707.679999999701977
FS( 66 ),2824368.550000000279397,2460078.300000000279397,2301892.150000000372529,2291740.000000000000000,9878079.000000000000000
FS( 67 ),2826504.310000000055879,2447766.000000000465661,2279614.000000000000000,2306950.000000000000000,9860834.310000000521541
FS( 68 ),2869486.479999999981374,2457466.600000000093132,2295663.850000000093132,2324695.000000000000000,9947311.929999999701977
FS( 69 ),2893246.810000000055879,2466047.900000000372529,2293747.450000000186265,2306755.000000000000000,9959797.160000000149012
FS( 70 ),2904993.489999999757856,2474069.550000000279397,2315786.050000000279397,2307145.000000000000000,10001994.089999999850988
FS( 71 ),2883368.919999999925494,2467726.850000000093132,2344292.500000000000000,2316700.000000000000000,10012088.269999999552965
FS( 72 ),2881500.129999999888241,2481158.450000000186265,2342136.550000000279397,2328010.000000000000000,10032805.130000000819564
FS( 73 ),2888174.379999999888241,2483023.950000000186265,2319858.400000000372529,2330740.000000000000000,10021796.730000000447035
FS( 74 ),2922880.479999999981374,2512125.750000000000000,2326086.700000000186265,2311240.000000000000000,10072332.929999999701977
FS( 75 ),2920210.779999999795109,2518468.450000000186265,2320816.600000000093132,2299930.000000000000000,10059425.830000000074506
FS( 76 ),2915939.259999999776483,2513245.050000000279397,2320577.050000000279397,2283550.000000000000000,10033311.360000001266599
FS( 77 ),2912201.679999999701977,2518468.450000000186265,2315306.950000000186265,2284135.000000000000000,10030112.080000000074506
FS( 78 ),2919676.839999999850988,2508021.650000000372529,2309078.650000000372529,2242795.000000000000000,9979572.140000000596046
FS( 79 ),2896984.390000000130385,2518281.900000000372529,2296622.050000000279397,2250790.000000000000000,9962678.340000001713634
FS( 80 ),2906061.369999999646097,2502425.149999999906868,2299017.550000000279397,2246305.000000000000000,9953809.070000000298023
FS( 81 ),2884169.830000000074506,2486568.399999999906868,2295424.299999999813735,2240065.000000000000000,9906227.530000001192093
FS( 82 ),2871889.209999999962747,2480785.350000000093132,2288956.450000000186265,2250985.000000000000000,9892616.010000001639128
FS( 83 ),2855070.100000000093132,2466794.100000000093132,2280811.750000000000000,2231680.000000000000000,9834355.949999999254942
FS( 84 ),2851866.459999999962747,2479292.950000000186265,2272667.050000000279397,2250595.000000000000000,9854421.460000000894070
FS( 85 ),2829974.919999999925494,2440304.000000000000000,2272427.500000000000000,2249620.000000000000000,9792326.419999999925494
FS( 86 ),2832644.619999999646097,2414933.200000000186265,2262845.500000000000000,2255470.000000000000000,9765893.320000000298023
FS( 87 ),2849463.729999999981374,2423327.950000000186265,2258054.500000000465661,2250400.000000000000000,9781246.179999999701977
FS( 88 ),2876160.729999999981374,2446833.250000000000000,2261887.300000000279397,2258785.000000000000000,9843666.280000001192093
FS( 89 ),2875359.819999999832362,2480971.900000000372529,2247035.200000000186265,2286475.000000000000000,9889841.920000001788139
FS( 90 ),2892979.839999999850988,2474442.649999999906868,2244879.250000000000000,2280040.000000000000000,9892341.740000000223517
FS( 91 ),2817160.359999999869615,2479292.950000000186265,2253982.150000000372529,2265415.000000000000000,9815850.460000000894070
FS( 92 ),2753354.529999999795109,2397770.600000000093132,2213977.300000000279397,2234410.000000000000000,9599512.429999999701977
FS( 93 ),2815024.600000000093132,2427432.050000000279397,2243202.400000000372529,2261125.000000000000000,9746784.050000000745058
FS( 94 ),2882034.069999999832362,2402061.250000000000000,2220684.700000000186265,2237335.000000000000000,9742115.019999999552965
FS( 95 ),2984016.609999999869615,2381727.300000000279397,2210144.500000000465661,2246110.000000000000000,9821998.410000000149012
FS( 96 ),3085465.209999999962747,2383592.800000000279397,2215893.700000000186265,2264830.000000000000000,9949781.710000000894070
FS( 97 ),3068112.160000000149012,2363631.950000000186265,2217331.000000000465661,2248060.000000000000000,9897135.110000001266599
FS( 98 ),3032338.179999999701977,2378182.850000000093132,2219007.850000000093132,2246695.000000000000000,9876223.879999998956919
FS( 99 ),3032071.209999999962747,2383965.900000000372529,2226673.450000000186265,2270875.000000000000000,9913585.560000000521541
FS( 100 ),3031537.270000000018626,2435640.250000000000000,2213258.650000000372529,2280235.000000000000000,9960671.169999999925494
FS( 101 ),3060103.060000000055879,2460078.300000000279397,2237692.750000000000000,2288620.000000000000000,10046494.109999999403954
FS( 102 ),3009111.789999999571592,2458399.350000000093132,2234339.050000000279397,2284915.000000000000000,9986765.189999999478459
FS( 103 ),3013650.279999999795109,2435826.800000000279397,2202958.000000000000000,2272435.000000000000000,9924870.080000000074506
FS( 104 ),3019256.649999999906868,2449818.050000000279397,2197208.800000000279397,2279260.000000000000000,9945543.500000000000000
FS( 105 ),3042216.069999999832362,2466794.100000000093132,2208707.200000000186265,2246110.000000000000000,9963827.370000001043081
FS( 106 ),2994962.379999999888241,2444408.100000000093132,2199125.200000000186265,2238505.000000000000000,9877000.679999999701977
FS( 107 ),3018188.770000000018626,2457653.150000000372529,2224517.500000000000000,2249620.000000000000000,9949979.419999999925494
FS( 108 ),3004039.359999999869615,2469592.350000000093132,2215654.149999999906868,2235580.000000000000000,9924865.859999999403954
FS( 109 ),3016853.919999999925494,2467167.200000000186265,2218049.650000000372529,2213350.000000000000000,9915420.769999999552965
FS( 110 ),3018188.770000000018626,2512125.750000000000000,2214695.950000000186265,2211595.000000000000000,9956605.469999998807907
FS( 111 ),3040614.250000000000000,2507648.549999999813735,2223798.850000000093132,2221540.000000000000000,9993601.650000000372529
FS( 112 ),3045152.739999999757856,2497015.200000000186265,2215654.149999999906868,2212375.000000000000000,9970197.089999999850988
FS( 113 ),3098279.770000000018626,2534138.650000000372529,2215654.149999999906868,2236945.000000000000000,10085017.570000000298023
FS( 114 ),3104954.020000000018626,2494963.150000000372529,2200562.500000000000000,2216860.000000000000000,10017339.669999999925494
FS( 115 ),3132718.899999999906868,2484143.250000000000000,2189782.750000000000000,2236945.000000000000000,10043589.900000000372529
FS( 116 ),3123107.979999999981374,2488247.350000000093132,2182835.800000000279397,2250595.000000000000000,10044786.130000000819564
FS( 117 ),3140461.029999999795109,2490485.950000000186265,2187147.700000000186265,2224855.000000000000000,10042949.679999999701977
FS( 118 ),3138325.270000000018626,2499813.450000000186265,2175888.850000000093132,2192095.000000000000000,10006122.570000000298023
FS( 119 ),3136189.509999999776483,2520333.950000000186265,2184033.550000000279397,2169475.000000000000000,10010032.009999999776483
FS( 120 ),3126845.560000000055879,2540481.350000000093132,2202239.350000000558794,2169670.000000000000000,10039236.260000001639128
FS( 121 ),3125243.739999999757856,2534138.650000000372529,2204634.850000000093132,2156215.000000000000000,10020232.240000000223517
FS( 122 ),3112963.119999999646097,2530221.100000000093132,2228589.850000000093132,2221735.000000000000000,10093509.070000000298023
FS( 123 ),3140994.970000000204891,2564173.200000000186265,2236734.550000000279397,2214715.000000000000000,10156617.720000000670552
FS( 124 ),3157013.169999999925494,2593461.550000000279397,2221882.450000000186265,2198140.000000000000000,10170497.170000001788139
FS( 125 ),3085999.149999999906868,2715092.149999999906868,2239609.149999999906868,2186245.000000000000000,10226945.449999999254942
FS( 126 ),3056365.479999999981374,2673491.500000000000000,2252305.300000000279397,2185660.000000000000000,10167822.280000001192093
FS( 127 ),3036075.759999999776483,2667895.000000000000000,2248232.950000000186265,2186050.000000000000000,10138253.710000000894070
FS( 128 ),3031270.300000000279397,2657075.100000000093132,2220445.149999999906868,2195215.000000000000000,10104005.550000000745058
FS( 129 ),2976541.449999999720603,2656702.000000000000000,2213258.650000000372529,2188975.000000000000000,10035477.099999999627471
FS( 130 ),2979211.149999999906868,2625734.700000000186265,2201760.250000000000000,2191705.000000000000000,9998411.099999999627471
FS( 131 ),2932224.429999999701977,2612116.550000000279397,2236734.550000000279397,2178640.000000000000000,9959715.530000001192093
FS( 132 ),2905794.399999999906868,2603162.149999999906868,2214695.950000000186265,2165380.000000000000000,9889032.500000000000000
FS( 133 ),2947708.689999999944121,2668268.100000000093132,2262126.850000000558794,2200090.000000000000000,10078193.640000000596046
FS( 134 ),2965061.739999999757856,2652784.450000000186265,2260929.100000000093132,2225245.000000000000000,10104020.289999999105930
FS( 135 ),2960256.279999999795109,2706697.400000000372529,2267157.400000000372529,2242210.000000000000000,10176321.080000000074506
FS( 136 ),2877762.550000000279397,2755200.400000000372529,2274823.000000000000000,2233045.000000000000000,10140830.950000001117587
FS( 137 ),2894848.629999999888241,2770684.050000000279397,2339980.600000000558794,2227390.000000000000000,10232903.280000001192093
FS( 138 ),2822232.789999999571592,2798106.900000000372529,2345729.800000000279397,2298370.000000000000000,10264439.490000000223517
FS( 139 ),2859608.589999999850988,2763035.500000000465661,2340459.700000000186265,2307340.000000000000000,10270443.789999999105930
FS( 140 ),2936495.949999999720603,2731881.650000000372529,2374475.800000000279397,2324695.000000000000000,10367548.400000000372529
FS( 141 ),2935428.069999999832362,2711174.600000000558794,2380464.550000000279397,2329375.000000000000000,10356442.220000000670552
FS( 142 ),2938364.739999999757856,2730202.700000000186265,2353395.399999999906868,2340100.000000000000000,10362062.839999999850988
FS( 143 ),2982948.729999999981374,2742701.550000000279397,2338782.850000000093132,2330350.000000000000000,10394783.130000000819564
FS( 144 ),2984817.520000000018626,2789339.050000000279397,2340699.250000000000000,2334055.000000000000000,10448910.820000000298023
FS( 145 ),2969600.229999999981374,2793443.150000000372529,2353874.500000000465661,2342830.000000000000000,10459747.880000000819564
FS( 146 ),2984550.550000000279397,2799039.649999999906868,2367289.299999999813735,2352970.000000000000000,10503849.500000000000000
FS( 147 ),2978677.209999999962747,2794002.800000000279397,2370882.550000000279397,2375590.000000000000000,10519152.560000000521541
FS( 148 ),2975740.539999999571592,2828887.649999999906868,2387651.050000000279397,2353360.000000000000000,10545639.240000000223517
FS( 149 ),2950645.359999999869615,2808740.250000000000000,2374475.800000000279397,2325865.000000000000000,10459726.410000000149012
FS( 150 ),2923147.449999999720603,2842878.899999999906868,2370163.899999999906868,2310265.000000000000000,10446455.250000000000000
FS( 151 ),2934093.220000000204891,2840267.200000000186265,2359623.700000000186265,2305780.000000000000000,10439764.120000001043081
FS( 152 ),2913002.589999999850988,2838588.250000000000000,2394598.000000000000000,2326255.000000000000000,10472443.839999999850988
FS( 153 ),2935428.069999999832362,2840080.650000000372529,2411366.500000000000000,2325475.000000000000000,10512350.220000000670552
FS( 154 ),2964260.830000000074506,2875525.149999999906868,2443226.649999999906868,2338540.000000000000000,10621552.630000000819564
FS( 155 ),2993360.560000000055879,2898843.899999999906868,2476524.100000000093132,2348875.000000000000000,10717603.560000000521541
FS( 156 ),3042216.069999999832362,2919364.400000000372529,2511977.500000000000000,2364670.000000000000000,10838227.970000000670552
FS( 157 ),3024863.020000000018626,2931863.250000000000000,2492813.500000000465661,2374030.000000000000000,10823569.769999999552965
FS( 158 ),3075320.350000000093132,2922535.750000000000000,2487782.950000000186265,2392360.000000000000000,10877999.050000000745058
FS( 159 ),3075320.350000000093132,2881681.300000000279397,2492573.950000000186265,2395480.000000000000000,10845055.600000001490116
FS( 160 ),3092139.459999999962747,2868622.800000000279397,2500718.650000000372529,2386120.000000000000000,10847600.910000000149012
FS( 161 ),3096144.009999999776483,2882240.950000000186265,2489220.250000000000000,2403280.000000000000000,10870885.210000000894070
FS( 162 ),3114031.000000000000000,2913581.350000000093132,2522517.700000000186265,2398405.000000000000000,10948535.050000000745058
FS( 163 ),3122307.069999999832362,2917498.899999999906868,2526350.500000000000000,2405035.000000000000000,10971191.469999998807907
FS( 164 ),3125243.739999999757856,2937832.850000000093132,2528746.000000000465661,2402110.000000000000000,10993932.589999999850988
FS( 165 ),3104687.050000000279397,2937459.750000000465661,2525392.300000000279397,2412640.000000000000000,10980179.100000001490116
FS( 166 ),3110827.359999999869615,2943989.000000000000000,2518924.450000000186265,2401330.000000000000000,10975070.809999998658895
FS( 167 ),3130583.140000000130385,2937832.850000000093132,2519403.550000000279397,2399965.000000000000000,10987784.540000000968575
FS( 168 ),3117234.640000000130385,2912088.950000000186265,2498562.700000000186265,2392360.000000000000000,10920246.289999999105930
FS( 169 ),3116433.729999999981374,2904440.400000000372529,2504791.000000000465661,2394505.000000000000000,10920170.130000000819564
FS( 170 ),3092139.459999999962747,2904253.850000000093132,2496646.300000000279397,2373640.000000000000000,10866679.610000001266599
FS( 171 ),3100949.470000000204891,2928318.800000000279397,2541202.600000000093132,2332690.000000000000000,10903160.870000001043081
FS( 172 ),3097478.859999999869615,2959099.550000000279397,2573781.399999999906868,2329960.000000000000000,10960319.810000000521541
FS( 173 ),3113230.089999999850988,2960778.500000000465661,2572344.100000000093132,2334250.000000000000000,10980602.689999999478459
FS( 174 ),3147936.189999999944121,2968053.950000000186265,2610672.100000000093132,2354920.000000000000000,11081582.240000000223517
FS( 175 ),3176768.949999999720603,2953503.050000000279397,2595820.000000000000000,2348485.000000000000000,11074577.000000000000000
FS( 176 ),3179972.589999999850988,2967494.300000000279397,2596299.100000000093132,2344975.000000000000000,11088740.990000000223517
FS( 177 ),3197058.669999999925494,2973650.450000000186265,2621691.399999999906868,2357260.000000000000000,11149660.519999999552965
FS( 178 ),3183710.169999999925494,2952943.399999999906868,2575937.350000000093132,2381050.000000000000000,11093640.919999999925494
FS( 179 ),3178103.800000000279397,2963017.100000000558794,2588633.500000000465661,2369350.000000000000000,11099104.400000000372529
FS( 180 ),3203732.919999999925494,2941377.299999999813735,2586477.550000000279397,2393725.000000000000000,11125312.769999999552965
FS( 181 ),3203465.949999999720603,2953503.050000000279397,2591029.000000000000000,2392945.000000000000000,11140943.000000000000000
FS( 182 ),3197859.580000000074506,2966188.450000000186265,2569948.600000000093132,2382610.000000000000000,11116606.630000000819564
FS( 183 ),3203732.919999999925494,2976075.600000000093132,2579051.500000000000000,2384170.000000000000000,11143030.019999999552965
FS( 184 ),3205868.679999999701977,2944548.650000000372529,2566115.800000000279397,2367010.000000000000000,11083543.130000000819564
FS( 185 ),3202932.009999999776483,2995103.700000000186265,2584800.700000000186265,2360575.000000000000000,11143411.410000000149012
FS( 186 ),3253923.279999999795109,3122144.250000000465661,2588154.400000000372529,2375005.000000000000000,11339226.929999999701977
FS( 187 ),3255525.100000000093132,3154977.050000000279397,2588633.500000000465661,2376760.000000000000000,11375895.650000000372529
FS( 188 ),3255792.069999999832362,3128486.950000000186265,2618337.700000000186265,2395870.000000000000000,11398486.719999998807907
FS( 189 ),3247249.029999999795109,3088751.800000000279397,2657623.899999999906868,2398990.000000000000000,11392614.730000000447035
FS( 190 ),3239773.869999999646097,3048643.549999999813735,2650676.950000000186265,2390215.000000000000000,11329309.370000001043081
FS( 191 ),3437331.669999999925494,3058903.800000000279397,2666247.700000000186265,2387290.000000000000000,11549773.170000001788139
FS( 192 ),3431458.330000000074506,3027003.750000000000000,2649718.750000000000000,2402890.000000000000000,11511070.830000000074506
FS( 193 ),3446141.680000000167638,3029615.450000000186265,2642292.700000000186265,2422780.000000000000000,11540829.830000001937151
FS( 194 ),3478445.049999999813735,3059090.350000000093132,2624805.549999999813735,2426875.000000000000000,11589215.949999999254942
FS( 195 ),3511549.330000000074506,3106100.950000000186265,2611151.200000000186265,2429605.000000000000000,11658406.480000000447035
FS( 196 ),3525164.799999999813735,3055919.000000000000000,2611151.200000000186265,2431165.000000000000000,11623400.000000000000000
FS( 197 ),3535309.659999999683350,3064686.850000000093132,2622889.149999999906868,2427460.000000000000000,11650345.660000000149012
FS( 198 ),3527300.560000000055879,3101064.100000000093132,2617379.500000000465661,2453590.000000000000000,11699334.160000000149012
FS( 199 ),3558536.049999999813735,3134643.100000000093132,2626721.950000000186265,2448130.000000000000000,11768031.100000001490116
FS( 200 ),3604721.860000000335276,3143410.950000000186265,2643011.350000000093132,2453395.000000000000000,11844539.160000000149012
FS( 201 ),3617803.389999999664724,3158334.950000000186265,2639418.100000000558794,2466460.000000000000000,11882016.440000001341105
FS( 202 ),3613531.869999999646097,3186504.000000000000000,2652114.250000000000000,2470750.000000000000000,11922900.119999999180436
FS( 203 ),3623409.759999999776483,3221948.500000000465661,2636543.500000000465661,2492200.000000000000000,11974101.759999999776483
FS( 204 ),3649572.819999999832362,3275115.250000000000000,2635345.750000000465661,2496880.000000000000000,12056913.820000000298023
FS( 205 ),3660518.590000000316650,3271384.250000000465661,2637980.800000000279397,2493175.000000000000000,12063058.640000000596046
FS( 206 ),3645034.330000000074506,3299366.750000000465661,2628638.350000000093132,2501365.000000000000000,12074404.429999999701977
FS( 207 ),3648504.939999999944121,3310186.650000000372529,2642771.799999999813735,2508775.000000000000000,12110238.390000000596046
FS( 208 ),3655713.129999999888241,3347310.100000000093132,2640615.850000000093132,2476405.000000000000000,12120044.080000000074506
FS( 209 ),3657314.950000000186265,3362234.100000000093132,2637262.150000000372529,2489275.000000000000000,12146086.200000001117587
FS( 210 ),3732066.549999999813735,3430884.500000000000000,2660019.400000000372529,2516575.000000000000000,12339545.449999999254942
FS( 211 ),3709908.040000000037253,3413721.900000000372529,2649239.650000000372529,2500585.000000000000000,12273454.589999999850988
FS( 212 ),3731799.580000000074506,3398611.350000000093132,2664810.399999999906868,2494150.000000000000000,12289371.330000000074506
FS( 213 ),3720052.899999999906868,3375292.600000000093132,2651156.050000000279397,2496685.000000000000000,12243186.550000000745058
FS( 214 ),3724858.360000000335276,3395626.550000000279397,2655707.500000000000000,2497465.000000000000000,12273657.410000000149012
FS( 215 ),3710975.919999999925494,3390403.150000000372529,2655228.400000000372529,2497855.000000000000000,12254462.470000000670552
FS( 216 ),3702432.879999999888241,3368576.800000000279397,2659779.850000000093132,2498829.999999999534339,12229619.529999999329448
FS( 217 ),3714713.499999999534339,3333691.950000000186265,2657144.800000000279397,2495710.000000000000000,12201260.250000000000000
FS( 218 ),3716315.319999999832362,3340221.200000000186265,2671517.800000000279397,2488495.000000000000000,12216549.320000000298023
FS( 219 ),3710708.950000000186265,3334251.600000000093132,2690442.250000000465661,2492200.000000000000000,12227602.800000000745058
FS( 220 ),3749953.540000000037253,3333878.500000000465661,2679902.050000000279397,2493760.000000000000000,12257494.090000001713634
FS( 221 ),3756093.850000000093132,3324177.900000000372529,2676069.250000000000000,2495710.000000000000000,12252051.000000000000000
FS( 222 ),3737405.950000000186265,3359808.950000000186265,2677267.000000000465661,2508579.999999999534339,12283061.900000000372529
FS( 223 ),3776650.540000000037253,3346563.899999999906868,2700024.250000000000000,2511310.000000000000000,12334548.689999999478459
FS( 224 ),3733401.399999999906868,3282577.250000000465661,2677027.450000000186265,2506240.000000000000000,12199246.100000001490116
FS( 225 ),3775582.659999999683350,3301605.350000000093132,2684932.600000000093132,2517550.000000000000000,12279670.609999999403954
