代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15368710.219999998807907
真實報酬,5368710.219999998807907

夏普值報酬,0.528171022000000
夏普值風險,0.123663258288318
夏普值,4.271042420446195

二次趨勢線,12.074017575131478 x^2 + 18245.973407711757318 x + 10000000.000000000000000
二次加權預期報酬,22310.892658006032434
風險,258995.926893201714847
二次加權趨勢值,0.086143797416575
一次趨勢線,20532.481520147670381 x + 10000000.000000000000000
一次預期報酬,20532.481520147670381
一次風險,272948.037632088409737
一次趨勢值,0.075224873196648
找到最佳解世代,2257
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),HD[9](3),MCD[15](8),MRK[17](18),PG[21](10),
Stock#,AAPL[0](4),BA[2](1),HD[9](3),MCD[15](8),MRK[17](18),PG[21](10),
張數,91675,40443,64674,31806,68587,33670,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,14.500000000000000,9.969999999972060,17.020000000018626,31.600000000093132,1.899999999906868,1.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1729921.750000000000000,1705895.709999999962747,1695122.560000000055879,1678434.220000000204891,1688613.840000000083819,1716834.300000000046566,10214826.380000000819564
FS( 3 ),1738172.500000000000000,1745125.419999999925494,1693829.080000000074506,1690838.560000000055879,1686556.229999999981374,1676430.300000000046566,10230956.090000001713634
FS( 4 ),1735422.250000000000000,1787590.570000000065193,1684127.979999999981374,1707695.739999999990687,1687927.969999999972060,1711783.800000000046566,10314552.310000002384186
FS( 5 ),1690501.500000000232831,1760493.760000000009313,1656318.159999999916181,1698153.940000000176951,1729080.169999999925494,1728618.800000000046566,10263170.330000001937151
FS( 6 ),1692335.000000000000000,1853512.659999999916181,1649204.020000000018626,1746817.120000000111759,1702331.239999999990687,1736362.899999999906868,10380566.939999999478459
FS( 7 ),1696918.750000000232831,1808620.929999999934807,1612339.840000000083819,1730278.000000000000000,1673524.699999999720603,1695958.899999999906868,10217645.120000001043081
FS( 8 ),1629079.250000000000000,1783546.270000000018626,1593584.380000000121072,1716601.420000000158325,1713305.159999999916181,1715150.799999999813735,10151271.280000001192093
FS( 9 ),1564906.750000000000000,1737036.820000000065193,1605872.439999999944121,1701334.540000000270084,1760630.189999999944121,1715824.199999999953434,10085608.939999999478459
