代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14297277.810000000521541
真實報酬,4297277.810000000521541

夏普值報酬,0.421027781000000
夏普值風險,0.107715172279936
夏普值,3.908713805941920

二次趨勢線,42.798093944985077 x^2 + 6206.078971165252369 x + 10000000.000000000000000
二次加權預期報酬,20557.706474050242832
風險,174030.018269057298312
二次加權趨勢值,0.118127359167814
一次趨勢線,14278.837534410315129 x + 10000000.000000000000000
一次預期報酬,14278.837534410315129
一次風險,349383.941821963235270
一次趨勢值,0.040868614224080
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](8),BA[2](1),DD[7](11),MMM[16](3),NKE[19](2),UNH[23](9),
Stock#,AAPL[0](8),BA[2](1),DD[7](11),MMM[16](3),NKE[19](2),UNH[23](9),
張數,19902,22516,39939,18456,68333,30927,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.520000000018626,31.680000000167638,11.530000000027940,89.199999999953434,24.129999999888241,9.969999999972060,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1637211.040000000037253,1667341.480000000214204,1666266.609999999869615,1663343.919999999925494,1668715.989999999990687,1655841.550000000046566,9958724.590000001713634
FS( 3 ),1531929.459999999962747,1663288.600000000325963,1677449.530000000027940,1675155.760000000009313,1668715.989999999990687,1665119.650000000139698,9881662.990000000223517
FS( 4 ),1556010.880000000121072,1665765.360000000335276,1685836.719999999972060,1678662.399999999906868,1681699.259999999776483,1659243.520000000018626,9927222.139999998733401
FS( 5 ),1516206.880000000121072,1680625.920000000158325,1723379.379999999888241,1688997.760000000009313,1684432.579999999841675,1666047.459999999962747,9959693.980000000447035
FS( 6 ),1506454.899999999906868,1700665.160000000149012,1740952.540000000270084,1695641.919999999925494,1675549.289999999804422,1675944.099999999860302,9995211.910000000149012
FS( 7 ),1539293.200000000186265,1707194.800000000046566,1766114.109999999869615,1729047.280000000027940,1698099.179999999934807,1693572.489999999990687,10133325.060000000521541
FS( 8 ),1532526.520000000018626,1699314.200000000186265,1771705.570000000065193,1718711.919999999925494,1694682.530000000027940,1708726.719999999972060,10125671.460000000894070
FS( 9 ),1506056.860000000102445,1673420.800000000046566,1764915.939999999944121,1707269.199999999953434,1662566.019999999785796,1681820.229999999981374,9996053.049999998882413
FS( 10 ),1449535.179999999934807,1666666.000000000000000,1786882.390000000130385,1703208.879999999888241,1655732.719999999972060,1671614.319999999832362,9933643.490000000223517
FS( 11 ),1475208.760000000009313,1680851.080000000307336,1809647.620000000111759,1717050.879999999888241,1674182.629999999888241,1681201.689999999944121,10038146.660000000149012
FS( 12 ),1517998.059999999823049,1700440.000000000000000,1865162.830000000074506,1732184.799999999813735,1689899.219999999972060,1699448.620000000111759,10205137.530000001192093
FS( 13 ),1496503.899999999906868,1700214.840000000316650,1844394.550000000046566,1716866.319999999832362,1670765.979999999748543,1685222.199999999953434,10113971.789999999105930
FS( 14 ),1483368.580000000074506,1715750.880000000121072,1847989.060000000055879,1737352.479999999981374,1691265.879999999888241,1715221.389999999897555,10190952.269999999552965
FS( 15 ),1476601.899999999906868,1715075.400000000139698,1819632.370000000111759,1718342.799999999813735,1795815.369999999878928,1701922.780000000027940,10227394.619999999180436
FS( 16 ),1478990.140000000130385,1710572.200000000186265,1830415.899999999906868,1720003.839999999850988,1804015.329999999841675,1696355.919999999925494,10240357.330000000074506
FS( 17 ),1458690.100000000093132,1711698.000000000000000,1843995.160000000149012,1717789.119999999878928,1754132.239999999990687,1676871.909999999916181,10163180.529999999329448
FS( 18 ),1464461.679999999934807,1707419.960000000195578,1826821.390000000130385,1709853.040000000037253,1768482.169999999925494,1683675.849999999860302,10160718.089999999850988
FS( 19 ),1448938.119999999878928,1681751.720000000204891,1798464.700000000186265,1693980.879999999888241,1742515.629999999888241,1665738.189999999944121,10031393.240000000223517
FS( 20 ),1513022.559999999823049,1696837.440000000176951,1838803.090000000083819,1713728.799999999813735,1763015.530000000027940,1677490.449999999953434,10202901.869999999180436
FS( 21 ),1560986.380000000121072,1735339.800000000046566,1879940.260000000009313,1749348.879999999888241,1771215.489999999990687,1686768.550000000046566,10383603.360000001266599
FS( 22 ),1541283.399999999906868,1744346.200000000186265,1885531.719999999972060,1747318.719999999972060,1789665.399999999906868,1607904.699999999953434,10316054.139999998733401
FS( 23 ),1498494.100000000093132,1749299.720000000204891,1912690.239999999990687,1760237.919999999925494,1806748.649999999906868,1610997.400000000139698,10338472.030000001192093
FS( 24 ),1489538.200000000186265,1714174.760000000009313,1910693.290000000270084,1762452.639999999897555,1809481.969999999972060,1610997.400000000139698,10297342.259999999776483
FS( 25 ),1493518.600000000093132,1669142.760000000009313,1882735.989999999990687,1762637.199999999953434,1790348.729999999748543,1589657.770000000018626,10188045.050000000745058
FS( 26 ),1470233.260000000009313,1728359.840000000316650,1905501.219999999972060,1779432.159999999916181,1792398.719999999972060,1619656.959999999962747,10295586.160000000149012
FS( 27 ),1488543.100000000093132,1735790.120000000344589,1924671.939999999944121,1788291.040000000037253,1795815.369999999878928,1642542.939999999944121,10375658.509999999776483
FS( 28 ),1479388.179999999934807,1692334.239999999990687,1925870.109999999869615,1777032.879999999888241,1814265.280000000027940,1633574.109999999869615,10322468.799999998882413
FS( 29 ),1426647.880000000121072,1723631.480000000214204,1949833.510000000009313,1791797.679999999934807,1817681.929999999934807,1650274.689999999944121,10359871.169999999925494
FS( 30 ),1381669.360000000102445,1732412.720000000204891,1939049.979999999981374,1795673.440000000176951,1832715.189999999944121,1658315.709999999962747,10339840.400000002235174
FS( 31 ),1438987.119999999878928,1673871.120000000344589,1914287.800000000046566,1801394.799999999813735,1836131.839999999850988,1659552.789999999804422,10324229.469999998807907
FS( 32 ),1429235.140000000130385,1694585.840000000316650,1923074.379999999888241,1810253.679999999934807,1827248.549999999813735,1682438.770000000018626,10366840.359999999403954
FS( 33 ),1421672.380000000121072,1689632.320000000298023,1922275.600000000093132,1822434.639999999897555,1821098.579999999841675,1687387.090000000083819,10364504.609999999403954
FS( 34 ),1435205.739999999990687,1669818.239999999990687,1931062.180000000167638,1833323.679999999934807,1827248.549999999813735,1732540.510000000009313,10429202.900000000372529
FS( 35 ),1461476.380000000121072,1672745.320000000298023,1938251.200000000186265,1836276.639999999897555,1814265.280000000027940,1729138.539999999804422,10452157.359999999403954
FS( 36 ),1280965.239999999990687,1695936.800000000046566,1958220.700000000186265,1839598.719999999972060,1840231.819999999832362,1738725.909999999916181,10353683.189999999478459
FS( 37 ),1250714.200000000186265,1689407.160000000149012,1967007.280000000027940,1856578.239999999990687,1898314.869999999878928,1733159.050000000046566,10395184.800000000745058
FS( 38 ),1278975.040000000037253,1666215.680000000167638,1957821.310000000055879,1857685.600000000093132,1862098.379999999888241,1726045.840000000083819,10348845.850000001490116
FS( 39 ),1303056.459999999962747,1658335.080000000307336,1975394.469999999972060,1879094.560000000055879,1842281.810000000055879,1740581.530000000027940,10398747.910000000149012
FS( 40 ),1298877.040000000037253,1679500.120000000344589,1968604.840000000083819,1860454.000000000000000,1832031.859999999869615,1734396.129999999888241,10373867.989999998360872
FS( 41 ),1295095.659999999916181,1663288.600000000325963,1831614.070000000065193,1855840.000000000000000,1847065.119999999878928,1707489.639999999897555,10200397.089999999850988
FS( 42 ),1289722.119999999878928,1685804.600000000325963,1853580.519999999785796,1874480.560000000055879,1834765.179999999934807,1724808.760000000009313,10263165.740000000223517
FS( 43 ),1257679.899999999906868,1693460.040000000037253,1827620.169999999925494,1859900.319999999832362,1833398.519999999785796,1724190.219999999972060,10196253.169999999925494
FS( 44 ),1301862.339999999850988,1708770.920000000158325,1837604.919999999925494,1873188.639999999897555,1841598.479999999748543,1786662.760000000009313,10349692.059999998658895
