代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10993319.269999999552965
真實報酬,993319.269999999552965

夏普值報酬,0.090631927000000
夏普值風險,0.058053098516843
夏普值,1.561190174434964

二次趨勢線,34.925558265952475 x^2 + -1764.311070149996794 x + 10000000.000000000000000
二次加權預期報酬,9993.960212720669006
風險,220638.804793471907033
二次加權趨勢值,0.045295569027740
一次趨勢線,4849.690591644259257 x + 10000000.000000000000000
一次預期報酬,4849.690591644259257
一次風險,332837.944085748749785
一次趨勢值,0.014570726318376
找到最佳解世代,1666
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](3),
Stock#,MRK[17](1),PG[21](3),
張數,90727,65274,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.030000000260770,11.600000000558794,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5000000.000000000000000,5029373.300000000745058,10029373.300000000745058
FS( 3 ),5038105.340000000782311,5030026.040000000968575,10068131.380000002682209
FS( 4 ),4994556.379999999888241,4986292.460000000894070,9980848.839999999850988
FS( 5 ),4954636.500000000000000,4932767.780000000260770,9887404.280000001192093
FS( 6 ),4921067.510000000707805,4921671.200000001117587,9842738.710000000894070
FS( 7 ),4938305.640000000596046,4945822.580000000074506,9884128.220000000670552
FS( 8 ),4873889.469999999739230,4958224.640000000596046,9832114.109999999403954
FS( 9 ),4811287.840000000782311,4873368.440000000409782,9684656.280000001192093
FS( 10 ),4811287.840000000782311,4827676.640000000596046,9638964.480000000447035
FS( 11 ),4872074.930000000633299,4915143.800000000745058,9787218.730000000447035
FS( 12 ),4872982.200000000186265,4900130.780000000260770,9773112.980000000447035
FS( 13 ),4920160.240000000223517,4954308.200000001117587,9874468.440000001341105
FS( 14 ),4924696.590000000782311,4975195.880000000819564,9899892.470000002533197
FS( 15 ),4908365.730000000447035,4949086.280000000260770,9857452.010000001639128
FS( 16 ),4900200.299999999813735,4958877.380000000819564,9859077.679999999701977
FS( 17 ),4852114.990000000223517,4990208.900000000372529,9842323.890000000596046
FS( 18 ),4873889.469999999739230,4954308.200000001117587,9828197.670000001788139
FS( 19 ),4895663.950000000186265,4941253.400000000372529,9836917.350000001490116
FS( 20 ),4809473.299999999813735,4885117.760000000707805,9694591.060000000521541
FS( 21 ),4951007.419999999925494,4956919.160000000149012,9907926.580000000074506
FS( 22 ),4882962.169999999925494,4947128.060000000521541,9830090.230000000447035
FS( 23 ),4771367.960000000894070,4943864.360000000335276,9715232.320000000298023
FS( 24 ),4866631.310000000521541,5080287.020000000484288,9946918.330000001937151
FS( 25 ),4870260.390000000596046,5115534.980000000447035,9985795.370000001043081
FS( 26 ),4851207.719999999739230,5075065.100000000558794,9926272.820000000298023
FS( 27 ),4792235.169999999925494,5071801.400000000372529,9864036.570000000298023
FS( 28 ),4871167.660000000149012,5077676.060000000521541,9948843.720000000670552
FS( 29 ),4731448.080000000074506,5077023.320000000298023,9808471.400000000372529
FS( 30 ),4735984.430000000633299,5110313.060000000521541,9846297.490000002086163
FS( 31 ),4799493.330000000074506,5201043.920000000856817,10000537.250000000000000
FS( 32 ),4901107.570000000298023,5286552.860000000335276,10187660.429999999701977
FS( 33 ),4777718.849999999627471,5240861.060000000521541,10018579.910000000149012
