代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14652912.220000000670552
真實報酬,4652912.220000000670552

夏普值報酬,0.456591222000000
夏普值風險,0.107061567935315
夏普值,4.264753737549067

二次趨勢線,-10.756382338132873 x^2 + 20542.973274664687779 x + 10000000.000000000000000
二次加權預期報酬,16921.657887493282033
風險,209581.352919565251796
二次加權趨勢值,0.080740283673937
一次趨勢線,18505.991356793441810 x + 10000000.000000000000000
一次預期報酬,18505.991356793441810
一次風險,223191.859310991974780
一次趨勢值,0.082915171789521
找到最佳解世代,2056
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),NKE[19](4),UNH[23](2),
Stock#,DIS[6](1),NKE[19](4),UNH[23](2),
張數,39041,86828,40904,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.420000000391155,6.080000000074506,66.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3405949.260000000242144,3349830.319999999832362,3365238.119999999646097,10121018.699999999254942
FS( 3 ),3386819.170000000391155,3339410.959999999962747,3312881.000000000000000,10039112.130000000819564
FS( 4 ),3380572.610000000335276,3348962.040000000037253,3333742.040000000037253,10063277.690000001341105
FS( 5 ),3338408.330000000540167,3314230.840000000316650,3242117.080000000074506,9894757.250000000000000
FS( 6 ),3390723.270000000018626,3345488.920000000391155,3277294.520000000018626,10013507.710000000894070
FS( 7 ),3416099.920000000391155,3345488.920000000391155,3267068.520000000018626,10028658.360000001266599
FS( 8 ),3404778.030000000260770,3331596.439999999944121,3281384.919999999925494,10017760.390000000596046
FS( 9 ),3420004.020000000018626,3354171.720000000204891,3334151.080000000074506,10108327.820000000298023
FS( 10 ),3459435.430000000167638,3355908.279999999795109,3346831.319999999832362,10162176.029999999329448
FS( 11 ),3485592.900000000372529,3348962.040000000037253,3332514.919999999925494,10167070.859999999403954
FS( 12 ),3512531.190000000409782,3410609.920000000391155,3368101.400000000372529,10291243.510000001639128
FS( 13 ),3517216.110000000335276,3408873.359999999869615,3414322.919999999925494,10340413.390000000596046
FS( 14 ),3507455.860000000335276,3426238.959999999962747,3412686.760000000242144,10346382.580000000074506
FS( 15 ),3528538.000000000000000,3427107.239999999757856,3426594.119999999646097,10382240.359999999403954
FS( 16 ),3532832.510000000242144,3442736.279999999795109,3427003.160000000149012,10402572.949999999254942
FS( 17 ),3528538.000000000000000,3473994.359999999869615,3445819.000000000000000,10448352.359999999403954
FS( 18 ),3514483.240000000223517,3450550.800000000279397,3481814.520000000018626,10446849.560000000521541
FS( 19 ),3528147.590000000782311,3460970.160000000149012,3533353.560000000055879,10522472.310000000521541
FS( 20 ),3522681.850000000558794,3421897.559999999590218,3531717.400000000372529,10476297.810000000521541
FS( 21 ),3509017.500000000000000,3410609.920000000391155,3545624.760000000242144,10465253.179999999701977
FS( 22 ),3544935.220000000204891,3441868.000000000000000,3533762.600000000093132,10520566.820000000298023
FS( 23 ),3550400.960000000428408,3421897.559999999590218,3550124.200000000186265,10522423.719999998807907
FS( 24 ),3519168.160000000614673,3469652.959999999962747,3561168.280000000260770,10549990.400000002235174
FS( 25 ),3550400.960000000428408,3561690.640000000130385,3589392.040000000037253,10701484.640000000596046
FS( 26 ),3535565.380000000353903,3577319.680000000167638,3595936.679999999701977,10708822.740000000223517
FS( 27 ),3498086.020000000018626,3553007.840000000316650,3622524.280000000260770,10673619.140000000596046
FS( 28 ),3494962.740000000223517,3580792.800000000279397,3568940.040000000037253,10644696.580000001937151
FS( 29 ),3512531.190000000409782,3552139.559999999590218,3561986.359999999869615,10626658.109999999403954
FS( 30 ),3500818.890000000596046,3553007.840000000316650,3525172.760000000242144,10579000.490000000223517
FS( 31 ),3516825.700000000186265,3543456.760000000242144,3519037.160000000149012,10579320.620000001043081
FS( 32 ),3524243.490000000223517,3525222.880000000353903,3565258.679999999701977,10614726.050000000745058
FS( 33 ),3526585.950000000186265,3539115.359999999869615,3558305.000000000000000,10624007.310000000521541
FS( 34 ),3526976.360000000335276,3559085.800000000279397,3584483.560000000055879,10670546.720000000670552
FS( 35 ),3532832.510000000242144,3552139.559999999590218,3591437.239999999757856,10676410.310000000521541
FS( 36 ),3485983.310000000521541,3503515.880000000353903,3590210.119999999646097,10579710.310000000521541
