代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12653281.560000000521541
真實報酬,2653281.560000000521541

夏普值報酬,0.256628156000000
夏普值風險,0.076167291145790
夏普值,3.369269828813958

二次趨勢線,23.915347549510201 x^2 + 5362.783728038309164 x + 10000000.000000000000000
二次加權預期報酬,13382.396939640735582
風險,159890.927813269867329
二次加權趨勢值,0.083697037240721
一次趨勢線,9873.798330031197111 x + 10000000.000000000000000
一次預期報酬,9873.798330031197111
一次風險,232861.315386860689614
一次趨勢值,0.042402055118634
找到最佳解世代,2683
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),IBM[10](26),NKE[19](7),UNH[23](1),
Stock#,DIS[6](2),IBM[10](26),NKE[19](7),UNH[23](1),
張數,29666,13463,65172,31458,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.180000000167638,55.530000000260770,2.080000000074506,32.740000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488430.260000000242144,2482228.840000000316650,2462200.240000000223517,2512897.780000000260770,9945757.120000001043081
FS( 3 ),2499110.020000000018626,2484113.660000000149012,2481100.120000000111759,2532716.320000000298023,9997040.120000001043081
FS( 4 ),2515129.660000000149012,2503904.270000000018626,2472627.759999999776483,2510381.140000000130385,10002042.830000000074506
FS( 5 ),2510086.439999999944121,2509154.840000000316650,2484358.719999999739230,2514470.680000000633299,10018070.679999999701977
FS( 6 ),2535895.860000000335276,2507135.390000000130385,2498696.560000000521541,2509122.820000000298023,10050850.630000000819564
FS( 7 ),2514239.680000000167638,2481151.800000000279397,2486965.599999999627471,2510695.720000000204891,9993052.800000000745058
FS( 8 ),2501186.640000000130385,2453687.280000000260770,2448514.120000000111759,2522020.600000000093132,9925408.640000000596046
FS( 9 ),2456390.979999999981374,2439820.390000000130385,2436783.160000000149012,2499056.260000000242144,9832050.790000000968575
