代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13216956.129999998956919
真實報酬,3216956.129999998956919

夏普值報酬,0.312995613000000
夏普值風險,0.080575781974881
夏普值,3.884487439384372

二次趨勢線,23.000789835002255 x^2 + 6813.653983573524783 x + 10000000.000000000000000
二次加權預期報酬,14557.253228024286727
風險,123765.373792488549952
二次加權趨勢值,0.117619757303297
一次趨勢線,11169.411478782658378 x + 10000000.000000000000000
一次預期報酬,11169.411478782658378
一次風險,205550.605444497108692
一次趨勢值,0.054338986035235
找到最佳解世代,1624
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](13),CAT[3](1),DD[7](2),INTC[11](6),MCD[15](7),MRK[17](4),MSFT[18](9),
Stock#,AAPL[0](13),CAT[3](1),DD[7](2),INTC[11](6),MCD[15](7),MRK[17](4),MSFT[18](9),
張數,24436,17269,30867,59797,14311,30841,41576,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,42.439999999944121,79.320000000065193,46.239999999990687,20.669999999925494,46.979999999981374,15.879999999888241,19.640000000130385,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1460826.520000000018626,1424426.440000000176951,1426101.640000000130385,1418405.509999999776483,1430145.209999999962747,1435664.429999999701977,1411109.080000000074506,10006681.830000000074506
FS( 3 ),1468890.399999999906868,1413546.969999999972060,1425484.300000000046566,1420797.390000000130385,1436155.829999999841675,1435664.429999999701977,1414019.400000000139698,10014561.720000000670552
FS( 4 ),1457161.120000000111759,1418554.979999999981374,1436905.089999999850988,1438736.489999999757856,1429143.439999999944121,1454477.439999999711290,1422334.600000000093132,10057316.159999998286366
FS( 5 ),1448852.879999999888241,1436860.120000000111759,1454499.280000000027940,1386713.100000000093132,1429429.659999999916181,1462187.689999999711290,1427323.719999999972060,10045869.450000001117587
FS( 6 ),1474510.679999999934807,1473643.090000000083819,1495552.390000000130385,1383723.250000000000000,1431003.869999999878928,1468664.299999999813735,1428155.240000000223517,10155255.820000000298023
FS( 7 ),1468646.040000000037253,1467253.560000000055879,1485366.280000000027940,1390300.919999999925494,1430860.760000000009313,1479150.239999999990687,1442706.840000000316650,10164287.639999998733401
FS( 8 ),1491615.879999999888241,1497301.620000000111759,1503269.140000000130385,1434550.699999999720603,1442452.670000000158325,1489944.589999999850988,1483867.080000000074506,10343004.679999999701977
FS( 9 ),1488927.919999999925494,1505418.050000000046566,1499873.770000000018626,1429168.969999999739230,1453758.359999999869615,1497038.019999999785796,1483035.560000000288710,10357223.650000000372529
FS( 10 ),1492104.600000000093132,1509389.920000000158325,1512220.570000000065193,1431560.850000000093132,1441880.229999999981374,1496421.199999999953434,1503823.560000000288710,10387403.930000001564622
FS( 11 ),1501879.000000000000000,1522687.050000000046566,1493391.699999999953434,1450097.919999999925494,1443740.659999999916181,1487477.309999999823049,1507981.160000000149012,10407257.800000000745058
FS( 12 ),1502123.359999999869615,1496783.550000000046566,1526728.060000000055879,1444118.219999999739230,1432578.079999999841675,1484393.209999999962747,1485945.880000000121072,10372673.360000001266599
FS( 13 ),1507254.919999999925494,1480378.000000000000000,1520245.989999999990687,1389702.949999999720603,1433722.959999999962747,1461879.279999999795109,1473473.080000000074506,10266660.179999999701977
FS( 14 ),1483552.000000000000000,1479169.170000000158325,1523950.030000000027940,1377743.549999999813735,1435010.949999999953434,1473907.269999999785796,1305506.040000000037253,10078842.010000001639128
FS( 15 ),1488194.839999999850988,1485213.320000000065193,1520554.659999999916181,1361598.359999999869615,1396514.359999999869615,1471748.399999999906868,1330867.400000000139698,10054694.339999999850988
FS( 16 ),1462781.399999999906868,1476924.199999999953434,1518702.640000000130385,1360402.419999999925494,1384779.340000000083819,1478225.009999999776483,1322967.960000000195578,10004785.970000000670552
FS( 17 ),1537799.919999999925494,1441004.679999999934807,1510985.890000000130385,1371165.879999999888241,1383348.239999999990687,1473290.449999999953434,1328788.600000000093132,10046386.660000000149012
FS( 18 ),1530713.479999999981374,1418554.979999999981374,1538148.849999999860302,1378939.489999999757856,1395226.369999999878928,1485626.849999999860302,1305090.280000000260770,10052303.300000000745058
FS( 19 ),1539510.439999999944121,1417173.460000000195578,1525493.380000000121072,1390898.890000000130385,1402954.310000000055879,1495495.969999999972060,1314652.760000000242144,10086182.210000000894070
FS( 20 ),1563213.359999999869615,1433751.699999999953434,1538457.520000000018626,1389702.949999999720603,1400664.550000000046566,1490869.820000000065193,1311326.680000000167638,10127989.579999998211861
FS( 21 ),1582517.800000000046566,1436687.429999999934807,1541235.550000000046566,1398074.529999999795109,1407820.050000000046566,1481925.929999999701977,1324215.240000000223517,10172479.529999999329448
FS( 22 ),1579829.840000000083819,1431852.110000000102445,1540309.540000000037253,1395682.649999999906868,1403669.859999999869615,1485626.849999999860302,1323799.480000000214204,10160773.330000000074506
FS( 23 ),1594247.079999999841675,1458273.679999999934807,1556051.709999999962747,1387311.069999999832362,1416835.979999999981374,1498271.659999999916181,1316731.560000000288710,10227725.740000000223517
FS( 24 ),1614773.319999999832362,1455856.020000000018626,1592166.099999999860302,1388507.009999999776483,1419698.179999999934807,1497038.019999999785796,1325878.280000000260770,10293919.929999999701977
FS( 25 ),1638720.600000000093132,1443076.960000000195578,1603586.890000000130385,1370567.909999999916181,1421272.389999999897555,1496729.609999999869615,1317978.840000000083819,10291936.200000001117587
